,Concept_ID,ga,av
0,Auge::N,súil,
1,Ohr::N,cluas,гӏин
2,Nase::N,soc,мегӏер
3,Mund::N,béal,кӏал
4,Zahn::N,fiacail,гӏус
5,Zunge::N,teanga,мацӏ
6,Lippe::N,liopa,кӏветӏ
7,Wange::N,grua,гӏоно
8,Wange::N,leiceann,гӏоно
9,Gesicht::N,éadan,гьумер
10,Gesicht::N,aghaidh,гьумер
11,Stirn::N,baithis,нодо
12,Stirn::N,clár éadain,нодо
13,Haar::N,gruaig,рас
14,Schnurrbart::N,croiméal,михъ
15,Bart::N,féasóg,мегеж
16,Kinn::N,smig,нилъу
17,Kiefer[Anatomie]::N,giall,чанагъ
18,Kehle::N,scornach,щекъер
19,Hals::N,muinéal,габур
20,Genick::N,baic,гъванща
21,Kopf::N,ceann,бетӏер
22,Rücken::N,droim,мугъ
23,Bauch::N,bolg,чехь
24,Nabel::N,imleacán,цӏину
25,Busen::N,cíoch,керен
26,Brust::N,brollach,керен
27,Schulter::N,gualainn,гъажазубетӏер
28,Arm::N,lámh,гъеж
29,Ellenbogen::N,uillinn,гӏункӏрукь
30,Hand::N,lámh,квер
31,Handfläche::N,bos,огъохъат
32,Handfläche::N,bos,жанисахъат
33,Finger::N,méar,килищ
34,Fingernagel::N,ionga,малъ
35,Nagel[Anatomie]::N,ionga,малъ
36,Zeh::N,ladhar,килищ
37,Fuß::N,cos,хӏетӏ
38,Fuß::N,cos,хӏетӏе
39,Fuß::N,troigh,хӏетӏ
40,Fuß::N,troigh,хӏетӏе
41,Ferse::N,sáil,эгъе
42,Knie::N,glúin,наку
43,Oberschenkel::N,ceathrú,мачӏ
44,Bein::N,cos,бох
45,Körper::N,corp,къаркъала
46,Körper::N,colainn,къаркъала
47,Haut::N,cneas,тӏом
48,Haut::N,craiceann,тӏом
49,Blut::N,fuil,би
50,Sehne::N,teannán,
51,Sehne::N,féitheog,
52,Knochen::N,cnámh,ракьа
53,Gehirn::N,inchinn,гӏадалнах
54,Herz::N,croí,ракӏ
55,Magen::N,bolg,кванирукъ
56,Magen::N,goile,кванирукъ
57,Leber::N,ae,тӏул
58,Atem::N,anáil,хӏухь
59,Hunger::N,ocras,ракъи
60,Träne::N,deoir,магӏу
61,Geschmack::N,blas,тату
62,Geruch::N,boladh,махӏ
63,Schlaf::N,suan,макьу
64,Schlaf::N,codladh,макьу
65,Traum::N,taibhreamh,макьу
66,Himmel::N,spéir,зоб
67,Sonne::N,grian,бакъ
68,Mond::N,ré,моцӏ
69,Mond::N,gealach,моцӏ
70,Stern::N,rinn,цӏва
71,Stern::N,réalta,цӏва
72,Luft::N,aer,гьава
73,Wind::N,gaoth,гьури
74,Welle::N,tonn,карачел
75,Wasser::N,uisce,лъим
76,Stein::N,cloch,гьецӏо
77,Boden::N,talamh,ракь
