,Concept_ID,ku,os
0,Auge::N,çav,цӕст
1,Ohr::N,guh,хъус
2,Nase::N,bêvil,фындз
3,Mund::N,dev,дзых
4,Zahn::N,didan,дӕндаг
5,Zunge::N,ziman,ӕвзаг
6,Lippe::N,lêv,был
7,Wange::N,dêm,рус
8,Wange::N,dêm,уадул
9,Wange::N,dêm,ӕхсӕрфарс
10,Wange::N,hinarik,рус
11,Wange::N,hinarik,уадул
12,Wange::N,hinarik,ӕхсӕрфарс
13,Gesicht::N,rû,цӕсгом
14,Stirn::N,enî,ных
15,Haar::N,por,хил
16,Schnurrbart::N,simbêl,рихи
17,Bart::N,rih,зачъе
18,Kinn::N,zenî,роцъо
19,Kiefer[Anatomie]::N,arguşk,ӕфсӕр
20,Kehle::N,qirik,хъуыр
21,Hals::N,stû,къубал
22,Hals::N,qirik,къубал
23,Genick::N,stû,къӕбут
24,Kopf::N,serî,сӕр
25,Rücken::N,pişt,фӕсонтӕ
26,Bauch::N,ûr,гуыбын
27,Bauch::N,zik,гуыбын
28,Nabel::N,navik,бикъ
29,Busen::N,sîng,дзидзи
30,Brust::N,sîng,риу
31,Schulter::N,mil,уӕхск
32,Arm::N,çepil,цонг
33,Ellenbogen::N,enîşk,рæмбын
34,Hand::N,dest,къух
35,Handfläche::N,kefadest,армытъӕпӕн
36,Finger::N,tilî,ӕнруылдз
37,Fingernagel::N,neynuk,ных
38,Nagel[Anatomie]::N,bizmar,ных
39,Zeh::N,tilî linga,къух
40,Fuß::N,ling,фад
41,Ferse::N,pahnî,зӕвӕт
42,Knie::N,kabok,уӕраг
43,Oberschenkel::N,rahn,агъд
44,Bein::N,çip,зӕнг
45,Körper::N,laş,буар
46,Körper::N,gowde,буар
47,Haut::N,çerm,царм
48,Blut::N,xwîn,туг
49,Ader::N,reh,дадзин
50,Ader::N,reh,тугдадзин
51,Sehne::N,reh,хъиутæ
52,Sehne::N,reh,нуар
53,Knochen::N,hestî,стӕг
54,Gehirn::N,mêjî,магъз
55,Herz::N,dil,зӕрдӕ
56,Magen::N,navêş,ахсӕн
57,Leber::N,kezeb,игæр
58,Atem::N,hilm,улӕфт
59,Hunger::N,birçîtî,стонг
60,Träne::N,hêstir,цæссыг
61,Geschmack::N,tam,ад
62,Geruch::N,bêhn,смаг
63,Schlaf::N,xew,хуыссӕг
64,Traum::N,xewn,фын
65,Himmel::N,ezman,арв
66,Himmel::N,ezman,уӕларв
67,Sonne::N,roj,хур
68,Mond::N,heyv,мӕй
69,Stern::N,stêrk,стъалы
70,Luft::N,ba,уӕлдӕф
71,Wind::N,ba,дымгӕ
72,Welle::N,şewl,уылӕн
73,Wasser::N,av,дон
74,Stein::N,kevir,дур
75,Boden::N,herd,зӕхх
76,Erde::N,ax,сыджыт
77,Staub::N,toz,рыг
78,Rauch::N,dû,фӕздӕг
