,Concept_ID,de,tr
0,Auge::N,Auge,göz
1,Ohr::N,Ohr,kulak
2,Nase::N,Nase,burun
3,Mund::N,Mund,ağız
4,Zahn::N,Zahn,diş
5,Zunge::N,Zunge,dil
6,Lippe::N,Lippe,dudak
7,Wange::N,Wange,yanak
8,Gesicht::N,Gesicht,yüz
9,Stirn::N,Stirn,alın
10,Haar::N,Haar,saç
11,Schnurrbart::N,Schnurrbart,bıyık
12,Bart::N,Bart,sakal
13,Kinn::N,Kinn,çene
14,Kiefer[Anatomie]::N,Kiefer,çene
15,Kehle::N,Kehle,boğaz
16,Hals::N,Hals,boyun
17,Hals::N,Hals,gerdan
18,Genick::N,Genick,ense
19,Kopf::N,Kopf,baş
20,Kopf::N,Kopf,kafa
21,Rücken::N,Rücken,arka
22,Bauch::N,Bauch,karın
23,Nabel::N,Nabel,göbek
24,Busen::N,Busen,koyun
25,Brust::N,Brust,göğüs
26,Schulter::N,Schulter,omuz
27,Arm::N,Arm,kol
28,Ellenbogen::N,Ellenbogen,dirsek
29,Hand::N,Hand,el
30,Handfläche::N,Handfläche,avuç
31,Handfläche::N,Handfläche,el ayası
32,Finger::N,Finger,parmak
33,Fingernagel::N,Fingernagel,el tırnağı
34,Nagel[Anatomie]::N,Nagel,tırnak
35,Zeh::N,Zeh,ayak parmağı
36,Fuß::N,Fuß,ayak
37,Ferse::N,Ferse,topuk
38,Knie::N,Knie,diz
39,Oberschenkel::N,Oberschenkel,uyluk
40,Bein::N,Bein,bacak
41,Körper::N,Körper,vücut
42,Haut::N,Haut,cilt
43,Blut::N,Blut,kan
44,Ader::N,Ader,damar
45,Sehne::N,Sehne,kiriş
46,Knochen::N,Knochen,kemik
47,Gehirn::N,Gehirn,beyin
48,Herz::N,Herz,kalp
49,Herz::N,Herz,yürek
50,Magen::N,Magen,mide
51,Leber::N,Leber,karaciğer
52,Atem::N,Atem,nefes
53,Hunger::N,Hunger,açlık
54,Träne::N,Träne,gözyaşı
55,Geschmack::N,Geschmack,tat
56,Geschmack::N,Geschmack,lezzet
57,Geruch::N,Geruch,koku
