,Concept_ID,ku,mrj
0,Auge::N,çav,сӹнзӓ
1,Ohr::N,guh,пӹлӹш
2,Nase::N,bêvil,нер
3,Mund::N,dev,ышма
4,Zahn::N,didan,пӱ
5,Zunge::N,ziman,йӹлмӹ
6,Lippe::N,lêv,тӹрвӹ
7,Wange::N,dêm,шӹргӹ
8,Wange::N,hinarik,шӹргӹ
9,Gesicht::N,rû,лицӓ
10,Stirn::N,enî,лепкӓ
11,Haar::N,por,ӱп
12,Schnurrbart::N,simbêl,öрш
13,Bart::N,rih,пандаш
14,Kinn::N,zenî,онгылаш
15,Kiefer[Anatomie]::N,arguşk,пӱ арата
16,Kehle::N,qirik,логер
17,Hals::N,stû,шӱ
18,Hals::N,qirik,шӱ
19,Genick::N,stû,ланга
20,Kopf::N,serî,вуй
21,Rücken::N,pişt,туп
22,Bauch::N,ûr,мӹшкӹр
23,Bauch::N,zik,мӹшкӹр
24,Nabel::N,navik,кӹлӹмдӹ
25,Busen::N,sîng,цӹзӹ
26,Brust::N,sîng,мел
27,Schulter::N,mil,ӹнгӹжӓ
28,Arm::N,çepil,кид
29,Ellenbogen::N,enîşk,кӹнервуй
30,Hand::N,dest,лапа
31,Handfläche::N,kefadest,кид лапа
32,Finger::N,tilî,парня
33,Fingernagel::N,neynuk,кӹч
34,Nagel[Anatomie]::N,bizmar,кӹч
35,Zeh::N,tilî linga,парня
36,Fuß::N,ling,ял лапа
37,Ferse::N,pahnî,ялгавал
38,Ferse::N,pahnî,ял кавал
39,Knie::N,kabok,пылвуй
40,Oberschenkel::N,rahn,ӓрдӹ
41,Bein::N,çip,ял
42,Körper::N,laş,монгыр
43,Körper::N,gowde,монгыр
44,Haut::N,çerm,кавашты
45,Blut::N,xwîn,вӹр
46,Ader::N,reh,вӹршӓр
47,Sehne::N,reh,кукшышӱн
48,Knochen::N,hestî,лу
49,Gehirn::N,mêjî,вим
50,Herz::N,dil,шӱм
51,Magen::N,navêş,шӱм
52,Leber::N,kezeb,мокш
53,Atem::N,hilm,шӱлӹш
54,Hunger::N,birçîtî,шужымаш
55,Träne::N,hêstir,сӹнзӓвӹд
56,Geschmack::N,tam,тот
57,Geruch::N,bêhn,пыш
58,Schlaf::N,xew,ом
59,Traum::N,xewn,ом
60,Himmel::N,ezman,пӹлгом
61,Sonne::N,roj,кечӹ
62,Mond::N,heyv,тӹлзӹ
63,Stern::N,stêrk,шӹдӹр
64,Luft::N,ba,юж
65,Luft::N,ba,воздух
66,Wind::N,ba,мардеж
67,Welle::N,şewl,ко
68,Welle::N,şewl,коэ
69,Wasser::N,av,вӹд
