,Concept_ID,ga,ady
0,Auge::N,súil,нэ
1,Ohr::N,cluas,тхьакӏу́м
2,Nase::N,soc,пэ
3,Mund::N,béal,жэ
4,Zahn::N,fiacail,цэ
5,Zunge::N,teanga,бзэгу
6,Lippe::N,liopa,ӏупшӏэ́
7,Wange::N,grua,нэкӏу́шъу
8,Wange::N,leiceann,нэкӏу́шъу
9,Gesicht::N,éadan,нэ́гу
10,Gesicht::N,aghaidh,нэ́гу
11,Stirn::N,baithis,натӏэ́
12,Stirn::N,clár éadain,натӏэ́
13,Haar::N,gruaig,шъхьацы́
14,Schnurrbart::N,croiméal,
15,Bart::N,féasóg,жакӏэ́
16,Kinn::N,smig,жэкӏэпэпкъ
17,Kiefer[Anatomie]::N,giall,жэпкъы́
18,Kehle::N,scornach,чый
19,Hals::N,muinéal,пшъэ
20,Genick::N,baic,шъхьэпхэтыку
21,Kopf::N,ceann,шъхьэ́
22,Rücken::N,droim,кӏыбы́
23,Bauch::N,bolg,ныбэ́
24,Nabel::N,imleacán,
25,Busen::N,cíoch,бгъэ́
26,Brust::N,brollach,бгъэ́
27,Schulter::N,gualainn,блыпкъ
28,Arm::N,lámh,ӏэ
29,Ellenbogen::N,uillinn,ӏэнтэ́гъу
30,Hand::N,lámh,ӏэтхьэцу
31,Handfläche::N,bos,ӏэ́гу
32,Finger::N,méar,ӏэхъуа́мб
33,Fingernagel::N,ionga,ӏэбжъа́н
34,Nagel[Anatomie]::N,ionga,ӏэбжъа́н
35,Zeh::N,ladhar,ӏэхъуа́мб
36,Fuß::N,cos,лъэгу
37,Fuß::N,troigh,лъэгу
38,Ferse::N,sáil,лъэдакъэ
39,Knie::N,glúin,лъагуа́ндж
40,Oberschenkel::N,ceathrú,ко
41,Bein::N,cos,лъакъо́
42,Körper::N,corp,пкъышъол
43,Körper::N,colainn,пкъышъол
44,Haut::N,cneas,кӏы́шъу
45,Haut::N,craiceann,кӏы́шъу
46,Blut::N,fuil,лъы
47,Sehne::N,teannán,фэ
48,Sehne::N,féitheog,фэ
49,Knochen::N,cnámh,къупшъхьэ́
50,Gehirn::N,inchinn,куцӏы
51,Herz::N,croí,гу
52,Magen::N,bolg,мышкӏу
53,Magen::N,goile,мышкӏу
54,Leber::N,ae,шӏу
55,Atem::N,anáil,къэщэныр
56,Hunger::N,ocras,гъаблэ́
57,Träne::N,deoir,нэпсы
58,Geschmack::N,blas,ӏэшӏугъа́кӏ
59,Geruch::N,boladh,мэ
60,Schlaf::N,suan,пчыхьы́пӏ
61,Schlaf::N,codladh,пчыхьы́пӏ
62,Traum::N,taibhreamh,пчыхьы́пӏ
63,Himmel::N,spéir,уашъо́
64,Sonne::N,grian,тыгъэ
65,Mond::N,ré,мазэ
66,Mond::N,gealach,мазэ
67,Stern::N,rinn,жъуагъо́
68,Stern::N,réalta,жъуагъо́
69,Luft::N,aer,жьы
70,Wind::N,gaoth,жьыбгъэ́
71,Welle::N,tonn,ор
72,Welle::N,tonn,оры
73,Wasser::N,uisce,псы
74,Stein::N,cloch,мыжъо́
75,Boden::N,talamh,чӏ́ыгу
76,Erde::N,cré,чӏ́ыгу
77,Erde::N,ithir,чӏ́ыгу
78,Staub::N,dusta,сап
79,Staub::N,deannach,сап
80,Rauch::N,toit,ӏугъо́
81,Rauch::N,deatach,ӏугъо́
82,Funke::N,drithle,мэшӏуа́ч
83,Feuer::N,tine,машӏо́
84,Licht::N,solas,нэфы
85,Licht::N,solas,нэфын
86,Schatten::N,scáth,жьау́
87,Schatten::N,scáth,ныбжьыкъу
88,Wetter::N,aimsir,
89,Nebel::N,ceo,пща́гъу
90,Wolke::N,néal,ошъуапщэ
91,Wolke::N,scamall,ошъуапщэ
92,Regen::N,báisteach,ощхы
