,Concept_ID,ga,ps
0,Auge::N,súil,سترګه
1,Ohr::N,cluas,غوږ
2,Nase::N,soc,پوزه
3,Mund::N,béal,خوله
4,Zahn::N,fiacail,غاښ
5,Zunge::N,teanga,جبه
6,Lippe::N,liopa,شونډه
7,Wange::N,grua,باړخو
8,Wange::N,leiceann,باړخو
9,Gesicht::N,éadan,مخ
10,Gesicht::N,aghaidh,مخ
11,Stirn::N,baithis,تندی
12,Stirn::N,baithis,وچولی
13,Stirn::N,clár éadain,تندی
14,Stirn::N,clár éadain,وچولی
15,Haar::N,gruaig,وېښته
16,Schnurrbart::N,croiméal,برېت
17,Bart::N,féasóg,ږیره
18,Kinn::N,smig,زنه
19,Kiefer[Anatomie]::N,giall,جامه
20,Kehle::N,scornach,غاړه
21,Hals::N,muinéal,غاړه
22,Genick::N,baic,ورمېږ
23,Kopf::N,ceann,سر
24,Rücken::N,droim,شا
25,Bauch::N,bolg,نس
26,Bauch::N,bolg,ګېډه
27,Nabel::N,imleacán,نوم
28,Busen::N,cíoch,تی
29,Brust::N,brollach,سینه
30,Schulter::N,gualainn,اوږه
31,Arm::N,lámh,لاس
32,Ellenbogen::N,uillinn,څنګل
33,Hand::N,lámh,لاس
34,Handfläche::N,bos,ورغوی
35,Finger::N,méar,ګوته
36,Fingernagel::N,ionga,نوک
37,Nagel[Anatomie]::N,ionga,نوک
38,Zeh::N,ladhar,ګوته
39,Fuß::N,cos,پښه
40,Fuß::N,troigh,پښه
41,Ferse::N,sáil,پونده
42,Knie::N,glúin,زنګون
43,Oberschenkel::N,ceathrú,پتون
44,Bein::N,cos,پښه
45,Körper::N,corp,ځان
46,Körper::N,colainn,ځان
47,Haut::N,cneas,پوټکی
48,Haut::N,craiceann,پوټکی
49,Blut::N,fuil,وینه
50,Sehne::N,teannán,پله
51,Sehne::N,féitheog,پله
52,Knochen::N,cnámh,هډوکی
53,Gehirn::N,inchinn,ماغزه
54,Herz::N,croí,زړه
55,Magen::N,bolg,معده
56,Magen::N,goile,معده
57,Leber::N,ae,ينه
58,Leber::N,ae,ځیګر
59,Atem::N,anáil,نفس
60,Hunger::N,ocras,ولږه
61,Träne::N,deoir,اوښکه
62,Geschmack::N,blas,مزه
63,Geschmack::N,blas,خوند
64,Geruch::N,boladh,بوی
65,Schlaf::N,suan,خوب
66,Schlaf::N,codladh,خوب
67,Traum::N,taibhreamh,خوب
68,Himmel::N,spéir,اسمان
69,Sonne::N,grian,لمر
70,Mond::N,ré,سپوږمۍ
71,Mond::N,gealach,سپوږمۍ
72,Stern::N,rinn,ستوری
73,Stern::N,réalta,ستوری
74,Luft::N,aer,هوا
75,Wind::N,gaoth,ورښ
76,Welle::N,tonn,موج
77,Wasser::N,uisce,اوبه
78,Stein::N,cloch,ډبره
79,Boden::N,talamh,مځکه
80,Erde::N,cré,خاوره
81,Erde::N,ithir,خاوره
82,Staub::N,dusta,ګرد
83,Staub::N,dusta,خاوره
84,Staub::N,deannach,ګرد
85,Staub::N,deannach,خاوره
86,Rauch::N,toit,دود
87,Rauch::N,toit,لوګی
88,Rauch::N,deatach,دود
89,Rauch::N,deatach,لوګی
90,Funke::N,drithle,سپرغۍ
91,Feuer::N,tine,اور
92,Licht::N,solas,رڼا
93,Schatten::N,scáth,سیوری
94,Wetter::N,aimsir,هوا
95,Nebel::N,ceo,لړه
