,Concept_ID,cv,ru
0,Auge::N,куҫ,глаз
1,Ohr::N,хӑлха,ухо
2,Nase::N,сӑмса,нос
3,Mund::N,ҫӑвар,рот
4,Zahn::N,шӑл,зуб
5,Zunge::N,чӗлхе,язык
6,Lippe::N,тута,губа
7,Wange::N,пит ҫӑмарти,щека
8,Gesicht::N,пит,лицо
9,Gesicht::N,пит-куҫ,лицо
10,Stirn::N,ҫамка,лоб
11,Haar::N,ҫӳҫ,волос
12,Haar::N,ҫӳҫ,волосы
13,Schnurrbart::N,усси,ус
14,Schnurrbart::N,усси,усы
15,Bart::N,сухал,борода
16,Kinn::N,янах,подбородок
17,Kiefer[Anatomie]::N,янах,челюсть
18,Kehle::N,пыр,горло
19,Kehle::N,карланкӑ,горло
20,Hals::N,пыр,шея
21,Genick::N,ӗнсе,затылок
22,Kopf::N,пуҫ,голова
23,Rücken::N,ҫурӑм,спина
24,Nabel::N,кӑвапа,пупок
25,Busen::N,кӑкӑр,женская грудь
26,Brust::N,умӗ,грудь
27,Schulter::N,хул пуҫҫи,плечо
28,Arm::N,алӑ,рука
29,Ellenbogen::N,чавса,локоть
30,Hand::N,алӑ сыппи,кисть
31,Handfläche::N,ал лаппи,ладонь
32,Finger::N,пӳрне,палец
33,Fingernagel::N,чӗрне,ноготь
34,Nagel[Anatomie]::N,чӗрне,ноготь
35,Zeh::N,пӳрне,палец
36,Fuß::N,ура лаппи,ступня
37,Ferse::N,кӗле,пята
38,Ferse::N,кӗле,пятка
39,Knie::N,чӗркуҫҫи,колено
40,Oberschenkel::N,пӗҫӗ,бедро
41,Bein::N,ура,нога
42,Körper::N,ӳт,тело
43,Körper::N,ӳт-пӳ,тело
44,Haut::N,тир,кожа
45,Blut::N,юн,кровь
46,Ader::N,вена,вена
47,Ader::N,вена,сосуд
48,Sehne::N,шӑнӑр,жила
49,Sehne::N,шӑнӑр,тетива
50,Sehne::N,шӑнӑр,сухожилие
51,Knochen::N,шӑмӑ,кость
52,Gehirn::N,миме,мозг
53,Herz::N,чӗре,сердце
54,Magen::N,хырӑмлӑх,желудок
55,Leber::N,пӗвер,печень
56,Atem::N,сывлав,дух
57,Atem::N,сывлав,дыхание
58,Hunger::N,выҫлӑх,голод
59,Träne::N,куҫҫуль,слеза
60,Geschmack::N,техӗм,вкус
61,Geruch::N,шӑршӑ,запах
62,Schlaf::N,ыйхӑ,сон
63,Traum::N,тӗлӗк,сновидение
64,Himmel::N,пӗлӗт,небо
65,Sonne::N,хӗвел,солнце
66,Mond::N,уйӑх,луна
67,Stern::N,ҫӑлтӑр,звезда
68,Luft::N,сывлӑш,воздух
69,Wind::N,ҫил,ветер
70,Welle::N,хум,волна
71,Wasser::N,шыв,вода
72,Wasser::N,шыв-шур,вода
73,Stein::N,чул,камень
74,Boden::N,тӑпра,почва
75,Erde::N,ҫӗр,земля
76,Staub::N,тусан,пыль
77,Rauch::N,тӗтӗм,дым
78,Funke::N,хӗм,искра
79,Feuer::N,вут,огонь
80,Feuer::N,ҫулӑм,огонь
81,Licht::N,ҫутӑ,свет
82,Schatten::N,сулхӑн,тень
83,Wetter::N,ҫанталӑк,погода
84,Nebel::N,тӗтре,туман
85,Wolke::N,пӗлӗт,облако
86,Regen::N,ҫумӑр,дождь
87,Schnee::N,юр,снег
88,Eis::N,пӑр,лед
89,Frost::N,сивӗ,мороз
90,Kälte::N,сивӗ,холод
91,Hitze::N,вӗри,жара
92,Hitze::N,шӑрӑх,жара
93,Raureif::N,пас,иней
94,Regenbogen::N,асамат кӗперӗ,радуга
95,Donner::N,аслати,гром
96,Strömung::N,юхӑ,течение
97,Tropfen::N,тумлам,капля
98,Schaum::N,кӑпӑк,пена
99,Schmutz::N,пылчӑк,грязь
100,See::N,кӳлӗ,озеро
101,Sumpf::N,шур,топь
102,Sumpf::N,шурлӑх,топь
103,Moor::N,торфлӑ шурлӑх,болото
104,Wiese::N,улӑх,луг
105,Wiese::N,ҫаран,луг
106,Wald::N,вӑрман,лес
107,Hügel::N,сӑрт,холм
108,Hügel::N,тӗмеске,холм
109,Anhöhe::N,сӑрт,возвышенность
110,Berg::N,ту,гора
111,Gipfel::N,тӳпе,вершина
112,Höhle::N,ҫӗр хӑвӑлӗ,пещера
113,Abhang::N,тӑвайкки,склон
114,Quelle::N,ҫӑл куҫ,источник
115,Bach::N,пӗчӗк шыв,ручей
116,Fluss::N,юхан шыв,река
117,Ufer::N,ҫыран,берег
118,Küste::N,тинӗс ҫыранӗ,побережье
119,Festland::N,тип ҫӗр,суша
120,Meer::N,тинӗс,море
121,Bucht::N,тинӗс кукӑрӗ,бухта
122,Insel::N,утрав,остров
123,Blume::N,чечек,цветок
124,Gras::N,курӑк,трава
125,Wurzel::N,тымар,корень
126,Baum::N,йывӑҫ,дерево
127,Stamm::N,вулӑ,ствол
128,Rinde::N,хуйӑр,кора
129,Ast::N,турат,сук
130,Zweig::N,турат,ветвь
131,Blatt::N,ҫулҫӑ,лист
132,Birke::N,хурӑн,береза
133,Kiefer[Baum]::N,хыр,сосна
134,Weide[Baum]::N,хӑва,ива
135,Tanne::N,чӑрӑш,ель
136,Horn::N,мӑйрака,рог
137,Feder::N,тӗк,перо
138,Fell::N,ҫӑм,шкура
139,Flügel::N,ҫунат,крыло
140,Klaue::N,чӗрне,коготь
141,Kralle::N,ура,лапа
142,Schwanz::N,хӳре,хвост
143,Ei::N,ҫӑмарта,яйцо
144,Nest::N,йӑва,гнездо
145,Bau::N,йӗнӗ,нора
146,Tier::N,выльӑх,животное
147,Herde::N,кӗтӳ,стадо
148,Kuh::N,ӗне,корова
149,Bulle::N,вӑкӑр,бык
150,Pferd::N,лаша,лошадь
151,Schaf::N,сурӑх,овца
152,Schwein::N,сысна,свинья
153,Hund::N,йытӑ,собака
154,Katze::N,кушак,кошка
155,Bär::N,упа,медведь
156,Eichhörnchen::N,пакша,белка
157,Elch::N,пӑши,лось
158,Fuchs::N,тилӗ,лиса
159,Hase::N,куян,заяц
160,Hase::N,мулкач,заяц
161,Maus::N,шӑши,мышь
162,Wolf::N,кашкӑр,волк
163,Vogel::N,кайӑк,птица
164,Vogel::N,вӗҫен кайӑк,птица
165,Schwarm::N,ушкӑн,стая
166,Huhn::N,чӑх,курица
167,Huhn::N,чӑхӑ,курица
168,Hahn::N,автан,петух
169,Gans::N,хур,гусь
170,Adler::N,ӑмӑрт кайӑк,орел
171,Ente::N,кӑвакал,утка
172,Eule::N,тӑмана,сова
173,Kranich::N,тӑрна,журавль
174,Krähe::N,ула курак,ворона
175,Kuckuck::N,куккук,кукушка
176,Schwan::N,акӑш,лебедь
177,Fisch::N,пулӑ,рыба
178,Barsch::N,уланкӑ,окунь
179,Hecht::N,ҫӑрттан,щука
180,Schlange[Tier]::N,ҫӗлен,змея
181,Wurm::N,ӑман,червяк
182,Spinne::N,эрешмен,паук
183,Ameise::N,кӑткӑ,муравей
184,Laus::N,пыйтӑ,вошь
