,Concept_ID,es,kl
0,Auge::N,ojo,isi
1,Ohr::N,oreja,siut
2,Nase::N,nariz,
3,Mund::N,boca,paaq
4,Mund::N,boca,qaneq
5,Zahn::N,diente,kigut
6,Zunge::N,lengua,oqaq
7,Lippe::N,labio,qarloq
8,Wange::N,mejilla,ersaq
9,Gesicht::N,cara,kiinaq
10,Stirn::N,frente,qaaq
11,Haar::N,cabello,meqqoq
12,Schnurrbart::N,bigote,
13,Bart::N,barba,umik
14,Kinn::N,barbilla,talloq
15,Kiefer[Anatomie]::N,mandíbula,alleroq
16,Kehle::N,garganta,malaq
17,Hals::N,cuello,qungaseq
18,Genick::N,nuca,pukusuk
19,Genick::N,cerviz,pukusuk
20,Kopf::N,cabeza,niaqoq
21,Rücken::N,espalda,qimerlut
22,Bauch::N,vientre,naaq
23,Nabel::N,ombligo,qalaseq
24,Busen::N,pecho,iviangeq
25,Brust::N,pecho,iviangeq
26,Schulter::N,hombro,ersik
27,Schulter::N,hombro,assaqqoq
28,Arm::N,brazo,taleq
29,Ellenbogen::N,codo,ikusik
30,Hand::N,mano,assak
31,Handfläche::N,palma,itumak
32,Finger::N,dedo,inuak
33,Fingernagel::N,uña,kikiak
34,Nagel[Anatomie]::N,uña,kukik
35,Zeh::N,dedo del pie,isigak
36,Fuß::N,pie,
37,Ferse::N,talón,kimmik
38,Knie::N,rodilla,seeqqoq
39,Oberschenkel::N,muslo,uppat
40,Oberschenkel::N,muslo,quttoraq
41,Bein::N,pierna,isigak
42,Körper::N,cuerpo,timi
43,Haut::N,piel,mattak
44,Blut::N,sangre,aak
45,Ader::N,vena,taqaq
46,Sehne::N,tendón,ujalu
47,Sehne::N,tendón,ujaloq
48,Knochen::N,hueso,saanikut
49,Gehirn::N,cerebro,qarasaq
50,Gehirn::N,encéfalo,qarasaq
51,Herz::N,corazón,uummat
52,Magen::N,estómago,aqajaroq
53,Leber::N,hígado,tinguk
54,Atem::N,aliento,anerneq
55,Hunger::N,hambre,kaanneq
56,Träne::N,lágrima,qia
57,Träne::N,lágrima,qiak
58,Geschmack::N,gusto,qilanaartuut
59,Geruch::N,olor,tipi
60,Geruch::N,olor,tipik
61,Schlaf::N,sueño,
62,Traum::N,sueño,sinnattoq
63,Traum::N,sueño,sinnattugaq
64,Traum::N,ensueño,sinnattoq
65,Traum::N,ensueño,sinnattugaq
66,Himmel::N,cielo,qilak
67,Sonne::N,sol,seqineq
68,Mond::N,luna,qaammat
69,Stern::N,estrella,ulloriaq
70,Luft::N,aire,silaannaq
71,Wind::N,viento,anori
72,Wind::N,viento,anorsarik
73,Welle::N,ola,aalappaa
74,Welle::N,onda,aalappaa
75,Wasser::N,agua,imeq
76,Stein::N,piedra,ujarak
77,Boden::N,suelo,nateq
78,Erde::N,tierra,issoq
79,Staub::N,polvo,pujualanerit
80,Staub::N,polvo,pujoralanerit
81,Rauch::N,humo,iseq
82,Rauch::N,humo,pujoq
83,Funke::N,chispa,illoorneq
84,Feuer::N,fuego,inneq
85,Licht::N,luz,qaamaneq
86,Schatten::N,sombra,tarraq
87,Wetter::N,tiempo,sila
88,Nebel::N,niebla,pujoq
89,Wolke::N,nube,nuia
90,Regen::N,lluvia,sialuk
91,Schnee::N,nieve,aput
92,Eis::N,hielo,siku
93,Frost::N,helada,issi
94,Frost::N,helada,issik
95,Kälte::N,frío,issi
96,Hitze::N,calor,kianneq
97,Hitze::N,calor,kiassuseq
98,Raureif::N,escarcha,kaneq
99,Regenbogen::N,arco iris,neriusaaq
100,Donner::N,trueno,kalleq
101,Strömung::N,corriente,
102,Tropfen::N,gota,kuseriarneq
103,Schaum::N,espuma,qapuk
104,Schmutz::N,suciedad,minguk
105,See::N,lago,taseq
106,Sumpf::N,pantano,maqulluk
107,Moor::N,turbera,
108,Wiese::N,prado,masarsuk
109,Wiese::N,pradera,masarsuk
110,Wald::N,bosque,
111,Hügel::N,colina,qattuneq
112,Hügel::N,colina,majuariaq
113,Hügel::N,colina,majorajaaq
114,Hügel::N,colina,qaqqannguaq
115,Anhöhe::N,cerro,
116,Berg::N,monte,qaqqaq
117,Berg::N,montaña,qaqqaq
118,Gipfel::N,cima,
119,Gipfel::N,cumbre,
120,Höhle::N,cueva,qaarusuk
121,Höhle::N,caverna,qaarusuk
122,Abhang::N,cuesta,ippik
123,Abhang::N,cuesta,sivinganeq
124,Abhang::N,cuesta,sivingajaaq
125,Abhang::N,cuesta,kussangajaaq
126,Abhang::N,declive,ippik
127,Abhang::N,declive,sivinganeq
128,Abhang::N,declive,sivingajaaq
129,Abhang::N,declive,kussangajaaq
130,Quelle::N,fuente,
131,Quelle::N,manantial,
132,Bach::N,arroyo,kuunnguaq
133,Fluss::N,río,kuuk
134,Ufer::N,orilla,sissap sinaa
135,Küste::N,costa,sineriak
136,Festland::N,tierra firme,
