,Concept_ID,hy,hy
0,Auge::N,աչք,աչք
1,Ohr::N,ականջ,ականջ
2,Nase::N,քիթ,քիթ
3,Mund::N,բերան,բերան
4,Zahn::N,ատամ,ատամ
5,Zunge::N,լեզու,լեզու
6,Lippe::N,շրթունք,շրթունք
7,Wange::N,այտ,այտ
8,Wange::N,այտ,թուշ
9,Wange::N,թուշ,այտ
10,Wange::N,թուշ,թուշ
11,Gesicht::N,դեմք,դեմք
12,Stirn::N,ճակատ,ճակատ
13,Haar::N,մազ,մազ
14,Schnurrbart::N,բեղ,բեղ
15,Bart::N,մորուք,մորուք
16,Kinn::N,կզակ,կզակ
17,Kiefer[Anatomie]::N,ծնոտ,ծնոտ
18,Kehle::N,կոկորդ,կոկորդ
19,Hals::N,վիզ,վիզ
20,Hals::N,վիզ,պարանոց
21,Hals::N,պարանոց,վիզ
22,Hals::N,պարանոց,պարանոց
23,Genick::N,ծոծրակ,ծոծրակ
24,Kopf::N,գլուխ,գլուխ
25,Rücken::N,մեջք,մեջք
26,Bauch::N,փոր,փոր
27,Bauch::N,փոր,որովայն
28,Bauch::N,որովայն,փոր
29,Bauch::N,որովայն,որովայն
30,Nabel::N,պորտ,պորտ
31,Busen::N,ծոց,ծոց
32,Brust::N,կուրծք,կուրծք
33,Schulter::N,ուս,ուս
34,Arm::N,թեւ,թեւ
35,Arm::N,թեւ,բազուկ
36,Arm::N,բազուկ,թեւ
37,Arm::N,բազուկ,բազուկ
38,Ellenbogen::N,արմունկ,արմունկ
39,Hand::N,ձեռք,ձեռք
40,Handfläche::N,ափ,ափ
41,Finger::N,մատ,մատ
42,Fingernagel::N,եղունգ,եղունգ
43,Nagel[Anatomie]::N,եղունգ,եղունգ
44,Zeh::N,ոտքի մատ,ոտքի մատ
45,Fuß::N,ոտք,ոտք
46,Ferse::N,գարշապար,գարշապար
47,Knie::N,ծունկ,ծունկ
48,Oberschenkel::N,ազդր,ազդր
49,Bein::N,ոտք,ոտք
50,Körper::N,մարմին,մարմին
51,Haut::N,մաշկ,մաշկ
52,Blut::N,արյուն,արյուն
53,Ader::N,երակ,երակ
54,Sehne::N,ջիղ,ջիղ
55,Sehne::N,ջիղ,ձգտան
56,Sehne::N,ձգտան,ջիղ
57,Sehne::N,ձգտան,ձգտան
58,Knochen::N,ոսկոր,ոսկոր
59,Gehirn::N,խելք,խելք
60,Herz::N,սիրտ,սիրտ
61,Magen::N,ստամոքս,ստամոքս
62,Leber::N,լյարդ,լյարդ
63,Atem::N,շունչ,շունչ
