,Concept_ID,kl,et
0,Auge::N,isi,silm
1,Ohr::N,siut,kõrv
2,Mund::N,paaq,suu
3,Mund::N,qaneq,suu
4,Zahn::N,kigut,hammas
5,Zunge::N,oqaq,keel
6,Lippe::N,qarloq,huul
7,Wange::N,ersaq,põsk
8,Gesicht::N,kiinaq,nägu
9,Stirn::N,qaaq,otsmik
10,Haar::N,meqqoq,juus
11,Bart::N,umik,habe
12,Kinn::N,talloq,lõug
13,Kiefer[Anatomie]::N,alleroq,lõualuu
14,Kehle::N,malaq,kõri
15,Hals::N,qungaseq,kael
16,Genick::N,pukusuk,kukal
17,Kopf::N,niaqoq,pea
18,Rücken::N,qimerlut,selg
19,Bauch::N,naaq,kõht
20,Nabel::N,qalaseq,naba
21,Busen::N,iviangeq,rind
22,Brust::N,iviangeq,rind
23,Schulter::N,ersik,õlg
24,Schulter::N,assaqqoq,õlg
25,Arm::N,taleq,käsivars
26,Ellenbogen::N,ikusik,küünarnukk
27,Hand::N,assak,käsi
28,Handfläche::N,itumak,pihk
29,Finger::N,inuak,sõrm
30,Fingernagel::N,kikiak,küüs
31,Nagel[Anatomie]::N,kukik,küüs
32,Zeh::N,isigak,varvas
33,Ferse::N,kimmik,kand
34,Knie::N,seeqqoq,põlv
35,Oberschenkel::N,uppat,reis
36,Oberschenkel::N,quttoraq,reis
37,Bein::N,isigak,jalg
38,Körper::N,timi,ihu
39,Körper::N,timi,keha
40,Haut::N,mattak,nahk
41,Blut::N,aak,veri
42,Ader::N,taqaq,veen
43,Sehne::N,ujalu,kõõlus
44,Sehne::N,ujaloq,kõõlus
45,Knochen::N,saanikut,luu
46,Gehirn::N,qarasaq,aju
47,Herz::N,uummat,süda
48,Magen::N,aqajaroq,magu
49,Leber::N,tinguk,maks
50,Atem::N,anerneq,hingeõhk
51,Atem::N,anerneq,hingamine
52,Hunger::N,kaanneq,nälg
53,Träne::N,qia,pisar
54,Träne::N,qiak,pisar
55,Geschmack::N,qilanaartuut,maitse
56,Geruch::N,tipi,lõhn
57,Geruch::N,tipik,lõhn
58,Traum::N,sinnattoq,unenägu
59,Traum::N,sinnattugaq,unenägu
60,Himmel::N,qilak,taevas
61,Sonne::N,seqineq,päike
62,Mond::N,qaammat,kuu
63,Stern::N,ulloriaq,täht
64,Luft::N,silaannaq,õhk
65,Wind::N,anori,tuul
66,Wind::N,anorsarik,tuul
67,Welle::N,aalappaa,laine
68,Wasser::N,imeq,vesi
69,Stein::N,ujarak,kivi
70,Boden::N,nateq,maa
71,Boden::N,nateq,pinnas
72,Erde::N,issoq,maa
73,Staub::N,pujualanerit,põrm
74,Staub::N,pujoralanerit,põrm
75,Rauch::N,iseq,suits
76,Rauch::N,pujoq,suits
77,Funke::N,illoorneq,säde
78,Feuer::N,inneq,tuli
79,Licht::N,qaamaneq,valgus
80,Schatten::N,tarraq,vari
81,Wetter::N,sila,ilm
82,Nebel::N,pujoq,udu
83,Wolke::N,nuia,pilv
84,Regen::N,sialuk,sadu
85,Schnee::N,aput,lumi
86,Eis::N,siku,jää
87,Frost::N,issi,pakane
88,Frost::N,issik,pakane
89,Kälte::N,issi,külm
90,Kälte::N,issi,külmus
91,Hitze::N,kianneq,kuumus
92,Hitze::N,kianneq,palavus
93,Hitze::N,kiassuseq,kuumus
94,Hitze::N,kiassuseq,palavus
95,Raureif::N,kaneq,härmatis
96,Regenbogen::N,neriusaaq,vikerkaar
97,Donner::N,kalleq,kõu
98,Donner::N,kalleq,müristamine
99,Tropfen::N,kuseriarneq,tilk
100,Schaum::N,qapuk,vaht
101,Schmutz::N,minguk,pori
102,Schmutz::N,minguk,mustus
103,See::N,taseq,järv
104,Sumpf::N,maqulluk,soo
105,Wiese::N,masarsuk,aas
106,Wiese::N,masarsuk,nurm
107,Hügel::N,qattuneq,küngas
108,Hügel::N,majuariaq,küngas
109,Hügel::N,majorajaaq,küngas
110,Hügel::N,qaqqannguaq,küngas
111,Berg::N,qaqqaq,mägi
112,Höhle::N,qaarusuk,koobas
113,Abhang::N,ippik,nõlvak
114,Abhang::N,sivinganeq,nõlvak
115,Abhang::N,sivingajaaq,nõlvak
116,Abhang::N,kussangajaaq,nõlvak
117,Bach::N,kuunnguaq,oja
118,Fluss::N,kuuk,jõgi
119,Ufer::N,sissap sinaa,kallas
120,Küste::N,sineriak,rannik
121,Meer::N,imaq,meri
122,Bucht::N,ikeq,laht
123,Bucht::N,kangerluk,laht
124,Bucht::N,kangerliumaneq,laht
125,Insel::N,qeqertaq,saar
126,Blume::N,naasoq,lill
127,Gras::N,ivigaq,rohi
128,Wurzel::N,niulutaq,juur
129,Baum::N,orpik,puu
130,Stamm::N,kanaartaq,tüvi
131,Rinde::N,ameraq,koor
132,Ast::N,avalequt,oks
133,Zweig::N,avalequt,oks
134,Blatt::N,pilutaq,leht
135,Birke::N,patitsit,kask
136,Weide[Baum]::N,palleq,paju
137,Tanne::N,orsuerneq,nulg
138,Horn::N,nassuk,sarv
139,Feder::N,suluk,sulg
140,Fell::N,ameq,karvkate
141,Fell::N,ameq,karusnahk
142,Flügel::N,suluk,tiib
143,Flügel::N,suluk,tiivik
144,Flügel::N,isaroq,tiib
145,Flügel::N,isaroq,tiivik
146,Klaue::N,kukik,küüs
147,Kralle::N,kukik,küünis
148,Schwanz::N,pamioq,saba
