,Concept_ID,udm,fa
0,Auge::N,син,چشم
1,Ohr::N,пель,گوش
2,Nase::N,ныр,بینی
3,Mund::N,ым,دهان
4,Zahn::N,пинь,دندان
5,Zunge::N,кыл,زبان
6,Lippe::N,ымдур,لب
7,Wange::N,бам,لپ
8,Gesicht::N,ымныр,رو
9,Gesicht::N,ымныр,چهره
10,Stirn::N,кымес,پیشانی
11,Haar::N,йырси,مو
12,Schnurrbart::N,мыйык,سبیل
13,Bart::N,туш,ریش
14,Kinn::N,ангес,چانه
15,Kiefer[Anatomie]::N,ан,فک
16,Kiefer[Anatomie]::N,ан,آرواره
17,Kiefer[Anatomie]::N,анлы,فک
18,Kiefer[Anatomie]::N,анлы,آرواره
19,Kehle::N,гульым,حلق
20,Hals::N,чырты,گردن
21,Genick::N,йырбер,پشت گردن
22,Kopf::N,йыр,سر
23,Kopf::N,йыр,کله
24,Rücken::N,мыш,پشت
25,Bauch::N,кӧт,شکم
26,Nabel::N,гогы,ناف
27,Busen::N,ноны,پستان
28,Brust::N,мӧля,سینه
29,Schulter::N,пельпум,دوش
30,Schulter::N,пельпум,شانه
31,Arm::N,суй,بازو
32,Ellenbogen::N,гырпум,آرنج
33,Hand::N,ки,دست
34,Handfläche::N,ки пыдэс,کف دست
35,Handfläche::N,кырым пыдэс,کف دست
36,Finger::N,чиньы,انگشت
37,Fingernagel::N,гижы,ناخن دست
38,Fingernagel::N,гиждӥнь,ناخن دست
39,Nagel[Anatomie]::N,гижы,ناخن
40,Zeh::N,пыдчиньы,انگشت پا
41,Fuß::N,пыд,پا
42,Ferse::N,пыдбер,پاشنه
43,Knie::N,пыдес,زانو
44,Oberschenkel::N,макес,ران
45,Bein::N,пыд,پا
46,Bein::N,пыд,لنگ
47,Körper::N,мугор,تن
48,Körper::N,мугор,بدن
49,Körper::N,вылтыр,تن
50,Körper::N,вылтыр,بدن
51,Haut::N,ку,پوست
52,Blut::N,вир,خون
53,Ader::N,вирсэр,رگ
54,Sehne::N,вуж,زردپی
55,Knochen::N,лы,استخوان
56,Gehirn::N,вим,مخ
57,Gehirn::N,вим,مغز
58,Herz::N,сюлэм,دل
59,Herz::N,сюлэм,قلب
60,Magen::N,ӝуш,معده
61,Leber::N,мус,کبد
62,Atem::N,лул,نفس
63,Atem::N,шокан,نفس
64,Hunger::N,кӧтсюман,گرسنگی
65,Träne::N,синкыли,اشک
66,Geschmack::N,шӧм,مزه
67,Geruch::N,зын,بو
68,Schlaf::N,вӧт,خواب
69,Traum::N,уйвӧт,رؤیا
70,Himmel::N,ин,فلک
71,Himmel::N,ин,آسمان
72,Sonne::N,шунды,آفتاب
73,Sonne::N,шунды,خورشید
74,Mond::N,толэзь,ماه
75,Stern::N,кизили,ستاره
76,Luft::N,омыр,هوا
77,Wind::N,тӧл,باد
78,Welle::N,тулкым,موج
79,Wasser::N,ву,آب
80,Stein::N,из,سنگ
81,Boden::N,музъем,زمین
82,Erde::N,му,خاک
83,Erde::N,му,زمین
84,Staub::N,пыль,گرد
85,Staub::N,пыль,غبار
86,Rauch::N,ӵын,دود
87,Funke::N,гизьы,جرقه
88,Feuer::N,тыл,آتش
89,Licht::N,тыл,نور
90,Licht::N,тыл,روشنی
91,Schatten::N,вужер,سایه
92,Wetter::N,куазь,هوا
93,Nebel::N,бус,مه
94,Wolke::N,пилем,ابر
95,Regen::N,зор,باران
96,Schnee::N,лымы,برف
97,Eis::N,йӧ,یخ
98,Frost::N,кезьыт,یخبندان
99,Kälte::N,кезьыт,سرما
100,Hitze::N,пӧсь,گرما
101,Hitze::N,пӧсь,حرارت
