,Concept_ID,hu,ps
0,Auge::N,szem,سترګه
1,Ohr::N,fül,غوږ
2,Nase::N,orr,پوزه
3,Mund::N,száj,خوله
4,Zahn::N,fog,غاښ
5,Zunge::N,nyelv,جبه
6,Lippe::N,ajak,شونډه
7,Wange::N,orca,باړخو
8,Gesicht::N,arc,مخ
9,Stirn::N,homlok,تندی
10,Stirn::N,homlok,وچولی
11,Haar::N,haj,وېښته
12,Schnurrbart::N,bajusz,برېت
13,Bart::N,szakáll,ږیره
14,Kinn::N,áll,زنه
15,Kiefer[Anatomie]::N,állkapocs,جامه
16,Kehle::N,gége,غاړه
17,Kehle::N,torok,غاړه
18,Hals::N,nyak,غاړه
19,Genick::N,tarkó,ورمېږ
20,Kopf::N,fő,سر
21,Kopf::N,fej,سر
22,Rücken::N,hát,شا
23,Bauch::N,has,نس
24,Bauch::N,has,ګېډه
25,Nabel::N,köldök,نوم
26,Busen::N,mell,تی
27,Busen::N,kebel,تی
28,Brust::N,mell,سینه
29,Schulter::N,váll,اوږه
30,Arm::N,kar,لاس
31,Ellenbogen::N,könyök,څنګل
32,Hand::N,kéz,لاس
33,Handfläche::N,tenyér,ورغوی
34,Finger::N,ujj,ګوته
35,Fingernagel::N,köröm,نوک
36,Nagel[Anatomie]::N,köröm,نوک
37,Zeh::N,lábujj,ګوته
38,Fuß::N,láb,پښه
39,Ferse::N,sarok,پونده
40,Knie::N,térd,زنګون
41,Oberschenkel::N,comb,پتون
42,Bein::N,láb,پښه
43,Bein::N,lábszár,پښه
44,Körper::N,test,ځان
45,Haut::N,bőr,پوټکی
46,Blut::N,vér,وینه
47,Ader::N,ér,رګ
48,Sehne::N,ín,پله
49,Knochen::N,csont,هډوکی
50,Gehirn::N,agy,ماغزه
51,Gehirn::N,agyvelő,ماغزه
52,Herz::N,szív,زړه
53,Magen::N,gyomor,معده
54,Leber::N,máj,ينه
55,Leber::N,máj,ځیګر
56,Atem::N,lehelet,نفس
57,Atem::N,lélegzet,نفس
58,Hunger::N,éhség,ولږه
59,Träne::N,könny,اوښکه
60,Geschmack::N,íz,مزه
