,Concept_ID,he,lt
0,Auge::N,עין,akis
1,Ohr::N,אזן,ausis
2,Nase::N,אף,nosis
3,Nase::N,חטם,nosis
4,Mund::N,פה,burna
5,Zahn::N,שן,dantis
6,Zunge::N,לשון,liežuvis
7,Lippe::N,שפה,lūpa
8,Wange::N,לחי,žandas
9,Wange::N,לחי,skruostas
10,Gesicht::N,פנים,veidas
11,Stirn::N,מצח,kakta
12,Haar::N,שערה,plaukai
13,Schnurrbart::N,שפם,ūsai
14,Bart::N,זקן,barzda
15,Kinn::N,סנטר,smakras
16,Kiefer[Anatomie]::N,לסת,žandikaulis
17,Kehle::N,גרון,gerklė
18,Hals::N,צואר,kaklas
19,Genick::N,ערף,sprandas
20,Kopf::N,ראש,galva
21,Rücken::N,גב,nugara
22,Bauch::N,בטן,pilvas
23,Nabel::N,טבור,bamba
24,Busen::N,שד,krūtinė
25,Brust::N,חזה,krūtis
26,Schulter::N,כתף,petys
27,Arm::N,זרוע,ranka
28,Ellenbogen::N,מרפק,alkūnė
29,Hand::N,יד,ranka
30,Hand::N,יד,plaštaka
31,Handfläche::N,כף יד,delnas
32,Handfläche::N,כף יד,plaštaka
33,Finger::N,אצבע,pirštas
34,Fingernagel::N,צפרן,nagas
35,Nagel[Anatomie]::N,צפרן,nagas
36,Zeh::N,אצבע,pirštas
37,Fuß::N,רגל,pėda
38,Ferse::N,עקב,kulnas
39,Knie::N,ברך,kelis
40,Oberschenkel::N,ירך,kulšis
41,Oberschenkel::N,ירך,šlaunis
42,Bein::N,רגל,koja
43,Körper::N,גוף,kūnas
44,Haut::N,עור,oda
45,Blut::N,דם,kraujas
46,Ader::N,וריד,kraujagyslė
47,Sehne::N,גיד,sausgyslė
48,Knochen::N,עצם,kaulas
49,Gehirn::N,מוח,smegenys
50,Herz::N,לב,širdis
51,Magen::N,קבה,skrandis
52,Leber::N,כבד,kepenys
53,Atem::N,נשימה,kvapas
54,Hunger::N,רעב,badas
55,Hunger::N,רעב,alkis
56,Träne::N,דמעה,ašara
57,Geschmack::N,טעם,skonis
58,Geruch::N,ריח,kvapas
59,Schlaf::N,שנה,miegas
60,Traum::N,חלום,sapnas
61,Himmel::N,שמים,dangus
62,Sonne::N,שמש,saulė
63,Mond::N,ירח,mėnulis
64,Stern::N,כוכב,žvaigždė
65,Luft::N,אויר,oras
66,Wind::N,רוח,vėjas
67,Welle::N,גל,banga
68,Welle::N,גל,vilnis
69,Wasser::N,מים,vanduo
