,Concept_ID,se,os
0,Auge::N,tjelmie,цӕст
1,Auge::N,tjalmme,цӕст
2,Auge::N,čalbmi,цӕст
3,Auge::N,čalme,цӕст
4,Auge::N,čâ´lmm,цӕст
5,Auge::N,ча̄лльм,цӕст
6,Ohr::N,bieljie,хъус
7,Ohr::N,biellje,хъус
8,Ohr::N,beallji,хъус
9,Ohr::N,pelji,хъус
10,Ohr::N,pe´llj,хъус
11,Ohr::N,пе̄лльй,хъус
12,Nase::N,njuenie,фындз
13,Nase::N,njunnje,фындз
14,Nase::N,njunni,фындз
15,Nase::N,njuṇe,фындз
16,Nase::N,njuu´nn,фындз
17,Nase::N,нюннҍ,фындз
18,Mund::N,njaelmie,дзых
19,Mund::N,njálmme,дзых
20,Mund::N,njálbmi,дзых
21,Mund::N,njälmi,дзых
22,Mund::N,njä´lmm,дзых
23,Mund::N,ня̄лльм,дзых
24,Zahn::N,baenie,дӕндаг
25,Zahn::N,bádne,дӕндаг
26,Zahn::N,bátni,дӕндаг
27,Zahn::N,pääṇi,дӕндаг
28,Zahn::N,pää´nn,дӕндаг
29,Zahn::N,па̄ннҍ,дӕндаг
30,Zunge::N,njoektjeme,ӕвзаг
31,Zunge::N,njuovtjav,ӕвзаг
32,Zunge::N,njuovčča,ӕвзаг
33,Zunge::N,njuovčâ,ӕвзаг
34,Zunge::N,njuhččâm,ӕвзаг
35,Zunge::N,нюхчем,ӕвзаг
36,Lippe::N,bangseme,был
37,Lippe::N,njálmmerabdda,был
38,Lippe::N,bavssa,был
39,Lippe::N,poovsâ,был
40,Lippe::N,põõus,был
41,Lippe::N,пэ̄кс,был
42,Wange::N,skiehrie,рус
43,Wange::N,skiehrie,уадул
44,Wange::N,skiehrie,ӕхсӕрфарс
45,Wange::N,nierra,рус
46,Wange::N,nierra,уадул
47,Wange::N,nierra,ӕхсӕрфарс
48,Wange::N,muohtu,рус
49,Wange::N,muohtu,уадул
50,Wange::N,muohtu,ӕхсӕрфарс
51,Wange::N,nieṛâ,рус
52,Wange::N,nieṛâ,уадул
53,Wange::N,nieṛâ,ӕхсӕрфарс
54,Wange::N,njiõrr,рус
55,Wange::N,njiõrr,уадул
56,Wange::N,njiõrr,ӕхсӕрфарс
57,Wange::N,нӣрр,рус
58,Wange::N,нӣрр,уадул
59,Wange::N,нӣрр,ӕхсӕрфарс
60,Gesicht::N,ååredæjja,цӕсгом
61,Gesicht::N,muohto,цӕсгом
62,Gesicht::N,muođut,цӕсгом
63,Gesicht::N,ámadadju,цӕсгом
64,Gesicht::N,muáđuh,цӕсгом
65,Gesicht::N,muâđ,цӕсгом
66,Gesicht::N,ка̄ссв,цӕсгом
67,Stirn::N,gaalloe,ных
68,Stirn::N,gállo,ных
69,Stirn::N,gállu,ных
70,Stirn::N,kállu,ных
71,Stirn::N,käll,ных
72,Stirn::N,вуэххьц,ных
73,Haar::N,voepte,хил
74,Haar::N,vuoppta,хил
75,Haar::N,vuokta,хил
76,Haar::N,vuop'tâ,хил
77,Haar::N,vuõpt,хил
78,Haar::N,вӯппт,хил
79,Schnurrbart::N,bijjie-skaavtjoe,рихи
80,Schnurrbart::N,njunjevuolskávttjá,рихи
81,Schnurrbart::N,seamu,рихи
82,Schnurrbart::N,siämu,рихи
83,Schnurrbart::N,ää´bben,рихи
