,Concept_ID,no,ml
100,Moor::N,myr,പാഴ്നിലം
101,Moor::N,myrhei,പാഴ്നിലം
102,Wiese::N,eng,പുൽത്തകിടി
103,Wald::N,skog,വനം
104,Wald::N,skog,കാട്
105,Hügel::N,haug,കുന്ന്
106,Hügel::N,bakke,കുന്ന്
107,Anhöhe::N,haug,ഉയർന്ന ഭൂമി
108,Anhöhe::N,bakke,ഉയർന്ന ഭൂമി
109,Berg::N,berg,പർവ്വതം
110,Berg::N,fjell,പർവ്വതം
111,Gipfel::N,topp,ഉച്ചകോടി
112,Höhle::N,hule,ഗുഹ
113,Abhang::N,li,ചരിവ്
114,Abhang::N,skråning,ചരിവ്
115,Quelle::N,kilde,ഉറവിടം
116,Bach::N,bekk,അരുവി
117,Fluss::N,elv,നദി
118,Ufer::N,bredd,തീരം
119,Küste::N,kyst,കടൽത്തീരം
120,Festland::N,fastland,കര
121,Meer::N,hav,കടൽ
122,Bucht::N,bukt,ഉൾക്കടല്
123,Insel::N,øy,ദ്വീപ്
124,Blume::N,blomst,പൂവ്
125,Gras::N,gress,പുല്ല്
126,Wurzel::N,rot,വേര്
127,Baum::N,tre,മരം
128,Stamm::N,stamme,തായ്ത്തടി
129,Rinde::N,bark,പട്ട
130,Ast::N,gren,ശാഖ
131,Zweig::N,kvist,ശാഖ
132,Blatt::N,blad,ഇല
133,Birke::N,bjørk,പൂവരശ്
134,Kiefer[Baum]::N,furu,പൈൻമരം
135,Weide[Baum]::N,selje,വില്ലോ
136,Weide[Baum]::N,piletre,വില്ലോ
137,Tanne::N,gran,ദേവദാരു
138,Horn::N,horn,മൃഗത്തിൻറെ കൊമ്പ്
139,Feder::N,fjær,തൂവൽ
140,Fell::N,skinn,മൃദുരോമം
141,Flügel::N,vinge,ചിറക്
142,Klaue::N,klauv,നഖം
143,Kralle::N,klo,നഖം
144,Schwanz::N,hale,വാൽ
145,Ei::N,egg,മുട്ട
146,Nest::N,rede,കൂട്
147,Bau::N,hi,മാളം
148,Tier::N,dyr,മൃഗം
149,Herde::N,flokk,കൂട്ടം
150,Kuh::N,ku,പശു
151,Bulle::N,tyr,കാള
152,Pferd::N,hest,കുതിര
153,Schaf::N,får,ആട്
154,Schwein::N,gris,പന്നി
155,Hund::N,hund,നായ്
156,Katze::N,katt,പൂച്ച
157,Bär::N,bjørn,കരടി
158,Eichhörnchen::N,ekorn,അണ്ണാൻ
159,Elch::N,elg,കടമാന്
160,Fuchs::N,rev,കുറുക്കൻ
161,Hase::N,hare,മുയൽ
162,Maus::N,mus,ചുണ്ടലി
163,Wolf::N,ulv,ചെന്നായ
164,Wolf::N,varg,ചെന്നായ
165,Vogel::N,fugl,പക്ഷി
166,Schwarm::N,sverm,കൂട്ടം
167,Huhn::N,høne,കോഴി
168,Hahn::N,hane,പൂവൻകോഴി
169,Gans::N,gås,അരയന്നം
170,Adler::N,ørn,കഴുകൻ
171,Ente::N,and,താറാവ്
172,Eule::N,ugle,മൂങ്ങ
173,Kranich::N,trane,കൊക്ക്
174,Krähe::N,kråke,കാക്ക
175,Kuckuck::N,gjøk,കുയിൽ
176,Schwan::N,svane,അരയന്നം
177,Fisch::N,fisk,മത്സ്യം
178,Barsch::N,abbor,ഒരിനം മത്സ്യം
179,Hecht::N,gjedde,ഒരു മത്സ്യം
180,Schlange[Tier]::N,orm,പാമ്പ്
181,Schlange[Tier]::N,slange,പാമ്പ്
182,Wurm::N,orm,വിര
183,Wurm::N,mark,വിര
184,Spinne::N,edderkopp,ചിലന്തി
185,Ameise::N,maur,ഉറുമ്പ്
186,Laus::N,lus,പേന്
187,Mücke::N,mygg,മശകം
188,Fliege::N,flue,ഈച്ച
189,Schmetterling::N,sommerfugl,ചിത്രശലഭം
190,Beere::N,bær,ബെറി
191,Apfel::N,eple,ആപ്പിൾ
192,Pilz::N,sopp,കൂൺ
193,Zwiebel::N,løk,സവാള
194,Saat::N,sæd,വിത്ത്
195,Korn::N,korn,ധാന്യം
196,Heu::N,høy,വയ്ക്കോൽ
197,Schale::N,skall,തൊലി
198,Grube::N,grop,കുഴി
199,Falle::N,felle,കെണി
200,Schlinge::N,snare,കുടുക്ക്
201,Spur::N,spor,ചുവട്
202,Asche::N,aske,ചാരം
203,Dreck::N,møkk,അഴുക്ക്
204,Dreck::N,skitt,അഴുക്ക്
205,Eisen::N,jern,ഇരുമ്പ്
206,Gold::N,gull,സ്വർണ്ണം
207,Silber::N,sølv,വെള്ളി
208,Kohle::N,kol,കൽക്കരി
209,Kohle::N,kull,കൽക്കരി
210,Glas::N,glass,ഗ്ലാസ്
211,Lehm::N,leire,കളിമണ്ണ്
212,Sand::N,sand,മണൽ
213,Mensch::N,menneske,മനുഷ്യർ
214,Mann::N,mann,പുരുഷൻ
215,Frau::N,kvinne,സ്ത്രീ
216,Kind::N,barn,കുഞ്ഞ്
217,Junge::N,gutt,ആൺകുട്ടി
218,Mädchen::N,pike,പെൺകുട്ടി
219,Mädchen::N,jente,പെൺകുട്ടി
220,Familie::N,familie,കുടുംബം
221,Großvater::N,bestefar,അപ്പൂപ്പൻ
222,Großmutter::N,bestemor,അമ്മുമ്മ
223,Eltern::N,foreldre,മാതാപിതാക്കള്
224,Vater::N,far,അച്ഛൻ
225,Mutter::N,mor,അമ്മ
226,Sohn::N,sønn,മകൻ
227,Tochter::N,datter,മകൾ
228,Bruder::N,bror,ചേട്ടൻ
229,Bruder::N,bror,അനിയൻ
230,Schwester::N,søster,ചേച്ചി
231,Schwester::N,søster,അനിയത്തി
232,Onkel::N,onkel,അമ്മാവൻ
233,Tante::N,tante,മാമി
234,Ehemann::N,ektemann,ഭർത്താവ്
235,Ehefrau::N,hustru,ഭാര്യ
236,Freude::N,glede,ആഹ്ലാദം
237,Gelächter::N,latter,ചിരിയുടെ ശബ്ദം
238,Glück::N,lykke,സന്തോഷം
239,Glück::N,lykke,സന്തുഷ്ടി
240,Kummer::N,sorg,ശോകം
241,Wunsch::N,ønske,ആഗ്രഹം
242,Lust::N,lyst,ആഗ്രഹം
243,Geist::N,ånd,ചുറുചുറുക്ക്
244,Gedanke::N,tanke,ചിന്ത
245,Gedächtnis::N,minne,ഓർമ്മശക്തി
246,Gedächtnis::N,hukommelse,ഓർമ്മശക്തി
247,Verstand::N,forstand,മനസ്സ്
248,Sinn::N,mening,അർത്ഥം
249,Sinn::N,betydning,അർത്ഥം
250,Grund::N,grunn,കാരണം
251,Wahrheit::N,sannhet,സത്യം
252,Gespräch::N,samtale,സല്ലാപം
253,Märchen::N,eventyr,യക്ഷിക്കഥ
254,Erzählung::N,fortelling,കഥ
255,Nachricht::N,melding,സന്ദേശം
256,Neuigkeit::N,nyhet,വാർത്ത
257,Name::N,navn,പേര്
258,Rätsel::N,gåte,പ്രഹേളിക
259,Rede::N,tale,സംസാരം
260,Sprache::N,språk,ഭാഷ
261,Stimme::N,stemme,സ്വരം
262,Wort::N,ord,വാക്ക്
263,Zeichen::N,tegn,സംജ്ഞ
264,Ruf::N,rop,വിളി
265,Lärm::N,bråk,ആരവം
266,Laut::N,lyd,ശബ്ദം
267,Ton::N,tone,സ്വരഭേദം
268,Lied::N,vise,പാട്ട്
269,Ruhe::N,ro,നിശ്ചലത
270,Leute::N,folk,ജനങ്ങൾ
271,Volk::N,folk,രാഷ്ടം
272,Arbeit::N,arbeid,ജോലി
273,Gast::N,gjest,അതിലി
274,Geschenk::N,gave,സമ്മാനം
275,Spiel::N,lek,കളി
276,Spiel::N,spill,കളി
277,Gesellschaft::N,selskap,കൂട്ടായ്മ
278,Hilfe::N,hjelp,സഹായം
279,Freund::N,venn,സുഹൃത്ത്
280,Kamerad::N,kamerat,കൂട്ടാളി
281,Angelegenheit::N,sak,കാര്യം
282,Angelegenheit::N,anliggende,കാര്യം
283,Anzahl::N,antall,എണ്ണം
284,Art::N,art,തരം
285,Art::N,slag,തരം
286,Stück::N,stykke,കഷണം
287,Teil::N,del,ഭാഗം
288,Hälfte::N,halvdel,പകുതി
289,Kreis::N,ring,വൃത്തം
290,Kreis::N,sirkel,വൃത്തം
291,Kreuz::N,kors,കുരിശടയാളം
292,Kreuz::N,kryss,കുരിശടയാളം
293,Linie::N,linje,വര
294,Linie::N,linje,രേഖ
295,Strich::N,strek,പക്ഷാഘാതം
296,Abstand::N,avstand,വിടവ്
297,Entfernung::N,avstand,അകലം
298,Gegend::N,strøk,പ്രദേശം
299,Platz::N,plass,ഇടം
300,Ort::N,sted,സ്ഥലം
301,Seite::N,side,വശം
302,Mitte::N,midte,മധ്യസ്ഥാനം
303,Gegenstand::N,gjenstand,സാധനം
304,Sache::N,sak,വസ്തു
305,Rand::N,rand,തൊങ്ങൽ
306,Kante::N,kant,അറ്റം
307,Ecke::N,hjørne,മൂല
308,Spitze::N,spiss,അഗ്രം
309,Ende::N,ende,അവസാനം
310,Loch::N,hull,ദ്വാരം
311,Winkel::N,vinkel,കോൺ
312,Muster::N,mønster,ക്രമം
313,Größe::N,størrelse,വലുപ്പം
314,Länge::N,lengde,നീളം
315,Höhe::N,høyde,ഉയരം
316,Gewicht::N,vekt,കട്ടി
317,Menge::N,mengde,അളവ്
318,Haufen::N,haug,കൂമ്പാരം
319,Haufen::N,bunke,കൂമ്പാരം
320,Reihe::N,rekke,വരി
321,Boot::N,båt,ബോട്ട്
322,Ruder::N,åre,പങ്കായം
323,Schlitten::N,slede,ഉരുളില്ലാവണ്ടി
324,Schlitten::N,kjelke,ഉരുളില്ലാവണ്ടി
325,Ski::N,ski,ഹിമപാദുകം
326,Lagerfeuer::N,leirbål,തീ
327,Last::N,bør,ഭാരം
328,Last::N,last,ഭാരം
329,Gang::N,gang,നടത്തം
330,Schritt::N,steg,ചുവട്
331,Schritt::N,skritt,ചുവട്
332,Norden::N,nord,വടക്ക്
333,Süden::N,sør,തെക്ക്
334,Westen::N,vest,പടിഞ്ഞാറ്
335,Osten::N,øst,കിഴക്ക്
336,Holz::N,tre,തടി
337,Brett::N,fjøl,ബോർഡ്
338,Brett::N,brett,ബോർഡ്
339,Platte::N,plate,തകിട്
340,Stütze::N,støtte,താങ്ങ്
341,Stange::N,stang,കമ്പ്
342,Stock::N,pinne,വടി
343,Stab::N,stav,കുറുവടി
344,Stab::N,kjepp,കുറുവടി
345,Rohr::N,rør,കുഴൽ
346,Haus::N,hus,വീട്
347,Heim::N,hjem,വീട്
348,Ofen::N,ovn,സ്റ്റൌ
349,Fußboden::N,gulv,തറ
350,Tisch::N,bord,മേശ
351,Stuhl::N,stol,കസേര
352,Wiege::N,vogge,തൊട്ടിൽ
353,Bett::N,seng,കിടക്ക
354,Regal::N,reol,ഷെൽഫ്
355,Regal::N,hylle,ഷെൽഫ്
356,Kiste::N,kasse,പെട്ടി
357,Fenster::N,vindu,ജനൽ
358,Tür::N,dør,വാതിൽ
359,Tor::N,port,കവാടം
360,Zaun::N,gjerde,വേലി
361,Dach::N,tak,മേൽക്കുര
362,Leiter::N,stige,ഏണി
363,Besen::N,kost,ചൂല്
364,Spaten::N,spade,തൂമ്പ
365,Schaufel::N,skuffe,തൂമ്പ
366,Gabel::N,gaffel,മുൾക്കത്തി
367,Löffel::N,skje,സ്പൂൺ
368,Messer::N,kniv,കത്തി
369,Nagel::N,spiker,ആണി
370,Netz::N,nett,വല
371,Haken::N,krok,കൊളുത്ത്
372,Griff::N,tak,കൈപ്പിടി
373,Griff::N,håndtak,കൈപ്പിടി
374,Schloss::N,lås,പൂട്ട്
375,Bild::N,bilde,ചിത്രം
376,Figur::N,figur,കണക്ക്
377,Puppe::N,dukke,പാവ
378,Beutel::N,pose,ബാഗ്
379,Bündel::N,bylt,കെട്ട്
380,Tasche::N,veske,ബാഗ്
381,Eimer::N,bøtte,ബക്കറ്റ്
382,Deckel::N,lokk,ഉറ
383,Geschirr::N,kjøkkentøy,പിഞ്ഞാണം
384,Sack::N,sekk,ചാക്ക്
385,Tasse::N,kopp,കപ്പ്
386,Topf::N,gryte,പാത്രം
387,Kessel::N,kjele,കെറ്റ്ല്
388,Essen::N,mål,ആഹാരസമയം
389,Nahrung::N,mat,ഭക്ഷണം
390,Nahrung::N,næring,ഭക്ഷണം
391,Speise::N,matrett,ഡിഷ്
392,Fleisch::N,kjøtt,മാംസം
393,Getreide::N,korn,ചോളം
394,Brei::N,grøt,കഞ്ഞി
395,Brot::N,brød,റോട്ടി
396,Scheibe::N,skive,തുണ്ട്
397,Fett::N,fett,കൊഴുപ്പ്
398,Butter::N,smør,വെണ്ണ
399,Öl::N,olje,എണ്ണ
400,Salz::N,salt,ഉപ്പ്
401,Suppe::N,suppe,സൂപ്പ്
402,Honig::N,honning,തേൻ
403,Milch::N,melk,പാൽ
404,Tee::N,te,ചായ
405,Leder::N,lær,തുകൽ
406,Leder::N,skinn,തുകൽ
407,Wolle::N,ull,കമ്പിളി
408,Stoff::N,tøy,തുണി
409,Stoff::N,stoff,തുണി
410,Nadel::N,nål,സൂചി
411,Faden::N,tråd,നൂല്
412,Knopf::N,knapp,ബട്ടൺ
413,Knoten::N,knute,കുരുക്ക്
414,Farbe::N,farge,പെയിൻറ്
415,Kleidung::N,påkledning,വസ്ത്രങ്ങൾ
416,Hemd::N,skjorte,ഷർട്ട്
417,Kragen::N,krage,കുപ്പായക്കഴുത്ത്
418,Ärmel::N,erme,കുപ്പായക്കൈ
419,Hose::N,bukse,ട്രൌസർ
420,Gürtel::N,belte,ബെൽറ്റ്
421,Mütze::N,lue,തൊപ്പി
422,Schuh::N,sko,ഷൂ
423,Stiefel::N,støvel,ബൂട്ട്
424,Ring::N,ring,മോതിരം
425,Band::N,band,റിബൺ
426,Kamm::N,kam,ചീപ്പ്
427,Spiegel::N,speil,കണ്ണാടി
428,Riemen::N,rem,സ്ട്രാപ്പ്
429,Schnur::N,snor,ചരട്
430,Leine::N,line,കെട്ടാനുള്ള തോൽവാർ
431,Decke::N,teppe,പുതപ്പ്
432,Kissen::N,pute,തലയിണ
433,Tuch::N,tøy,സ്കാർഫ്
434,Handtuch::N,håndkle,തോർത്ത്
435,Kraft::N,kraft,ശക്തി
436,Stärke::N,styrke,ശക്തി
437,Gesundheit::N,helse,ആരോഗ്യം
438,Gesundheit::N,sunnhet,ആരോഗ്യം
439,Krankheit::N,syke,അസുഖം
440,Krankheit::N,sykdom,അസുഖം
441,Schmerz::N,smerte,വേദന
442,Wunde::N,sår,മുറിവ്
443,Fieber::N,feber,പനി
444,Arznei::N,medisin,മരുന്ന്
445,Arznei::N,legemiddel,മരുന്ന്
446,Brücke::N,bro,പാലം
447,Brunnen::N,brønn,കിണർ
448,Weide::N,beite,മേച്ചൽ
449,Pfad::N,sti,വഴി
450,Weg::N,vei,വഴി
451,Straße::N,gate,റോഡ്
452,Dorf::N,landsby,ഗ്രാമം
453,Stadt::N,by,നഗരം
454,Brief::N,brev,കത്ത്
455,Buch::N,bok,പുസ്തകം
456,Buchstabe::N,bokstav,അക്ഷരം
457,Zeitung::N,avis,വർത്തമാനപത്രം
458,Leben::N,liv,ജീവൻ
459,Tod::N,død,മരണം
460,Grab::N,grav,ശവക്കുഴി
461,Kirche::N,kirke,പള്ളി
462,Sünde::N,synd,പാപം
463,Gott::N,gud,ദൈവം
464,Arbeiter::N,arbeider,ജോലിക്കാരൻ
465,Chef::N,sjef,മേധാവി
466,Meister::N,mester,യജമാനൻ
467,Arzt::N,lege,ഡോക്ടർ
468,Lehrer::N,lærer,അധ്യാപകൻ
469,Geld::N,penger,പണം
470,Geschäft::N,forretning,ബിസിനസ്
471,Laden::N,butikk,കട
472,Preis::N,pris,വില
473,Ware::N,vare,ചരക്ക്
474,Nutzen::N,nytte,ലാഭം
475,Reichtum::N,rikdom,ധനം
476,Welt::N,verden,ലോകം
477,Land::N,land,രാജ്യം
478,Staat::N,stat,രാജ്യം
479,König::N,konge,രാജാവ്
480,Macht::N,makt,അധികാരം
481,Grenze::N,grense,അതിർത്തി
482,Krieg::N,krig,യുദ്ധം
483,Feind::N,fiende,ശത്രു
484,Gewalt::N,vold,അക്രമം
485,Kampf::N,kamp,പോരാട്ടം
486,Bogen[Waffe]::N,bue,വില്ല്
487,Pfeil::N,pil,അമ്പ്
488,Gewehr::N,gevær,തോക്ക്
489,Fehler::N,feil,പിശക്
490,Lüge::N,løgn,കള്ളം
491,Schaden::N,skade,കേടുപാട്
492,Unglück::N,uhell,ദൌർഭാഗ്യം
493,Schuld::N,skyld,തെറ്റ്
494,Alter::N,alder,വയസ്സ്
495,Schluss::N,slutt,നിഗമനം
496,Zeit::N,tid,സമയം
497,Tag::N,dag,ദിവസം
498,Morgen::N,morgen,പ്രഭാതം
499,Mittag::N,middag,ഉച്ച
500,Abend::N,aften,സായാഹ്നം
501,Nacht::N,natt,രാത്രി
502,Woche::N,uke,ആഴ്ച
503,Monat::N,måned,മാസം
504,Jahr::N,år,വർഷം
505,Frühling::N,vår,വസന്തം
506,Sommer::N,sommer,വേനൽ
507,Herbst::N,høst,ശരത്കാലം
508,Winter::N,vinter,ശൈത്യം
509,Januar::N,januar,ജനുവരി
510,Februar::N,februar,ഫെബ്രുവരി
511,März::N,mars,മാർച്ച്
512,April::N,april,ഏപ്രിൾ മാസം
513,Mai::N,mai,മെയ് മാസം
514,Juni::N,juni,ജൂൺ
515,Juli::N,juli,ജൂലൈ
516,August::N,august,ആഗസ്റ്റ്
517,September::N,september,സെപ്തംബർ
518,Oktober::N,oktober,ഒക്ടോബർ
519,November::N,november,നവംബർ
520,Dezember::N,desember,ഡിസംബർ
521,Montag::N,mandag,തിങ്കളാഴ്ച
522,Dienstag::N,tirsdag,ചൊവ്വ
523,Mittwoch::N,onsdag,ബുധനാഴ്ച
524,Donnerstag::N,torsdag,വ്യാഴാഴ്ച
525,Freitag::N,fredag,വെള്ളിയാഴ്ച
526,Samstag::N,lørdag,ശനിയാഴ്ച
527,Sonntag::N,søndag,ഞായറാഴ്ച
528,groß::A,stor,വലിയ
529,klein::A,liten,ചെറിയ
530,lang::A,lang,നീണ്ട
531,kurz::A,kort,ഹ്രസ്വമായ
532,breit::A,bred,വിശാലമായ
533,schmal::A,smal,ഇടുങ്ങിയ
534,dicht::A,tett,നിബിഡമായ
535,dick[Gegenstand]::A,tykk,തടിച്ച
536,dünn::A,tynn,മെലിഞ്ഞ
537,fein::A,fin,നേർത്ത
538,fest::A,fast,ഉറപ്പുള്ള
539,flach::A,flat,പരന്ന
540,glatt::A,glatt,മിനുസമുള്ള
541,hart::A,hard,കട്ടിയുള്ള
542,weich::A,myk,മൃദുവായ
543,weich::A,bløt,മൃദുവായ
544,rund::A,rund,വട്ടത്തിലുള്ള
545,spitz::A,spiss,മുനയുള്ള
546,scharf::A,kvass,മൂർച്ചയുള്ള
547,stumpf::A,stubb,തുറന്നടിക്കുന്ന
548,schwer::A,tung,ഭാരമുള്ള
549,schön::A,pen,മനോഹരമായ
550,schön::A,vakker,മനോഹരമായ
551,heiß::A,het,ചൂടുള്ള
552,warm::A,varm,ചൂടുള്ള
553,kalt::A,kald,തണുത്ത
554,kühl::A,kjølig,തണുപ്പുള്ള
555,frisch::A,fersk,ശുദ്ധമായ
556,feucht::A,fuktig,ഈറനുള്ള
557,nass::A,våt,നനഞ്ഞ
558,trocken::A,tørr,വരണ്ട
559,voll::A,full,നിറയെ
560,leer::A,tom,ഒഴിഞ്ഞ
561,offen::A,åpen,തുറന്ന
562,geschlossen::A,lukket,അടച്ച
563,sauber::A,ren,വൃത്തിയുള്ള
564,schmutzig::A,skitten,അഴുക്കുനിറഞ്ഞ
565,roh::A,rå,അസംസ്കൃതമായ
566,reif::A,moden,പഴുത്ത
567,lecker::A,lekker,രുചികരമായ
568,süß::A,søt,മധുരമുള്ള
569,bitter::A,besk,കടുത്ത
570,bitter::A,bitter,കടുത്ത
571,sauer::A,sur,പുളിപ്പുള്ള
572,hell::A,lys,ജ്വലിക്കുന്ന
573,dunkel::A,mørk,ഇരുണ്ട
574,schwarz::A,svart,കറുത്ത
575,weiß::A,hvit,വെളുത്ത
576,rot::A,rød,ചുവന്ന
577,gelb::A,gul,മഞ്ഞനിറമായ
578,blau::A,blå,നീലനിറമുള്ള
579,grün::A,grønn,പച്ചനിറമുള്ള
580,grau::A,grå,ചാരനിറത്തിലുള്ള
581,bunt::A,broket,വർണ്ണശബളമായ
582,billig::A,billig,വിലകുറഞ്ഞ
583,teuer::A,dyr,ചെലവേറിയ
584,wertvoll::A,verdifull,വിലപിടിപ്പുള്ള
585,blind::A,blind,അന്ധനായ
586,taub::A,døv,കേൾവിക്കുറവുള്ള
587,kräftig::A,kraftig,ശക്തിയുള്ള
588,stark::A,sterk,ബലമുള്ള
589,schwach::A,svak,ക്ഷീണിച്ച
590,fett::A,fet,കൊഴുപ്പുള്ള
591,schlank::A,slank,മെലിഞ്ഞ
592,hübsch::A,pen,മനോഹരമായ
593,böse::A,slem,പാപിയായ
594,dumm::A,dum,വിവരംകെട്ട
595,faul::A,lat,അലസനായ
596,faul::A,doven,അലസനായ
597,fleißig::A,flittig,അദ്ധ്വാനശീലമുള്ള
598,geizig::A,gjerrig,പിശുക്കനായ
599,klug::A,klok,ബുദ്ധിസാമർഥ്യമുള്ള
600,geschickt::A,hendig,പ്രതിഭാശാലി
601,geschickt::A,skikket,പ്രതിഭാശാലി
602,lieb::A,kjær,പ്രിയപ്പെട്ട
603,lieb::A,snill,പ്രിയപ്പെട്ട
604,lustig::A,morsom,ആനന്ദകരമായ
605,sanft::A,blid,സൌമ്യമായ
606,hungrig::A,sulten,വിശപ്പുള്ള
607,krank::A,syk,അസുഖമുള്ള
608,nackt::A,naken,നഡമായ
609,traurig::A,sørgmodig,വിഷമമുള്ള
610,lebendig::A,levende,ഉപജീവനം
611,gut::A,god,നല്ല
612,schlecht::A,dårlig,മോശമായ
613,richtig::A,riktig,ശരിയായ
614,schlimm::A,slem,വൃത്തികെട്ട
615,wahr::A,sann,ശരിയായ
616,alt::A,gammel,പഴയ
617,neu::A,ny,പുതിയ
618,ehemalig::A,forhenværende,മുൻ
619,alt[Lebewesen]::A,gammel,വയസ്സുള്ള
620,jung::A,ung,കൌമാരമായ
621,arm::A,fattig,പാവപ്പെട്ട
622,reich::A,rik,സമ്പന്നമായ
623,bekannt::A,kjent,പരിചിതമായ
624,berühmt::A,berømt,പ്രശസ്തനായ
625,fremd::A,fremmed,വൈദേശികമായ
626,verschieden::A,forskjellig,വ്യത്യസ്തമായ
627,nah::A,nær,അരികത്തുള്ള
628,fern::A,fjern,അകലെയുള്ള
629,linker::A,venstre,അവശേഷിച്ച
630,rechter::A,høyre,വലത്തേ
631,anderer::A,annen,മറ്റുള്ള
632,erster::A,første,ആദ്യത്തെ
633,zweiter::A,annen,രണ്ടാം
634,dritter::A,tredje,മൂന്നാമത്
635,letzter::A,sist,അവസാനത്തെ
636,allein::ADV,alene,തനിച്ചുള്ള
637,auf einmal::ADV,med ett,ഉടന്
638,zusammen::ADV,sammen,ഒരുമിച്ച
639,lange::ADV,lenge,നീണ്ട_കാലത്തേയ്ക്ക്
640,plötzlich::ADV,plutselig,പെട്ടെന്ന്
641,sofort::ADV,straks,തത്ക്ഷണം
642,später::ADV,senere,പിന്നീട്
643,jetzt::ADV,nå,ഇപ്പോൾ
644,heute::ADV,i dag,ഇന്ന്
645,morgen::ADV,i morgen,നാളെ
646,bald::ADV,snart,ഉടനെ
647,dann::ADV,så,അപ്പോൾ
648,gestern::ADV,i går,ഇന്നലെ
649,einst::ADV,engang,പണ്ടൊരിക്കല്
650,damals::ADV,den gang,അപ്പോൾ
651,danach::ADV,deretter,പിന്നീട്
652,vorher::ADV,før,മുൻപ്
