,Concept_ID,kl,el
0,Auge::N,isi,μάτι
1,Auge::N,isi,οφθαλμός
2,Ohr::N,siut,αυτί
3,Mund::N,paaq,στόμα
4,Mund::N,qaneq,στόμα
5,Zahn::N,kigut,δόντι
6,Zunge::N,oqaq,γλώσσα
7,Lippe::N,qarloq,χείλος
8,Wange::N,ersaq,παρειά
9,Wange::N,ersaq,μάγουλο
10,Gesicht::N,kiinaq,πρόσωπο
11,Stirn::N,qaaq,μέτωπο
12,Haar::N,meqqoq,μαλλιά
13,Bart::N,umik,γένια
14,Kinn::N,talloq,πιγούνι
15,Kiefer[Anatomie]::N,alleroq,σαγόνι
16,Kehle::N,malaq,λαρύγγι
17,Hals::N,qungaseq,λαιμός
18,Genick::N,pukusuk,σβέρκος
19,Kopf::N,niaqoq,κεφάλι
20,Rücken::N,qimerlut,ράχη
21,Bauch::N,naaq,κοιλιά
22,Nabel::N,qalaseq,αφαλός
23,Busen::N,iviangeq,στήθος
24,Brust::N,iviangeq,στήθος
25,Schulter::N,ersik,ώμος
26,Schulter::N,assaqqoq,ώμος
27,Arm::N,taleq,χέρι
28,Arm::N,taleq,μπράτςο
29,Ellenbogen::N,ikusik,αγκώνας
30,Hand::N,assak,χέρι
31,Handfläche::N,itumak,παλάμη
32,Finger::N,inuak,δάχτυλο
33,Fingernagel::N,kikiak,νύχι
34,Nagel[Anatomie]::N,kukik,νύχι
35,Zeh::N,isigak,δάχτυλο του ποδιού
36,Ferse::N,kimmik,φτέρνα
37,Knie::N,seeqqoq,γόνατο
38,Oberschenkel::N,uppat,μηρός
39,Oberschenkel::N,quttoraq,μηρός
40,Bein::N,isigak,πόδι
41,Körper::N,timi,σώμα
42,Körper::N,timi,κορμί
43,Haut::N,mattak,πετσί
44,Blut::N,aak,αίμα
45,Ader::N,taqaq,φλέβα
46,Sehne::N,ujalu,νεύρο
47,Sehne::N,ujalu,τένοντας
48,Sehne::N,ujaloq,νεύρο
49,Sehne::N,ujaloq,τένοντας
50,Knochen::N,saanikut,οστό
51,Knochen::N,saanikut,κόκκαλο
52,Gehirn::N,qarasaq,μυαλό
53,Gehirn::N,qarasaq,εγκέφαλος
54,Herz::N,uummat,καρδιά
55,Magen::N,aqajaroq,στομάχι
56,Leber::N,tinguk,ήπαρ
57,Leber::N,tinguk,συκωτί
58,Atem::N,anerneq,αναπνοή
59,Hunger::N,kaanneq,πείνα
60,Träne::N,qia,δάκρυ
61,Träne::N,qiak,δάκρυ
62,Geschmack::N,qilanaartuut,γεύση
63,Geruch::N,tipi,οσμή
64,Geruch::N,tipi,μυρωδία
65,Geruch::N,tipik,οσμή
66,Geruch::N,tipik,μυρωδία
67,Traum::N,sinnattoq,όνειρο
68,Traum::N,sinnattugaq,όνειρο
69,Himmel::N,qilak,ουρανός
70,Sonne::N,seqineq,ήλιος
71,Mond::N,qaammat,σελήνη
72,Mond::N,qaammat,φεγγάρι
73,Stern::N,ulloriaq,άστρο
74,Stern::N,ulloriaq,αστέρι
75,Luft::N,silaannaq,αέρας
76,Wind::N,anori,αέρας
77,Wind::N,anori,άνεμος
78,Wind::N,anorsarik,αέρας
79,Wind::N,anorsarik,άνεμος
80,Welle::N,aalappaa,κύμα
81,Wasser::N,imeq,νερό
82,Stein::N,ujarak,πέτρα
83,Boden::N,nateq,χώμα
84,Erde::N,issoq,γη
85,Staub::N,pujualanerit,σκόνη
86,Staub::N,pujoralanerit,σκόνη
87,Rauch::N,iseq,καπνός
88,Rauch::N,pujoq,καπνός
89,Funke::N,illoorneq,σπίθα
90,Funke::N,illoorneq,σπινθήρας
91,Feuer::N,inneq,φωτιά
92,Licht::N,qaamaneq,φως
93,Schatten::N,tarraq,σκιά
94,Schatten::N,tarraq,ίσκιος
95,Wetter::N,sila,καιρός
96,Nebel::N,pujoq,ομίχλη
97,Wolke::N,nuia,σύννεφο
98,Regen::N,sialuk,βροχή
99,Schnee::N,aput,χιόνι
100,Eis::N,siku,πάγος
101,Frost::N,issi,παγωνία
102,Frost::N,issik,παγωνία
103,Kälte::N,issi,κρύο
104,Kälte::N,issi,ψύχος
105,Hitze::N,kianneq,ζέστη
106,Hitze::N,kiassuseq,ζέστη
107,Raureif::N,kaneq,πάχνη
108,Regenbogen::N,neriusaaq,ουράνιο τόξο
109,Donner::N,kalleq,βροντή
110,Tropfen::N,kuseriarneq,στάλα
111,Schaum::N,qapuk,αφρός
112,Schmutz::N,minguk,βρωμιά
113,See::N,taseq,λίμνη
114,Sumpf::N,maqulluk,βάλτος
115,Wiese::N,masarsuk,λιβάδι
116,Hügel::N,qattuneq,λόφος
117,Hügel::N,majuariaq,λόφος
118,Hügel::N,majorajaaq,λόφος
119,Hügel::N,qaqqannguaq,λόφος
120,Berg::N,qaqqaq,όρος
121,Berg::N,qaqqaq,βουνό
122,Höhle::N,qaarusuk,σπηλιά
123,Abhang::N,ippik,πλαγιά
124,Abhang::N,sivinganeq,πλαγιά
125,Abhang::N,sivingajaaq,πλαγιά
126,Abhang::N,kussangajaaq,πλαγιά
127,Bach::N,kuunnguaq,ρυάκι
128,Fluss::N,kuuk,ποτάμι
129,Fluss::N,kuuk,ποταμός
130,Ufer::N,sissap sinaa,όχθη
131,Küste::N,sineriak,ακτή
132,Küste::N,sineriak,ακρογιαλιά
133,Meer::N,imaq,θάλασσα
134,Bucht::N,ikeq,κόλπος
135,Bucht::N,kangerluk,κόλπος
136,Bucht::N,kangerliumaneq,κόλπος
137,Insel::N,qeqertaq,νησί
138,Insel::N,qeqertaq,νήσος
139,Blume::N,naasoq,άνθος
140,Blume::N,naasoq,λουλούδι
141,Gras::N,ivigaq,χόρτο
142,Gras::N,ivigaq,χορτάρι
143,Wurzel::N,niulutaq,ρίζα
144,Baum::N,orpik,δέντρο
145,Stamm::N,kanaartaq,κορμός
146,Rinde::N,ameraq,φλούδα
147,Ast::N,avalequt,κλαδί
148,Zweig::N,avalequt,κλαδί
149,Zweig::N,avalequt,κλάδος
150,Blatt::N,pilutaq,φύλλο
151,Birke::N,patitsit,σημύδα
152,Weide[Baum]::N,palleq,ιτιά
153,Tanne::N,orsuerneq,έλατο
154,Horn::N,nassuk,κέρας
155,Horn::N,nassuk,κέρατο
156,Feder::N,suluk,φτερό
157,Fell::N,ameq,δέρμα
158,Fell::N,ameq,τομάρι
159,Flügel::N,suluk,πτερύγιο
160,Flügel::N,isaroq,πτερύγιο
161,Klaue::N,kukik,κουλό
162,Kralle::N,kukik,νύχι
163,Schwanz::N,pamioq,ουρά
164,Schwanz::N,paperuusaq,ουρά
165,Ei::N,mannik,αβγό
166,Nest::N,ullut,φωλιά
167,Bau::N,ini,φωλιά
168,Tier::N,uumasoq,ζώο
169,Herde::N,unguukkat,κοπάδι
170,Kuh::N,ussik,αγελάδα
171,Bulle::N,angukulak,ταύρος
172,Bulle::N,anguteralak,ταύρος
173,Bulle::N,angutikulooq,ταύρος
174,Schaf::N,sava,πρόβατο
175,Schwein::N,puuluki,γουρούνι
176,Hund::N,qimmeq,σκυλί
177,Hund::N,qimmeq,σκύλος
178,Katze::N,puisaaq,γάτα
179,Bär::N,allaq,άρκτος
180,Bär::N,allaq,αρκούδα
181,Eichhörnchen::N,sissinnguaq,βερβερίτσα
182,Fuchs::N,terianniaq,αλεπού
183,Hase::N,ukaleq,λαγός
184,Maus::N,teriannguaq,ποντικός
185,Wolf::N,amaroq,λύκος
186,Vogel::N,timmiaq,πουλί
187,Huhn::N,kukkukooq,κότα
