,Concept_ID,la,nl
0,Auge::N,oculus,oog
1,Ohr::N,auris,oor
2,Nase::N,nasus,neus
3,Mund::N,os,mond
4,Zahn::N,dens,tand
5,Zunge::N,lingua,tong
6,Lippe::N,labrum,lip
7,Wange::N,gena,wang
8,Gesicht::N,vultus,gelaat
9,Gesicht::N,vultus,gezicht
10,Stirn::N,frons,voorhoofd
11,Haar::N,capillus,haar
12,Schnurrbart::N,barba labri superioris,snor
13,Bart::N,barba,baard
14,Kinn::N,mentum,kin
15,Kiefer[Anatomie]::N,mala,kaak
16,Kehle::N,iugulums,keel
17,Kehle::N,iugulums,strot
18,Hals::N,collum,hals
19,Genick::N,cervices,nek
20,Kopf::N,caput,hoofd
21,Rücken::N,tergum,rug
22,Bauch::N,venter,buik
23,Nabel::N,umbilicus,navel
24,Busen::N,sinus,boezem
25,Brust::N,pectus,borst
26,Schulter::N,umerus,schouder
27,Arm::N,bracchium,arm
28,Ellenbogen::N,cubitum,elleboog
29,Hand::N,manus,hand
30,Handfläche::N,palma,handpalm
31,Finger::N,digitus,vinger
32,Fingernagel::N,unguiculus,nagel
33,Nagel[Anatomie]::N,unguis,nagel
34,Zeh::N,digitus,teen
35,Fuß::N,pes,voet
36,Ferse::N,calx,hak
37,Ferse::N,calx,hiel
38,Knie::N,genu,knie
39,Oberschenkel::N,femur,dij
40,Bein::N,crus,been
41,Körper::N,corpus,lichaam
42,Haut::N,cutis,huid
43,Haut::N,pellis,huid
44,Blut::N,sanguis,bloed
45,Ader::N,vena,ader
46,Sehne::N,nervus,pees
47,Knochen::N,os,bot
48,Knochen::N,os,been
49,Knochen::N,os,knook
50,Gehirn::N,cerebrum,hersenen
51,Herz::N,cor,hart
52,Herz::N,animus,hart
53,Magen::N,stomachus,maag
54,Leber::N,iecur,lever
55,Atem::N,spiritus,adem
56,Hunger::N,fames,honger
57,Träne::N,lacrima,traan
58,Geschmack::N,sapor,smaak
59,Geschmack::N,gustus,smaak
60,Geruch::N,odor,geur
61,Schlaf::N,somnus,slaap
62,Traum::N,somnium,droom
63,Himmel::N,caelum,hemel
64,Sonne::N,sol,zon
65,Mond::N,luna,maan
66,Stern::N,sidus,ster
67,Stern::N,stella,ster
68,Luft::N,aer,lucht
