,Concept_ID,se,ps
0,Auge::N,tjelmie,سترګه
1,Auge::N,tjalmme,سترګه
2,Auge::N,čalbmi,سترګه
3,Auge::N,čalme,سترګه
4,Auge::N,čâ´lmm,سترګه
5,Auge::N,ча̄лльм,سترګه
6,Ohr::N,bieljie,غوږ
7,Ohr::N,biellje,غوږ
8,Ohr::N,beallji,غوږ
9,Ohr::N,pelji,غوږ
10,Ohr::N,pe´llj,غوږ
11,Ohr::N,пе̄лльй,غوږ
12,Nase::N,njuenie,پوزه
13,Nase::N,njunnje,پوزه
14,Nase::N,njunni,پوزه
15,Nase::N,njuṇe,پوزه
16,Nase::N,njuu´nn,پوزه
17,Nase::N,нюннҍ,پوزه
18,Mund::N,njaelmie,خوله
19,Mund::N,njálmme,خوله
20,Mund::N,njálbmi,خوله
21,Mund::N,njälmi,خوله
22,Mund::N,njä´lmm,خوله
23,Mund::N,ня̄лльм,خوله
24,Zahn::N,baenie,غاښ
25,Zahn::N,bádne,غاښ
26,Zahn::N,bátni,غاښ
27,Zahn::N,pääṇi,غاښ
28,Zahn::N,pää´nn,غاښ
29,Zahn::N,па̄ннҍ,غاښ
30,Zunge::N,njoektjeme,جبه
31,Zunge::N,njuovtjav,جبه
32,Zunge::N,njuovčča,جبه
33,Zunge::N,njuovčâ,جبه
34,Zunge::N,njuhččâm,جبه
35,Zunge::N,нюхчем,جبه
36,Lippe::N,bangseme,شونډه
37,Lippe::N,njálmmerabdda,شونډه
38,Lippe::N,bavssa,شونډه
39,Lippe::N,poovsâ,شونډه
40,Lippe::N,põõus,شونډه
41,Lippe::N,пэ̄кс,شونډه
42,Wange::N,skiehrie,باړخو
43,Wange::N,nierra,باړخو
44,Wange::N,muohtu,باړخو
45,Wange::N,nieṛâ,باړخو
46,Wange::N,njiõrr,باړخو
47,Wange::N,нӣрр,باړخو
48,Gesicht::N,ååredæjja,مخ
49,Gesicht::N,muohto,مخ
50,Gesicht::N,muođut,مخ
51,Gesicht::N,ámadadju,مخ
52,Gesicht::N,muáđuh,مخ
53,Gesicht::N,muâđ,مخ
54,Gesicht::N,ка̄ссв,مخ
55,Stirn::N,gaalloe,تندی
56,Stirn::N,gaalloe,وچولی
57,Stirn::N,gállo,تندی
58,Stirn::N,gállo,وچولی
59,Stirn::N,gállu,تندی
60,Stirn::N,gállu,وچولی
61,Stirn::N,kállu,تندی
62,Stirn::N,kállu,وچولی
63,Stirn::N,käll,تندی
64,Stirn::N,käll,وچولی
65,Stirn::N,вуэххьц,تندی
66,Stirn::N,вуэххьц,وچولی
67,Haar::N,voepte,وېښته
68,Haar::N,vuoppta,وېښته
69,Haar::N,vuokta,وېښته
70,Haar::N,vuop'tâ,وېښته
71,Haar::N,vuõpt,وېښته
72,Haar::N,вӯппт,وېښته
73,Schnurrbart::N,bijjie-skaavtjoe,برېت
74,Schnurrbart::N,njunjevuolskávttjá,برېت
75,Schnurrbart::N,seamu,برېت
76,Schnurrbart::N,siämu,برېت
77,Schnurrbart::N,ää´bben,برېت
78,Schnurrbart::N,о̄а̄бпан,برېت
79,Bart::N,skaavtja,ږیره
80,Bart::N,skaavtjoe,ږیره
81,Bart::N,skávttjá,ږیره
82,Bart::N,seamu,ږیره
83,Bart::N,siämu,ږیره
84,Bart::N,seäm,ږیره
85,Bart::N,ся̄м,ږیره
86,Kinn::N,gaejpie,زنه
87,Kinn::N,gájbbe,زنه
88,Kinn::N,gáibi,زنه
89,Kinn::N,käibi,زنه
90,Kinn::N,käi´bb,زنه
91,Kinn::N,ка̄ййп,زنه
92,Kiefer[Anatomie]::N,gaejpie,جامه
93,Kiefer[Anatomie]::N,oalol,جامه
94,Kiefer[Anatomie]::N,oaloldákte,جامه
95,Kiefer[Anatomie]::N,gáibi,جامه
96,Kiefer[Anatomie]::N,uá'lultähti,جامه
97,Kiefer[Anatomie]::N,vuâl'lõš,جامه
98,Kiefer[Anatomie]::N,вуаллнешш,جامه
99,Kehle::N,gealoe,غاړه
100,Kehle::N,tjåttå,غاړه
101,Kehle::N,njiello,غاړه
102,Kehle::N,čotta,غاړه
103,Kehle::N,čuudâ,غاړه
104,Kehle::N,čoodd,غاړه
105,Kehle::N,чонт,غاړه
106,Kehle::N,кэ̄ҏс,غاړه
107,Hals::N,tjeapohke,غاړه
108,Hals::N,tjiebet,غاړه
109,Hals::N,čeabet,غاړه
110,Hals::N,čiäppát,غاړه
111,Hals::N,čeäppat,غاړه
112,Hals::N,ча̄пэх,غاړه
113,Genick::N,tjovrese,ورمېږ
114,Genick::N,nisske,ورمېږ
115,Genick::N,niehkki,ورمېږ
116,Genick::N,niski,ورمېږ
117,Genick::N,niek'ki,ورمېږ
118,Genick::N,nji´šǩǩmaadd,ورمېږ
119,Genick::N,нышшькмоант,ورمېږ
120,Kopf::N,åejjie,سر
121,Kopf::N,oajvve,سر
122,Kopf::N,oaivi,سر
123,Kopf::N,uái'vi,سر
124,Kopf::N,vuei´vv,سر
125,Kopf::N,вуэййв,سر
126,Rücken::N,rudtje,شا
127,Rücken::N,hárddo,شا
128,Rücken::N,tjavelk,شا
129,Rücken::N,sealgi,شا
130,Rücken::N,selgi,شا
131,Rücken::N,čielgi,شا
132,Rücken::N,seä´lǧǧ,شا
133,Rücken::N,се̄лльк,شا
134,Bauch::N,tjåejjie,نس
135,Bauch::N,tjåejjie,ګېډه
136,Bauch::N,tjoajvve,نس
137,Bauch::N,tjoajvve,ګېډه
138,Bauch::N,čoavji,نس
139,Bauch::N,čoavji,ګېډه
140,Bauch::N,čuáv'ji,نس
141,Bauch::N,čuáv'ji,ګېډه
142,Bauch::N,čåu´jj,نس
143,Bauch::N,čåu´jj,ګېډه
144,Bauch::N,чо̄ввьй,نس
145,Bauch::N,чо̄ввьй,ګېډه
146,Nabel::N,naepie,نوم
147,Nabel::N,náhpe,نوم
148,Nabel::N,náhpi,نوم
149,Nabel::N,nääpi,نوم
150,Nabel::N,nää´pp,نوم
151,Nabel::N,на̄бпь,نوم
152,Busen::N,boenge,تی
153,Busen::N,bållå,تی
154,Busen::N,čižži,تی
155,Busen::N,njamma,تی
156,Busen::N,njižže,تی
157,Busen::N,nje´ǯǯ,تی
158,Busen::N,раннҍт,تی
159,Brust::N,mïelke,سینه
160,Brust::N,radde,سینه
161,Brust::N,mielgga,سینه
162,Brust::N,raddi,سینه
163,Brust::N,radde,سینه
164,Brust::N,râ´dd,سینه
165,Brust::N,раннҍт,سینه
166,Schulter::N,åelkie,اوږه
167,Schulter::N,oalgge,اوږه
168,Schulter::N,hárdu,اوږه
169,Schulter::N,ärdee,اوږه
170,Schulter::N,uál'gi,اوږه
171,Schulter::N,a´rddi,اوږه
172,Schulter::N,vuä´lǧǧ,اوږه
173,Schulter::N,вуэллык,اوږه
174,Arm::N,gïete,لاس
175,Arm::N,giehta,لاس
176,Arm::N,giehta,لاس
177,Arm::N,kietâ,لاس
178,Arm::N,kie'tâkaaṿâ,لاس
179,Arm::N,ǩiõtt,لاس
180,Arm::N,кӣдт,لاس
