,Concept_ID,nl,ta
0,Auge::N,oog,கண்
1,Ohr::N,oor,காது
2,Nase::N,neus,மூக்கு
3,Mund::N,mond,வாய்
4,Zahn::N,tand,பல்
5,Zunge::N,tong,நாக்கு
6,Lippe::N,lip,உதடு
7,Wange::N,wang,கன்னம்
8,Gesicht::N,gelaat,முகம்
9,Gesicht::N,gezicht,முகம்
10,Stirn::N,voorhoofd,முன்னெற்றி
11,Haar::N,haar,முடி
12,Schnurrbart::N,snor,மீசை
13,Bart::N,baard,தாடி
14,Kinn::N,kin,கீழதாடை
15,Kiefer[Anatomie]::N,kaak,தாடை
16,Kehle::N,keel,தொண்டை
17,Kehle::N,strot,தொண்டை
18,Hals::N,hals,கழுத்து
19,Genick::N,nek,கழுத்து
20,Kopf::N,hoofd,தலை
21,Rücken::N,rug,முதுகு
22,Bauch::N,buik,வயிறு
23,Nabel::N,navel,தொப்புள்
24,Busen::N,boezem,மார்பகம்
25,Brust::N,borst, மார்பு
26,Schulter::N,schouder,தோள்பட்டை
27,Arm::N,arm,கரம்
28,Ellenbogen::N,elleboog,முழங்கை
29,Hand::N,hand,கை
30,Handfläche::N,handpalm,உள்ளங்கை
31,Finger::N,vinger,விரல்
32,Fingernagel::N,nagel,விரல் நகம்
33,Nagel[Anatomie]::N,nagel,நகம்
34,Zeh::N,teen,கால்விரல்
35,Fuß::N,voet,கால்
36,Ferse::N,hak,குதிகால்
37,Ferse::N,hiel,குதிகால்
38,Knie::N,knie,முழங்கால்
39,Oberschenkel::N,dij,தொடை
40,Bein::N,been,கால்
41,Körper::N,lichaam,உடல்
42,Haut::N,huid,சருமம்
43,Blut::N,bloed,இரத்தம்
44,Ader::N,ader,நாளம்
45,Sehne::N,pees,தசைநார்
46,Knochen::N,bot,எலுமபு
47,Knochen::N,been,எலுமபு
48,Knochen::N,knook,எலுமபு
49,Gehirn::N,hersenen,மூனை
50,Herz::N,hart,இதயம
51,Magen::N,maag,வயிறு
52,Leber::N,lever,கல்லீரல்
53,Atem::N,adem,மூச்சு
54,Hunger::N,honger,பசி
55,Träne::N,traan,கண்ணீர்
56,Geschmack::N,smaak,நறுமணம்
57,Geruch::N,geur,துர்நாற்றம்
58,Schlaf::N,slaap,தூக்கம்
59,Traum::N,droom,கனவு
60,Himmel::N,hemel,வானம்
61,Sonne::N,zon,சூரியன்
62,Mond::N,maan,சந்திரன்
63,Stern::N,ster,நட்சத்திரம்
64,Luft::N,lucht,காறறு
65,Wind::N,wind,காற்று
66,Welle::N,golf,அலை
67,Wasser::N,water,நீர்
68,Stein::N,steen,கல்
69,Boden::N,grond,தரை
70,Erde::N,aarde,மண்
71,Staub::N,stof,தூசி
72,Rauch::N,rook,புகை
73,Funke::N,vonk,தீப்பொறி
74,Feuer::N,vuur,தீ
75,Licht::N,licht,வெளிச்சம்
76,Schatten::N,schaduw,நிழல்
77,Wetter::N,weer,வானிலை
78,Nebel::N,mist,பனிமூட்டம்
79,Nebel::N,nevel,பனிமூட்டம்
80,Wolke::N,wolk,மேகம்
81,Regen::N,regen,மழை
82,Schnee::N,sneeuw,உறைபனி
