,Concept_ID,fa,xal
0,Auge::N,چشم,нүдн
1,Ohr::N,گوش,чикн
2,Nase::N,بینی,хамр
3,Mund::N,دهان,амн
4,Zahn::N,دندان,шүдн
5,Zunge::N,زبان,келн
6,Lippe::N,لب,урл
7,Wange::N,لپ,халх
8,Gesicht::N,رو,нүр
9,Gesicht::N,چهره,нүр
10,Stirn::N,پیشانی,маңна
11,Haar::N,مو,үсн
12,Schnurrbart::N,سبیل,сахл
13,Bart::N,ریش,сахл
14,Bart::N,ریش,өргнә сахл
15,Kinn::N,چانه,өргн
16,Kiefer[Anatomie]::N,فک,өргн
17,Kiefer[Anatomie]::N,آرواره,өргн
18,Kehle::N,حلق,хол
19,Hals::N,گردن,күзүн
20,Genick::N,پشت گردن,гиҗг
21,Kopf::N,سر,толһа
22,Kopf::N,کله,толһа
23,Rücken::N,پشت,нурһн
24,Bauch::N,شکم,гесн
25,Nabel::N,ناف,киисн
26,Busen::N,پستان,көкн
27,Brust::N,سینه,чееҗ
28,Schulter::N,دوش,ээм
29,Schulter::N,شانه,ээм
30,Arm::N,بازو,һар
31,Ellenbogen::N,آرنج,тоха
32,Hand::N,دست,баһлцг
33,Handfläche::N,کف دست,альхн
34,Finger::N,انگشت,хурһн
35,Finger::N,انگشت,һарин хурһн
36,Fingernagel::N,ناخن دست,хумсн
37,Nagel[Anatomie]::N,ناخن,хумсн
38,Zeh::N,انگشت پا,хурһн
39,Zeh::N,انگشت پا,көлин хурһн
40,Fuß::N,پا,тавг
41,Ferse::N,پاشنه,өскә
42,Knie::N,زانو,өвдг
43,Oberschenkel::N,ران,һуй
44,Bein::N,پا,көл
45,Bein::N,لنگ,көл
46,Körper::N,تن,махмуд
47,Körper::N,بدن,махмуд
48,Haut::N,پوست,арсн
49,Blut::N,خون,цусн
50,Ader::N,رگ,судцн
51,Sehne::N,زردپی,шүрүсн
52,Knochen::N,استخوان,ясн
53,Gehirn::N,مخ,экн
54,Gehirn::N,مغز,экн
55,Herz::N,دل,зүркн
56,Herz::N,قلب,зүркн
57,Magen::N,معده,гесн
58,Leber::N,کبد,элкн
59,Atem::N,نفس,әмсхл
60,Hunger::N,گرسنگی,харһнлһн
61,Träne::N,اشک,нульмсн
62,Geschmack::N,مزه,амтн
63,Geruch::N,بو,үнр
64,Schlaf::N,خواب,нөр
65,Traum::N,رؤیا,зүүдн
66,Himmel::N,فلک,теңгр
67,Himmel::N,آسمان,теңгр
68,Sonne::N,آفتاب,нарн
69,Sonne::N,خورشید,нарн
70,Mond::N,ماه,сар
71,Stern::N,ستاره,одн
72,Luft::N,هوا,аһар
73,Wind::N,باد,салькн
74,Welle::N,موج,дольган
75,Wasser::N,آب,усн
76,Stein::N,سنگ,чолун
77,Boden::N,زمین,Һазр
78,Erde::N,خاک,Һазр
79,Erde::N,زمین,Һазр
80,Staub::N,گرد,тоосн
81,Staub::N,غبار,тоосн
82,Rauch::N,دود,утан
83,Funke::N,جرقه,очн
84,Feuer::N,آتش,һал
85,Licht::N,نور,герл
86,Licht::N,روشنی,герл
87,Schatten::N,سایه,сүүдр
88,Wetter::N,هوا,теңгр
89,Nebel::N,مه,будн
90,Wolke::N,ابر,үүлн
91,Regen::N,باران,хур
92,Schnee::N,برف,цасн
93,Eis::N,یخ,мөсн
94,Frost::N,یخبندان,киитн
95,Kälte::N,سرما,киитн
96,Hitze::N,گرما,халун
97,Hitze::N,حرارت,халун
98,Raureif::N,برف ریزه,цаң
99,Raureif::N,برف ریزه,кирү
100,Regenbogen::N,رنگین‌کمان,солңһ
101,Donner::N,رعد,оһтрһун дун
102,Strömung::N,جریان,урсхл
103,Tropfen::N,قطره,дусал
104,Schaum::N,کف,көөсн
105,Schmutz::N,گل,кир
106,Schmutz::N,کثافت,кир
107,See::N,دریاچه,нур
108,Sumpf::N,مرداب,унул
109,Sumpf::N,باتلاق,унул
110,Moor::N,باتلاق,улм
111,Wiese::N,چمن,хадлһн
112,Wald::N,جنگل,ө-модн
113,Hügel::N,تل,толһа
114,Hügel::N,تپه,толһа
