,Concept_ID,mrj,eu
0,Auge::N,сӹнзӓ,begi
1,Ohr::N,пӹлӹш,belarri
2,Nase::N,нер,sudur
3,Mund::N,ышма,aho
4,Zahn::N,пӱ,hortz
5,Zunge::N,йӹлмӹ,mihi
6,Lippe::N,тӹрвӹ,ezpain
7,Wange::N,шӹргӹ,masail
8,Gesicht::N,лицӓ,aurpegi
9,Stirn::N,лепкӓ,bekoki
10,Haar::N,ӱп,ile
11,Haar::N,ӱп,bilo
12,Schnurrbart::N,öрш,bibote
13,Schnurrbart::N,öрш,sudurpeko
14,Bart::N,пандаш,bizar
15,Kinn::N,онгылаш,kokots
16,Kiefer[Anatomie]::N,пӱ арата,masailezur
17,Kehle::N,логер,eztarri
18,Hals::N,шӱ,sama
19,Genick::N,ланга,garondo
20,Kopf::N,вуй,buru
21,Rücken::N,туп,bizkar
22,Bauch::N,мӹшкӹр,sabel
23,Nabel::N,кӹлӹмдӹ,zilbor
24,Busen::N,цӹзӹ,titi
25,Busen::N,цӹзӹ,ugatz
26,Brust::N,мел,bular
27,Schulter::N,ӹнгӹжӓ,besaburu
28,Arm::N,кид,beso
29,Ellenbogen::N,кӹнервуй,ukondo
30,Hand::N,лапа,esku
31,Handfläche::N,кид лапа,ahur
32,Finger::N,парня,hatz
33,Fingernagel::N,кӹч,azazkal
34,Nagel[Anatomie]::N,кӹч,azazkal
35,Zeh::N,парня,behatz
36,Fuß::N,ял лапа,oin
37,Ferse::N,ялгавал,orpo
38,Ferse::N,ялгавал,oinburu
39,Ferse::N,ял кавал,orpo
40,Ferse::N,ял кавал,oinburu
41,Knie::N,пылвуй,belaun
42,Oberschenkel::N,ӓрдӹ,izter
43,Bein::N,ял,zango
44,Körper::N,монгыр,soin
45,Haut::N,кавашты,azal
46,Blut::N,вӹр,odol
47,Ader::N,вӹршӓр,zain
48,Sehne::N,кукшышӱн,gihar-zain
49,Knochen::N,лу,hezur
50,Gehirn::N,вим,garun
51,Gehirn::N,вим,burmuin
52,Herz::N,шӱм,bihotz
53,Magen::N,шӱм,urdail
54,Leber::N,мокш,gibel
55,Atem::N,шӱлӹш,hats
56,Atem::N,шӱлӹш,arnasa
57,Hunger::N,шужымаш,gose
58,Träne::N,сӹнзӓвӹд,malko
59,Geschmack::N,тот,dasta
60,Geruch::N,пыш,usain
61,Schlaf::N,ом,lo
62,Traum::N,ом,amets
63,Himmel::N,пӹлгом,zeru
64,Sonne::N,кечӹ,eguzki
65,Mond::N,тӹлзӹ,ilargi
66,Stern::N,шӹдӹр,izar
67,Luft::N,юж,aire
68,Luft::N,воздух,aire
69,Wind::N,мардеж,haize
70,Welle::N,ко,uhin
71,Welle::N,ко,olatu
72,Welle::N,коэ,uhin
73,Welle::N,коэ,olatu
74,Wasser::N,вӹд,ur
75,Stein::N,кӱ,harri
76,Boden::N,рок,lur
77,Boden::N,рок,zoru
78,Erde::N,свет,lur
79,Staub::N,пырак,hauts
80,Rauch::N,шӹкш,ke
81,Funke::N,ип,zirta
82,Funke::N,ип,txinparta
83,Funke::N,тылип,zirta
84,Funke::N,тылип,txinparta
85,Feuer::N,тыл,su
86,Licht::N,соты,argi
87,Licht::N,валгыды,argi
88,Schatten::N,ӹмӹл,itzal
89,Schatten::N,ӹмӹл,geriza
90,Wetter::N,игечӹ,eguraldi
91,Nebel::N,тӹтӹрӓ,laino
92,Wolke::N,пӹл,hodei
93,Regen::N,юр,euri
94,Schnee::N,лым,elur
95,Eis::N,и,horma
96,Frost::N,ӱштӹ,izotzaldi
97,Kälte::N,ӱштӹ,hotz
98,Hitze::N,шокшы,bero
99,Raureif::N,пöрш,antzigar
100,Regenbogen::N,шанавӹл,ostadar
101,Regenbogen::N,шанавӹл,ortzadar
102,Donner::N,хӹдӹртӹш,ostots
103,Donner::N,хӹдӹртӹш,ihurtzuri
104,Strömung::N,йогы,laster
105,Tropfen::N,капльы,xorta
106,Tropfen::N,капльык,xorta
107,Schaum::N,шонг,bits
108,Schmutz::N,лявӹрӓ,lohi
109,Schmutz::N,лявӹрӓ,zikin
110,See::N,йӓр,laku
111,See::N,йӓр,aintzira
112,Sumpf::N,лӱкӹ,zingira
113,Moor::N,куп,zohikaztegi
114,Wiese::N,алык,larre
115,Wiese::N,алык,belardi
116,Wald::N,шӹргӹ,baso
117,Wald::N,шӹргӹ,oihan
118,Hügel::N,пӱгӹрикӓ,muino
119,Hügel::N,пӱгӹрикӓ,pentoka
120,Anhöhe::N,кӱкшикӓ,garai
121,Anhöhe::N,кӱкшикӓ,goragune
122,Berg::N,кырык,mendi
123,Gipfel::N,неркӓ,gain
124,Gipfel::N,неркӓ,tontor
125,Höhle::N,ы́раж,kobazulo
126,Abhang::N,полом,aldapa
127,Quelle::N,вӹдсӹнзӓ,iturri
128,Quelle::N,вӹдсӹнзӓ,iturbegi
129,Bach::N,ӓнгӹр,lats
130,Bach::N,ӓнгӹр,erreka
131,Fluss::N,вӹд,ibai
132,Fluss::N,вӹд,uhaitz
133,Ufer::N,сир,bazter
134,Küste::N,сир,itsasalde
135,Festland::N,мӱлӓндӹ,lehor
136,Meer::N,тангыж,itsaso
137,Bucht::N,вӹдъял,golko
138,Insel::N,острок,irla
139,Insel::N,острок,uharte
140,Blume::N,пеледӹш,lili
141,Gras::N,шуды,belar
142,Wurzel::N,важ,zuztar
143,Wurzel::N,важ,sustrai
144,Baum::N,пушӓнгӹ,zuhaitz
145,Stamm::N,пушӓнгӹ тӹнг,enbor
146,Rinde::N,каргыж,azal
147,Ast::N,укш,adar
148,Zweig::N,укш,abar
149,Blatt::N,листӹ,hosto
150,Birke::N,куги,urki
151,Kiefer[Baum]::N,йӓктӹ,ler
152,Weide[Baum]::N,уа,zume
153,Weide[Baum]::N,уа,sahats
154,Tanne::N,кож,izei
155,Horn::N,шур,adar
156,Feder::N,пын,luma
157,Feder::N,пын,hegaki
158,Fell::N,кавашты,ile
159,Fell::N,кавашты,larru
160,Flügel::N,шылдыр,hego
161,Klaue::N,кӹч,atzapar
162,Kralle::N,лапа,erpe
163,Kralle::N,лапа,atzapar
164,Schwanz::N,пач,isats
165,Schwanz::N,пач,buztan
166,Ei::N,мыны,arrautza
167,Nest::N,пӹжӓш,habia
168,Bau::N,ыраж,ohantze
169,Tier::N,во́льык,abere
170,Tier::N,во́льык,piztia
171,Herde::N,кӹтö,saldo
172,Herde::N,кӹтö,abere talde
173,Kuh::N,ышкал,behi
174,Bulle::N,ӱшкӱж,zezen
175,Pferd::N,имни,zaldi
