,Concept_ID,pl,he
0,Auge::N,oko,עין
1,Ohr::N,ucho,אזן
2,Nase::N,nos,אף
3,Nase::N,nos,חטם
4,Mund::N,usta,פה
5,Zahn::N,ząb,שן
6,Zunge::N,język,לשון
7,Lippe::N,warga,שפה
8,Wange::N,policzek,לחי
9,Gesicht::N,twarz,פנים
10,Stirn::N,czoło,מצח
11,Haar::N,włos,שערה
12,Haar::N,włosy,שערה
13,Schnurrbart::N,wąsy,שפם
14,Bart::N,broda,זקן
15,Kinn::N,podbródek,סנטר
16,Kiefer[Anatomie]::N,czeluść,לסת
17,Kehle::N,gardło,גרון
18,Hals::N,szyja,צואר
19,Genick::N,kark,ערף
20,Kopf::N,głowa,ראש
21,Rücken::N,plecy,גב
22,Rücken::N,grzbiet,גב
23,Bauch::N,brzuch,בטן
24,Nabel::N,pępek,טבור
25,Busen::N,biust,שד
26,Brust::N,pierś,חזה
27,Schulter::N,bark,כתף
28,Schulter::N,ramię,כתף
29,Arm::N,ręka,זרוע
30,Arm::N,ramię,זרוע
31,Ellenbogen::N,łokieć,מרפק
32,Hand::N,dłoń,יד
33,Handfläche::N,dłoń,כף יד
34,Finger::N,palec,אצבע
35,Fingernagel::N,paznokieć,צפרן
36,Nagel[Anatomie]::N,paznokieć,צפרן
37,Zeh::N,palec,אצבע
38,Fuß::N,stopa,רגל
39,Ferse::N,pięta,עקב
40,Knie::N,kolano,ברך
41,Oberschenkel::N,udo,ירך
42,Bein::N,noga,רגל
43,Körper::N,ciało,גוף
44,Haut::N,skóra,עור
45,Blut::N,krew,דם
46,Ader::N,żyła,וריד
47,Sehne::N,ścięgno,גיד
48,Knochen::N,kość,עצם
49,Gehirn::N,mózg,מוח
50,Herz::N,serce,לב
51,Magen::N,żołądek,קבה
52,Leber::N,wątroba,כבד
53,Atem::N,dech,נשימה
54,Atem::N,oddech,נשימה
55,Hunger::N,głód,רעב
56,Träne::N,łza,דמעה
57,Geschmack::N,smak,טעם
58,Geruch::N,woń,ריח
59,Geruch::N,zapach,ריח
60,Schlaf::N,sen,שנה
61,Traum::N,sen,חלום
62,Himmel::N,niebo,שמים
63,Sonne::N,słońce,שמש
64,Mond::N,księżyc,ירח
65,Stern::N,gwiazda,כוכב
66,Luft::N,powietrze,אויר
67,Wind::N,wiatr,רוח
68,Welle::N,fala,גל
69,Wasser::N,woda,מים
70,Stein::N,kamień,אבן
71,Boden::N,grunt,קרקע
72,Erde::N,ziemia,אדמה
73,Staub::N,pył,אבק
74,Staub::N,kurz,אבק
75,Rauch::N,dym,עשן
76,Funke::N,iskra,ניצוץ
77,Feuer::N,ogień,אש
78,Licht::N,światło,אור
79,Schatten::N,cień,צל
80,Wetter::N,pogoda,מזג אויר
81,Nebel::N,mgła,ערפל
82,Wolke::N,obłok,ענן
83,Wolke::N,chmura,ענן
84,Regen::N,deszcz,גשם
85,Schnee::N,śnieg,שלג
86,Eis::N,lód,קרח
87,Frost::N,mróz,צנה
88,Kälte::N,chłód,קר
89,Hitze::N,gorąco,חם
90,Raureif::N,szron,כפור
91,Regenbogen::N,tęcza,קשת
92,Donner::N,grzmot,רעם
93,Strömung::N,nurt,זרימה
94,Tropfen::N,kropla,טפה
95,Schaum::N,piana,קצף
96,Schmutz::N,brud,לכלוך
97,See::N,jezioro,אגם
98,Sumpf::N,bagno,בצה
99,Moor::N,bagno,בצה
100,Wiese::N,łąka,מרעה
101,Wald::N,las,יער
102,Hügel::N,pagórek,תל
103,Anhöhe::N,wzgórze,מעלה
104,Berg::N,góra,הר
105,Gipfel::N,szczyt,פסגה
106,Gipfel::N,wierzchołek,פסגה
107,Höhle::N,pieczara,מערה
108,Abhang::N,stok,מדרון
109,Abhang::N,stok,שפוע
110,Abhang::N,zbocze,מדרון
111,Abhang::N,zbocze,שפוע
