,Concept_ID,sq,lt
0,Auge::N,sy,akis
1,Ohr::N,vesh,ausis
2,Nase::N,hundë,nosis
3,Mund::N,gojë,burna
4,Zahn::N,dhëmb,dantis
5,Zunge::N,gjuhë,liežuvis
6,Lippe::N,buzë,lūpa
7,Wange::N,faqe,žandas
8,Wange::N,faqe,skruostas
9,Wange::N,mollëz,žandas
10,Wange::N,mollëz,skruostas
11,Gesicht::N,fytyrë,veidas
12,Stirn::N,ballë,kakta
13,Haar::N,flokë,plaukai
14,Schnurrbart::N,mustaqe,ūsai
15,Bart::N,mjekër,barzda
16,Kinn::N,mjekër,smakras
17,Kiefer[Anatomie]::N,nofull,žandikaulis
18,Kehle::N,fyt,gerklė
19,Kehle::N,grykë,gerklė
20,Hals::N,qafë,kaklas
21,Genick::N,arrëz,sprandas
22,Kopf::N,kokë,galva
23,Rücken::N,kurriz,nugara
24,Bauch::N,bark,pilvas
25,Nabel::N,kërthizë,bamba
26,Busen::N,gji,krūtinė
27,Brust::N,gjoks,krūtis
28,Brust::N,kraharor,krūtis
29,Schulter::N,sup,petys
30,Schulter::N,krah,petys
31,Arm::N,krah,ranka
32,Ellenbogen::N,bërryl,alkūnė
33,Hand::N,dorë,ranka
34,Hand::N,dorë,plaštaka
35,Handfläche::N,pëllëmbë,delnas
36,Handfläche::N,pëllëmbë,plaštaka
37,Finger::N,gisht,pirštas
38,Fingernagel::N,thua,nagas
39,Nagel[Anatomie]::N,thua,nagas
40,Zeh::N,gisht i këmbës,pirštas
41,Fuß::N,këmbë,pėda
42,Ferse::N,thembër,kulnas
43,Knie::N,gju,kelis
44,Oberschenkel::N,kofshë,kulšis
45,Oberschenkel::N,kofshë,šlaunis
46,Bein::N,këmbë,koja
47,Körper::N,trup,kūnas
48,Haut::N,lëkurë,oda
49,Blut::N,gjak,kraujas
50,Ader::N,venë,kraujagyslė
51,Sehne::N,dell,sausgyslė
52,Knochen::N,asht,kaulas
53,Knochen::N,kockë,kaulas
54,Gehirn::N,tru,smegenys
55,Herz::N,zemër,širdis
56,Magen::N,stomak,skrandis
57,Leber::N,mëlçi,kepenys
58,Atem::N,frymë,kvapas
59,Hunger::N,uri,badas
60,Hunger::N,uri,alkis
61,Träne::N,lot,ašara
62,Geschmack::N,shije,skonis
63,Geruch::N,erë,kvapas
64,Schlaf::N,gjumë,miegas
65,Traum::N,ëndërr,sapnas
66,Himmel::N,qiell,dangus
67,Sonne::N,diell,saulė
68,Mond::N,hënë,mėnulis
69,Stern::N,yll,žvaigždė
70,Luft::N,ajër,oras
71,Wind::N,erë,vėjas
72,Welle::N,valë,banga
73,Welle::N,valë,vilnis
74,Welle::N,dallgë,banga
75,Welle::N,dallgë,vilnis
76,Wasser::N,ujë,vanduo
77,Stein::N,gur,akmuo
78,Boden::N,tokë,žemė
79,Boden::N,tokë,dugnas
80,Boden::N,truall,žemė
81,Boden::N,truall,dugnas
82,Erde::N,dhe,žemė
83,Erde::N,baltë,žemė
84,Staub::N,pluhur,dulkės
85,Rauch::N,tym,dūmai
