,Concept_ID,et,ku
0,Auge::N,silm,çav
1,Ohr::N,kõrv,guh
2,Nase::N,nina,bêvil
3,Mund::N,suu,dev
4,Zahn::N,hammas,didan
5,Zunge::N,keel,ziman
6,Lippe::N,huul,lêv
7,Wange::N,põsk,dêm
8,Wange::N,põsk,hinarik
9,Gesicht::N,nägu,rû
10,Stirn::N,otsmik,enî
11,Haar::N,juus,por
12,Schnurrbart::N,vurrud,simbêl
13,Schnurrbart::N,vuntsid,simbêl
14,Bart::N,habe,rih
15,Kinn::N,lõug,zenî
16,Kiefer[Anatomie]::N,lõualuu,arguşk
17,Kehle::N,kõri,qirik
18,Hals::N,kael,stû
19,Hals::N,kael,qirik
20,Genick::N,kukal,stû
21,Kopf::N,pea,serî
22,Rücken::N,selg,pişt
23,Bauch::N,kõht,ûr
24,Bauch::N,kõht,zik
25,Nabel::N,naba,navik
26,Busen::N,rind,sîng
27,Brust::N,rind,sîng
28,Schulter::N,õlg,mil
29,Arm::N,käsivars,çepil
30,Ellenbogen::N,küünarnukk,enîşk
31,Hand::N,käsi,dest
32,Handfläche::N,pihk,kefadest
33,Finger::N,sõrm,tilî
34,Fingernagel::N,küüs,neynuk
35,Nagel[Anatomie]::N,küüs,bizmar
36,Zeh::N,varvas,tilî linga
37,Fuß::N,jalg,ling
38,Ferse::N,kand,pahnî
39,Knie::N,põlv,kabok
40,Oberschenkel::N,reis,rahn
41,Bein::N,jalg,çip
42,Körper::N,ihu,laş
43,Körper::N,ihu,gowde
44,Körper::N,keha,laş
45,Körper::N,keha,gowde
46,Haut::N,nahk,çerm
47,Blut::N,veri,xwîn
48,Ader::N,veen,reh
49,Sehne::N,kõõlus,reh
50,Knochen::N,luu,hestî
51,Gehirn::N,aju,mêjî
52,Herz::N,süda,dil
53,Magen::N,magu,navêş
54,Leber::N,maks,kezeb
55,Atem::N,hingeõhk,hilm
56,Atem::N,hingamine,hilm
57,Hunger::N,nälg,birçîtî
58,Träne::N,pisar,hêstir
59,Geschmack::N,maitse,tam
60,Geruch::N,lõhn,bêhn
61,Schlaf::N,uni,xew
62,Traum::N,unenägu,xewn
63,Himmel::N,taevas,ezman
64,Sonne::N,päike,roj
65,Mond::N,kuu,heyv
66,Stern::N,täht,stêrk
67,Luft::N,õhk,ba
68,Wind::N,tuul,ba
69,Welle::N,laine,şewl
70,Wasser::N,vesi,av
71,Stein::N,kivi,kevir
72,Boden::N,maa,herd
73,Boden::N,pinnas,herd
74,Erde::N,maa,ax
75,Staub::N,põrm,toz
76,Rauch::N,suits,dû
77,Funke::N,säde,çirûşk
78,Feuer::N,tuli,agir
79,Licht::N,valgus,ronahî
80,Schatten::N,vari,sî
81,Wetter::N,ilm,hewa
82,Nebel::N,udu,mij
83,Wolke::N,pilv,ewr
84,Regen::N,sadu,baran
85,Schnee::N,lumi,berf
86,Eis::N,jää,qeşa
87,Frost::N,pakane,xûsik
88,Kälte::N,külm,serma
89,Kälte::N,külmus,serma
90,Hitze::N,kuumus,germayî
91,Hitze::N,palavus,germayî
92,Raureif::N,härmatis,şext
93,Regenbogen::N,vikerkaar,heftreng
94,Donner::N,kõu,gire-gir
95,Donner::N,müristamine,gire-gir
96,Strömung::N,voolus,şewl
97,Strömung::N,jõevool,şewl
98,Tropfen::N,tilk,dilop
99,Schaum::N,vaht,kef
100,Schmutz::N,pori,gemar
101,Schmutz::N,mustus,gemar
102,See::N,järv,gol
103,Sumpf::N,soo,hezek
104,Moor::N,raba,mafêl
105,Wiese::N,aas,sûrik
106,Wiese::N,nurm,sûrik
107,Wald::N,mets,çiya
108,Wald::N,mets,daristan
109,Hügel::N,küngas,gir
110,Anhöhe::N,küngas,sere gir
111,Berg::N,mägi,kaş
112,Gipfel::N,mäetipp,sere gir
113,Höhle::N,koobas,şikeft
114,Abhang::N,nõlvak,kaş
115,Quelle::N,allikas,kanî
116,Bach::N,oja,çem
117,Fluss::N,jõgi,çem
118,Fluss::N,jõgi,rûbar
119,Ufer::N,kallas,kevî
120,Küste::N,rannik,berav
121,Festland::N,mander,bejahî
122,Festland::N,maismaa,bejahî
123,Meer::N,meri,behr
124,Bucht::N,laht,derav
125,Insel::N,saar,girav
126,Blume::N,lill,kulînk
127,Gras::N,rohi,giha
128,Wurzel::N,juur,reh
129,Baum::N,puu,dar
130,Stamm::N,tüvi,bavik
131,Rinde::N,koor,qaqil
132,Ast::N,oks,gulî
133,Zweig::N,oks,şax
134,Blatt::N,leht,pel
135,Birke::N,kask,dara sipî
136,Kiefer[Baum]::N,mänd,dara bî
137,Weide[Baum]::N,paju,dara belalûk
138,Tanne::N,nulg,merx
139,Horn::N,sarv,strô
140,Feder::N,sulg,pîrtîk
141,Fell::N,karvkate,heyar
142,Fell::N,karusnahk,heyar
143,Flügel::N,tiib,per
144,Flügel::N,tiivik,per
145,Klaue::N,küüs,napîk
146,Kralle::N,küünis,dinik
147,Kralle::N,küünis,dirnax
148,Schwanz::N,saba,dûv
149,Ei::N,muna,hêk
150,Nest::N,pesa,hêlîn
151,Bau::N,urg,avahî
152,Tier::N,loom,heywan
153,Herde::N,kari,hoz
154,Kuh::N,lehm,çêlek
155,Bulle::N,pull,ga
156,Pferd::N,hobune,hesp
157,Schaf::N,lammas,mîh
158,Schwein::N,siga,beraz
159,Hund::N,koer,seh
160,Katze::N,kass,pişîk
161,Bär::N,karu,hirç
162,Eichhörnchen::N,orav,pilûr
163,Elch::N,põder,pazkovî
164,Fuchs::N,rebane,rovî
165,Hase::N,jänes,kîroşk
166,Maus::N,hiir,mişk
167,Wolf::N,hunt,gur
168,Vogel::N,lind,çûk
169,Schwarm::N,parv,lufik
170,Huhn::N,kana,mirîşk
171,Hahn::N,kukk,dîk
172,Gans::N,hani,qaz
173,Adler::N,kotkas,eylo
174,Ente::N,part,werdek
175,Eule::N,kakk,bûm
176,Eule::N,kakk,kund
177,Eule::N,öökull,bûm
178,Eule::N,öökull,kund
179,Kranich::N,kurg,quling
180,Krähe::N,vares,qijik
181,Kuckuck::N,kägu,pepûk
182,Schwan::N,luik,qû
183,Fisch::N,kala,masî
184,Barsch::N,ahven,okûn
185,Hecht::N,haug,mesîyê lûf
186,Schlange[Tier]::N,uss,mar
187,Wurm::N,uss,kurm
188,Wurm::N,vagel,kurm
189,Spinne::N,ämblik,pîrê
190,Ameise::N,sipelgas,mîro
191,Ameise::N,sipelgas,gêrîk
192,Laus::N,täi,spi
193,Mücke::N,sääsk,mêş
194,Fliege::N,kärbes,mêş
195,Schmetterling::N,liblikas,perperîk
196,Beere::N,mari,hirç
197,Apfel::N,õun,sêv
198,Pilz::N,seen,bîrov
199,Zwiebel::N,sibul,pîvaz
200,Saat::N,seeme,tov
201,Korn::N,iva,dexl
202,Korn::N,tera,dexl
203,Heu::N,hein,sap
204,Schale::N,koor,qaşik
205,Grube::N,kaevand,çahl
206,Falle::N,lõks,dafik
207,Falle::N,püünis,dafik
208,Schlinge::N,aas,dahf
209,Spur::N,jälg,rêç
210,Asche::N,tuhk,xweli
211,Dreck::N,saast,gemarî
212,Dreck::N,mustus,gemarî
213,Eisen::N,raud,hesing
214,Gold::N,kuld,zêr
215,Silber::N,hõbe,zîv
216,Kohle::N,süsi,komir
217,Glas::N,klaas,qedeh
218,Lehm::N,savi,kelpîç
219,Sand::N,liiv,qûm
220,Mensch::N,inimene,mirov
221,Mann::N,mees,mêr
222,Frau::N,naine,jin
223,Kind::N,laps,zarok
224,Junge::N,poiss,kur
225,Mädchen::N,tüdruk,keç
226,Mädchen::N,tüdruk,keçik
227,Familie::N,perekond,malbat
228,Großvater::N,vanaisa,bapîr
229,Großmutter::N,vanaema,pîrik
230,Eltern::N,vanemad,bavudê
231,Vater::N,isa,bav
232,Mutter::N,ema,dê
233,Mutter::N,ema,dayik
234,Sohn::N,poeg,kur
235,Tochter::N,tütar,keç
236,Bruder::N,vend,bira
237,Schwester::N,õde,xweh
238,Onkel::N,onu,am
239,Onkel::N,onu,xal
240,Tante::N,tädi,metik
241,Tante::N,tädi,xaltîk
242,Ehemann::N,mees,mêr
243,Ehemann::N,abikaasa,mêr
