,Concept_ID,zh,mdf
0,Auge::N,眼睛,сельме
1,Ohr::N,耳朵,пиле
2,Nase::N,鼻子,шалхка
3,Mund::N,嘴,курга
4,Zahn::N,牙齿,пей
5,Zunge::N,舌头,кяль
6,Lippe::N,嘴唇,търва́
7,Wange::N,面颊,щёка
8,Gesicht::N,脸,шама
9,Stirn::N,额,коня
10,Haar::N,头发,шя́ярь
11,Schnurrbart::N,髭须,уса́
12,Bart::N,胡子,сакал
13,Kinn::N,下巴,ула
14,Kiefer[Anatomie]::N,颌,саласка
15,Kehle::N,嗓子,кълдома
16,Kehle::N,嗓子,кърга́парь
17,Hals::N,颈,сялдаз
18,Genick::N,后颈,шовонь
19,Kopf::N,头,пря
20,Rücken::N,背,копорь
21,Bauch::N,肚子,пеке
22,Nabel::N,肚脐,по́кон
23,Busen::N,胸脯,потя
24,Brust::N,胸,мяште
25,Schulter::N,肩膀,лафту
26,Arm::N,臂膀,кядь
27,Ellenbogen::N,肘,кенерьба́карь
28,Hand::N,手,кядь
29,Handfläche::N,手掌,кядьлапш
30,Finger::N,手指,сур
31,Fingernagel::N,指甲,кенже
32,Nagel[Anatomie]::N,指甲,кенже
33,Zeh::N,脚趾,пильгосу́р
34,Fuß::N,脚,пильге
35,Fuß::N,脚,пильгелапа
36,Ferse::N,后跟,кочкяря
37,Knie::N,膝,эль
38,Knie::N,膝,пълма́нжа
39,Oberschenkel::N,大腿,пильгепукша
40,Bein::N,腿,пильге
41,Körper::N,身体,ро́нга
42,Körper::N,身体,по́нда
43,Haut::N,皮肤,киське
44,Blut::N,血,вер
45,Ader::N,血管,сан
46,Ader::N,血管,верза́н
47,Sehne::N,腱,коське сан
48,Knochen::N,骨,пакарь
49,Gehirn::N,脑,уй
50,Herz::N,心,седи
51,Magen::N,胃,коткърдазь
52,Leber::N,肝,макса
53,Atem::N,呼吸,лекома
54,Atem::N,呼吸,ваймонь тарксема
55,Hunger::N,饿,вачеши
56,Träne::N,眼泪,сельмове́дь
57,Geschmack::N,味道,таньф
58,Geruch::N,气味,шине
59,Schlaf::N,睡眠,удома́
60,Traum::N,梦,он
61,Himmel::N,天空,менель
62,Sonne::N,太阳,ши
63,Mond::N,月亮,ков
64,Stern::N,星,тяште
65,Luft::N,空气,кожф
66,Wind::N,风,варма
67,Welle::N,波,тавла
68,Wasser::N,水,ведь
69,Stein::N,石头,кев
70,Boden::N,地面,мода
71,Boden::N,地面,потмакс
72,Erde::N,地,мода
73,Erde::N,地,мастор
74,Staub::N,灰尘,пуль
75,Rauch::N,烟,качам
76,Funke::N,火花,ця́тка
77,Feuer::N,火,тол
78,Licht::N,光,ва́лда
79,Schatten::N,影子,цильф
80,Wetter::N,天气,уша
81,Nebel::N,雾,тума́н
82,Wolke::N,云,ковол
83,Regen::N,雨,пизем
84,Schnee::N,雪,лов
85,Eis::N,冰,эй
86,Frost::N,霜冻,ке́льме
87,Kälte::N,寒冷,якшама
88,Hitze::N,炎热,пси
89,Raureif::N,霜,леш
90,Regenbogen::N,虹,а́тямъёнга
91,Donner::N,雷,атям
92,Strömung::N,水流,шудема́
93,Tropfen::N,滴,путькс
94,Tropfen::N,滴,пътняфкс
95,Schaum::N,泡沫,шов
96,Schmutz::N,赃物,ърда́з
97,See::N,湖,эрьхке
98,Sumpf::N,沼泽,шяй
99,Moor::N,沼泽,шяй
100,Wiese::N,草地,луга
101,Wald::N,森林,вирь
102,Hügel::N,丘陵,губо́р
103,Hügel::N,丘陵,пандоня
104,Anhöhe::N,山丘,губо́р
105,Berg::N,山,панда
106,Gipfel::N,峰,пря
107,Höhle::N,洞穴,у́нда
108,Abhang::N,斜坡,па́нда ша́ма
109,Quelle::N,泉,эшиня
110,Bach::N,溪,шудерькс
111,Fluss::N,河流,ляй
112,Ufer::N,岸,търва́
113,Küste::N,海岸,ляйтърва́
114,Festland::N,大陆,мода
115,Meer::N,海,моря
116,Bucht::N,海湾,ведьуське
117,Insel::N,岛,цёнга
118,Blume::N,花,панчф
119,Gras::N,草,тише
120,Wurzel::N,根,юр
121,Wurzel::N,根,ункс
122,Baum::N,树,шуфта
123,Stamm::N,树干,ро́нга
124,Rinde::N,树皮,кер
125,Ast::N,树枝,морга
126,Zweig::N,树枝,тарад
127,Blatt::N,叶子,лопа
128,Birke::N,桦木,ке́лу
129,Kiefer[Baum]::N,松树,пиче
130,Weide[Baum]::N,柳树,каль
131,Tanne::N,冷杉,куз
132,Horn::N,角,сюра
133,Feder::N,羽毛,толга
134,Fell::N,皮毛,кедь
135,Flügel::N,翅膀,паця
136,Klaue::N,爪子,кенже
137,Kralle::N,爪子,кенже
138,Schwanz::N,尾巴,пула
139,Ei::N,蛋,ал
140,Nest::N,巢,пиза
141,Bau::N,穴,пиза
142,Tier::N,动物,жува́та
143,Herde::N,群,нал
144,Herde::N,群,стада
145,Kuh::N,母牛,скал
146,Kuh::N,母牛,тракс
147,Bulle::N,公牛,бука
148,Pferd::N,马,лишме
149,Schaf::N,羊,уча́
150,Schwein::N,猪,тува
151,Hund::N,狗,пине
152,Katze::N,猫,катоня
153,Katze::N,猫,аваката
154,Bär::N,熊,офта
155,Eichhörnchen::N,松鼠,ур
156,Elch::N,麋鹿,ся́рда
157,Fuchs::N,狐狸,келазь
158,Hase::N,兔子,ну́мол
159,Maus::N,老鼠,шеер
160,Wolf::N,狼,върьгаз
161,Vogel::N,鸟,нармонь
162,Schwarm::N,群,ко́вол
163,Schwarm::N,群,ме́швеле
164,Huhn::N,鸡,сараз
165,Hahn::N,公鸡,а́тякш
166,Gans::N,鹅,маци
167,Adler::N,鹰,куцькан
168,Ente::N,鸭,яксярга
169,Eule::N,猫头鹰,ко́рож
170,Kranich::N,鹤,ка́рга
171,Krähe::N,乌鸦,ва́рси
172,Kuckuck::N,布谷鸟,ку́ку
173,Schwan::N,天鹅,ло́ксти
174,Fisch::N,鱼,кал
175,Barsch::N,鲈鱼,о́кунь
176,Hecht::N,狗鱼,щу́ка
177,Schlange[Tier]::N,蛇,куй
178,Wurm::N,蠕虫,сукс
179,Spinne::N,蜘蛛,унжа́
180,Ameise::N,蚂蚁,панжам
181,Laus::N,虱子,си
182,Mücke::N,蚊子,ся́ське
183,Fliege::N,苍蝇,кару
184,Schmetterling::N,蝴蝶,ме́лав
185,Beere::N,将果,и́мож
186,Apfel::N,苹果,марь
187,Pilz::N,蘑菇,панга
188,Zwiebel::N,洋葱,шурьхкя́
189,Saat::N,种子,видьмот
190,Korn::N,谷粒,сёра
191,Heu::N,干草,тише
192,Schale::N,壳,кедь
193,Grube::N,坑,лотка
194,Falle::N,圈套,туфкс
195,Falle::N,圈套,кунда́ма
196,Schlinge::N,活扣,килькш
197,Spur::N,踪迹,пильгоки́
198,Asche::N,灰烬,кулу
199,Dreck::N,污垢,ърда́з
200,Eisen::N,铁,кшни
201,Gold::N,金子,ока
202,Gold::N,金子,золота
203,Silber::N,银,сия́
204,Kohle::N,煤,седь
205,Kohle::N,煤,седьвальмя
206,Glas::N,玻璃,кля́нцек
207,Lehm::N,粘土,сёвонь
208,Sand::N,沙,шува́р
