,Concept_ID,vep,zh
0,Auge::N,sil'm,眼睛
1,Ohr::N,korv,耳朵
2,Nase::N,nena,鼻子
3,Mund::N,su,嘴
4,Zahn::N,pi,牙齿
5,Zahn::N,hambaz,牙齿
6,Zunge::N,kel',舌头
7,Lippe::N,hul',嘴唇
8,Wange::N,modpolišk,面颊
9,Gesicht::N,mod,脸
10,Stirn::N,oc,额
11,Haar::N,tuk,头发
12,Haar::N,hibuz,头发
13,Schnurrbart::N,habinod,髭须
14,Bart::N,bard,胡子
15,Kinn::N,löug,下巴
16,Kiefer[Anatomie]::N,hambazlu,颌
17,Kehle::N,kurk,嗓子
18,Hals::N,kagl,颈
19,Genick::N,tagarai,后颈
20,Kopf::N,pä,头
21,Rücken::N,sel'g,背
22,Bauch::N,vac,肚子
23,Bauch::N,koht,肚子
24,Nabel::N,naba,肚脐
25,Busen::N,niža,胸脯
26,Brust::N,rind,胸
27,Schulter::N,oug,肩膀
28,Arm::N,käzi,臂膀
29,Ellenbogen::N,künambruz,肘
30,Hand::N,käzi,手
31,Hand::N,käzitera,手
32,Handfläche::N,kämen,手掌
33,Finger::N,sor'm,手指
34,Fingernagel::N,künz',指甲
35,Nagel[Anatomie]::N,künz',指甲
36,Zeh::N,barbaz,脚趾
37,Fuß::N,jaug,脚
38,Ferse::N,kand,后跟
39,Knie::N,komb,膝
40,Knie::N,pol'v,膝
41,Oberschenkel::N,riiže,大腿
42,Bein::N,jaug,腿
43,Körper::N,hibj,身体
44,Haut::N,nahk,皮肤
45,Blut::N,čak,血
46,Blut::N,veri,血
47,Ader::N,son',血管
48,Sehne::N,jände,腱
49,Knochen::N,lu,骨
50,Gehirn::N,aivod,脑
51,Herz::N,südäin,心
52,Magen::N,südäikoht,胃
53,Leber::N,maks,肝
54,Atem::N,hengaiduz,呼吸
55,Hunger::N,näl'g,饿
56,Träne::N,kündal',眼泪
57,Geschmack::N,magu,味道
58,Geruch::N,haju,气味
59,Schlaf::N,uni,睡眠
60,Traum::N,unikuva,梦
61,Himmel::N,taivaz,天空
62,Sonne::N,päiväine,太阳
63,Mond::N,kudmaine,月亮
64,Stern::N,tähtaz,星
65,Luft::N,il'm,空气
66,Wind::N,döl,风
67,Wind::N,tullei,风
68,Welle::N,ald,波
69,Welle::N,laineh,波
70,Wasser::N,vezi,水
71,Stein::N,kivi,石头
72,Boden::N,ma,地面
73,Boden::N,pohj,地面
74,Erde::N,ma,地
75,Staub::N,pölü,灰尘
76,Rauch::N,savu,烟
77,Funke::N,kibin,火花
78,Feuer::N,lämoi,火
79,Licht::N,vauktuz,光
80,Schatten::N,pil'vez,影子
81,Schatten::N,kuvahaine,影子
82,Wetter::N,sä,天气
83,Nebel::N,sumeg,雾
84,Wolke::N,pil'v,云
85,Regen::N,vihm,雨
86,Schnee::N,lumi,雪
87,Eis::N,jä,冰
88,Frost::N,hala,霜冻
89,Frost::N,pakaine,霜冻
90,Kälte::N,vilu,寒冷
91,Hitze::N,räk,炎热
92,Raureif::N,hüde,霜
93,Regenbogen::N,jumalanbembel',虹
94,Donner::N,juru,雷
95,Donner::N,jumalanjuru,雷
96,Strömung::N,joksmuz,水流
97,Tropfen::N,tilkuine,滴
98,Schaum::N,vaht,泡沫
99,Schmutz::N,redu,赃物
100,Schmutz::N,pačak,赃物
101,See::N,järv,湖
102,Sumpf::N,so,沼泽
103,Moor::N,so,沼泽
104,Wiese::N,nit,草地
105,Wald::N,mec,森林
106,Hügel::N,kukaz,丘陵
107,Anhöhe::N,kukaz,山丘
108,Berg::N,mägi,山
109,Gipfel::N,ladv,峰
110,Höhle::N,mägionduz,洞穴
111,Abhang::N,paute,斜坡
112,Quelle::N,lähte,泉
113,Bach::N,oja,溪
114,Fluss::N,jogi,河流
115,Ufer::N,rand,岸
116,Küste::N,randišt,海岸
117,Festland::N,kuivma,大陆
118,Meer::N,meri,海
119,Bucht::N,laht,海湾
120,Insel::N,sar',岛
121,Blume::N,änik,花
122,Gras::N,hein,草
123,Wurzel::N,jur',根
124,Baum::N,pu,树
125,Stamm::N,tüvi,树干
126,Rinde::N,kor',树皮
127,Ast::N,oks,树枝
128,Zweig::N,oks,树枝
129,Zweig::N,barb,树枝
130,Blatt::N,lehtez,叶子
131,Birke::N,koiv,桦木
132,Kiefer[Baum]::N,pedai,松树
133,Weide[Baum]::N,raid,柳树
134,Tanne::N,kuz',冷杉
135,Horn::N,sar'v,角
136,Feder::N,höuneh,羽毛
137,Fell::N,nahk,皮毛
138,Flügel::N,suug,翅膀
139,Klaue::N,künz',爪子
140,Kralle::N,künz',爪子
141,Schwanz::N,händ,尾巴
142,Ei::N,muna,蛋
143,Nest::N,peza,巢
144,Bau::N,uru,穴
145,Tier::N,živat,动物
146,Herde::N,kogo,群
147,Kuh::N,lehm,母牛
148,Bulle::N,härg,公牛
149,Pferd::N,hebo,马
150,Schaf::N,lambaz,羊
151,Schwein::N,siga,猪
152,Hund::N,koir,狗
153,Katze::N,kaži,猫
154,Bär::N,kondi,熊
155,Eichhörnchen::N,orav,松鼠
156,Elch::N,hirb',麋鹿
157,Fuchs::N,reboi,狐狸
158,Hase::N,jäniš,兔子
159,Maus::N,hir',老鼠
160,Wolf::N,händikaz,狼
161,Vogel::N,lind,鸟
162,Schwarm::N,parveh,群
