,Concept_ID,sl,hi
0,Auge::N,okó,आँख
1,Auge::N,okó,चक्षु
2,Ohr::N,uhó,कान
3,Ohr::N,uhó,कर्ण
4,Nase::N,nós,नाक
5,Nase::N,nós,नासा
6,Mund::N,ústa,मुख
7,Mund::N,ústa,मुँह
8,Zahn::N,zób,दंत
9,Zahn::N,zób,दाँत
10,Zunge::N,jêzik,जीभ
11,Zunge::N,jêzik,ज़बान
12,Zunge::N,jêzik,जिह्वा
13,Lippe::N,ústnica,ओंठ
14,Lippe::N,ústnica,होंठ
15,Wange::N,líce,गाल
16,Wange::N,líce,कपोल
17,Gesicht::N,oblíčje,मुँह
18,Gesicht::N,oblíčje,चेहरा
19,Stirn::N,čêlo,माथा
20,Stirn::N,čêlo,मस्तक
21,Haar::N,lás,बाल
22,Schnurrbart::N,bŕki,मूँछें
23,Bart::N,bráda,दाढ़ी
24,Kinn::N,bráda,चिबुक
25,Kiefer[Anatomie]::N,čeljúst,जबड़ा
26,Kehle::N,gŕlo,गला
27,Hals::N,vrát,गला
28,Hals::N,vrát,गरदन
29,Genick::N,zatílnik,गरदन
30,Genick::N,zatílnik,ग्रीवा
31,Kopf::N,gláva,सिर
32,Kopf::N,gláva,शीर्ष
33,Rücken::N,hrbèt,पीठ
34,Bauch::N,trébuh,उदर
35,Nabel::N,pópek,नाभि
36,Nabel::N,pópek,ढोंढी
37,Busen::N,nédrja,कुच
38,Busen::N,nédrja,स्तन
39,Brust::N,pŕsi,वक्ष
40,Schulter::N,ráma,कंधा
41,Schulter::N,ráma,स्कंध
42,Schulter::N,plêče,कंधा
43,Schulter::N,plêče,स्कंध
44,Arm::N,rôka,बाँह
45,Arm::N,rôka,बाज़ू
46,Ellenbogen::N,komólec,कुहनी
47,Hand::N,rôka,हाथ
48,Hand::N,rôka,हस्त
49,Handfläche::N,dlán,हथेली
50,Finger::N,pŕst,उँगली
51,Finger::N,pŕst,अँगुली
52,Fingernagel::N,nóht na rôki,नख
53,Fingernagel::N,nóht na rôki,नाख़ून
54,Nagel[Anatomie]::N,nóht,नख
55,Nagel[Anatomie]::N,nóht,नाख़ून
56,Zeh::N,pŕst na nôgi,उँगली
57,Zeh::N,pŕst na nôgi,पाँव की उँगली
58,Fuß::N,nôga,चरण
59,Fuß::N,nôga,पाँव
60,Ferse::N,pêta,एड़ी
61,Knie::N,koléno,जानु
62,Knie::N,koléno,घुटना
63,Oberschenkel::N,stêgno,उरु
64,Bein::N,nôga,टाँग
65,Körper::N,teló,तन
66,Körper::N,teló,देह
67,Körper::N,teló,शरीर
68,Haut::N,kóža,चर्म
69,Haut::N,kóža,त्वचा
70,Blut::N,krí,लहू
71,Blut::N,krí,ख़ून
72,Ader::N,žíla,रग
73,Ader::N,žíla,शिरा
74,Sehne::N,kíta,कंडरा
75,Sehne::N,kíta,स्नायु
76,Knochen::N,kóst,अस्थि
77,Gehirn::N,možgáni,दिमाग़
78,Gehirn::N,možgáni,मस्तिष्क
79,Herz::N,srcé,दिल
80,Herz::N,srcé,हृदय
81,Magen::N,želódec,मेदा
82,Magen::N,želódec,अमाशय
83,Leber::N,jétra,जिगर
84,Leber::N,jétra,यकृत्
85,Atem::N,díh,दम
86,Atem::N,díh,साँस
87,Atem::N,díh,श्वास
88,Hunger::N,glád,भूख
89,Hunger::N,glád,क्षुधा
90,Träne::N,sólza,आँसू
91,Träne::N,sólza,अश्रु
92,Geschmack::N,okús,स्वाद
93,Geschmack::N,okús,ज़ायक़ा
94,Geruch::N,vónj,बू
95,Geruch::N,vónj,गंध
96,Schlaf::N,sèn,नींद
97,Schlaf::N,sèn,निद्रा
98,Schlaf::N,spánec,नींद
99,Schlaf::N,spánec,निद्रा
100,Traum::N,sánje,सपना
101,Traum::N,sánje,स्वप्न
102,Himmel::N,nebó,आकाश
103,Himmel::N,nebó,आसमान
104,Sonne::N,sónce,रवि
105,Sonne::N,sónce,सूरज
106,Sonne::N,sónce,सूर्य
107,Mond::N,lúna,चाँद
108,Mond::N,lúna,चंद्र
109,Mond::N,mésec,चाँद
110,Mond::N,mésec,चंद्र
111,Stern::N,zvézda,तारा
112,Stern::N,zvézda,सितारा
113,Luft::N,zràk,हवा
114,Luft::N,zràk,वायु
115,Wind::N,véter,पाद
116,Welle::N,vál,लहर
117,Welle::N,vál,तरंग
118,Wasser::N,vôda,जल
119,Wasser::N,vôda,पानी
120,Stein::N,kámen,पत्थर
121,Boden::N,tlà,मिट्टी
122,Erde::N,pŕst,भूमि
123,Erde::N,pŕst,ज़मीन
124,Erde::N,zêmlja,भूमि
125,Erde::N,zêmlja,ज़मीन
126,Staub::N,práh,धूल
127,Rauch::N,dìm,धूआँ
128,Rauch::N,dìm,धुम्र
129,Funke::N,ískra,चिनगारी
130,Funke::N,ískra,स्फुलिंग
131,Feuer::N,ôgenj,आग
132,Feuer::N,ôgenj,आतिश
133,Feuer::N,ôgenj,अग्नि
134,Licht::N,lúč,रोशनी
135,Licht::N,lúč,प्रकाश
136,Schatten::N,sénca,छाया
137,Schatten::N,sénca,परछाई
138,Wetter::N,vrême,ऋतु
139,Wetter::N,vrême,मौसम
140,Nebel::N,meglà,धुँध
141,Nebel::N,meglà,कुहरा
142,Wolke::N,oblák,मेघ
143,Wolke::N,oblák,अभ्र
144,Regen::N,dèž,मेंह
145,Regen::N,dèž,बारिश
146,Schnee::N,snég,हिम
147,Schnee::N,snég,बर्फ़
148,Eis::N,léd,हिम
149,Eis::N,léd,बर्फ़
150,Frost::N,zmrzál,ठंड
151,Kälte::N,mràz,सर्दी
152,Kälte::N,mràz,शीतलता
153,Hitze::N,pripéka,ताप
154,Hitze::N,pripéka,गरमी
155,Raureif::N,ívje,पाला
156,Raureif::N,slána,पाला
157,Regenbogen::N,mávrica,इंद्र-धनुष
158,Donner::N,gròm,गरज
159,Donner::N,gròm,मेघ-गर्जन
160,Strömung::N,strúja,बहाव
161,Strömung::N,strúja,प्रवाह
162,Tropfen::N,káplja,बूँद
163,Schaum::N,péna,झाग
164,Schmutz::N,nesnága,गंद
165,Schmutz::N,nesnága,कीचड़
166,See::N,jézero,झील
167,See::N,jézero,सरोवर
168,Sumpf::N,močvírje,दलदल
169,Sumpf::N,močvírje,धँसान
170,Moor::N,bárje,झाबर
171,Moor::N,bárje,धँसान
172,Wiese::N,trávnik,घास-स्थल
173,Wald::N,lés,जंगल
174,Wald::N,gòzd,जंगल
175,Hügel::N,brég,टीला
176,Hügel::N,brég,पहाड़
177,Hügel::N,goríca,टीला
178,Hügel::N,goríca,पहाड़
179,Anhöhe::N,gríč,टीला
180,Anhöhe::N,gríč,पहाड़ी
181,Anhöhe::N,višína,टीला
182,Anhöhe::N,višína,पहाड़ी
183,Berg::N,gôra,पहाड़
184,Berg::N,planína,पहाड़
185,Gipfel::N,vŕh,शिखर
186,Höhle::N,jáma,गुहा
187,Höhle::N,jáma,गुफ़ा
188,Höhle::N,votlína,गुहा
189,Höhle::N,votlína,गुफ़ा
190,Abhang::N,pobóčje,ढाल
191,Abhang::N,pobóčje,ढलान
192,Quelle::N,izvír,चश्मा
193,Bach::N,pôtok,सोता
194,Bach::N,pôtok,नदिका
195,Fluss::N,réka,नदी
196,Fluss::N,réka,सरिता
197,Ufer::N,brég,तट
198,Ufer::N,brég,किनारा
199,Küste::N,obála,समुद्र-तट
200,Küste::N,obréžje,समुद्र-तट
201,Festland::N,celína,महाद्वीप
202,Festland::N,kopnína,महाद्वीप
203,Meer::N,mórje,सागर
204,Meer::N,mórje,समुद्र
205,Bucht::N,zalív,खाड़ी
206,Insel::N,ôtok,टापू
207,Insel::N,ôtok,द्वीप
208,Blume::N,cvetlíca,फूल
209,Blume::N,cvetlíca,पुष्प
210,Gras::N,tráva,घास
211,Wurzel::N,korenína,मूल
212,Baum::N,drevó,पेड़
213,Baum::N,drevó,वृक्ष
214,Stamm::N,dêblo,धड़
215,Rinde::N,lúbje,छाल
216,Rinde::N,lúbje,वल्कल
217,Rinde::N,skórja,छाल
218,Rinde::N,skórja,वल्कल
219,Ast::N,véja,डाल
220,Ast::N,véja,शाखा
221,Zweig::N,véja,टहनी
222,Blatt::N,líst,पत्र
223,Blatt::N,líst,पत्ता
224,Birke::N,bréza,भूर्ज
225,Kiefer[Baum]::N,bòr,पाइन-वृक्ष
226,Weide[Baum]::N,vŕba,बेंत
227,Tanne::N,hója,फ़र
228,Horn::N,róg,सींग
229,Horn::N,róg,विषाण
230,Feder::N,peró,पर
231,Feder::N,peró,पंख
232,Fell::N,kŕzno,खाल
233,Fell::N,kŕzno,पशु-चर्म
234,Flügel::N,krílo,पंख
235,Flügel::N,krílo,डैना
236,Klaue::N,párkelj,पंजा
237,Kralle::N,krémpelj,पंजा
238,Kralle::N,krémpelj,नाख़ून
239,Schwanz::N,rèp,पूँछ
240,Ei::N,jájce,अंडा
241,Nest::N,gnézdo,नीड़
242,Nest::N,gnézdo,घोंसला
243,Bau::N,brlòg,बिल
244,Bau::N,brlòg,माँद
245,Tier::N,živál,पशु
246,Tier::N,živál,जानवर
247,Herde::N,čréda,गल्ला
248,Kuh::N,kráva,गौ
249,Kuh::N,kráva,गाय
250,Bulle::N,bìk,साँड़
251,Pferd::N,kònj,अश्व
252,Pferd::N,kònj,घोड़ा
253,Schaf::N,ôvca,भेड़
254,Schwein::N,svínja,शूकर
255,Hund::N,pès,श्वान
256,Hund::N,pès,कुत्ता
257,Katze::N,máčka,बिल्ली
258,Bär::N,mêdved,रीछ
259,Bär::N,mêdved,भालू
260,Eichhörnchen::N,véverica,गिलहरी
261,Elch::N,lós,एल्क
262,Fuchs::N,lisíca,लोमड़ी
263,Hase::N,zájec,खरहा
264,Hase::N,zájec,ख़रगोश
265,Maus::N,mìš,मूष
266,Maus::N,mìš,चूहा
267,Wolf::N,vólk,वृक
268,Wolf::N,vólk,भेड़िया
269,Vogel::N,ptìč,पक्षी
270,Vogel::N,ptìč,चिड़िया
271,Vogel::N,ptíca,पक्षी
272,Vogel::N,ptíca,चिड़िया
273,Schwarm::N,játa,झुंड
274,Huhn::N,kokóš,मुर्ग़ी
275,Hahn::N,petêlin,मुर्ग़ा
276,Gans::N,gós,हंस
277,Gans::N,gós,हंसिनी
278,Adler::N,ôrel,उक़ाब
279,Ente::N,ráca,बतख़
280,Ente::N,ráca,बत्तक
281,Eule::N,sôva,उल्लू
282,Kranich::N,žerjàv,सारस
283,Kranich::N,žerjàv,क्रौंंच
284,Krähe::N,vrána,काक
285,Kuckuck::N,kúkavica,कोयल
286,Kuckuck::N,kúkavica,कोकिल
287,Schwan::N,labód,हंस
288,Schwan::N,labód,मराल
289,Fisch::N,ríba,मछली
290,Fisch::N,ríba,मत्स्य
291,Barsch::N,ostríž,पर्च
292,Hecht::N,ščúka,पाइक
293,Schlange[Tier]::N,káča,सर्प
294,Wurm::N,čr̀v,कृमि
295,Wurm::N,čr̀v,कीड़ा
296,Wurm::N,glísta,कृमि
297,Wurm::N,glísta,कीड़ा
298,Spinne::N,pájek,लूता
299,Spinne::N,pájek,मकड़ी
300,Ameise::N,mrávlja,चींटी
301,Laus::N,úš,जूँ
302,Mücke::N,komár,डाँस
303,Fliege::N,múha,मक्खी
304,Fliege::N,múha,मक्षिका
305,Schmetterling::N,metúlj,तितली
306,Beere::N,jágoda,बेरी
307,Apfel::N,jábolko,सेब
308,Pilz::N,góba,खुंबी
309,Zwiebel::N,čebúla,प्याज़
310,Saat::N,séme,बीज
311,Korn::N,zŕno,दाना
312,Heu::N,senó,मूखी घास
313,Schale::N,lupína,बकला
314,Schale::N,lupína,छिलका
315,Grube::N,jáma,गड्ढा
316,Falle::N,pást,जाल
317,Falle::N,pást,फँदा
318,Schlinge::N,zánka,फँदा
319,Schlinge::N,pêtlja,फँदा
320,Spur::N,sléd,सुराग़
321,Spur::N,sléd,पद-चिह्न
322,Asche::N,pepél,राख
323,Dreck::N,bláto,मैल
324,Dreck::N,bláto,गंदगी
325,Eisen::N,želézo,लोहा
326,Gold::N,zlató,सोना
327,Gold::N,zlató,स्वर्ण
328,Silber::N,srebró,रजत
329,Silber::N,srebró,चाँदी
330,Kohle::N,ógel,कोयला
331,Glas::N,stêklo,काँच
332,Lehm::N,ílo,चिकनी मिट्टी
333,Sand::N,pések,रेत
334,Sand::N,pések,बालू
335,Mensch::N,člôvek,मानव
336,Mensch::N,člôvek,इनसान
337,Mensch::N,člôvek,मनुष्य
338,Mann::N,móž,आदमी
339,Mann::N,móž,पुरुष
