,Concept_ID,uz,xal
0,Auge::N,ko'z,нүдн
1,Ohr::N,quloq,чикн
2,Nase::N,burun,хамр
3,Mund::N,og'iz,амн
4,Zahn::N,tish,шүдн
5,Zunge::N,til,келн
6,Lippe::N,dudoq,урл
7,Wange::N,bet,халх
8,Gesicht::N,yuz,нүр
9,Stirn::N,manglay,маңна
10,Haar::N,soch,үсн
11,Schnurrbart::N,mo'ylov,сахл
12,Bart::N,soqol,сахл
13,Bart::N,soqol,өргнә сахл
14,Kinn::N,ängak,өргн
15,Kiefer[Anatomie]::N,iyak,өргн
16,Kehle::N,bo'g'iz,хол
17,Hals::N,bo'yin,күзүн
18,Genick::N,gardan,гиҗг
19,Kopf::N,bosh,толһа
20,Rücken::N,orqa,нурһн
21,Bauch::N,qorin,гесн
22,Nabel::N,kindik,киисн
23,Busen::N,ämchak,көкн
24,Brust::N,ko'krak,чееҗ
25,Schulter::N,elka,ээм
26,Arm::N,bilak,һар
27,Ellenbogen::N,tirsak,тоха
28,Hand::N,qo'l,баһлцг
29,Handfläche::N,kaft,альхн
30,Finger::N,barmoq,хурһн
31,Finger::N,barmoq,һарин хурһн
32,Fingernagel::N,tirnoq,хумсн
33,Nagel[Anatomie]::N,tirnoq,хумсн
34,Zeh::N,oyoq barmog'i,хурһн
35,Zeh::N,oyoq barmog'i,көлин хурһн
36,Fuß::N,oyoq,тавг
37,Ferse::N,tovon,өскә
38,Knie::N,tiz,өвдг
39,Oberschenkel::N,son,һуй
40,Bein::N,oyoq,көл
41,Körper::N,badna,махмуд
42,Haut::N,teri,арсн
43,Blut::N,qon,цусн
44,Ader::N,qon tomir,судцн
45,Sehne::N,tomir,шүрүсн
46,Knochen::N,suyak,ясн
47,Gehirn::N,miya,экн
48,Herz::N,qalb,зүркн
49,Magen::N,oshqozon,гесн
50,Leber::N,bag'ir,элкн
51,Atem::N,dam,әмсхл
52,Hunger::N,ochlik,харһнлһн
53,Träne::N,yosh,нульмсн
54,Geschmack::N,tam,амтн
55,Geruch::N,jid,үнр
56,Schlaf::N,uyqu,нөр
57,Traum::N,tush,зүүдн
58,Himmel::N,osmon,теңгр
59,Sonne::N,quyosh,нарн
60,Mond::N,oy,сар
61,Stern::N,yulduz,одн
62,Luft::N,havo,аһар
63,Wind::N,el,салькн
64,Welle::N,to'lqin,дольган
65,Wasser::N,suv,усн
66,Stein::N,tosh,чолун
67,Boden::N,tuproq,Һазр
68,Erde::N,er,Һазр
69,Staub::N,chang,тоосн
70,Rauch::N,tutun,утан
71,Funke::N,yalt,очн
72,Feuer::N,o't,һал
73,Licht::N,yorug',герл
74,Schatten::N,soya,сүүдр
75,Wetter::N,havo,теңгр
76,Nebel::N,tuman,будн
77,Wolke::N,bulut,үүлн
78,Regen::N,yomg'ir,хур
79,Schnee::N,qor,цасн
80,Eis::N,muz,мөсн
81,Frost::N,ajoz,киитн
82,Kälte::N,ajoz,киитн
83,Hitze::N,issiq,халун
84,Raureif::N,qirov,цаң
85,Raureif::N,qirov,кирү
86,Regenbogen::N,kamalak,солңһ
87,Donner::N,guldur,оһтрһун дун
88,Strömung::N,oqim,урсхл
89,Tropfen::N,tomchi,дусал
90,Schaum::N,ko'pik,көөсн
91,Schmutz::N,gard,кир
92,See::N,ko'l,нур
93,Sumpf::N,botqoq,унул
94,Moor::N,qir-adir,улм
95,Wiese::N,o'tzor,хадлһн
96,Wald::N,o'rmon,ө-модн
97,Hügel::N,tepa,толһа
98,Anhöhe::N,adir,хамр
99,Berg::N,tog',уул
100,Gipfel::N,cho'qqi,ора
101,Höhle::N,kavak,хадин көндә
102,Abhang::N,to'sh,ташу
103,Quelle::N,buloq,булг
104,Bach::N,o'zan,һооҗур
105,Fluss::N,daryo,һол
106,Ufer::N,sohil,көвә
107,Küste::N,qirg'oq,көвә
108,Küste::N,qirg'oq,теңгсин көвә
109,Festland::N,materik,хүүрә һазр
110,Meer::N,dengiz,теңгс
111,Bucht::N,qo'ltiq,цекә
112,Bucht::N,qo'ltiq,теңгсин цекә
113,Insel::N,orol,арл
114,Blume::N,gul,цецг
115,Gras::N,sabza,ноһан
116,Wurzel::N,tub,уңг
117,Wurzel::N,tomir,уңг
118,Baum::N,daraxt,модн
119,Stamm::N,o'simta,шилв
120,Stamm::N,o'simta,һол модн
121,Rinde::N,qobiq,көрсн
122,Ast::N,shox,ац
123,Zweig::N,butoq,ац
124,Blatt::N,barg,хамтхасн
125,Birke::N,qayin,хусм модн
126,Kiefer[Baum]::N,qarag'ay,шар харһа
127,Weide[Baum]::N,shum,удн
128,Tanne::N,archa,җөөлн цаһан модн
129,Horn::N,mugiz,өвр
130,Feder::N,par,өрвлг
131,Fell::N,mo'yna,арсн
132,Flügel::N,qanot,җивр
133,Klaue::N,tirnoq,хумсн
134,Kralle::N,tirnoq,тавг
135,Schwanz::N,quyruq,сүл
136,Ei::N,tuxum,өндгн
137,Nest::N,oshyon,үр
138,Bau::N,o'pqon,нүкн
139,Tier::N,hayvon,мал
140,Herde::N,gala,сүрг мал
141,Kuh::N,inak,үкр
142,Bulle::N,ho'kiz,бух
143,Pferd::N,ot,мөрн
144,Schaf::N,qo'y,хөн
145,Schwein::N,cho'chqa,һаха
146,Hund::N,it,ноха
147,Katze::N,mushuk,мис
148,Bär::N,ayiq,аю
149,Eichhörnchen::N,tiyin,кермн
150,Elch::N,los,хандһа
151,Fuchs::N,tulki,арат
152,Hase::N,kuyon,туула
153,Maus::N,sichqon,хулһн
154,Wolf::N,bo'ri,чон
155,Vogel::N,qush,шовун
156,Schwarm::N,to'da,зел
157,Huhn::N,tovuq,така
158,Hahn::N,xo'roz,эр така
159,Gans::N,g'oz,һалун
160,Adler::N,burgut,һәрд
161,Ente::N,o'rdak,нуһсн
162,Eule::N,boyo'g'li,һурвлһ
163,Kranich::N,turna,тоһрун
164,Krähe::N,qarg'a,шаазһа
165,Kuckuck::N,kakku,эргин хуцдг
166,Schwan::N,oqkush,хун
167,Fisch::N,baliq,заһсн
168,Barsch::N,olabug'a,шүрг
169,Hecht::N,cho'rtan,цурх
170,Schlange[Tier]::N,ilon,моһа
171,Wurm::N,qurt,өтн
172,Spinne::N,o'rgimchak,аралҗн
