,Concept_ID,fa,bg
0,Auge::N,چشم,око
1,Ohr::N,گوش,ухо
2,Nase::N,بینی,нос
3,Mund::N,دهان,уста
4,Zahn::N,دندان,зъб
5,Zunge::N,زبان,език
6,Lippe::N,لب,устна
7,Wange::N,لپ,буза
8,Gesicht::N,رو,лице
9,Gesicht::N,رو,образ
10,Gesicht::N,چهره,лице
11,Gesicht::N,چهره,образ
12,Stirn::N,پیشانی,чело
13,Haar::N,مو,коса
14,Haar::N,مو,косъм
15,Schnurrbart::N,سبیل,мустаци
16,Bart::N,ریش,брада
17,Kinn::N,چانه,брада
18,Kinn::N,چانه,брадичка
19,Kiefer[Anatomie]::N,فک,челюст
20,Kiefer[Anatomie]::N,آرواره,челюст
21,Kehle::N,حلق,гърло
22,Hals::N,گردن,врат
23,Genick::N,پشت گردن,тил
24,Kopf::N,سر,глава
25,Kopf::N,کله,глава
26,Rücken::N,پشت,гръб
27,Bauch::N,شکم,корем
28,Nabel::N,ناف,пъп
29,Busen::N,پستان,бозка
30,Brust::N,سینه,гръд
31,Schulter::N,دوش,рамо
32,Schulter::N,دوش,плещи
33,Schulter::N,شانه,рамо
34,Schulter::N,شانه,плещи
35,Arm::N,بازو,ръка
36,Ellenbogen::N,آرنج,лакът
37,Hand::N,دست,ръка
38,Hand::N,دست,китка
39,Handfläche::N,کف دست,длан
40,Finger::N,انگشت,пръст
41,Fingernagel::N,ناخن دست,нокът
42,Nagel[Anatomie]::N,ناخن,нокът
43,Zeh::N,انگشت پا,пръст на крак
44,Fuß::N,پا,крак
45,Fuß::N,پا,нога
46,Ferse::N,پاشنه,пета
47,Knie::N,زانو,коляно
48,Oberschenkel::N,ران,бедро
49,Bein::N,پا,крак
50,Bein::N,پا,нога
51,Bein::N,لنگ,крак
52,Bein::N,لنگ,нога
53,Körper::N,تن,тяло
54,Körper::N,بدن,тяло
55,Haut::N,پوست,кожа
56,Blut::N,خون,кръв
57,Ader::N,رگ,вена
58,Ader::N,رگ,артерия
59,Sehne::N,زردپی,жила
60,Sehne::N,زردپی,сухожилие
61,Knochen::N,استخوان,кост
62,Gehirn::N,مخ,мозък
63,Gehirn::N,مغز,мозък
64,Herz::N,دل,сърце
65,Herz::N,قلب,сърце
66,Magen::N,معده,стомах
67,Leber::N,کبد,черен дроб
68,Atem::N,نفس,дишане
69,Hunger::N,گرسنگی,глад
70,Träne::N,اشک,сълза
71,Geschmack::N,مزه,вкус
72,Geruch::N,بو,миризма
73,Schlaf::N,خواب,сън
74,Traum::N,رؤیا,сън
75,Himmel::N,فلک,небе
76,Himmel::N,آسمان,небе
77,Sonne::N,آفتاب,слънце
78,Sonne::N,خورشید,слънце
79,Mond::N,ماه,луна
80,Mond::N,ماه,месец
81,Stern::N,ستاره,звезда
82,Luft::N,هوا,въздух
83,Wind::N,باد,вятър
84,Welle::N,موج,вълна
85,Wasser::N,آب,вода
86,Stein::N,سنگ,камък
87,Boden::N,زمین,земя
88,Boden::N,زمین,почва
89,Erde::N,خاک,земя
90,Erde::N,خاک,почва
91,Erde::N,زمین,земя
92,Erde::N,زمین,почва
93,Staub::N,گرد,прах
94,Staub::N,غبار,прах
95,Rauch::N,دود,дим
96,Rauch::N,دود,пушек
97,Funke::N,جرقه,искра
98,Feuer::N,آتش,огън
99,Licht::N,نور,светлина
100,Licht::N,روشنی,светлина
101,Schatten::N,سایه,сянка
102,Wetter::N,هوا,време
103,Nebel::N,مه,мъгла
104,Wolke::N,ابر,облак
105,Regen::N,باران,дъжд
106,Schnee::N,برف,сняг
107,Eis::N,یخ,лед
108,Frost::N,یخبندان,мраз
109,Kälte::N,سرما,студ
110,Hitze::N,گرما,жега
111,Hitze::N,گرما,горещина
112,Hitze::N,حرارت,жега
113,Hitze::N,حرارت,горещина
114,Raureif::N,برف ریزه,скреж
115,Raureif::N,برف ریزه,слана
116,Regenbogen::N,رنگین‌کمان,дъга
117,Donner::N,رعد,гръм
118,Strömung::N,جریان,течение
119,Tropfen::N,قطره,капка
120,Schaum::N,کف,пяна
121,Schmutz::N,گل,кал
122,Schmutz::N,گل,мръсотия
123,Schmutz::N,کثافت,кал
124,Schmutz::N,کثافت,мръсотия
125,See::N,دریاچه,езеро
126,Sumpf::N,مرداب,блато
127,Sumpf::N,باتلاق,блато
128,Moor::N,باتلاق,мочурище
129,Wiese::N,چمن,ливада
130,Wald::N,جنگل,гора
131,Hügel::N,تل,рид
132,Hügel::N,تل,хълм
133,Hügel::N,تپه,рид
134,Hügel::N,تپه,хълм
135,Anhöhe::N,بلندی,могила
136,Anhöhe::N,بلندی,възвишение
137,Berg::N,کوه,планина
138,Gipfel::N,قله,връх
139,Höhle::N,غار,пещера
140,Abhang::N,سرازیری,склон
141,Abhang::N,سرازیری,стръмнина
142,Quelle::N,چشمه,извор
143,Bach::N,نهر,поток
144,Fluss::N,رود,река
145,Ufer::N,ساحل,бряг
146,Ufer::N,کرانه,бряг
147,Küste::N,ساحل,бряг
148,Küste::N,ساحل,крайбрежие
149,Festland::N,خشکی,суша
150,Meer::N,دریا,море
151,Bucht::N,خلیج,залив
152,Insel::N,جزیره,остров
153,Blume::N,گل,цвете
154,Gras::N,علف,трева
155,Wurzel::N,ریشه,корен
156,Baum::N,درخت,дърво
157,Stamm::N,تنه,стъбло
158,Rinde::N,توژ,кора
159,Rinde::N,پوست,кора
160,Ast::N,شاخه,клон
161,Zweig::N,شاخه,клон
162,Blatt::N,برگ,лист
163,Birke::N,غان,бреза
164,Kiefer[Baum]::N,کاج,бор
165,Weide[Baum]::N,بید,върба
166,Tanne::N,صنوبر,ела
167,Horn::N,شاخ,рог
168,Feder::N,پر,перо
169,Fell::N,خز,кожа
170,Flügel::N,پر,крило
171,Flügel::N,بال,крило
172,Klaue::N,چنگ,нокът
173,Klaue::N,پنجه,нокът
174,Kralle::N,پنجه,нокът
175,Schwanz::N,دم,опашка
176,Ei::N,تخم,яйце
177,Nest::N,لانه,гнездо
178,Bau::N,بنا,дупка
179,Bau::N,ساختمان,дупка
180,Tier::N,هیوان,животно
181,Herde::N,رمه,стадо
182,Kuh::N,گاو,крава
183,Bulle::N,گاو نر,бик
184,Pferd::N,اسب,кон
185,Schaf::N,گوسفند,овца
186,Schwein::N,خوک,свиня
187,Hund::N,سگ,куче
188,Katze::N,گربه,котка
189,Bär::N,خرس,мечка
190,Eichhörnchen::N,سنجاب,катерица
191,Elch::N,گوزن شمالی,лос
192,Fuchs::N,روباه,лисица
193,Hase::N,خرگوش,заек
194,Maus::N,موش,мишка
195,Wolf::N,گرگ,вълк
196,Vogel::N,پرنده,птица
197,Schwarm::N,دسته,рой
198,Schwarm::N,دسته,рояк
199,Huhn::N,مرغ,кокошка
200,Hahn::N,خروس,петел
201,Gans::N,غاز,гъска
202,Adler::N,عقاب,орел
203,Ente::N,اردک,патица
204,Ente::N,مرغابی,патица
205,Eule::N,جغد,сова
206,Kranich::N,درنا,жерав
207,Krähe::N,زاغ,врана
208,Krähe::N,کلاغ,врана
209,Kuckuck::N,فاخته,кукувица
210,Schwan::N,قو,лебед
211,Fisch::N,ماهی,риба
212,Barsch::N,ماهی خاردار,костур
213,Hecht::N,اردک ماهی,щука
214,Schlange[Tier]::N,مار,змия
215,Wurm::N,کرم,червей
216,Spinne::N,عنکبوت,паяк
217,Ameise::N,مورچه,мравка
218,Laus::N,شپش,въшка
219,Mücke::N,پشه,комар
220,Fliege::N,مگس,муха
221,Schmetterling::N,پروانه,пеперуда
222,Beere::N,گیله,плод
223,Apfel::N,سیب,ябълка
224,Pilz::N,قارچ,гъба
225,Zwiebel::N,پیاز,лук
226,Zwiebel::N,پیاز,кромид
227,Saat::N,بذر,семе
228,Korn::N,تخم,зърно
229,Korn::N,دانه,зърно
230,Heu::N,علف خشک,сено
231,Schale::N,پوست,кора
232,Grube::N,گودال,яма
233,Grube::N,گودال,дупка
234,Falle::N,دام,примка
235,Schlinge::N,حلقه,клуп
236,Spur::N,رد,диря
237,Spur::N,رد,следа
238,Asche::N,خاکستر,пепел
239,Dreck::N,کثافت,кал
240,Eisen::N,آهن,желязо
241,Gold::N,زر,злато
242,Gold::N,طلا,злато
243,Silber::N,نقره,сребро
244,Kohle::N,زغال,въглища
245,Glas::N,شیشه,стъкло
246,Lehm::N,گل,глина
247,Sand::N,شن,пясък
248,Sand::N,ماسه,пясък
249,Mensch::N,آدم,човек
250,Mensch::N,انسان,човек
251,Mann::N,مرد,мъж
252,Frau::N,زن,жена
253,Kind::N,بچه,дете
254,Kind::N,کودک,дете
255,Junge::N,پسر,момче
256,Mädchen::N,دختر,момиче
257,Familie::N,فامیل,фамилия
258,Familie::N,فامیل,семейство
259,Familie::N,خانواده,фамилия
260,Familie::N,خانواده,семейство
261,Großvater::N,پدربزرگ,дядо
262,Großmutter::N,مادر‌بزرگ,баба
263,Eltern::N,والدین,родители
264,Eltern::N,پدر‌و‌مادر,родители
265,Vater::N,پدر,баща
