,Concept_ID,sv,mn
0,Auge::N,öga,нүд
1,Ohr::N,öra,чих
2,Nase::N,näsa,хамар
3,Mund::N,mun,ам
4,Zahn::N,tand,шүд
5,Zunge::N,tunga,хэл
6,Lippe::N,läpp,уруул
7,Wange::N,kind,хацар
8,Gesicht::N,syn,царай
9,Gesicht::N,syn,нүүр
10,Gesicht::N,ansikte,царай
11,Gesicht::N,ansikte,нүүр
12,Stirn::N,panna,дух
13,Haar::N,hår,үс
14,Schnurrbart::N,mustasch,дээд сахал
15,Schnurrbart::N,mustasch,живэр сахал
16,Bart::N,skägg,сахал
17,Kinn::N,haka,эрүү
18,Kiefer[Anatomie]::N,käke,эрүү
19,Kehle::N,strupe,хоолой
20,Hals::N,hals,хүзүү
21,Genick::N,nacke,шил
22,Genick::N,nacke,хүзүү
23,Kopf::N,huvud,толгой
24,Rücken::N,rygg,ар
25,Rücken::N,rygg,нуруу
26,Bauch::N,buk,хэвлий
27,Bauch::N,buk,гэдэс
28,Bauch::N,mage,хэвлий
29,Bauch::N,mage,гэдэс
30,Nabel::N,navel,хүйс
31,Busen::N,barm,хөх
32,Brust::N,bröst,цээж
33,Schulter::N,skuldra,мөр
34,Schulter::N,skuldra,бугалга
35,Arm::N,arm,гар
36,Ellenbogen::N,armbåge,тохой
37,Hand::N,hand,гар
38,Hand::N,hand,алга
39,Handfläche::N,handflata,алга
40,Finger::N,finger,хуруу
41,Fingernagel::N,fingernagel,хурууны хумс
42,Nagel[Anatomie]::N,nagel,хумс
43,Zeh::N,tå,хуруу
44,Fuß::N,fot,хөл
45,Ferse::N,häl,өсгий
46,Knie::N,knä,өвдөг
47,Oberschenkel::N,lår,гуя
48,Bein::N,ben,хөл
49,Körper::N,kropp,бие
50,Haut::N,hud,арьс
51,Haut::N,skinn,арьс
52,Blut::N,blod,цус
53,Ader::N,åder,судас
54,Sehne::N,sena,бүлх
55,Sehne::N,sena,шандас
56,Knochen::N,ben,яс
57,Gehirn::N,hjärna,тархи
58,Herz::N,hjärta,зүрх
59,Magen::N,mage,ходоод
60,Leber::N,lever,элэг
61,Atem::N,anda,амьсгаа
62,Atem::N,andedräkt,амьсгаа
63,Hunger::N,svält,өлсгөлөн
64,Hunger::N,hunger,өлсгөлөн
65,Träne::N,tår,нулимс
66,Geschmack::N,smak,амт
67,Geruch::N,lukt,үнэр
68,Schlaf::N,sömn,нойр
69,Traum::N,dröm,зүүд
70,Himmel::N,himmel,тэнгэр
71,Himmel::N,himmel,огторгуй
72,Sonne::N,sol,нар
73,Mond::N,måne,сар
74,Stern::N,stjärna,од
75,Luft::N,luft,агаар
76,Wind::N,vind,салхи
77,Welle::N,våg,долгио
78,Welle::N,våg,давалгаа
79,Welle::N,bölja,долгио
80,Welle::N,bölja,давалгаа
81,Wasser::N,vatten,ус
82,Stein::N,sten,чулуу
83,Boden::N,mark,хөрс
84,Erde::N,jord,газар
85,Erde::N,jord,шороо
86,Staub::N,damm,тоос
87,Rauch::N,rök,утаа
88,Funke::N,gnista,оч
89,Feuer::N,eld,гал
90,Licht::N,ljus,гэрэл
91,Licht::N,ljus,гэгээ
92,Schatten::N,skugga,сүүдэр
93,Wetter::N,väder,тэнгэр
94,Wetter::N,väder,цаг уур
95,Nebel::N,dimma,будан
96,Nebel::N,töcken,будан
97,Wolke::N,sky,үүл
98,Wolke::N,moln,үүл
99,Regen::N,regn,бороо
100,Schnee::N,snö,цас
101,Eis::N,is,мөс
102,Frost::N,frost,хүйт
103,Kälte::N,köld,хүйт
104,Hitze::N,hetta,халуун
105,Raureif::N,rimfrost,цан
106,Raureif::N,rimfrost,хяруу
107,Regenbogen::N,regnbåge,солонго
108,Donner::N,åska,тэнгэрийн дуу
109,Donner::N,dunder,тэнгэрийн дуу
110,Strömung::N,strömning,урсгал
111,Tropfen::N,dropper,дусал
112,Schaum::N,skum,хөөс
113,Schmutz::N,lort,хир
114,Schmutz::N,lort,шавхай
115,Schmutz::N,smuts,хир
116,Schmutz::N,smuts,шавхай
117,See::N,sjö,нуур
118,Sumpf::N,träsk,намаг
119,Sumpf::N,träsk,балчиг
120,Moor::N,myr,хүлрийн намаг
121,Moor::N,mosse,хүлрийн намаг
122,Wiese::N,äng,нуга
123,Wald::N,skog,ой
124,Hügel::N,höjd,болдог
125,Hügel::N,kulle,болдог
126,Anhöhe::N,höjd,гүвээ
127,Anhöhe::N,backe,гүвээ
128,Berg::N,berg,уул
129,Berg::N,fjäll,уул
130,Gipfel::N,topp,орой
131,Gipfel::N,topp,оргил
132,Höhle::N,håla,агуй
133,Höhle::N,grotta,агуй
134,Abhang::N,slänt,хүр
135,Abhang::N,sluttning,хүр
136,Quelle::N,källa,булаг
137,Bach::N,bäck,горхи
138,Fluss::N,älv,гол
139,Fluss::N,älv,мөрөн
140,Fluss::N,flod,гол
141,Fluss::N,flod,мөрөн
142,Ufer::N,strand,эрэг
143,Küste::N,kust,эрэг
144,Festland::N,fastland,хуурай газар
145,Meer::N,hav,далай
146,Meer::N,hav,тэнгис
147,Bucht::N,vik,булан
148,Bucht::N,vik,далайн тохой
149,Bucht::N,bukt,булан
150,Bucht::N,bukt,далайн тохой
151,Insel::N,ö,арал
152,Blume::N,blomma,цэцэг
153,Blume::N,blomster,цэцэг
154,Gras::N,gräs,өвс
155,Gras::N,gräs,ногоо
156,Wurzel::N,rot,үндэс
157,Baum::N,träd,мод
158,Stamm::N,stam,иш
159,Stamm::N,stam,гуалин
160,Rinde::N,bark,холтос
161,Ast::N,gren,гишүү
162,Zweig::N,kvist,салаа
163,Blatt::N,löv,навч
164,Blatt::N,blad,навч
165,Birke::N,björk,хус
166,Kiefer[Baum]::N,tall,нарс
167,Weide[Baum]::N,pil,уд
168,Weide[Baum]::N,pil,бургас
169,Weide[Baum]::N,vide,уд
170,Weide[Baum]::N,vide,бургас
171,Tanne::N,gran,гачуур
172,Horn::N,horn,эвэр
173,Feder::N,fjäder,өд
174,Fell::N,fäll,арьс
175,Fell::N,skinn,арьс
176,Flügel::N,vinge,жигүүр
177,Flügel::N,vinge,далавч
178,Klaue::N,klöv,савар
179,Klaue::N,klöv,хумс
180,Kralle::N,klo,савар
181,Schwanz::N,svans,сүүл
182,Schwanz::N,stjärt,сүүл
183,Ei::N,ägg,өндөг
184,Nest::N,rede,үүр
185,Nest::N,näste,үүр
186,Bau::N,bo,нүх
187,Bau::N,bo,элүү
188,Tier::N,djur,амьтан
189,Tier::N,djur,адгуус
190,Herde::N,flock,сүрэг
191,Kuh::N,ko,үнээ
192,Bulle::N,tjur,бух
193,Pferd::N,häst,морь
194,Pferd::N,häst,адуу
195,Schaf::N,får,хонь
196,Schwein::N,svin,гахай
197,Hund::N,hund,нохой
198,Katze::N,katt,муур
199,Katze::N,katt,мигуй
200,Bär::N,björn,баавгай
201,Eichhörnchen::N,ekorre,хэрэм
202,Elch::N,älg,хандгай
203,Fuchs::N,räv,үнэг
204,Hase::N,hare,туулай
205,Maus::N,mus,хулгана
206,Wolf::N,varg,чоно
207,Vogel::N,fågel,шувуу
208,Schwarm::N,svärm,сүрэг
209,Huhn::N,höns,тахиа
210,Hahn::N,tupp,эр тахиа
211,Gans::N,gås,галуу
212,Adler::N,örn,бүргэд
213,Ente::N,anka,нугас
214,Eule::N,uggla,ууль
215,Kranich::N,trana,тогоруу
216,Krähe::N,kråka,хэрээ
217,Kuckuck::N,gök,хөхөө
218,Schwan::N,svan,хун
219,Fisch::N,fisk,загас
220,Barsch::N,abborre,алгана
221,Hecht::N,gädda,цурхай
222,Schlange[Tier]::N,orm,могой
223,Wurm::N,mask,өт
224,Wurm::N,mask,хорхой
225,Spinne::N,spindel,аалз
226,Ameise::N,myra,шоргоолж
227,Laus::N,lus,бөөс
228,Mücke::N,mygga,шумуул
229,Fliege::N,fluga,ялаа
230,Schmetterling::N,fjäril,эрвээхэй
231,Beere::N,bär,жимсгэнэ
232,Apfel::N,äpple,алим
233,Pilz::N,svamp,мөөг
234,Zwiebel::N,lök,сонгино
235,Saat::N,sådd,тариа
236,Korn::N,korn,үр
237,Korn::N,korn,мөхлөг
238,Heu::N,hö,өвс
239,Schale::N,skal,хальс
240,Grube::N,grop,алам
241,Grube::N,grop,нүх
242,Falle::N,fälla,хавх
243,Falle::N,fälla,занга
244,Schlinge::N,snara,урхи
245,Spur::N,spår,мөр
246,Asche::N,aska,үнс
247,Dreck::N,lort,хир
248,Eisen::N,järn,төмөр
249,Gold::N,guld,алт
250,Silber::N,silver,мөнгө
251,Kohle::N,kol,нүүрс
252,Glas::N,glas,шил
253,Lehm::N,lera,шавар
254,Sand::N,sand,элс
255,Mensch::N,människa,хүн
256,Mann::N,man,эр
257,Mann::N,man,эрэгтэй
258,Frau::N,kvinna,эмэгтэй
259,Frau::N,kvinna,хатагтай
260,Kind::N,barn,хүүхэд
261,Junge::N,pojke,хүү
262,Mädchen::N,flicka,охин
263,Mädchen::N,flicka,бүсгүй
264,Familie::N,familj,айл
265,Großvater::N,morfar,өвгөн аав
266,Großmutter::N,farmor,эмэг эх
267,Großmutter::N,farmor,эмгээ
268,Eltern::N,föräldrar,эцэг эх
269,Vater::N,far,аав
270,Vater::N,far,эцэг
271,Mutter::N,mor,эх
272,Mutter::N,mor,ээж
273,Sohn::N,son,хүү
274,Tochter::N,dotter,охин
275,Bruder::N,bror,ах
276,Bruder::N,bror,дүү
277,Schwester::N,syster,эгч
278,Schwester::N,syster,охин дүү
279,Onkel::N,morbror,авга ах
280,Onkel::N,morbror,нагац ах
