,Concept_ID,hr,mhr
0,Auge::N,oko,шинча́
1,Ohr::N,uho,пы́лыш
2,Nase::N,nos,нер
3,Mund::N,usta,умша́
4,Zahn::N,zub,пӱй
5,Zunge::N,jezik,йы́лме
6,Lippe::N,usna,тӱ́рвӧ
7,Wange::N,obraz,шӱ́ргӧ
8,Gesicht::N,lice,чури́й
9,Stirn::N,čelo,саҥга́
10,Haar::N,kosa,ӱп
11,Schnurrbart::N,brkovi,ӧ́рыш
12,Bart::N,brada,понда́ш
13,Kinn::N,brada,оҥыла́ш
14,Kinn::N,podbradak,оҥыла́ш
15,Kiefer[Anatomie]::N,čeljust,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,čeljust,пӱйората́
17,Kehle::N,grlo,лога́р
18,Hals::N,vrat,шӱй
19,Genick::N,zatiljak,шӱйло́дыш
20,Kopf::N,glava,вуй
21,Rücken::N,leđa,туп
22,Rücken::N,hrbat,туп
23,Bauch::N,trbuh,мӱ́шкыр
24,Nabel::N,pupak,кы́лымде
25,Busen::N,sisa,чы́зе
26,Busen::N,njedra,чы́зе
27,Brust::N,prsa,оҥ
28,Schulter::N,rame,ва́че
29,Schulter::N,pleći,ва́че
30,Arm::N,ruka,кид
31,Ellenbogen::N,lakat,кынерву́й
32,Hand::N,ruka,кид
33,Hand::N,ruka,копа́
34,Handfläche::N,dlan,со́во
35,Finger::N,prst,парня́
36,Fingernagel::N,nokat,кидкӱ́ч
37,Fingernagel::N,nokat,парнягӱ́ч
38,Nagel[Anatomie]::N,nokat,кӱч
39,Zeh::N,nozni prst,йолварня́
40,Fuß::N,noga,йол
41,Fuß::N,noga,йолкопа́
42,Fuß::N,stopalo,йол
43,Fuß::N,stopalo,йолкопа́
44,Ferse::N,peta,тага́н
45,Knie::N,koljeno,пулву́й
46,Oberschenkel::N,bedro,э́рде
47,Bein::N,noga,йол
48,Körper::N,tijelo,кап
49,Haut::N,put,кова́ште
50,Haut::N,koža,кова́ште
