,Concept_ID,cv,kn
0,Auge::N,куҫ,ಕಣ್ಣು
1,Ohr::N,хӑлха,ಕಿವಿ
2,Nase::N,сӑмса,ಮೂಗು
3,Mund::N,ҫӑвар,ಬಾಯಿ
4,Zahn::N,шӑл,ಹಲ್ಲು
5,Zunge::N,чӗлхе,ನಾಲಿಗೆ
6,Lippe::N,тута,ತುಟಿ
7,Wange::N,пит ҫӑмарти,ಗಲ್ಲ
8,Gesicht::N,пит,ಮುಖ
9,Gesicht::N,пит-куҫ,ಮುಖ
10,Stirn::N,ҫамка,ಹಣೆ
11,Haar::N,ҫӳҫ,ಕೂದಲು
12,Schnurrbart::N,усси,ಮೀಸೆ
13,Bart::N,сухал,ಗಡ್ಡ
14,Kinn::N,янах,ಗದ್ದ
15,Kiefer[Anatomie]::N,янах,ದವಡೆ
16,Kehle::N,пыр,ಗಂಟಲು
17,Kehle::N,карланкӑ,ಗಂಟಲು
18,Hals::N,пыр,ಕೊರಳು
19,Genick::N,ӗнсе,ಹಿಂಗತ್ತು
20,Kopf::N,пуҫ,ತಲೆ
21,Rücken::N,ҫурӑм,ಬೆನ್ನು
22,Nabel::N,кӑвапа,ಹೊಕ್ಕುಳು
23,Busen::N,кӑкӑр,ಸ್ತನ
24,Brust::N,умӗ,ಎದೆ
25,Schulter::N,хул пуҫҫи,ಭುಜ
26,Arm::N,алӑ,ತೋಳು
27,Ellenbogen::N,чавса,ಮೊಣಕೈ
28,Hand::N,алӑ сыппи,ಕೈ
29,Handfläche::N,ал лаппи,ಅಂಗೈ
30,Finger::N,пӳрне,ಕೈಬೆರಳು
31,Fingernagel::N,чӗрне,ಉಗುರು
32,Nagel[Anatomie]::N,чӗрне,ಉಗುರು
33,Zeh::N,пӳрне,ಕಾಲ್ಬೆರಳು
34,Fuß::N,ура лаппи,ಪಾದ
35,Ferse::N,кӗле,ಹಿಮ್ಮಡಿ
36,Knie::N,чӗркуҫҫи,ಮಂಡಿ
37,Oberschenkel::N,пӗҫӗ,ತೊಡೆ
38,Bein::N,ура,ಕಾಲು
39,Körper::N,ӳт,ದೇಹ
40,Körper::N,ӳт-пӳ,ದೇಹ
41,Haut::N,тир,ಚರ್ಮ
42,Blut::N,юн,ರಕ್ತ
43,Ader::N,вена,ನರ
44,Sehne::N,шӑнӑр,ನರ
45,Knochen::N,шӑмӑ,ಮೂಳೆ
46,Gehirn::N,миме,ಮಿದುಳು
47,Herz::N,чӗре,ಹೃದಯ
48,Magen::N,хырӑмлӑх,ಉದರ
49,Leber::N,пӗвер,ಯಕೃತ್ತು
50,Atem::N,сывлав,ಉಸಿರು
51,Hunger::N,выҫлӑх,ಹಸಿವು
52,Träne::N,куҫҫуль,ಕಣ್ಣೀರು
53,Geschmack::N,техӗм,ರುಚಿ
54,Geruch::N,шӑршӑ,ವಾಸನೆ
55,Schlaf::N,ыйхӑ,ನಿದ್ರೆ
56,Traum::N,тӗлӗк,ಕನಸು
57,Himmel::N,пӗлӗт,ಬಾನು
58,Sonne::N,хӗвел,ಸೂರ್ಯ
59,Mond::N,уйӑх,ಚಂದ್ರ
60,Stern::N,ҫӑлтӑр,ಚುಕ್ಕಿ
61,Luft::N,сывлӑш,ವಾಯು
62,Wind::N,ҫил,ಗಾಳಿ
63,Welle::N,хум,ಅಲೆ
64,Wasser::N,шыв,ನೀರು
65,Wasser::N,шыв-шур,ನೀರು
66,Stein::N,чул,ಕಲ್ಲು
67,Boden::N,тӑпра,ನೆಲ
68,Erde::N,ҫӗр,ಭೂಮಿ
69,Staub::N,тусан,ದೂಳು
70,Rauch::N,тӗтӗм,ಹೊಗೆ
71,Funke::N,хӗм,ಕಿಡಿ
72,Feuer::N,вут,ಬೆಂಕಿ
73,Feuer::N,ҫулӑм,ಬೆಂಕಿ
74,Licht::N,ҫутӑ,ಬೆಳಕು
75,Schatten::N,сулхӑн,ನೆರಳು
76,Wetter::N,ҫанталӑк,ಹವ
77,Nebel::N,тӗтре,ಮಂಜು
78,Wolke::N,пӗлӗт,ಮೋಡ
79,Regen::N,ҫумӑр,ಮಳೆ
80,Schnee::N,юр,ಹಿಮ
81,Eis::N,пӑр,ಮಂಜುಗಡ್ಡೆ
82,Frost::N,сивӗ,ಮಂಜು
83,Kälte::N,сивӗ,ಹಿಮ
84,Hitze::N,вӗри,ಉಷ್ಣ
85,Hitze::N,шӑрӑх,ಉಷ್ಣ
86,Raureif::N,пас,ಇಬ್ಬನಿ
87,Regenbogen::N,асамат кӗперӗ,ಇಂದ್ರಚಾಪ
88,Donner::N,аслати,ಗುಡುಗು
89,Strömung::N,юхӑ,ಪ್ರವಾಹ
90,Tropfen::N,тумлам,ತೊಟ್ಟು
91,Schaum::N,кӑпӑк,ನೊರೆ
92,Schmutz::N,пылчӑк,ಕಸ
93,See::N,кӳлӗ,ಸರೋವರ
94,Sumpf::N,шур,ಜೌಗುಸ್ಥಳ
95,Sumpf::N,шурлӑх,ಜೌಗುಸ್ಥಳ
96,Moor::N,торфлӑ шурлӑх,ಬಂಜರು ಭೂಮಿ
97,Wiese::N,улӑх,ಹುಲ್ಲುಗಾವಲು
98,Wiese::N,ҫаран,ಹುಲ್ಲುಗಾವಲು
99,Wald::N,вӑрман,ಕಾಡು
100,Hügel::N,сӑрт,ಗುಡ್ಡೆ
101,Hügel::N,тӗмеске,ಗುಡ್ಡೆ
102,Anhöhe::N,сӑрт,ದಿಬ್ಬ
103,Berg::N,ту,ಮಲೆ
104,Berg::N,ту,ಪರ್ವತ
105,Gipfel::N,тӳпе,ಶೃಂಗ
106,Höhle::N,ҫӗр хӑвӑлӗ,ಗುಹೆ
107,Abhang::N,тӑвайкки,ಇಳಿಜಾರು
108,Quelle::N,ҫӑл куҫ,ಮೂಲ
109,Bach::N,пӗчӗк шыв,ತೊರೆ
110,Fluss::N,юхан шыв,ನದಿ
111,Ufer::N,ҫыран,ತೀರ
112,Küste::N,тинӗс ҫыранӗ,ದಂಡೆ
113,Festland::N,тип ҫӗр,ಭೂಮಿ
114,Meer::N,тинӗс,ಕಡಲು
115,Bucht::N,тинӗс кукӑрӗ,ಖಾರಿ
116,Insel::N,утрав,ದ್ವೀಪ
117,Blume::N,чечек,ಸುಮ
118,Gras::N,курӑк,ಹುಲ್ಲು
119,Wurzel::N,тымар,ಬೇರು
120,Baum::N,йывӑҫ,ಮರ
