,Concept_ID,cv,fr
0,Auge::N,куҫ,œil
1,Ohr::N,хӑлха,oreille
2,Nase::N,сӑмса,nez
3,Mund::N,ҫӑвар,bouche
4,Zahn::N,шӑл,dent
5,Zunge::N,чӗлхе,langue
6,Lippe::N,тута,lèvre
7,Wange::N,пит ҫӑмарти,joue
8,Gesicht::N,пит,face
9,Gesicht::N,пит,visage
10,Gesicht::N,пит-куҫ,face
11,Gesicht::N,пит-куҫ,visage
12,Stirn::N,ҫамка,front
13,Haar::N,ҫӳҫ,cheveu
14,Schnurrbart::N,усси,moustache
15,Bart::N,сухал,barbe
16,Kinn::N,янах,menton
17,Kiefer[Anatomie]::N,янах,mâchoire
18,Kehle::N,пыр,gorge
19,Kehle::N,карланкӑ,gorge
20,Hals::N,пыр,cou
21,Genick::N,ӗнсе,nuque
22,Kopf::N,пуҫ,tête
23,Rücken::N,ҫурӑм,dos
24,Nabel::N,кӑвапа,nombril
25,Busen::N,кӑкӑр,sein
26,Brust::N,умӗ,poitrine
27,Schulter::N,хул пуҫҫи,épaule
28,Arm::N,алӑ,bras
29,Ellenbogen::N,чавса,coude
30,Hand::N,алӑ сыппи,main
31,Handfläche::N,ал лаппи,paume
32,Finger::N,пӳрне,doigt
33,Fingernagel::N,чӗрне,ongle
34,Nagel[Anatomie]::N,чӗрне,ongle
35,Zeh::N,пӳрне,orteil
36,Zeh::N,пӳрне,doigt de pied
37,Fuß::N,ура лаппи,pied
38,Ferse::N,кӗле,talon
39,Knie::N,чӗркуҫҫи,genou
40,Oberschenkel::N,пӗҫӗ,cuisse
41,Bein::N,ура,jambe
42,Körper::N,ӳт,corps
43,Körper::N,ӳт-пӳ,corps
44,Haut::N,тир,peau
45,Blut::N,юн,sang
46,Ader::N,вена,veine
47,Sehne::N,шӑнӑр,tendon
48,Knochen::N,шӑмӑ,os
49,Gehirn::N,миме,cerveau
50,Herz::N,чӗре,cœur
51,Magen::N,хырӑмлӑх,estomac
52,Leber::N,пӗвер,foie
53,Atem::N,сывлав,haleine
54,Hunger::N,выҫлӑх,faim
55,Träne::N,куҫҫуль,larme
56,Geschmack::N,техӗм,goût
57,Geschmack::N,техӗм,saveur
58,Geruch::N,шӑршӑ,odeur
59,Schlaf::N,ыйхӑ,sommeil
60,Traum::N,тӗлӗк,songe
61,Himmel::N,пӗлӗт,ciel
62,Sonne::N,хӗвел,soleil
63,Mond::N,уйӑх,lune
64,Stern::N,ҫӑлтӑр,étoile
65,Luft::N,сывлӑш,air
66,Wind::N,ҫил,vent
67,Welle::N,хум,vague
68,Wasser::N,шыв,eau
69,Wasser::N,шыв-шур,eau
70,Stein::N,чул,pierre
71,Boden::N,тӑпра,sol
72,Boden::N,тӑпра,terrain
73,Erde::N,ҫӗр,terre
74,Staub::N,тусан,poussière
75,Rauch::N,тӗтӗм,fumée
76,Funke::N,хӗм,étincelle
77,Feuer::N,вут,feu
78,Feuer::N,ҫулӑм,feu
79,Licht::N,ҫутӑ,lumière
80,Schatten::N,сулхӑн,ombre
81,Wetter::N,ҫанталӑк,temps
82,Nebel::N,тӗтре,brume
83,Nebel::N,тӗтре,brouillard
84,Wolke::N,пӗлӗт,nuage
85,Regen::N,ҫумӑр,pluie
86,Schnee::N,юр,neige
87,Eis::N,пӑр,glace
88,Frost::N,сивӗ,gel
89,Frost::N,сивӗ,gelée
90,Kälte::N,сивӗ,froid
91,Hitze::N,вӗри,chaleur
92,Hitze::N,шӑрӑх,chaleur
93,Raureif::N,пас,givre
94,Regenbogen::N,асамат кӗперӗ,arc-en-ciel
95,Donner::N,аслати,tonnerre
96,Strömung::N,юхӑ,courant
97,Tropfen::N,тумлам,goutte
98,Schaum::N,кӑпӑк,écume
99,Schaum::N,кӑпӑк,mousse
100,Schmutz::N,пылчӑк,boue
101,Schmutz::N,пылчӑк,saleté
102,See::N,кӳлӗ,lac
103,Sumpf::N,шур,marais
104,Sumpf::N,шур,marécage
105,Sumpf::N,шурлӑх,marais
106,Sumpf::N,шурлӑх,marécage
107,Moor::N,торфлӑ шурлӑх,tourbière
108,Wiese::N,улӑх,pré
109,Wiese::N,ҫаран,pré
110,Wald::N,вӑрман,bois
111,Wald::N,вӑрман,forêt
112,Hügel::N,сӑрт,coteau
113,Hügel::N,сӑрт,colline
114,Hügel::N,тӗмеске,coteau
115,Hügel::N,тӗмеске,colline
116,Anhöhe::N,сӑрт,éminence
117,Anhöhe::N,сӑрт,élévation
118,Berg::N,ту,mont
119,Berg::N,ту,montagne
120,Gipfel::N,тӳпе,cime
121,Gipfel::N,тӳпе,sommet
122,Höhle::N,ҫӗр хӑвӑлӗ,caverne
123,Abhang::N,тӑвайкки,pente
124,Abhang::N,тӑвайкки,versant
125,Quelle::N,ҫӑл куҫ,source
126,Quelle::N,ҫӑл куҫ,fontaine
127,Bach::N,пӗчӗк шыв,ruisseau
128,Fluss::N,юхан шыв,fleuve
129,Fluss::N,юхан шыв,rivière
130,Ufer::N,ҫыран,bord
131,Ufer::N,ҫыран,rivage
132,Küste::N,тинӗс ҫыранӗ,côte
133,Festland::N,тип ҫӗр,terre ferme
134,Meer::N,тинӗс,mer
135,Bucht::N,тинӗс кукӑрӗ,baie
136,Insel::N,утрав,île
137,Blume::N,чечек,fleur
138,Gras::N,курӑк,herbe
139,Wurzel::N,тымар,racine
140,Baum::N,йывӑҫ,arbre
141,Stamm::N,вулӑ,tronc
142,Rinde::N,хуйӑр,écorce
143,Ast::N,турат,branche
144,Zweig::N,турат,rameau
145,Blatt::N,ҫулҫӑ,feuille
146,Birke::N,хурӑн,bouleau
147,Kiefer[Baum]::N,хыр,pin
148,Weide[Baum]::N,хӑва,saule
149,Tanne::N,чӑрӑш,sapin
150,Horn::N,мӑйрака,corne
151,Feder::N,тӗк,plume
152,Fell::N,ҫӑм,peau
153,Flügel::N,ҫунат,aile
154,Klaue::N,чӗрне,serre
155,Kralle::N,ура,ongle
156,Kralle::N,ура,griffe
157,Schwanz::N,хӳре,queue
158,Ei::N,ҫӑмарта,œuf
159,Nest::N,йӑва,nid
160,Bau::N,йӗнӗ,terrier
161,Tier::N,выльӑх,animal
162,Herde::N,кӗтӳ,troupeau
163,Kuh::N,ӗне,vache
164,Bulle::N,вӑкӑр,taureau
165,Pferd::N,лаша,cheval
166,Schaf::N,сурӑх,mouton
167,Schwein::N,сысна,porc
168,Schwein::N,сысна,cochon
169,Hund::N,йытӑ,chien
170,Katze::N,кушак,chat
171,Bär::N,упа,ours
172,Eichhörnchen::N,пакша,écureuil
173,Elch::N,пӑши,élan
174,Fuchs::N,тилӗ,renard
175,Hase::N,куян,lièvre
176,Hase::N,мулкач,lièvre
177,Maus::N,шӑши,souris
178,Wolf::N,кашкӑр,loup
179,Vogel::N,кайӑк,oiseau
180,Vogel::N,вӗҫен кайӑк,oiseau
181,Schwarm::N,ушкӑн,nuée
182,Schwarm::N,ушкӑн,volée
183,Huhn::N,чӑх,poule
184,Huhn::N,чӑхӑ,poule
185,Hahn::N,автан,coq
186,Gans::N,хур,oie
187,Adler::N,ӑмӑрт кайӑк,aigle
188,Ente::N,кӑвакал,canard
189,Eule::N,тӑмана,hibou
190,Kranich::N,тӑрна,grue
191,Krähe::N,ула курак,corneille
192,Kuckuck::N,куккук,coucou
193,Schwan::N,акӑш,cygne
194,Fisch::N,пулӑ,poisson
195,Barsch::N,уланкӑ,perche
196,Hecht::N,ҫӑрттан,brochet
197,Schlange[Tier]::N,ҫӗлен,serpent
198,Wurm::N,ӑман,ver
199,Spinne::N,эрешмен,araignée
200,Ameise::N,кӑткӑ,fourmi
201,Laus::N,пыйтӑ,pou
202,Mücke::N,вӑрӑм туна,moucheron
203,Fliege::N,шӑна,mouche
204,Schmetterling::N,лӗпӗш,papillon
205,Beere::N,ҫырла,baie
206,Apfel::N,улма,pomme
207,Apfel::N,пан улми,pomme
208,Pilz::N,кӑмпа,champignon
209,Zwiebel::N,сухан,oignon
210,Saat::N,вӑрӑ,semence
211,Korn::N,тӗшӗ,grain
212,Korn::N,пӗрчӗ,grain
