,Concept_ID,mn,sl
0,Auge::N,нүд,okó
1,Ohr::N,чих,uhó
2,Nase::N,хамар,nós
3,Mund::N,ам,ústa
4,Zahn::N,шүд,zób
5,Zunge::N,хэл,jêzik
6,Lippe::N,уруул,ústnica
7,Wange::N,хацар,líce
8,Gesicht::N,царай,oblíčje
9,Gesicht::N,нүүр,oblíčje
10,Stirn::N,дух,čêlo
11,Haar::N,үс,lás
12,Schnurrbart::N,дээд сахал,bŕki
13,Schnurrbart::N,живэр сахал,bŕki
14,Bart::N,сахал,bráda
15,Kinn::N,эрүү,bráda
16,Kiefer[Anatomie]::N,эрүү,čeljúst
17,Kehle::N,хоолой,gŕlo
18,Hals::N,хүзүү,vrát
19,Genick::N,шил,zatílnik
20,Genick::N,хүзүү,zatílnik
21,Kopf::N,толгой,gláva
22,Rücken::N,ар,hrbèt
23,Rücken::N,нуруу,hrbèt
24,Bauch::N,хэвлий,trébuh
25,Bauch::N,гэдэс,trébuh
26,Nabel::N,хүйс,pópek
27,Busen::N,хөх,nédrja
28,Brust::N,цээж,pŕsi
29,Schulter::N,мөр,ráma
30,Schulter::N,мөр,plêče
31,Schulter::N,бугалга,ráma
32,Schulter::N,бугалга,plêče
33,Arm::N,гар,rôka
34,Ellenbogen::N,тохой,komólec
35,Hand::N,гар,rôka
36,Hand::N,алга,rôka
37,Handfläche::N,алга,dlán
38,Finger::N,хуруу,pŕst
39,Fingernagel::N,хурууны хумс,nóht na rôki
40,Nagel[Anatomie]::N,хумс,nóht
41,Zeh::N,хуруу,pŕst na nôgi
42,Fuß::N,хөл,nôga
43,Ferse::N,өсгий,pêta
44,Knie::N,өвдөг,koléno
45,Oberschenkel::N,гуя,stêgno
46,Bein::N,хөл,nôga
47,Körper::N,бие,teló
48,Haut::N,арьс,kóža
49,Blut::N,цус,krí
50,Ader::N,судас,žíla
51,Sehne::N,бүлх,kíta
52,Sehne::N,шандас,kíta
53,Knochen::N,яс,kóst
54,Gehirn::N,тархи,možgáni
55,Herz::N,зүрх,srcé
56,Magen::N,ходоод,želódec
57,Leber::N,элэг,jétra
58,Atem::N,амьсгаа,díh
59,Hunger::N,өлсгөлөн,glád
60,Träne::N,нулимс,sólza
61,Geschmack::N,амт,okús
62,Geruch::N,үнэр,vónj
63,Schlaf::N,нойр,sèn
64,Schlaf::N,нойр,spánec
65,Traum::N,зүүд,sánje
66,Himmel::N,тэнгэр,nebó
67,Himmel::N,огторгуй,nebó
68,Sonne::N,нар,sónce
69,Mond::N,сар,lúna
70,Mond::N,сар,mésec
71,Stern::N,од,zvézda
72,Luft::N,агаар,zràk
73,Wind::N,салхи,véter
74,Welle::N,долгио,vál
75,Welle::N,давалгаа,vál
76,Wasser::N,ус,vôda
77,Stein::N,чулуу,kámen
78,Boden::N,хөрс,tlà
79,Erde::N,газар,pŕst
80,Erde::N,газар,zêmlja
81,Erde::N,шороо,pŕst
82,Erde::N,шороо,zêmlja
83,Staub::N,тоос,práh
84,Rauch::N,утаа,dìm
85,Funke::N,оч,ískra
86,Feuer::N,гал,ôgenj
87,Licht::N,гэрэл,lúč
88,Licht::N,гэгээ,lúč
89,Schatten::N,сүүдэр,sénca
90,Wetter::N,тэнгэр,vrême
91,Wetter::N,цаг уур,vrême
92,Nebel::N,будан,meglà
93,Wolke::N,үүл,oblák
94,Regen::N,бороо,dèž
95,Schnee::N,цас,snég
96,Eis::N,мөс,léd
97,Frost::N,хүйт,zmrzál
98,Kälte::N,хүйт,mràz
99,Hitze::N,халуун,pripéka
100,Raureif::N,цан,ívje
101,Raureif::N,цан,slána
102,Raureif::N,хяруу,ívje
103,Raureif::N,хяруу,slána
104,Regenbogen::N,солонго,mávrica
105,Donner::N,тэнгэрийн дуу,gròm
106,Strömung::N,урсгал,strúja
107,Tropfen::N,дусал,káplja
108,Schaum::N,хөөс,péna
109,Schmutz::N,хир,nesnága
110,Schmutz::N,шавхай,nesnága
111,See::N,нуур,jézero
112,Sumpf::N,намаг,močvírje
113,Sumpf::N,балчиг,močvírje
114,Moor::N,хүлрийн намаг,bárje
115,Wiese::N,нуга,trávnik
116,Wald::N,ой,lés
117,Wald::N,ой,gòzd
118,Hügel::N,болдог,brég
119,Hügel::N,болдог,goríca
120,Anhöhe::N,гүвээ,gríč
121,Anhöhe::N,гүвээ,višína
122,Berg::N,уул,gôra
123,Berg::N,уул,planína
124,Gipfel::N,орой,vŕh
125,Gipfel::N,оргил,vŕh
126,Höhle::N,агуй,jáma
127,Höhle::N,агуй,votlína
128,Abhang::N,хүр,pobóčje
129,Quelle::N,булаг,izvír
130,Bach::N,горхи,pôtok
131,Fluss::N,гол,réka
132,Fluss::N,мөрөн,réka
133,Ufer::N,эрэг,brég
134,Küste::N,эрэг,obála
135,Küste::N,эрэг,obréžje
136,Festland::N,хуурай газар,celína
137,Festland::N,хуурай газар,kopnína
138,Meer::N,далай,mórje
139,Meer::N,тэнгис,mórje
140,Bucht::N,булан,zalív
141,Bucht::N,далайн тохой,zalív
142,Insel::N,арал,ôtok
143,Blume::N,цэцэг,cvetlíca
144,Gras::N,өвс,tráva
145,Gras::N,ногоо,tráva
146,Wurzel::N,үндэс,korenína
147,Baum::N,мод,drevó
148,Stamm::N,иш,dêblo
149,Stamm::N,гуалин,dêblo
150,Rinde::N,холтос,lúbje
151,Rinde::N,холтос,skórja
152,Ast::N,гишүү,véja
153,Zweig::N,салаа,véja
154,Blatt::N,навч,líst
155,Birke::N,хус,bréza
156,Kiefer[Baum]::N,нарс,bòr
157,Weide[Baum]::N,уд,vŕba
158,Weide[Baum]::N,бургас,vŕba
159,Tanne::N,гачуур,hója
160,Horn::N,эвэр,róg
161,Feder::N,өд,peró
162,Fell::N,арьс,kŕzno
163,Flügel::N,жигүүр,krílo
164,Flügel::N,далавч,krílo
165,Klaue::N,савар,párkelj
166,Klaue::N,хумс,párkelj
167,Kralle::N,савар,krémpelj
168,Schwanz::N,сүүл,rèp
169,Ei::N,өндөг,jájce
170,Nest::N,үүр,gnézdo
171,Bau::N,нүх,brlòg
172,Bau::N,элүү,brlòg
173,Tier::N,амьтан,živál
174,Tier::N,адгуус,živál
175,Herde::N,сүрэг,čréda
176,Kuh::N,үнээ,kráva
177,Bulle::N,бух,bìk
178,Pferd::N,морь,kònj
179,Pferd::N,адуу,kònj
180,Schaf::N,хонь,ôvca
181,Schwein::N,гахай,svínja
182,Hund::N,нохой,pès
183,Katze::N,муур,máčka
184,Katze::N,мигуй,máčka
185,Bär::N,баавгай,mêdved
