,Concept_ID,nl,da
0,Auge::N,oog,øje
1,Ohr::N,oor,øre
2,Nase::N,neus,næse
3,Mund::N,mond,mund
4,Zahn::N,tand,tand
5,Zunge::N,tong,tunge
6,Lippe::N,lip,læbe
7,Wange::N,wang,kind
8,Gesicht::N,gelaat,ansigt
9,Gesicht::N,gezicht,ansigt
10,Stirn::N,voorhoofd,pande
11,Haar::N,haar,hår
12,Schnurrbart::N,snor,overskæg
13,Bart::N,baard,skæg
14,Kinn::N,kin,hage
15,Kiefer[Anatomie]::N,kaak,kæbe
16,Kehle::N,keel,strube
17,Kehle::N,strot,strube
18,Hals::N,hals,hals
19,Genick::N,nek,nakke
20,Kopf::N,hoofd,hoved
21,Rücken::N,rug,ryg
22,Bauch::N,buik,mave
23,Nabel::N,navel,navle
24,Busen::N,boezem,barm
25,Brust::N,borst,bryst
26,Schulter::N,schouder,skulder
27,Arm::N,arm,arm
28,Ellenbogen::N,elleboog,albue
29,Hand::N,hand,hånd
30,Handfläche::N,handpalm,håndflade
31,Finger::N,vinger,finger
32,Fingernagel::N,nagel,fingernegl
33,Nagel[Anatomie]::N,nagel,negl
34,Zeh::N,teen,tå
35,Fuß::N,voet,fod
36,Ferse::N,hak,hæl
37,Ferse::N,hiel,hæl
38,Knie::N,knie,knæ
39,Oberschenkel::N,dij,lår
40,Bein::N,been,ben
41,Körper::N,lichaam,krop
42,Körper::N,lichaam,legeme
43,Haut::N,huid,hud
44,Blut::N,bloed,blod
45,Ader::N,ader,åre
46,Sehne::N,pees,sene
47,Knochen::N,bot,ben
48,Knochen::N,been,ben
49,Knochen::N,knook,ben
50,Gehirn::N,hersenen,hjerne
51,Herz::N,hart,hjerte
52,Magen::N,maag,mave
53,Leber::N,lever,lever
54,Atem::N,adem,ånde
55,Hunger::N,honger,sult
56,Träne::N,traan,tåre
57,Geschmack::N,smaak,smag
58,Geruch::N,geur,lugt
59,Schlaf::N,slaap,søvn
60,Traum::N,droom,drøm
61,Himmel::N,hemel,himmel
62,Sonne::N,zon,sol
63,Mond::N,maan,måne
64,Stern::N,ster,stjerne
65,Luft::N,lucht,luft
66,Wind::N,wind,vind
67,Welle::N,golf,bølge
68,Wasser::N,water,vand
69,Stein::N,steen,sten
70,Boden::N,grond,jord
71,Erde::N,aarde,jord
72,Staub::N,stof,støv
73,Rauch::N,rook,røg
74,Funke::N,vonk,gnist
75,Feuer::N,vuur,ild
76,Licht::N,licht,lys
77,Schatten::N,schaduw,skygge
78,Wetter::N,weer,vejr
79,Nebel::N,mist,tåge
80,Nebel::N,nevel,tåge
81,Wolke::N,wolk,sky
82,Regen::N,regen,regn
83,Schnee::N,sneeuw,sne
84,Eis::N,ijs,is
85,Frost::N,vorst,frost
86,Kälte::N,kou,kulde
87,Kälte::N,koude,kulde
88,Hitze::N,hitte,hede
89,Raureif::N,rijp,rimfrost
90,Regenbogen::N,regenboog,regnbue
91,Donner::N,donder,torden
92,Strömung::N,stroming,strømning
93,Tropfen::N,druppel,dråbe
94,Schaum::N,schuim,skum
95,Schmutz::N,vuil,snavs
96,See::N,meer,sø
97,Sumpf::N,moeras,sump
98,Moor::N,veen,mose
99,Wiese::N,wei,eng
100,Wiese::N,weide,eng
101,Wald::N,bos,skov
102,Hügel::N,heuvel,høj
103,Hügel::N,heuvel,bakke
104,Anhöhe::N,hoogte,høj
105,Anhöhe::N,hoogte,bakke
106,Berg::N,berg,bjerg
107,Gipfel::N,top,top
108,Höhle::N,hol,hule
109,Abhang::N,helling,skrænt
110,Abhang::N,helling,skråning
111,Quelle::N,bron,kilde
112,Bach::N,beek,bæk
113,Fluss::N,stroom,flod
114,Ufer::N,wal,bred
115,Ufer::N,oever,bred
116,Küste::N,kust,kyst
117,Festland::N,vasteland,fastland
118,Meer::N,zee,hav
119,Bucht::N,baai,bugt
120,Bucht::N,inham,bugt
121,Insel::N,eiland,ø
122,Blume::N,bloem,blomst
123,Gras::N,gras,græs
124,Wurzel::N,wortel,rod
125,Baum::N,boom,træ
