,Concept_ID,be,ro
0,Auge::N,вока,ochi
1,Ohr::N,вуха,ureche
2,Nase::N,нос,nas
3,Mund::N,рот,gură
4,Zahn::N,зуб,dinte
5,Zunge::N,язык,limbă
6,Lippe::N,губа,buză
7,Wange::N,шчака,bucă
8,Wange::N,шчака,obraz
9,Gesicht::N,твар,față
10,Gesicht::N,твар,figură
11,Stirn::N,лоб,frunte
12,Haar::N,волас,păr
13,Haar::N,валасы,păr
14,Schnurrbart::N,вус,mustață
15,Schnurrbart::N,вусы,mustață
16,Bart::N,барада,barbă
17,Kinn::N,падбародак,bărbie
18,Kiefer[Anatomie]::N,сківіца,falcă
19,Kehle::N,горла,beregată
20,Hals::N,шыя,gât
21,Genick::N,патыліца,ceafă
22,Kopf::N,галава,cap
23,Rücken::N,спіна,dos
24,Rücken::N,спіна,spate
25,Rücken::N,спіна,spinare
26,Bauch::N,жывот,burtă
27,Bauch::N,жывот,pântece
28,Nabel::N,пупок,buric
29,Busen::N,грудзі,sân
30,Brust::N,грудзі,piept
31,Schulter::N,плячо,umăr
32,Schulter::N,плячо,spate
33,Arm::N,рука,braț
34,Ellenbogen::N,локаць,cot
35,Hand::N,кісць,mână
36,Handfläche::N,далонь,palmă
37,Finger::N,палец,deget
38,Fingernagel::N,ногаць,unghie
39,Nagel[Anatomie]::N,ногаць,unghie
40,Zeh::N,палец,deget de la picior
41,Fuß::N,нага,picior
42,Ferse::N,пята,călcâi
43,Ferse::N,пятка,călcâi
44,Knie::N,калена,genunchi
45,Oberschenkel::N,бядро,coapsă
46,Oberschenkel::N,сцягно,coapsă
47,Bein::N,нага,picior
48,Körper::N,цела,corp
49,Haut::N,скура,piele
50,Blut::N,кроў,sânge
51,Ader::N,вена,vână
52,Ader::N,вена,arteră
53,Ader::N,сасуд,vână
54,Ader::N,сасуд,arteră
55,Sehne::N,жыла,tendon
56,Sehne::N,цеціва,tendon
57,Sehne::N,сухажылле,tendon
58,Knochen::N,косць,os
59,Gehirn::N,мозг,creier
60,Herz::N,сэрца,inimă
61,Magen::N,страўнік,stomac
62,Leber::N,печань,ficat
63,Atem::N,дыханне,răsuflare
64,Atem::N,дыханне,respirație
65,Hunger::N,голад,foame
66,Träne::N,сляза,lacrimă
67,Geschmack::N,смак,gust
68,Geruch::N,пах,miros
69,Schlaf::N,сон,somn
70,Traum::N,сон,vis
71,Himmel::N,неба,cer
72,Sonne::N,сонца,soare
73,Mond::N,месяц,lună
74,Stern::N,зорка,stea
75,Luft::N,паветра,aer
76,Wind::N,вецер,vânt
77,Welle::N,хваля,val
78,Welle::N,хваля,undă
79,Wasser::N,вада,apă
80,Stein::N,камень,piatră
81,Boden::N,глеба,sol
82,Boden::N,глеба,pământ
83,Erde::N,зямля,pământ
84,Staub::N,пыл,praf
85,Rauch::N,дым,fum
86,Funke::N,іскра,scânteie
87,Feuer::N,агонь,foc
88,Licht::N,святло,lumină
89,Schatten::N,цень,umbră
90,Wetter::N,пагода,timp
91,Wetter::N,пагода,vreme
92,Wetter::N,надворʼе,timp
93,Wetter::N,надворʼе,vreme
94,Nebel::N,туман,ceață
95,Nebel::N,туман,negură
96,Wolke::N,воблака,nor
97,Regen::N,дождж,ploaie
98,Schnee::N,снег,zăpadă
99,Eis::N,лёд,gheață
100,Frost::N,мароз,ger
101,Kälte::N,холад,frig
102,Hitze::N,спёка,arșiță
103,Hitze::N,спёка,căldură
104,Raureif::N,іней,chiciură
105,Regenbogen::N,вясёлка,curcubeu
106,Donner::N,гром,tunet
107,Strömung::N,цячэнне,curent
108,Tropfen::N,кропля,picătură
109,Schaum::N,пена,spumă
110,Schmutz::N,гразь,murdărie
111,See::N,возера,lac
112,Sumpf::N,багна,mlaștină
113,Moor::N,балота,bărăgan
114,Wiese::N,луг,fânaț
115,Wiese::N,луг,livadă
116,Wald::N,лес,codru
117,Wald::N,лес,pădure
118,Hügel::N,узгорак,deal
119,Hügel::N,узгорак,movilă
120,Anhöhe::N,узвышша,deal
121,Anhöhe::N,узвышша,ridicătură
122,Berg::N,гара,munte
123,Gipfel::N,вяршыня,pisc
124,Höhle::N,пячора,peșteră
