,Concept_ID,lez,mdf
0,Auge::N,вил,сельме
1,Ohr::N,яб,пиле
2,Nase::N,нер,шалхка
3,Mund::N,сив,курга
4,Zahn::N,сас,пей
5,Zahn::N,свах,пей
6,Zunge::N,мез,кяль
7,Lippe::N,пӏуз,търва́
8,Wange::N,хъвехъ,щёка
9,Gesicht::N,ччин,шама
10,Stirn::N,пел,коня
11,Haar::N,чӏар,шя́ярь
12,Schnurrbart::N,спел,уса́
13,Schnurrbart::N,спелар,уса́
14,Bart::N,ччуру,сакал
15,Kinn::N,чене,ула
16,Kiefer[Anatomie]::N,чене,саласка
17,Kehle::N,туьд,кълдома
18,Kehle::N,туьд,кърга́парь
19,Hals::N,гардан,сялдаз
20,Genick::N,кьам,шовонь
21,Kopf::N,кьил,пря
22,Rücken::N,далу,копорь
23,Bauch::N,руфун,пеке
24,Nabel::N,пицӏ,по́кон
25,Busen::N,мам,потя
26,Brust::N,хур,мяште
27,Schulter::N,къуьн,лафту
28,Arm::N,гъил,кядь
29,Ellenbogen::N,кьуьнт,кенерьба́карь
30,Hand::N,капаш,кядь
31,Handfläche::N,капан юкь,кядьлапш
32,Finger::N,тӏуб,сур
33,Fingernagel::N,кек,кенже
34,Nagel[Anatomie]::N,кек,кенже
35,Zeh::N,кул,пильгосу́р
36,Fuß::N,кӏвач,пильге
37,Fuß::N,кӏвач,пильгелапа
38,Ferse::N,дабан,кочкяря
39,Knie::N,мет,эль
40,Knie::N,мет,пълма́нжа
41,Bein::N,кӏвач,пильге
42,Körper::N,беден,ро́нга
43,Körper::N,беден,по́нда
44,Haut::N,хам,киське
45,Blut::N,иви,вер
46,Ader::N,дамар,сан
47,Ader::N,дамар,верза́н
48,Sehne::N,кьуру дамар,коське сан
49,Knochen::N,кӏараб,пакарь
50,Gehirn::N,мефт,уй
51,Herz::N,рикӏ,седи
52,Magen::N,хук,коткърдазь
53,Leber::N,лекь,макса
54,Atem::N,ял,лекома
55,Atem::N,ял,ваймонь тарксема
56,Atem::N,нефес,лекома
57,Atem::N,нефес,ваймонь тарксема
58,Hunger::N,каш,вачеши
59,Träne::N,вилин нагъв,сельмове́дь
60,Geschmack::N,дад,таньф
61,Geschmack::N,тӏям,таньф
62,Geruch::N,ни,шине
63,Schlaf::N,ахвар,удома́
64,Traum::N,ахвар,он
65,Himmel::N,цав,менель
66,Sonne::N,рагъ,ши
67,Mond::N,варз,ков
68,Stern::N,гъед,тяште
69,Luft::N,гьава,кожф
70,Wind::N,гар,варма
71,Welle::N,лепе,тавла
72,Wasser::N,яд,ведь
73,Stein::N,къван,кев
74,Boden::N,накьв,мода
75,Boden::N,накьв,потмакс
76,Erde::N,ччил,мода
77,Erde::N,ччил,мастор
78,Staub::N,руг,пуль
79,Rauch::N,гум,качам
80,Funke::N,цӏелхем,ця́тка
81,Feuer::N,цӏай,тол
82,Licht::N,экв,ва́лда
83,Schatten::N,серин,цильф
84,Wetter::N,гьава,уша
85,Nebel::N,ччилин циф,тума́н
86,Wolke::N,циф,ковол
87,Regen::N,марф,пизем
88,Schnee::N,жив,лов
89,Eis::N,мурк,эй
90,Frost::N,аяз,ке́льме
91,Kälte::N,мекь,якшама
92,Kälte::N,мекьивал,якшама
93,Hitze::N,зегьем,пси
94,Raureif::N,къирав,леш
95,Regenbogen::N,яргъируш,а́тямъёнга
96,Donner::N,цавун ван,атям
97,Tropfen::N,стӏал,путькс
98,Tropfen::N,стӏал,пътняфкс
99,Schaum::N,каф,шов
100,Schmutz::N,чирк,ърда́з
101,Schmutz::N,кьуруш,ърда́з
102,See::N,вир,эрьхке
103,Sumpf::N,уьлен,шяй
104,Wiese::N,векь,луга
105,Wald::N,там,вирь
106,Hügel::N,кӏунтӏ,губо́р
107,Hügel::N,кӏунтӏ,пандоня
108,Anhöhe::N,тепе,губо́р
109,Anhöhe::N,гьуьндуьрвал,губо́р
110,Berg::N,дагъ,панда
111,Gipfel::N,кӏукӏ,пря
112,Höhle::N,кьветӏ,у́нда
113,Abhang::N,гуьне,па́нда ша́ма
114,Quelle::N,чешме,эшиня
115,Bach::N,булах,шудерькс
116,Fluss::N,вацӏ,ляй
117,Ufer::N,къерех,търва́
118,Küste::N,къерех,ляйтърва́
119,Festland::N,кьурамат,мода
120,Meer::N,гьуьл,моря
121,Bucht::N,бухта,ведьуське
122,Insel::N,остров,цёнга
123,Blume::N,цуьк,панчф
124,Gras::N,хъач,тише
125,Wurzel::N,дувул,юр
126,Wurzel::N,дувул,ункс
127,Baum::N,ттар,шуфта
128,Stamm::N,тан,ро́нга
129,Rinde::N,чкал,кер
130,Ast::N,тӏур,морга
131,Zweig::N,хел,тарад
132,Blatt::N,пеш,лопа
133,Birke::N,верх,ке́лу
134,Kiefer[Baum]::N,шамагъаж,пиче
135,Weide[Baum]::N,цӏвелин ттар,каль
136,Tanne::N,ель,куз
137,Horn::N,карч,сюра
138,Feder::N,цӏакул,толга
139,Fell::N,хам,кедь
140,Flügel::N,лув,паця
141,Klaue::N,къармах,кенже
142,Kralle::N,пац,кенже
143,Kralle::N,тапас,кенже
144,Schwanz::N,ттум,пула
145,Ei::N,кака,ал
146,Nest::N,муг,пиза
147,Bau::N,тӏеквен,пиза
148,Tier::N,гьайван,жува́та
149,Herde::N,суьруь,нал
150,Herde::N,суьруь,стада
151,Kuh::N,ккал,скал
152,Kuh::N,ккал,тракс
153,Bulle::N,яц,бука
154,Bulle::N,бугъа,бука
155,Pferd::N,балкӏан,лишме
156,Schaf::N,хеб,уча́
157,Schwein::N,вак,тува
158,Hund::N,кицӏ,пине
159,Katze::N,кац,катоня
160,Katze::N,кац,аваката
161,Bär::N,сев,офта
162,Eichhörnchen::N,белка,ур
163,Elch::N,лось,ся́рда
164,Fuchs::N,сикӏ,келазь
165,Hase::N,къуьр,ну́мол
166,Maus::N,кьиф,шеер
167,Wolf::N,жанавур,върьгаз
168,Vogel::N,луван ничхир,нармонь
169,Schwarm::N,луж,ко́вол
170,Schwarm::N,луж,ме́швеле
171,Huhn::N,верч,сараз
172,Hahn::N,кӏек,а́тякш
173,Gans::N,къаз,маци
174,Adler::N,лекь,куцькан
175,Ente::N,пӏатӏ,яксярга
176,Eule::N,тӏиб,ко́рож
177,Kranich::N,дурна,ка́рга
178,Krähe::N,къаргъа,ва́рси
179,Kuckuck::N,кукупӏ,ку́ку
180,Schwan::N,къугь,ло́ксти
181,Fisch::N,гъед,кал
182,Barsch::N,окунь,о́кунь
183,Hecht::N,щука,щу́ка
184,Schlange[Tier]::N,илан,куй
185,Schlange[Tier]::N,гъуьлягъ,куй
186,Wurm::N,квак,сукс
187,Spinne::N,хуьшрекан,унжа́
188,Ameise::N,цегв,панжам
189,Laus::N,нет,си
190,Mücke::N,ветӏ,ся́ське
191,Fliege::N,тӏветӏ,кару
192,Schmetterling::N,чепелукь,ме́лав
193,Beere::N,куьлуь емиш,и́мож
194,Apfel::N,ич,марь
195,Pilz::N,къарникъуз,панга
196,Zwiebel::N,чичӏек,шурьхкя́
197,Saat::N,тумар,видьмот
198,Korn::N,твар,сёра
199,Heu::N,векь,тише
200,Heu::N,векьер,тише
201,Schale::N,пириш,кедь
202,Schale::N,хъуьруьш,кедь
203,Grube::N,фур,лотка
204,Falle::N,ракьар,туфкс
205,Falle::N,ракьар,кунда́ма
206,Schlinge::N,гьалкъа,килькш
207,Spur::N,гел,пильгоки́
208,Asche::N,руьхъ,кулу
209,Dreck::N,чирк,ърда́з
