,Concept_ID,kn,ba
0,Auge::N,ಕಣ್ಣು,күҙ
1,Ohr::N,ಕಿವಿ,ҡолаҡ
2,Nase::N,ಮೂಗು,танау
3,Mund::N,ಬಾಯಿ,ауыҙ
4,Zahn::N,ಹಲ್ಲು,теш
5,Zunge::N,ನಾಲಿಗೆ,тел
6,Lippe::N,ತುಟಿ,ирен
7,Wange::N,ಗಲ್ಲ,яцаҡтар
8,Gesicht::N,ಮುಖ,бит
9,Stirn::N,ಹಣೆ,маңлай
10,Haar::N,ಕೂದಲು,сәс
11,Schnurrbart::N,ಮೀಸೆ,мылтыҡ
12,Bart::N,ಗಡ್ಡ,һаҡал
13,Kinn::N,ಗದ್ದ,эйэк
14,Kiefer[Anatomie]::N,ದವಡೆ,яңаҡ һөйәге
15,Kehle::N,ಗಂಟಲು,тамаҡ
16,Hals::N,ಕೊರಳು,муйын
17,Genick::N,ಹಿಂಗತ್ತು,соңҡа
18,Kopf::N,ತಲೆ,баш
19,Rücken::N,ಬೆನ್ನು,арҡа
20,Bauch::N,ಹೊಟ್ಟೆ,ҡорһаҡ
21,Nabel::N,ಹೊಕ್ಕುಳು,кендек
22,Busen::N,ಸ್ತನ,күкрәк
23,Brust::N,ಎದೆ,түш
24,Schulter::N,ಭುಜ,яурын
25,Arm::N,ತೋಳು,ҡул
26,Ellenbogen::N,ಮೊಣಕೈ,терһәк
27,Hand::N,ಕೈ,ҡул
28,Hand::N,ಕೈ,ҡул суғы
29,Handfläche::N,ಅಂಗೈ,ус төбө
30,Finger::N,ಕೈಬೆರಳು,бармаҡ
31,Fingernagel::N,ಉಗುರು,тырнаҡ
32,Nagel[Anatomie]::N,ಉಗುರು,тырнаҡ
33,Zeh::N,ಕಾಲ್ಬೆರಳು,бармаҡ
34,Fuß::N,ಪಾದ,табан
35,Ferse::N,ಹಿಮ್ಮಡಿ,үксә
36,Knie::N,ಮಂಡಿ,тубыҡ
37,Oberschenkel::N,ತೊಡೆ,сандыр
38,Bein::N,ಕಾಲು,аяҡ
39,Körper::N,ದೇಹ,тән
40,Haut::N,ಚರ್ಮ,тире
41,Blut::N,ರಕ್ತ,ҡан
