,Concept_ID,ce,lbe
0,Auge::N,бӏаьрг,я
1,Ohr::N,лерг,вичӏи
2,Nase::N,мара,май
3,Mund::N,бага,кьацӏ
4,Zahn::N,церг,ккарччи
5,Zunge::N,мотт,маз
6,Lippe::N,балда,мурччи
7,Wange::N,бесни,чӏав
8,Gesicht::N,юьхь,лажин
9,Stirn::N,хьаж,ненттабакӏ
10,Haar::N,мас,чӏара
11,Schnurrbart::N,мекх,ссирссилтту
12,Bart::N,маж,чӏири
13,Kinn::N,чӏениг,лунттубакӏ
14,Kiefer[Anatomie]::N,мочхал,ххинчулул
15,Kehle::N,къамкъарг,кьакьари
16,Hals::N,ворта,ссурссу
17,Genick::N,кӏесаркӏаг,махъабакӏ
18,Kopf::N,корта,бакӏ
19,Rücken::N,букъ,ттиликӏ
20,Bauch::N,кийра,лякьа
21,Nabel::N,цӏонга,цӏумуккутӏ
22,Busen::N,зударийн накха,ккукку
23,Brust::N,накха,хъазам
24,Schulter::N,белш,хъачӏ
25,Arm::N,пхьарс,ка
26,Ellenbogen::N,пхьаьрсан гола,ссюрхъ
27,Hand::N,куьг,бартка
28,Handfläche::N,кераюкъ,хъат
29,Handfläche::N,кераюкъ,битӏянхъ
30,Finger::N,пӏелг,кӏисса
31,Fingernagel::N,мӏара,михь
32,Nagel[Anatomie]::N,мӏара,михь
33,Zeh::N,кога пӏелг,кӏисса
34,Fuß::N,ког,чӏанччан
35,Ferse::N,кӏажа,никъа
36,Knie::N,гола,ник
37,Oberschenkel::N,варе,жира
38,Bein::N,ког,ччан
39,Körper::N,хӏума,чурх
40,Haut::N,чкъор,бурчу
41,Blut::N,цӏий,оь
42,Ader::N,пха,тунну
43,Sehne::N,хьорзам,хьхьа
44,Knochen::N,даьӏахк,ттаркӏ
45,Gehirn::N,хье,ня
46,Herz::N,дог,дакӏ
47,Herz::N,дог,къюкӏ
48,Magen::N,зорх,лякьа
49,Leber::N,доӏах,
50,Atem::N,садеӏар,ссихӏ ласаву
51,Atem::N,садеӏар,ссихӏ бигьаву
52,Hunger::N,мацалла,ккаши
53,Träne::N,бӏаьрхи,макь
54,Geschmack::N,чам,тӏин
55,Geschmack::N,чам,тӏааьн
56,Geruch::N,хьожа,кьанкь
57,Schlaf::N,наб,шану
58,Traum::N,гӏан,макӏру
59,Himmel::N,стигал,ссав
60,Sonne::N,малх,баргъ
61,Mond::N,бутт,барз
62,Stern::N,седа,цӏуку
63,Luft::N,xӏаваъ,гьава
64,Wind::N,мох,марч
65,Welle::N,тулгӏе,щатӏи
66,Wasser::N,хи,щин
67,Stein::N,тӏулг,чару
