,Concept_ID,ro,lt
0,Auge::N,ochi,akis
1,Ohr::N,ureche,ausis
2,Nase::N,nas,nosis
3,Mund::N,gură,burna
4,Zahn::N,dinte,dantis
5,Zunge::N,limbă,liežuvis
6,Lippe::N,buză,lūpa
7,Wange::N,bucă,žandas
8,Wange::N,bucă,skruostas
9,Wange::N,obraz,žandas
10,Wange::N,obraz,skruostas
11,Gesicht::N,față,veidas
12,Gesicht::N,figură,veidas
13,Stirn::N,frunte,kakta
14,Haar::N,păr,plaukai
15,Schnurrbart::N,mustață,ūsai
16,Bart::N,barbă,barzda
17,Kinn::N,bărbie,smakras
18,Kiefer[Anatomie]::N,falcă,žandikaulis
19,Kehle::N,beregată,gerklė
20,Hals::N,gât,kaklas
21,Genick::N,ceafă,sprandas
22,Kopf::N,cap,galva
23,Rücken::N,dos,nugara
24,Rücken::N,spate,nugara
25,Rücken::N,spinare,nugara
26,Bauch::N,burtă,pilvas
27,Bauch::N,pântece,pilvas
28,Nabel::N,buric,bamba
29,Busen::N,sân,krūtinė
30,Brust::N,piept,krūtis
31,Schulter::N,umăr,petys
32,Schulter::N,spate,petys
33,Arm::N,braț,ranka
34,Ellenbogen::N,cot,alkūnė
35,Hand::N,mână,ranka
36,Hand::N,mână,plaštaka
37,Handfläche::N,palmă,delnas
38,Handfläche::N,palmă,plaštaka
39,Finger::N,deget,pirštas
40,Fingernagel::N,unghie,nagas
41,Nagel[Anatomie]::N,unghie,nagas
42,Zeh::N,deget de la picior,pirštas
43,Fuß::N,picior,pėda
44,Ferse::N,călcâi,kulnas
45,Knie::N,genunchi,kelis
46,Oberschenkel::N,coapsă,kulšis
47,Oberschenkel::N,coapsă,šlaunis
48,Bein::N,picior,koja
49,Körper::N,corp,kūnas
50,Haut::N,piele,oda
51,Blut::N,sânge,kraujas
52,Ader::N,vână,kraujagyslė
53,Ader::N,arteră,kraujagyslė
54,Sehne::N,tendon,sausgyslė
55,Knochen::N,os,kaulas
56,Gehirn::N,creier,smegenys
57,Herz::N,inimă,širdis
58,Magen::N,stomac,skrandis
59,Leber::N,ficat,kepenys
60,Atem::N,răsuflare,kvapas
61,Atem::N,respirație,kvapas
