,Concept_ID,sq,fa
0,Auge::N,sy,چشم
1,Ohr::N,vesh,گوش
2,Nase::N,hundë,بینی
3,Mund::N,gojë,دهان
4,Zahn::N,dhëmb,دندان
5,Zunge::N,gjuhë,زبان
6,Lippe::N,buzë,لب
7,Wange::N,faqe,لپ
8,Wange::N,mollëz,لپ
9,Gesicht::N,fytyrë,رو
10,Gesicht::N,fytyrë,چهره
11,Stirn::N,ballë,پیشانی
12,Haar::N,flokë,مو
13,Schnurrbart::N,mustaqe,سبیل
14,Bart::N,mjekër,ریش
15,Kinn::N,mjekër,چانه
16,Kiefer[Anatomie]::N,nofull,فک
17,Kiefer[Anatomie]::N,nofull,آرواره
18,Kehle::N,fyt,حلق
19,Kehle::N,grykë,حلق
20,Hals::N,qafë,گردن
21,Genick::N,arrëz,پشت گردن
22,Kopf::N,kokë,سر
23,Kopf::N,kokë,کله
24,Rücken::N,kurriz,پشت
25,Bauch::N,bark,شکم
26,Nabel::N,kërthizë,ناف
27,Busen::N,gji,پستان
28,Brust::N,gjoks,سینه
29,Brust::N,kraharor,سینه
30,Schulter::N,sup,دوش
31,Schulter::N,sup,شانه
32,Schulter::N,krah,دوش
33,Schulter::N,krah,شانه
34,Arm::N,krah,بازو
35,Ellenbogen::N,bërryl,آرنج
36,Hand::N,dorë,دست
37,Handfläche::N,pëllëmbë,کف دست
38,Finger::N,gisht,انگشت
39,Fingernagel::N,thua,ناخن دست
40,Nagel[Anatomie]::N,thua,ناخن
41,Zeh::N,gisht i këmbës,انگشت پا
42,Fuß::N,këmbë,پا
43,Ferse::N,thembër,پاشنه
44,Knie::N,gju,زانو
45,Oberschenkel::N,kofshë,ران
46,Bein::N,këmbë,پا
47,Bein::N,këmbë,لنگ
48,Körper::N,trup,تن
49,Körper::N,trup,بدن
50,Haut::N,lëkurë,پوست
51,Blut::N,gjak,خون
52,Ader::N,venë,رگ
53,Sehne::N,dell,زردپی
54,Knochen::N,asht,استخوان
55,Knochen::N,kockë,استخوان
56,Gehirn::N,tru,مخ
57,Gehirn::N,tru,مغز
58,Herz::N,zemër,دل
59,Herz::N,zemër,قلب
60,Magen::N,stomak,معده
61,Leber::N,mëlçi,کبد
62,Atem::N,frymë,نفس
63,Hunger::N,uri,گرسنگی
64,Träne::N,lot,اشک
65,Geschmack::N,shije,مزه
66,Geruch::N,erë,بو
67,Schlaf::N,gjumë,خواب
68,Traum::N,ëndërr,رؤیا
69,Himmel::N,qiell,فلک
70,Himmel::N,qiell,آسمان
71,Sonne::N,diell,آفتاب
72,Sonne::N,diell,خورشید
73,Mond::N,hënë,ماه
74,Stern::N,yll,ستاره
75,Luft::N,ajër,هوا
76,Wind::N,erë,باد
77,Welle::N,valë,موج
78,Welle::N,dallgë,موج
79,Wasser::N,ujë,آب
80,Stein::N,gur,سنگ
81,Boden::N,tokë,زمین
82,Boden::N,truall,زمین
83,Erde::N,dhe,خاک
84,Erde::N,dhe,زمین
85,Erde::N,baltë,خاک
86,Erde::N,baltë,زمین
87,Staub::N,pluhur,گرد
88,Staub::N,pluhur,غبار
89,Rauch::N,tym,دود
90,Funke::N,xixë,جرقه
91,Funke::N,shkëndijë,جرقه
92,Feuer::N,zjarr,آتش
93,Licht::N,dritë,نور
94,Licht::N,dritë,روشنی
95,Schatten::N,hije,سایه
96,Wetter::N,mot,هوا
97,Nebel::N,mjegull,مه
98,Wolke::N,re,ابر
99,Regen::N,shi,باران
100,Schnee::N,borë,برف
101,Eis::N,akull,یخ
102,Frost::N,ngricë,یخبندان
103,Kälte::N,të ftohtë,سرما
104,Hitze::N,vapë,گرما
105,Hitze::N,vapë,حرارت
106,Hitze::N,nxehtësi,گرما
107,Hitze::N,nxehtësi,حرارت
108,Raureif::N,cikmë,برف ریزه
109,Regenbogen::N,ylber,رنگین‌کمان
110,Donner::N,gjëmim,رعد
111,Donner::N,bubullimë,رعد
112,Strömung::N,rrymë,جریان
113,Tropfen::N,pikë,قطره
114,Schaum::N,shkumë,کف
115,Schmutz::N,baltë,گل
116,Schmutz::N,baltë,کثافت
117,See::N,liqen,دریاچه
118,Sumpf::N,batak,مرداب
119,Sumpf::N,batak,باتلاق
120,Moor::N,kënetë,باتلاق
121,Wiese::N,livadh,چمن
122,Wald::N,pyll,جنگل
123,Hügel::N,kodër,تل
124,Hügel::N,kodër,تپه
125,Anhöhe::N,bregore,بلندی
126,Berg::N,mal,کوه
127,Gipfel::N,kulm,قله
128,Höhle::N,shpellë,غار
129,Höhle::N,zgafelle,غار
130,Abhang::N,shpat,سرازیری
131,Abhang::N,tatëpjetë,سرازیری
132,Quelle::N,krua,چشمه
133,Quelle::N,burim,چشمه
134,Bach::N,virua,نهر
135,Fluss::N,lumë,رود
136,Ufer::N,breg,ساحل
137,Ufer::N,breg,کرانه
138,Küste::N,anëdet,ساحل
139,Küste::N,bregdet,ساحل
140,Festland::N,kontinent,خشکی
141,Meer::N,det,دریا
142,Bucht::N,gji deti,خلیج
143,Insel::N,ishull,جزیره
144,Insel::N,ujdhesë,جزیره
145,Blume::N,lule,گل
146,Gras::N,bar,علف
147,Wurzel::N,rrënjë,ریشه
148,Baum::N,pemë,درخت
149,Stamm::N,trung,تنه
150,Rinde::N,lëvore,توژ
151,Rinde::N,lëvore,پوست
152,Ast::N,degë,شاخه
153,Zweig::N,bisk,شاخه
154,Blatt::N,fletë,برگ
155,Blatt::N,gjethe,برگ
156,Birke::N,mështekën,غان
157,Kiefer[Baum]::N,pishë,کاج
158,Weide[Baum]::N,shelg,بید
159,Tanne::N,bredh,صنوبر
160,Horn::N,bri,شاخ
161,Feder::N,pupël,پر
162,Fell::N,lëkurë,خز
163,Flügel::N,krah,پر
164,Flügel::N,krah,بال
165,Flügel::N,fletë,پر
166,Flügel::N,fletë,بال
167,Klaue::N,kthetër,چنگ
168,Klaue::N,kthetër,پنجه
169,Kralle::N,thua,پنجه
170,Kralle::N,kthetër,پنجه
171,Schwanz::N,bisht,دم
172,Ei::N,vezë,تخم
173,Nest::N,fole,لانه
174,Bau::N,strofkë,بنا
175,Bau::N,strofkë,ساختمان
176,Tier::N,kafshë,هیوان
177,Herde::N,kope,رمه
178,Herde::N,grigjë,رمه
179,Kuh::N,lopë,گاو
180,Bulle::N,dem,گاو نر
181,Pferd::N,kalë,اسب
182,Schaf::N,dele,گوسفند
183,Schwein::N,derr,خوک
184,Hund::N,qen,سگ
185,Katze::N,mace,گربه
186,Bär::N,ari,خرس
187,Eichhörnchen::N,ketër,سنجاب
188,Elch::N,dre brilopatë,گوزن شمالی
189,Fuchs::N,dhelpër,روباه
190,Hase::N,lepur,خرگوش
191,Maus::N,mi,موش
192,Wolf::N,ujk,گرگ
193,Vogel::N,zog,پرنده
194,Vogel::N,shpend,پرنده
195,Schwarm::N,luzmë,دسته
196,Huhn::N,pulë,مرغ
197,Hahn::N,gjel,خروس
198,Hahn::N,këndes,خروس
199,Gans::N,patë,غاز
200,Adler::N,shqiponjë,عقاب
201,Ente::N,rosë,اردک
202,Ente::N,rosë,مرغابی
203,Eule::N,buf,جغد
204,Kranich::N,lejlek,درنا
205,Kranich::N,kurrillë,درنا
206,Krähe::N,sorrë,زاغ
207,Krähe::N,sorrë,کلاغ
