,Concept_ID,he,se
0,Auge::N,עין,tjelmie
1,Auge::N,עין,tjalmme
2,Auge::N,עין,čalbmi
3,Auge::N,עין,čalme
4,Auge::N,עין,čâ´lmm
5,Auge::N,עין,ча̄лльм
6,Ohr::N,אזן,bieljie
7,Ohr::N,אזן,biellje
8,Ohr::N,אזן,beallji
9,Ohr::N,אזן,pelji
10,Ohr::N,אזן,pe´llj
11,Ohr::N,אזן,пе̄лльй
12,Nase::N,אף,njuenie
13,Nase::N,אף,njunnje
14,Nase::N,אף,njunni
15,Nase::N,אף,njuṇe
16,Nase::N,אף,njuu´nn
17,Nase::N,אף,нюннҍ
18,Nase::N,חטם,njuenie
19,Nase::N,חטם,njunnje
20,Nase::N,חטם,njunni
21,Nase::N,חטם,njuṇe
22,Nase::N,חטם,njuu´nn
23,Nase::N,חטם,нюннҍ
24,Mund::N,פה,njaelmie
25,Mund::N,פה,njálmme
26,Mund::N,פה,njálbmi
27,Mund::N,פה,njälmi
28,Mund::N,פה,njä´lmm
29,Mund::N,פה,ня̄лльм
30,Zahn::N,שן,baenie
31,Zahn::N,שן,bádne
32,Zahn::N,שן,bátni
33,Zahn::N,שן,pääṇi
34,Zahn::N,שן,pää´nn
35,Zahn::N,שן,па̄ннҍ
36,Zunge::N,לשון,njoektjeme
37,Zunge::N,לשון,njuovtjav
38,Zunge::N,לשון,njuovčča
39,Zunge::N,לשון,njuovčâ
40,Zunge::N,לשון,njuhččâm
41,Zunge::N,לשון,нюхчем
42,Lippe::N,שפה,bangseme
43,Lippe::N,שפה,njálmmerabdda
44,Lippe::N,שפה,bavssa
45,Lippe::N,שפה,poovsâ
46,Lippe::N,שפה,põõus
47,Lippe::N,שפה,пэ̄кс
48,Wange::N,לחי,skiehrie
49,Wange::N,לחי,nierra
50,Wange::N,לחי,muohtu
51,Wange::N,לחי,nieṛâ
52,Wange::N,לחי,njiõrr
53,Wange::N,לחי,нӣрр
54,Gesicht::N,פנים,ååredæjja
55,Gesicht::N,פנים,muohto
56,Gesicht::N,פנים,muođut
57,Gesicht::N,פנים,ámadadju
58,Gesicht::N,פנים,muáđuh
59,Gesicht::N,פנים,muâđ
60,Gesicht::N,פנים,ка̄ссв
61,Stirn::N,מצח,gaalloe
62,Stirn::N,מצח,gállo
63,Stirn::N,מצח,gállu
64,Stirn::N,מצח,kállu
65,Stirn::N,מצח,käll
66,Stirn::N,מצח,вуэххьц
67,Haar::N,שערה,voepte
68,Haar::N,שערה,vuoppta
69,Haar::N,שערה,vuokta
70,Haar::N,שערה,vuop'tâ
71,Haar::N,שערה,vuõpt
72,Haar::N,שערה,вӯппт
73,Schnurrbart::N,שפם,bijjie-skaavtjoe
74,Schnurrbart::N,שפם,njunjevuolskávttjá
75,Schnurrbart::N,שפם,seamu
76,Schnurrbart::N,שפם,siämu
77,Schnurrbart::N,שפם,ää´bben
78,Schnurrbart::N,שפם,о̄а̄бпан
79,Bart::N,זקן,skaavtja
80,Bart::N,זקן,skaavtjoe
81,Bart::N,זקן,skávttjá
82,Bart::N,זקן,seamu
83,Bart::N,זקן,siämu
84,Bart::N,זקן,seäm
85,Bart::N,זקן,ся̄м
86,Kinn::N,סנטר,gaejpie
87,Kinn::N,סנטר,gájbbe
88,Kinn::N,סנטר,gáibi
89,Kinn::N,סנטר,käibi
90,Kinn::N,סנטר,käi´bb
91,Kinn::N,סנטר,ка̄ййп
92,Kiefer[Anatomie]::N,לסת,gaejpie
93,Kiefer[Anatomie]::N,לסת,oalol
94,Kiefer[Anatomie]::N,לסת,oaloldákte
95,Kiefer[Anatomie]::N,לסת,gáibi
96,Kiefer[Anatomie]::N,לסת,uá'lultähti
97,Kiefer[Anatomie]::N,לסת,vuâl'lõš
98,Kiefer[Anatomie]::N,לסת,вуаллнешш
99,Kehle::N,גרון,gealoe
100,Kehle::N,גרון,tjåttå
101,Kehle::N,גרון,njiello
102,Kehle::N,גרון,čotta
103,Kehle::N,גרון,čuudâ
104,Kehle::N,גרון,čoodd
105,Kehle::N,גרון,чонт
106,Kehle::N,גרון,кэ̄ҏс
107,Hals::N,צואר,tjeapohke
108,Hals::N,צואר,tjiebet
109,Hals::N,צואר,čeabet
110,Hals::N,צואר,čiäppát
111,Hals::N,צואר,čeäppat
112,Hals::N,צואר,ча̄пэх
113,Genick::N,ערף,tjovrese
114,Genick::N,ערף,nisske
115,Genick::N,ערף,niehkki
116,Genick::N,ערף,niski
117,Genick::N,ערף,niek'ki
118,Genick::N,ערף,nji´šǩǩmaadd
119,Genick::N,ערף,нышшькмоант
120,Kopf::N,ראש,åejjie
121,Kopf::N,ראש,oajvve
122,Kopf::N,ראש,oaivi
123,Kopf::N,ראש,uái'vi
124,Kopf::N,ראש,vuei´vv
125,Kopf::N,ראש,вуэййв
126,Rücken::N,גב,rudtje
127,Rücken::N,גב,hárddo
128,Rücken::N,גב,tjavelk
129,Rücken::N,גב,sealgi
130,Rücken::N,גב,selgi
131,Rücken::N,גב,čielgi
132,Rücken::N,גב,seä´lǧǧ
133,Rücken::N,גב,се̄лльк
134,Bauch::N,בטן,tjåejjie
135,Bauch::N,בטן,tjoajvve
136,Bauch::N,בטן,čoavji
137,Bauch::N,בטן,čuáv'ji
138,Bauch::N,בטן,čåu´jj
139,Bauch::N,בטן,чо̄ввьй
140,Nabel::N,טבור,naepie
141,Nabel::N,טבור,náhpe
142,Nabel::N,טבור,náhpi
143,Nabel::N,טבור,nääpi
144,Nabel::N,טבור,nää´pp
145,Nabel::N,טבור,на̄бпь
146,Busen::N,שד,boenge
147,Busen::N,שד,bållå
148,Busen::N,שד,čižži
149,Busen::N,שד,njamma
150,Busen::N,שד,njižže
151,Busen::N,שד,nje´ǯǯ
152,Busen::N,שד,раннҍт
153,Brust::N,חזה,mïelke
154,Brust::N,חזה,radde
155,Brust::N,חזה,mielgga
156,Brust::N,חזה,raddi
157,Brust::N,חזה,radde
158,Brust::N,חזה,râ´dd
159,Brust::N,חזה,раннҍт
160,Schulter::N,כתף,åelkie
161,Schulter::N,כתף,oalgge
162,Schulter::N,כתף,hárdu
163,Schulter::N,כתף,ärdee
164,Schulter::N,כתף,uál'gi
165,Schulter::N,כתף,a´rddi
166,Schulter::N,כתף,vuä´lǧǧ
167,Schulter::N,כתף,вуэллык
168,Arm::N,זרוע,gïete
169,Arm::N,זרוע,giehta
170,Arm::N,זרוע,giehta
171,Arm::N,זרוע,kietâ
172,Arm::N,זרוע,kie'tâkaaṿâ
173,Arm::N,זרוע,ǩiõtt
174,Arm::N,זרוע,кӣдт
175,Ellenbogen::N,מרפק,gernjere
176,Ellenbogen::N,מרפק,garŋŋel
177,Ellenbogen::N,מרפק,gargŋil
178,Ellenbogen::N,מרפק,käŋŋir
179,Ellenbogen::N,מרפק,kõõnjâr
180,Ellenbogen::N,מרפק,карьнэль
181,Hand::N,יד,gïete
182,Hand::N,יד,giehta
183,Hand::N,יד,giehta
184,Hand::N,יד,kietâ
185,Hand::N,יד,ǩiõtt
186,Hand::N,יד,кӣдт
187,Handfläche::N,כף יד,gïeten-låapoe
188,Handfläche::N,כף יד,giehtavuodo
189,Handfläche::N,כף יד,tjårmmåvuodo
190,Handfläche::N,כף יד,giehtaloahpu
191,Handfläche::N,כף יד,kiämád
192,Handfläche::N,כף יד,kuámmir
193,Handfläche::N,כף יד,kuä´m'mer
194,Handfläche::N,כף יד,ǩiõttǩeä´m'men
195,Handfläche::N,כף יד,ко̄а̄ллдэгк
196,Handfläche::N,כף יד,кӣдткоалдэгк
197,Finger::N,אצבע,soerme
198,Finger::N,אצבע,tjuvdde
199,Finger::N,אצבע,suorbma
200,Finger::N,אצבע,čuvde
201,Finger::N,אצבע,suor'mâ
202,Finger::N,אצבע,suõrmm
203,Finger::N,אצבע,це̄ххп
204,Fingernagel::N,צפרן,gadtse
205,Fingernagel::N,צפרן,guehpere
206,Fingernagel::N,צפרן,gadtsa
207,Fingernagel::N,צפרן,gazza
208,Fingernagel::N,צפרן,kozzâ
209,Fingernagel::N,צפרן,kõʒʒ
210,Fingernagel::N,צפרן,кэ̄ннц
211,Nagel[Anatomie]::N,צפרן,gadtse
212,Nagel[Anatomie]::N,צפרן,guehpere
213,Nagel[Anatomie]::N,צפרן,gadtsa
214,Nagel[Anatomie]::N,צפרן,gazza
215,Nagel[Anatomie]::N,צפרן,kozzâ
216,Nagel[Anatomie]::N,צפרן,kõʒʒ
217,Nagel[Anatomie]::N,צפרן,кэ̄ннц
218,Zeh::N,אצבע,tjiehtjere
219,Zeh::N,אצבע,juolggetjuvdde
220,Zeh::N,אצבע,juolgesuorbma
221,Zeh::N,אצבע,jyel'gisuor'mâ
222,Zeh::N,אצבע,jue´lǧǧsuõrmm
223,Zeh::N,אצבע,ю̄лльк-це̄һп
224,Fuß::N,רגל,juelkie
225,Fuß::N,רגל,juolgge
226,Fuß::N,רגל,juolgi
227,Fuß::N,רגל,jyel'gi
228,Fuß::N,רגל,jue´lǧǧ
229,Fuß::N,רגל,ла̄бпь
230,Ferse::N,עקב,båetskie
231,Ferse::N,עקב,boasske
232,Ferse::N,עקב,šušmi
233,Ferse::N,עקב,šušme
234,Ferse::N,עקב,jue´lǧǧkädd
235,Ferse::N,עקב,ка̄ннт
236,Knie::N,ברך,boelve
237,Knie::N,ברך,buolvva
238,Knie::N,ברך,čibbi
239,Knie::N,ברך,veaŋki
240,Knie::N,ברך,iidâ
241,Knie::N,ברך,puõlvv
242,Knie::N,ברך,пуллв
243,Oberschenkel::N,ירך,ruaksja
244,Oberschenkel::N,ירך,tjibbe
245,Oberschenkel::N,ירך,gassaváhkká
246,Oberschenkel::N,ירך,badjeváhkáa
247,Oberschenkel::N,ירך,čuár'bpeeḷi
248,Oberschenkel::N,ירך,če´bb
249,Oberschenkel::N,ירך,чуаррбе̄лль
250,Bein::N,רגל,juelkie
251,Bein::N,רגל,juolgge
252,Bein::N,רגל,juolgi
253,Bein::N,רגל,jyel'gi
254,Bein::N,רגל,jue´lǧǧ
255,Bein::N,רגל,ю̄лльк
256,Körper::N,גוף,kråahpe
257,Körper::N,גוף,rumáj
258,Körper::N,גוף,rumaš
