,Concept_ID,ady,hr
0,Auge::N,нэ,oko
1,Ohr::N,тхьакӏу́м,uho
2,Nase::N,пэ,nos
3,Mund::N,жэ,usta
4,Zahn::N,цэ,zub
5,Zunge::N,бзэгу,jezik
6,Lippe::N,ӏупшӏэ́,usna
7,Wange::N,нэкӏу́шъу,obraz
8,Gesicht::N,нэ́гу,lice
9,Stirn::N,натӏэ́,čelo
10,Haar::N,шъхьацы́,kosa
11,Bart::N,жакӏэ́,brada
12,Kinn::N,жэкӏэпэпкъ,brada
13,Kinn::N,жэкӏэпэпкъ,podbradak
14,Kiefer[Anatomie]::N,жэпкъы́,čeljust
15,Kehle::N,чый,grlo
16,Hals::N,пшъэ,vrat
17,Genick::N,шъхьэпхэтыку,zatiljak
18,Kopf::N,шъхьэ́,glava
19,Rücken::N,кӏыбы́,leđa
20,Rücken::N,кӏыбы́,hrbat
21,Bauch::N,ныбэ́,trbuh
22,Busen::N,бгъэ́,sisa
23,Busen::N,бгъэ́,njedra
24,Brust::N,бгъэ́,prsa
25,Schulter::N,блыпкъ,rame
26,Schulter::N,блыпкъ,pleći
27,Arm::N,ӏэ,ruka
28,Ellenbogen::N,ӏэнтэ́гъу,lakat
29,Hand::N,ӏэтхьэцу,ruka
30,Handfläche::N,ӏэ́гу,dlan
31,Finger::N,ӏэхъуа́мб,prst
32,Fingernagel::N,ӏэбжъа́н,nokat
33,Nagel[Anatomie]::N,ӏэбжъа́н,nokat
34,Zeh::N,ӏэхъуа́мб,nozni prst
35,Fuß::N,лъэгу,noga
36,Fuß::N,лъэгу,stopalo
37,Ferse::N,лъэдакъэ,peta
38,Knie::N,лъагуа́ндж,koljeno
39,Oberschenkel::N,ко,bedro
40,Bein::N,лъакъо́,noga
41,Körper::N,пкъышъол,tijelo
42,Haut::N,кӏы́шъу,put
43,Haut::N,кӏы́шъу,koža
44,Blut::N,лъы,krv
45,Ader::N,льытф,žila
46,Sehne::N,фэ,tetiva
47,Knochen::N,къупшъхьэ́,kost
48,Gehirn::N,куцӏы,
49,Herz::N,гу,srce
50,Magen::N,мышкӏу,stomak
51,Magen::N,мышкӏу,želudac
52,Leber::N,шӏу,jetra
53,Atem::N,къэщэныр,dah
54,Hunger::N,гъаблэ́,glad
55,Träne::N,нэпсы,suza
56,Geschmack::N,ӏэшӏугъа́кӏ,ukus
57,Geruch::N,мэ,njuh
58,Geruch::N,мэ,miris
59,Schlaf::N,пчыхьы́пӏ,san
60,Traum::N,пчыхьы́пӏ,san
61,Himmel::N,уашъо́,nebo
62,Sonne::N,тыгъэ,sunce
63,Mond::N,мазэ,mjesec
64,Stern::N,жъуагъо́,zvijezda
65,Luft::N,жьы,zrak
66,Wind::N,жьыбгъэ́,vjetar
67,Welle::N,ор,val
68,Welle::N,ор,talas
69,Welle::N,оры,val
70,Welle::N,оры,talas
71,Wasser::N,псы,voda
72,Stein::N,мыжъо́,kamen
73,Boden::N,чӏ́ыгу,tlo
74,Boden::N,чӏ́ыгу,zemlja
75,Erde::N,чӏ́ыгу,zemlja
76,Staub::N,сап,prah
77,Staub::N,сап,prašina
78,Rauch::N,ӏугъо́,dim
79,Funke::N,мэшӏуа́ч,iskra
80,Funke::N,мэшӏуа́ч,varnica
81,Feuer::N,машӏо́,vatra
82,Licht::N,нэфы,svjetlo
83,Licht::N,нэфын,svjetlo
84,Schatten::N,жьау́,hlad
85,Schatten::N,жьау́,sjena
86,Schatten::N,ныбжьыкъу,hlad
87,Schatten::N,ныбжьыкъу,sjena
88,Nebel::N,пща́гъу,magla
89,Wolke::N,ошъуапщэ,oblak
90,Regen::N,ощхы,kiša
91,Schnee::N,осы́,snijeg
92,Eis::N,мылы,led
93,Kälte::N,чъыӏэ́,studen
94,Kälte::N,чъыӏэ́,hladnoća
95,Hitze::N,фэба́е,vrućina
96,Regenbogen::N, лэгъупэкъо́пс,duga
97,Donner::N,шыблэ́,grom
98,Donner::N,шыблэ́,grmljavina
99,Strömung::N,ток,struja
100,Strömung::N,ток,strujanje
101,Tropfen::N,ткӏопс,kap
102,Tropfen::N,ткӏопс,kaplja
103,Tropfen::N,гъуаткӏу,kap
104,Tropfen::N,гъуаткӏу,kaplja
105,Schaum::N,тхъурбэ,pjena
106,Schmutz::N,псынжъы,nečistoća
107,Schmutz::N,псынжъы,prljavština
108,See::N,хыку́м,jezero
109,See::N,псыхъура́й,jezero
110,Sumpf::N,орыжъ,bara
111,Moor::N,орыжъ,močvara
112,Wiese::N,хъупӏэ́,livada
113,Wiese::N,мэкъупӏ,livada
114,Wald::N,мэзы́,šuma
115,Hügel::N,ӏуашъхь,brijeg
116,Hügel::N,ӏуашъхь,brežuljak
117,Anhöhe::N,чӏыӏэтыгъ,uzvišica
118,Berg::N,къушъхьэ́,brdo
119,Gipfel::N,шыгу,vrh
120,Höhle::N,гъочӏэгъ,pećina
121,Höhle::N,гъочӏэгъ,spilja
122,Abhang::N,чапэ,obronak
123,Abhang::N,чапэ,nizbrdica
124,Quelle::N,псынэчэ́чъ,izvor
125,Quelle::N,псынэчэ́чъ,vrelo
126,Bach::N,псышкуашку,potok
127,Fluss::N,псыхъо́,rijeka
128,Ufer::N,нэпкъы,obala
129,Küste::N,ӏушъо,obala
130,Küste::N,ӏушъо,morska obala
131,Festland::N,чӏл́ыгу,kopno
132,Meer::N,хы,more
133,Bucht::N,хыблыгу,zaliv
134,Insel::N,хыгъэхъу́н,ada
135,Insel::N,хыгъэхъу́н,otok
136,Blume::N,къэгъа́гь,cvijet
137,Gras::N,уцы́,trava
138,Wurzel::N,лъапсэ́,korijen
139,Baum::N,чъыгы́,drvo
140,Baum::N,чъыгы́,stablo
141,Stamm::N,пкъы,deblo
142,Stamm::N,пкъы,stablo
143,Rinde::N,пхъашъо́,kora
144,Ast::N,куамэ,grana
145,Zweig::N,къутамэ́,grana
146,Blatt::N,тхьап,list
147,Birke::N,пчэн,breza
148,Kiefer[Baum]::N,сэснэй,bor
149,Weide[Baum]::N,пце́л,iva
150,Weide[Baum]::N,пце́л,vŕba
151,Tanne::N,ель,jela
152,Horn::N,бжъэ,rog
153,Feder::N,къамӏы́й,pero
154,Fell::N,шъо,koža
155,Flügel::N,тамэ́,krilo
156,Klaue::N,лъэбжъа́н,papak
157,Kralle::N,лъакъо,pandža
158,Schwanz::N,кӏэ,rep
159,Ei::N,кӏэнкӏэ́,jaje
160,Nest::N,набгъо́,gnijezdo
161,Bau::N,гъу,jazbina
162,Bau::N,бы,jazbina
163,Tier::N,псэу́шъхь,životinja
164,Herde::N,ӏэхъогъу,krdo
165,Herde::N,ӏэхъогъу,stado
166,Kuh::N,чэмы́,krava
167,Bulle::N,цу,bik
168,Pferd::N,шы,konj
169,Schaf::N,мэлы́,ovca
170,Schwein::N,къо,svinja
171,Hund::N,бьэ,pas
172,Hund::N,бьэ,pseto
173,Katze::N,чэты́у,mačka
174,Bär::N,мышъэ́,medvjed
175,Eichhörnchen::N,цызэ́,vjeverica
176,Elch::N,лось,los
177,Fuchs::N,баджэ́,lisica
178,Hase::N,тхьакӏумкӏы́хь,zec
179,Maus::N,цыгъо́,miš
180,Wolf::N,тыгъу́жъ,vuk
181,Wolf::N,тыгъу́жъ,kurjak
182,Vogel::N,бзы́у,ptica
183,Schwarm::N,отэр,roj
184,Schwarm::N,отэр,jato
185,Huhn::N,чэты́,kokoš
186,Hahn::N,атакъэ́,kokot
187,Hahn::N,атакъэ́,pijevac
188,Gans::N,къа́з,guska
189,Ente::N,псычэ́т,patka
190,Eule::N,тыгъурыгъу,sova
191,Kranich::N,къэрэ́у,ždral
192,Krähe::N,къолэ́жъ,vrana
193,Kuckuck::N,куку́у,kukavica
194,Fisch::N,пцэжъы́й,riba
195,Barsch::N,тхыкъэц,grgeč
196,Hecht::N,лэнд,štuka
197,Schlange[Tier]::N,блэ́,guja
198,Schlange[Tier]::N,блэ́,zmija
199,Wurm::N,хьамлыу,crv
200,Spinne::N,бэдж,pauk
201,Ameise::N,къамзэ́гу,mrav
202,Laus::N,цӏэ,uš
203,Mücke::N,аргъо́й,komarac
204,Fliege::N,бадзэ́,muha
205,Schmetterling::N,хьампӏыра́шъу,leptir
206,Beere::N,маткӏо,boba
207,Beere::N,маткӏо,bobica
208,Apfel::N,мыӏэры́с,jabuka
209,Pilz::N,хьаӏу,pečurka
210,Zwiebel::N,бжьыны́,luk
211,Zwiebel::N,бжьыны́,kapula
212,Saat::N,чылапхъ,sjemenje
213,Korn::N,цэ,zrno
214,Heu::N,мэкъу,sijeno
215,Schale::N,кӏы́шъу,kora
216,Schale::N,кӏы́шъу,ljuska
217,Grube::N,машэ́,jama
218,Falle::N,зэраубытырэ́ ӏэмэпсы́м,zamka
219,Falle::N,зэраубытырэ́ ӏэмэпсы́м,klopka
220,Schlinge::N,бзыуубыт,uzao
221,Schlinge::N,бзыуубыт,petlja
222,Spur::N,ужы,trag
223,Spur::N,ужы,slijed
224,Spur::N,лъэуж,trag
225,Spur::N,лъэуж,slijed
226,Asche::N,яжьэ́,pepeo
227,Dreck::N,псынжъы,blato
228,Eisen::N,гыучӏы́,željezo
229,Eisen::N,къэнджа́л,željezo
230,Gold::N,дышъэ́,zlato
231,Silber::N,тыжьы́н,srebro
232,Kohle::N,шӏомыкӏ,ugalj
233,Kohle::N,шӏомыкӏ,ugljen
234,Glas::N,апч,staklo
235,Lehm::N,етӏагъо́,glina
236,Lehm::N,етӏагъо́,ilovača
237,Sand::N,пшахъо,pijesak
238,Mensch::N,цӏыфы́,čovjek
239,Mann::N,хъулъфы́гъ,muškarac
240,Frau::N,бӏылъфыгъэ́,žena
241,Kind::N,кӏэлэцӏы́кӏу,čedo
242,Kind::N,кӏэлэцӏы́кӏу,dijete
243,Junge::N,кӏэлэцӏы́кӏу,momče
244,Junge::N,кӏэлэцӏы́кӏу,dječak
245,Mädchen::N,пшъэшъэжъый,djevojka
246,Mädchen::N,пшъэшъэжъый,djevojčica
247,Familie::N,быны́,obitelj
248,Familie::N,быны́,porodica
249,Familie::N,уна́гъу,obitelj
250,Familie::N,уна́гъу,porodica
251,Großvater::N,тэтэ́жъ,djed
252,Großmutter::N,нэнэ́жъ,baka
253,Eltern::N,ны-тыхэ́р,roditelji
254,Vater::N,ты,otac
255,Mutter::N,ны,majka
256,Sohn::N,къо,sin
257,Tochter::N,пхъу,kći
258,Tochter::N,пхъу,kćerka
259,Bruder::N,шы,brat
260,Schwester::N,шы́пхъу,sestra
261,Onkel::N,янэ́ш,čika
262,Onkel::N,янэ́ш,ujak
263,Tante::N,атэшыпхъу,ujna
264,Tante::N,атэшыпхъу,tetka
265,Ehemann::N,лӏы,muž
266,Ehemann::N,лӏы,suprug
267,Ehefrau::N,шъу́з,žena
268,Ehefrau::N,шъу́з,supruga
269,Freude::N,гушӏуа́гъу,radost
270,Gelächter::N,щхыныр,grohot
271,Glück::N,насы́п,sreća
272,Kummer::N,тхьамыкӏагъу,jad
273,Kummer::N,тхьамыкӏагъу,briga
274,Wunsch::N,шӏонгъоны́гъ,želja
275,Lust::N,шӏонгъоны́гъ,volja
276,Geist::N,гу,duh
277,Gedanke::N,гупшыс,misao
278,Gedächtnis::N,память,pamćenje
279,Verstand::N,акъы́л,um
280,Verstand::N,акъы́л,razum
