,Concept_ID,lt,it
0,Auge::N,akis,occhio
1,Ohr::N,ausis,orecchio
2,Nase::N,nosis,naso
3,Mund::N,burna,bocca
4,Zahn::N,dantis,dente
5,Zunge::N,liežuvis,lingua
6,Lippe::N,lūpa,labbro
7,Wange::N,žandas,guancia
8,Wange::N,skruostas,guancia
9,Gesicht::N,veidas,viso
10,Gesicht::N,veidas,faccia
11,Stirn::N,kakta,fronte
12,Haar::N,plaukai,capello
13,Schnurrbart::N,ūsai,baffi
14,Schnurrbart::N,ūsai,mustacchi
15,Bart::N,barzda,barba
16,Kinn::N,smakras,mento
17,Kiefer[Anatomie]::N,žandikaulis,mascella
18,Kehle::N,gerklė,gola
19,Hals::N,kaklas,collo
20,Genick::N,sprandas,nuca
21,Kopf::N,galva,capo
22,Kopf::N,galva,testa
23,Rücken::N,nugara,dorso
24,Rücken::N,nugara,schiena
25,Bauch::N,pilvas,ventre
26,Nabel::N,bamba,ombelico
27,Busen::N,krūtinė,seno
28,Brust::N,krūtis,petto
29,Schulter::N,petys,spalla
30,Arm::N,ranka,braccio
31,Ellenbogen::N,alkūnė,gomito
32,Hand::N,ranka,mano
33,Hand::N,plaštaka,mano
34,Handfläche::N,delnas,palma
35,Handfläche::N,plaštaka,palma
36,Finger::N,pirštas,dito
37,Fingernagel::N,nagas,unghia
38,Nagel[Anatomie]::N,nagas,unghia
39,Zeh::N,pirštas,dito del piede
40,Fuß::N,pėda,piede
41,Ferse::N,kulnas,tallone
42,Ferse::N,kulnas,calcagno
43,Knie::N,kelis,ginocchio
44,Oberschenkel::N,kulšis,fèmore
45,Oberschenkel::N,šlaunis,fèmore
46,Bein::N,koja,gamba
47,Körper::N,kūnas,corpo
48,Haut::N,oda,pelle
49,Blut::N,kraujas,sangue
50,Ader::N,kraujagyslė,vena
51,Sehne::N,sausgyslė,tèndine
52,Knochen::N,kaulas,osso
53,Gehirn::N,smegenys,cervello
54,Herz::N,širdis,cuore
55,Magen::N,skrandis,stòmaco
56,Leber::N,kepenys,fegato
57,Atem::N,kvapas,fiato
58,Atem::N,kvapas,respiro
59,Hunger::N,badas,fame
60,Hunger::N,alkis,fame
61,Träne::N,ašara,làcrima
62,Geschmack::N,skonis,gusto
63,Geschmack::N,skonis,sapore
64,Geruch::N,kvapas,odore
65,Schlaf::N,miegas,sonno
66,Traum::N,sapnas,sogno
67,Himmel::N,dangus,cielo
68,Sonne::N,saulė,sole
69,Mond::N,mėnulis,luna
70,Stern::N,žvaigždė,stella
71,Luft::N,oras,aria
72,Wind::N,vėjas,vento
73,Welle::N,banga,onda
74,Welle::N,vilnis,onda
75,Wasser::N,vanduo,acqua
76,Stein::N,akmuo,sasso
77,Stein::N,akmuo,pietra
78,Boden::N,žemė,suolo
79,Boden::N,žemė,terreno
80,Boden::N,dugnas,suolo
81,Boden::N,dugnas,terreno
82,Erde::N,žemė,terra
83,Staub::N,dulkės,polvere
84,Rauch::N,dūmai,fumo
85,Funke::N,kibirkštis,scintilla
86,Feuer::N,ugnis,fuoco
87,Licht::N,šviesa,luce
88,Schatten::N,paūksmė,ombra
89,Wetter::N,oras,tempo
90,Nebel::N,migla,nebbia
91,Nebel::N,rūkas,nebbia
92,Wolke::N,debesis,nube
93,Wolke::N,debesis,nùvola
94,Regen::N,lietus,pioggia
95,Schnee::N,sniegas,neve
96,Eis::N,ledas,ghiaccio
97,Frost::N,šalna,gelo
98,Kälte::N,šaltis,freddo
99,Hitze::N,karštis,caldo
100,Hitze::N,karštis,calura
101,Raureif::N,šerkšnas,brina
102,Regenbogen::N,vaivorykštė,arcobaleno
103,Donner::N,perkūnas,tuono
104,Donner::N,griaustinis,tuono
105,Strömung::N,tėkmė,corrente
106,Tropfen::N,lašas,goccia
107,Schaum::N,putos,spuma
108,Schaum::N,putos,schiuma
109,Schmutz::N,purvas,sudiciume
110,See::N,ežeras,lago
111,Sumpf::N,klampynė,palude
112,Sumpf::N,liūnas,palude
113,Moor::N,pelkė,torbiera
114,Wiese::N,pieva,prato
115,Wald::N,miškas,bosco
116,Wald::N,miškas,foresta
117,Hügel::N,kalva,colle
118,Hügel::N,kalva,collina
119,Anhöhe::N,kauburys,altura
120,Berg::N,kalnas,monte
121,Berg::N,kalnas,montagna
122,Gipfel::N,viršūnė,cima
123,Höhle::N,ola,grotta
124,Höhle::N,ola,caverna
125,Abhang::N,šlaitas,pendìo
126,Abhang::N,nuokalnė,pendìo
127,Quelle::N,versmė,sorgente
128,Quelle::N,šaltinis,sorgente
129,Bach::N,upelis,ruscello
130,Fluss::N,upė,fiume
131,Ufer::N,krantas,riva
