,Concept_ID,sah,da
0,Auge::N,харах,øje
1,Ohr::N,кулгаах,øre
2,Nase::N,мурун,næse
3,Mund::N,айах,mund
4,Zahn::N,тиис,tand
5,Zunge::N,тыл,tunge
6,Lippe::N,уос,læbe
7,Wange::N,иэдэс,kind
8,Gesicht::N,сирэй,ansigt
9,Stirn::N,сүүс,pande
10,Haar::N,баттах,hår
11,Schnurrbart::N,уос бытыга,overskæg
12,Bart::N,сэҥийэ бытыга,skæg
13,Kinn::N,сэҥийэ,hage
14,Kiefer[Anatomie]::N,сыҥаах,kæbe
15,Kehle::N,тамах,strube
16,Kehle::N,күөмэй,strube
17,Hals::N,моой,hals
18,Genick::N,кэтэх,nakke
19,Kopf::N,бас,hoved
20,Rücken::N,көҕүс,ryg
21,Bauch::N,ис,mave
22,Nabel::N,киин,navle
23,Busen::N,эмиий,barm
24,Brust::N,түөс,bryst
25,Schulter::N,сарын,skulder
26,Arm::N,илии,arm
27,Ellenbogen::N,тоҕонох,albue
28,Hand::N,илии,hånd
29,Handfläche::N,ытыс,håndflade
30,Finger::N,тарбах,finger
31,Fingernagel::N,тыҥырах,fingernegl
32,Nagel[Anatomie]::N,тыҥырах,negl
33,Zeh::N,тарбах,tå
34,Fuß::N,уллуҥах,fod
35,Ferse::N,тилэх,hæl
36,Knie::N,тобук,knæ
37,Knie::N,дьилбэк,knæ
38,Oberschenkel::N,уллук,lår
39,Oberschenkel::N,өттүк,lår
40,Bein::N,атах,ben
41,Körper::N,бэйэ,krop
42,Körper::N,бэйэ,legeme
43,Haut::N,тирии,hud
44,Blut::N,хаан,blod
45,Ader::N,вена,åre
46,Ader::N,күөх_тымыр,åre
47,Sehne::N,иҥиир,sene
48,Knochen::N,уҥуох,ben
49,Knochen::N,уҥгуох,ben
50,Gehirn::N,мэйии,hjerne
51,Herz::N,сүрэх,hjerte
52,Magen::N,куртах,mave
53,Leber::N,быар,lever
54,Atem::N,тыын,ånde
55,Hunger::N,аас,sult
56,Träne::N,харах уута,tåre
57,Geschmack::N,амтан,smag
58,Geruch::N,сыт,lugt
59,Schlaf::N,утуйуу,søvn
60,Traum::N,түүл,drøm
61,Himmel::N,халлаан,himmel
62,Sonne::N,күн,sol
63,Mond::N,ый,måne
64,Stern::N,сулус,stjerne
65,Luft::N,салгын,luft
66,Wind::N,тыал,vind
67,Welle::N,долгун,bølge
68,Welle::N,балхаан,bølge
69,Wasser::N,уу,vand
70,Stein::N,таас,sten
71,Boden::N,сир,jord
72,Erde::N,буор,jord
73,Staub::N,быыл,støv
74,Rauch::N,буруо,røg
75,Funke::N,кыым,gnist
76,Feuer::N,уот,ild
77,Licht::N,уот,lys
78,Schatten::N,күлүк,skygge
79,Wetter::N,күн-дьыл,vejr
80,Nebel::N,туман,tåge
81,Wolke::N,былыт,sky
82,Regen::N,самыыр,regn
83,Schnee::N,хаар,sne
84,Eis::N,муус,is
85,Frost::N,тымныы,frost
86,Kälte::N,тымныы,kulde
87,Hitze::N,куйаас,hede
88,Raureif::N,кырыа,rimfrost
89,Regenbogen::N,кустук,regnbue
90,Donner::N,этиҥ,torden
91,Strömung::N,сүүрүк,strømning
92,Tropfen::N,таммах,dråbe
93,Tropfen::N,хааппыла,dråbe
94,Schaum::N,күүгэн,skum
95,Schmutz::N,кир,snavs
96,See::N,күөл,sø
97,Sumpf::N,бадараан,sump
98,Moor::N,дьэбэрэ,mose
99,Wiese::N,ходуһа,eng
100,Wald::N,ойуур,skov
101,Hügel::N,булгунньах,høj
102,Hügel::N,булгунньах,bakke
103,Anhöhe::N,үрдэл,høj
104,Anhöhe::N,үрдэл,bakke
105,Berg::N,хайа,bjerg
106,Gipfel::N,чыпчаал,top
107,Höhle::N,хайа_хаспаҕа,hule
108,Höhle::N,көҥүс,hule
109,Abhang::N,эниэ,skrænt
110,Abhang::N,эниэ,skråning
111,Quelle::N,дьүүктэ,kilde
112,Bach::N,үрүйэ,bæk
113,Fluss::N,өрүс,flod
114,Ufer::N,биэрэк,bred
115,Küste::N,кытыл,kyst
116,Festland::N,кураанах сир,fastland
117,Meer::N,муора,hav
118,Bucht::N,хомо,bugt
119,Bucht::N,бухта,bugt
120,Insel::N,арыы,ø
121,Blume::N,сибэкки,blomst
122,Gras::N,от,græs
123,Wurzel::N,силис,rod
124,Baum::N,мас,træ
125,Stamm::N,умнас,stamme
126,Rinde::N,хатырык,bark
127,Ast::N,мутук,gren
128,Zweig::N,лабаа,kvist
129,Blatt::N,сэбирдэх,blad
130,Birke::N,хатыҥ,birk
131,Kiefer[Baum]::N,бэс,fyrretræ
132,Weide[Baum]::N,үөт,piletræ
133,Weide[Baum]::N,талах,piletræ
134,Tanne::N,харыйа,gran
135,Horn::N,муос,horn
136,Feder::N,куорсун,fjer
137,Fell::N,тирии,skind
138,Flügel::N,кынат,vinge
139,Klaue::N,тыҥырах,klov
140,Kralle::N,баппаҕай,klo
141,Schwanz::N,кутурук,hale
142,Ei::N,сымыыт,æg
143,Nest::N,уйа,rede
144,Bau::N,хороон,bo
145,Tier::N,кыыл,dyr
146,Tier::N,харамай,dyr
147,Herde::N,үөр,flok
148,Kuh::N,ынах,ko
149,Bulle::N,оҕус,tyr
150,Pferd::N,сылгы,hest
151,Schaf::N,овца,får
152,Schwein::N,сибиинньэ,gris
153,Hund::N,ыт,hund
154,Katze::N,куоска,kat
155,Bär::N,эһэ,bjørn
156,Eichhörnchen::N,тииҥ,egern
157,Elch::N,тайах,elg
158,Fuchs::N,саһыл,ræv
159,Hase::N,куобах,hare
160,Maus::N,кутуйах,mus
161,Wolf::N,бөрө,ulv
162,Vogel::N,көтөр,fugl
163,Schwarm::N,бөлөх,sværm
164,Huhn::N,куурусса,høne
165,Hahn::N,бөтүүк,hane
166,Gans::N,хаас,gås
167,Adler::N,хотой,ørn
168,Ente::N,кус,and
169,Eule::N,мэкчиргэ,ugle
170,Kranich::N,туруйа,trane
171,Krähe::N,тураах,krage
172,Kuckuck::N,кэҕэ,gøg
173,Schwan::N,куба,svane
174,Fisch::N,балык,fisk
175,Barsch::N,алыһар,aborre
176,Hecht::N,сордон,gedde
