,Concept_ID,myv,eu
0,Auge::N,сельме,begi
1,Ohr::N,пиле,belarri
2,Nase::N,судо,sudur
3,Mund::N,курго,aho
4,Zahn::N,пей,hortz
5,Zunge::N,кель,mihi
6,Lippe::N,турва,ezpain
7,Wange::N,чамабока,masail
8,Wange::N,чамаумарь,masail
9,Gesicht::N,чама,aurpegi
10,Stirn::N,коня,bekoki
11,Haar::N,черь,ile
12,Haar::N,черь,bilo
13,Schnurrbart::N,ус,bibote
14,Schnurrbart::N,ус,sudurpeko
15,Schnurrbart::N,муюк,bibote
16,Schnurrbart::N,муюк,sudurpeko
17,Bart::N,сакал,bizar
18,Kinn::N,уло,kokots
19,Kiefer[Anatomie]::N,пейпакар,masailezur
20,Kiefer[Anatomie]::N,пейловажа,masailezur
21,Kehle::N,кирьгапарь,eztarri
22,Hals::N,кирьга,sama
23,Genick::N,човонь,garondo
24,Kopf::N,пря,buru
25,Rücken::N,копорь,bizkar
26,Bauch::N,пеке,sabel
27,Nabel::N,почо,zilbor
28,Busen::N,поте,titi
29,Busen::N,поте,ugatz
30,Brust::N,меште,bular
31,Schulter::N,лавтов,besaburu
32,Arm::N,кедь,beso
33,Ellenbogen::N,кенерепакарь,ukondo
34,Hand::N,кедь,esku
35,Handfläche::N,кедькуншка,ahur
36,Handfläche::N,кедьлапушка,ahur
37,Finger::N,сур,hatz
38,Fingernagel::N,кенже,azazkal
39,Nagel[Anatomie]::N,кенже,azazkal
40,Zeh::N,пильге сур,behatz
41,Fuß::N,пильге,oin
42,Ferse::N,кочкаря,orpo
43,Ferse::N,кочкаря,oinburu
44,Knie::N,эле,belaun
45,Knie::N,эзне,belaun
46,Knie::N,кумажа,belaun
47,Oberschenkel::N,качо,izter
48,Bein::N,пильге,zango
49,Körper::N,рунго,soin
50,Haut::N,киське,azal
51,Blut::N,верь,odol
52,Ader::N,сан,zain
53,Sehne::N,коське сан,gihar-zain
54,Knochen::N,пакарь,hezur
55,Gehirn::N,удем,garun
56,Gehirn::N,удем,burmuin
57,Herz::N,седей,bihotz
58,Magen::N,пеке,urdail
59,Leber::N,максо,gibel
60,Atem::N,лексема,hats
61,Atem::N,лексема,arnasa
62,Atem::N,оймень таргсема,hats
63,Atem::N,оймень таргсема,arnasa
64,Hunger::N,вачочи,gose
65,Träne::N,селведь,malko
66,Geschmack::N,тансть,dasta
67,Geruch::N,чине,usain
68,Schlaf::N,удома,lo
69,Traum::N,он,amets
70,Himmel::N,менель,zeru
71,Sonne::N,чи,eguzki
72,Mond::N,ков,ilargi
73,Stern::N,теште,izar
74,Luft::N,кошт,aire
75,Wind::N,варма,haize
76,Welle::N,толкун,uhin
77,Welle::N,толкун,olatu
78,Wasser::N,ведь,ur
79,Stein::N,кев,harri
80,Boden::N,мода,lur
81,Boden::N,мода,zoru
82,Erde::N,мастор,lur
83,Staub::N,пуль,hauts
84,Rauch::N,качамо,ke
85,Funke::N,сятко,zirta
86,Funke::N,сятко,txinparta
87,Feuer::N,тол,su
88,Licht::N,валдо,argi
89,Schatten::N,сулей,itzal
90,Schatten::N,сулей,geriza
91,Schatten::N,сулейкс,itzal
92,Schatten::N,сулейкс,geriza
93,Wetter::N,ушо,eguraldi
94,Nebel::N,сув,laino
95,Wolke::N,пель,hodei
96,Regen::N,пиземс,euri
97,Schnee::N,лов,elur
98,Eis::N,эй,horma
99,Frost::N,кельме,izotzaldi
100,Kälte::N,якшамо,hotz
101,Hitze::N,пси,bero
102,Raureif::N,лекш,antzigar
103,Regenbogen::N,пурьгинечирьке,ostadar
104,Regenbogen::N,пурьгинечирьке,ortzadar
105,Regenbogen::N,пурьгинеёнкс,ostadar
106,Regenbogen::N,пурьгинеёнкс,ortzadar
107,Donner::N,пурьгине,ostots
108,Donner::N,пурьгине,ihurtzuri
109,Strömung::N,чудема,laster
110,Strömung::N,чудевкс,laster
111,Tropfen::N,петнявкс,xorta
112,Schaum::N,чов,bits
113,Schmutz::N,рудаз,lohi
114,Schmutz::N,рудаз,zikin
115,See::N,эрьке,laku
116,See::N,эрьке,aintzira
117,Sumpf::N,чей,zingira
118,Moor::N,чей,zohikaztegi
119,Wiese::N,луга,larre
120,Wiese::N,луга,belardi
121,Wald::N,вирь,baso
122,Wald::N,вирь,oihan
123,Hügel::N,губорь,muino
124,Hügel::N,губорь,pentoka
125,Hügel::N,пандыне,muino
126,Hügel::N,пандыне,pentoka
127,Anhöhe::N,губорь,garai
128,Anhöhe::N,губорь,goragune
129,Anhöhe::N,пандыне,garai
130,Anhöhe::N,пандыне,goragune
131,Berg::N,пандо,mendi
132,Gipfel::N,пря,gain
133,Gipfel::N,пря,tontor
134,Höhle::N,пещера,kobazulo
135,Abhang::N,пандочама,aldapa
136,Quelle::N,ушодкс,iturri
137,Quelle::N,ушодкс,iturbegi
138,Bach::N,чудикерькс,lats
139,Bach::N,чудикерькс,erreka
140,Fluss::N,лей,ibai
141,Fluss::N,лей,uhaitz
142,Ufer::N,чире,bazter
143,Küste::N,лейчире,itsasalde
144,Festland::N,мода,lehor
145,Meer::N,моря,itsaso
146,Bucht::N,усия,golko
147,Insel::N,усия,irla
148,Insel::N,усия,uharte
149,Blume::N,цеця,lili
150,Gras::N,тикше,belar
151,Wurzel::N,юр,zuztar
152,Wurzel::N,юр,sustrai
153,Wurzel::N,ундокс,zuztar
154,Wurzel::N,ундокс,sustrai
155,Baum::N,чувто,zuhaitz
156,Stamm::N,рунго,enbor
157,Rinde::N,суд,azal
158,Rinde::N,керь,azal
159,Ast::N,морго,adar
160,Zweig::N,тарад,abar
161,Blatt::N,лопа,hosto
162,Birke::N,килей,urki
163,Kiefer[Baum]::N,пиче,ler
164,Weide[Baum]::N,каль,zume
165,Weide[Baum]::N,каль,sahats
166,Tanne::N,куз,izei
167,Horn::N,сюро,adar
168,Feder::N,толга,luma
169,Feder::N,толга,hegaki
170,Fell::N,пона,ile
171,Fell::N,пона,larru
172,Flügel::N,сёлмо,hego
173,Klaue::N,кенже,atzapar
174,Kralle::N,кенже,erpe
175,Kralle::N,кенже,atzapar
176,Schwanz::N,пуло,isats
177,Schwanz::N,пуло,buztan
178,Ei::N,ал,arrautza
179,Nest::N,пизэ,habia
180,Bau::N,варя,ohantze
181,Bau::N,пизе,ohantze
182,Tier::N,ракша,abere
183,Tier::N,ракша,piztia
184,Herde::N,стада,saldo
185,Herde::N,стада,abere talde
186,Kuh::N,скал,behi
187,Bulle::N,бука,zezen
188,Pferd::N,лишме,zaldi
189,Schaf::N,реве,ardi
190,Schwein::N,туво,urde
191,Schwein::N,туво,txerri
192,Hund::N,пине,txakur
193,Hund::N,киска,txakur
194,Katze::N,псака,katu
195,Bär::N,овто,hartz
196,Eichhörnchen::N,ур,urtxintxa
197,Elch::N,сярдо,altze
198,Fuchs::N,ривезь,azeri
199,Hase::N,нумоло,erbi
200,Maus::N,чеерь,sagu
201,Wolf::N,верьгиз,otso
202,Vogel::N,нармунь,txori
203,Vogel::N,нармунь,hegazti
204,Schwarm::N,полк,aldra
205,Schwarm::N,стада,aldra
206,Huhn::N,сараз,oilo
207,Hahn::N,атякш,oilar
208,Gans::N,гала,antzara
209,Gans::N,мацей,antzara
210,Adler::N,куцькан,arrano
211,Adler::N,тумоатякш,arrano
212,Ente::N,яксярго,ahate
213,Eule::N,корж,hontza
214,Kranich::N,карго,kurrilo
215,Krähe::N,варака,bele
216,Kuckuck::N,куко,kuku
217,Schwan::N,локсей,beltxarga
218,Fisch::N,кал,arrain
219,Barsch::N,окунь,perka
220,Hecht::N,щука,lutxo
221,Schlange[Tier]::N,гуй,suge
222,Wurm::N,сукс,har
223,Spinne::N,шанжав,armiarma
224,Ameise::N,коткудав,inurri
225,Laus::N,сий,zorri
226,Mücke::N,сеське,eltxo
227,Fliege::N,карво,euli
228,Schmetterling::N,нимиляв,pinpirin
229,Schmetterling::N,нимиляв,tximeleta
230,Beere::N,умарь,baia
231,Apfel::N,умарь,sagar
232,Pilz::N,панго,onddo
233,Pilz::N,панго,perretxiko
234,Zwiebel::N,чурька,tipula
235,Saat::N,видьметь,haziak
236,Korn::N,сюро,ale
237,Korn::N,сюро,pikor
238,Heu::N,тикше,belar ondu
239,Schale::N,кедь,azal
240,Schale::N,ваткавкс,azal
241,Grube::N,латко,hobi
242,Falle::N,тувор,harrapagailu
243,Falle::N,кундамка,harrapagailu
244,Schlinge::N,килькш,bilur
245,Schlinge::N,килькш,xedera
246,Spur::N,челькс,lorratz
247,Spur::N,пильгеки,lorratz
248,Asche::N,кулов,errauts
249,Dreck::N,рудаз,satsukeria
250,Eisen::N,кшни,burdina
251,Gold::N,сырне,urre
252,Gold::N,сырне,urregorri
253,Silber::N,сия,zilar
254,Silber::N,сия,urrezuri
255,Kohle::N,сэдь,ikatz
256,Kohle::N,уголия,ikatz
257,Glas::N,сулика,beira
258,Lehm::N,сёвонь,buztin
259,Sand::N,човар,harea
260,Sand::N,човар,hondar
261,Mensch::N,ломань,gizaki
262,Mann::N,аля,gizon
263,Mann::N,цёраломань,gizon
264,Frau::N,ава,andere
265,Frau::N,ава,emakume
266,Kind::N,эйкакш,haur
267,Junge::N,цёрыне,mutil
268,Mädchen::N,тейтерне,neska
269,Familie::N,семия,sendi
270,Familie::N,семия,familia
271,Großvater::N,покштя,aitona
272,Großvater::N,покштя,aitatxi
273,Großmutter::N,баба,amona
274,Großmutter::N,баба,amatxi
275,Eltern::N,тетят-ават,gurasoak
276,Vater::N,тетя,aita
277,Mutter::N,ава,ama
278,Sohn::N,цёра,seme
279,Tochter::N,тейтерь,alaba
280,Bruder::N,леля,neba
281,Bruder::N,леля,anaia
282,Bruder::N,ялакс,neba
283,Bruder::N,ялакс,anaia
284,Schwester::N,сазор,ahizpa
285,Onkel::N,леля,osaba
286,Tante::N,патя,izeba
287,Ehemann::N,мирде,senar
288,Ehefrau::N,ни,emazte
289,Freude::N,кеняркс,poz
290,Freude::N,кеняркс,pozkari
291,Gelächter::N,ракамо,barre
292,Gelächter::N,ракамо,karkara
293,Gelächter::N,пейдема,barre
294,Gelächter::N,пейдема,karkara
295,Glück::N,уцяска,zori
296,Kummer::N,рискс,xangrin
297,Kummer::N,рискс,atsekabe
298,Kummer::N,мелявкс,xangrin
299,Kummer::N,мелявкс,atsekabe
300,Wunsch::N,мель,nahi
301,Wunsch::N,мель,nahikunde
302,Wunsch::N,бажамо,nahi
303,Wunsch::N,бажамо,nahikunde
304,Lust::N,бажамо,gogo
305,Geist::N,ойме,gogo
306,Gedanke::N,мель,gogoeta
307,Gedächtnis::N,мель,oroimen
308,Gedächtnis::N,мель,gogoramen
309,Verstand::N,прев,adimen
310,Verstand::N,прев,ulermen
311,Sinn::N,толк,zentzu
312,Sinn::N,смысла,zentzu
313,Grund::N,тувтал,zergati
314,Wahrheit::N,видечи,egia
315,Gespräch::N,кортнема,hizketa
316,Gespräch::N,кортнема,elkarrizketa
317,Märchen::N,ёвкс,ipuin
318,Erzählung::N,ёвтнема,edesti
319,Erzählung::N,ёвтнема,kontakizun
320,Nachricht::N,куля,albiste
321,Neuigkeit::N,куля,berri
322,Name::N,лем,izen
323,Rätsel::N,содамоёвкс,asmakizun
