,Concept_ID,te,cv
0,Auge::N,కన్ను,куҫ
1,Ohr::N,చెవి,хӑлха
2,Nase::N,ముక్కు,сӑмса
3,Mund::N,నోరు,ҫӑвар
4,Zahn::N,పల్లు,шӑл
5,Zunge::N,నాలుక,чӗлхе
6,Lippe::N,పెదవి,тута
7,Wange::N,చెంప,пит ҫӑмарти
8,Gesicht::N,ముఖము,пит
9,Gesicht::N,ముఖము,пит-куҫ
10,Stirn::N,నుదురు,ҫамка
11,Haar::N,వెండ్రుక,ҫӳҫ
12,Schnurrbart::N,మీసము,усси
13,Bart::N,గడ్డము,сухал
14,Kinn::N,గడ్డము,янах
15,Kiefer[Anatomie]::N,దౌడ,янах
16,Kehle::N,గొంతు,пыр
17,Kehle::N,గొంతు,карланкӑ
18,Hals::N,మెడ,пыр
19,Genick::N,మూపు,ӗнсе
20,Kopf::N,తల,пуҫ
21,Rücken::N,వెన్ను,ҫурӑм
22,Bauch::N,కడుపు,
23,Nabel::N,బొడ్డు,кӑвапа
24,Busen::N,స్తనము,кӑкӑр
25,Brust::N,ఱొమ్ము,умӗ
26,Schulter::N,భుజము,хул пуҫҫи
27,Arm::N,చేయి,алӑ
28,Ellenbogen::N,మోచేయి,чавса
29,Hand::N,చేయి,алӑ сыппи
30,Handfläche::N,అరచేయు,ал лаппи
31,Finger::N,చేతిప్రేలు,пӳрне
32,Fingernagel::N,గోరు,чӗрне
33,Nagel[Anatomie]::N,గోరు,чӗрне
34,Zeh::N,కాలిప్రేలు,пӳрне
35,Fuß::N,అడుగు,ура лаппи
36,Ferse::N,మడమ,кӗле
37,Knie::N,మోకాలు,чӗркуҫҫи
38,Oberschenkel::N,తొడ,пӗҫӗ
39,Bein::N,కాలు,ура
40,Körper::N,కాయము,ӳт
41,Körper::N,కాయము,ӳт-пӳ
42,Haut::N,చర్మము,тир
43,Blut::N,రక్తము,юн
44,Ader::N,సిర,вена
45,Sehne::N,స్నాయువు,шӑнӑр
46,Knochen::N,ఎముక,шӑмӑ
47,Gehirn::N,మెదడు,миме
48,Herz::N,హృదయము,чӗре
49,Magen::N,కడుపు,хырӑмлӑх
50,Leber::N,కాలేయము,пӗвер
51,Atem::N,ఉపిరి,сывлав
52,Hunger::N,ఆకలి,выҫлӑх
53,Träne::N,కన్నీటిచుక్క,куҫҫуль
54,Geschmack::N,రుచి,техӗм
55,Geruch::N,వాసన,шӑршӑ
56,Schlaf::N,నిద్ర,ыйхӑ
57,Traum::N,కల,тӗлӗк
58,Himmel::N,ఆకాశము,пӗлӗт
59,Sonne::N,సూర్యుడు,хӗвел
60,Mond::N,చంద్రుడు,уйӑх
61,Stern::N,నక్షత్రము,ҫӑлтӑр
62,Luft::N,గాలి,сывлӑш
63,Wind::N,వీచుచున్నగాలి,ҫил
64,Welle::N,అల,хум
65,Wasser::N,నీరు,шыв
66,Wasser::N,నీరు,шыв-шур
67,Stein::N,ఱాయి,чул
68,Boden::N,నేల,тӑпра
69,Erde::N,మన్ను,ҫӗр
70,Staub::N,దుమ్ము,тусан
71,Rauch::N,పొగ,тӗтӗм
72,Funke::N,అగ్నికణము,хӗм
73,Feuer::N,అగ్ని,вут
74,Feuer::N,అగ్ని,ҫулӑм
75,Licht::N,కాంతి,ҫутӑ
76,Schatten::N,నీడ,сулхӑн
77,Wetter::N,వాతావరణ స్థితి,ҫанталӑк
78,Nebel::N,పొగమంచు,тӗтре
79,Wolke::N,మేఘము,пӗлӗт
80,Regen::N,వాన,ҫумӑр
81,Schnee::N,హిమము,юр
82,Eis::N,మంచుగడ్డ,пӑр
83,Frost::N,పేరిన మంచు,сивӗ
84,Kälte::N,చలి,сивӗ
85,Hitze::N,వేడిమి,вӗри
86,Hitze::N,వేడిమి,шӑрӑх
87,Raureif::N,మంచు,пас
88,Regenbogen::N,ఇంద్రధనుస్సు,асамат кӗперӗ
89,Donner::N,ఉరుము,аслати
90,Strömung::N,ప్రవాహము,юхӑ
91,Tropfen::N,చుక్క,тумлам
92,Schaum::N,నురుగు,кӑпӑк
93,Schmutz::N,మైల,пылчӑк
94,See::N,సరస్సు,кӳлӗ
95,Sumpf::N,చిత్తడినేల,шур
96,Sumpf::N,చిత్తడినేల,шурлӑх
97,Moor::N,చిత్తడినేల,торфлӑ шурлӑх
98,Wiese::N,పచ్చిక బయలు,улӑх
99,Wiese::N,పచ్చిక బయలు,ҫаран
100,Wald::N,అడవి,вӑрман
101,Hügel::N,చివ్నకొండ,сӑрт
102,Hügel::N,చివ్నకొండ,тӗмеске
103,Anhöhe::N,కొండ,сӑрт
104,Berg::N,పర్వతము,ту
105,Gipfel::N,శిఖరము,тӳпе
106,Höhle::N,గుహ,ҫӗр хӑвӑлӗ
107,Abhang::N,ఏటవాలు,тӑвайкки
108,Quelle::N,మూలము,ҫӑл куҫ
109,Bach::N,కాలువ,пӗчӗк шыв
110,Fluss::N,నది,юхан шыв
111,Ufer::N,తీరము,ҫыран
112,Küste::N,తీరము,тинӗс ҫыранӗ
113,Festland::N,భూమి,тип ҫӗр
114,Meer::N,సముద్రము,тинӗс
115,Bucht::N,మరుగు,тинӗс кукӑрӗ
116,Insel::N,దీవి,утрав
117,Blume::N,పుష్పము,чечек
118,Gras::N,పచ్చగడ్డి,курӑк
119,Wurzel::N,వేరు,тымар
120,Baum::N,చెట్టు,йывӑҫ
121,Stamm::N,చెట్టుబోదె,вулӑ
122,Rinde::N,చెట్టుపట్ట,хуйӑр
123,Ast::N,కొమ్మ,турат
124,Zweig::N,చివుకు,турат
125,Blatt::N,ఆకు,ҫулҫӑ
126,Birke::N,తరహా చెట్టు,хурӑн
127,Kiefer[Baum]::N,దేవదారు చెట్టు,хыр
128,Weide[Baum]::N,జాతిచెట్టు,хӑва
129,Tanne::N,దేవదారుచెట్టు,чӑрӑш
130,Horn::N,కొమ్ము,мӑйрака
131,Feder::N,ఈక,тӗк
132,Fell::N,తోలు,ҫӑм
133,Flügel::N,ఱెక్క,ҫунат
134,Klaue::N,వంకరగోరు,чӗрне
135,Kralle::N,వంకరగోరు,ура
136,Schwanz::N,తోక,хӳре
137,Ei::N,గ్రుడ్డు,ҫӑмарта
138,Nest::N,పక్షిగూడు,йӑва
139,Bau::N,గుహ,йӗнӗ
140,Tier::N,జంతువు,выльӑх
141,Herde::N,మంద,кӗтӳ
