,Concept_ID,he,et
0,Auge::N,עין,silm
1,Ohr::N,אזן,kõrv
2,Nase::N,אף,nina
3,Nase::N,חטם,nina
4,Mund::N,פה,suu
5,Zahn::N,שן,hammas
6,Zunge::N,לשון,keel
7,Lippe::N,שפה,huul
8,Wange::N,לחי,põsk
9,Gesicht::N,פנים,nägu
10,Stirn::N,מצח,otsmik
11,Haar::N,שערה,juus
12,Schnurrbart::N,שפם,vurrud
13,Schnurrbart::N,שפם,vuntsid
14,Bart::N,זקן,habe
15,Kinn::N,סנטר,lõug
16,Kiefer[Anatomie]::N,לסת,lõualuu
17,Kehle::N,גרון,kõri
18,Hals::N,צואר,kael
19,Genick::N,ערף,kukal
20,Kopf::N,ראש,pea
21,Rücken::N,גב,selg
22,Bauch::N,בטן,kõht
23,Nabel::N,טבור,naba
24,Busen::N,שד,rind
25,Brust::N,חזה,rind
26,Schulter::N,כתף,õlg
27,Arm::N,זרוע,käsivars
28,Ellenbogen::N,מרפק,küünarnukk
29,Hand::N,יד,käsi
30,Handfläche::N,כף יד,pihk
31,Finger::N,אצבע,sõrm
32,Fingernagel::N,צפרן,küüs
33,Nagel[Anatomie]::N,צפרן,küüs
34,Zeh::N,אצבע,varvas
35,Fuß::N,רגל,jalg
36,Ferse::N,עקב,kand
37,Knie::N,ברך,põlv
38,Oberschenkel::N,ירך,reis
39,Bein::N,רגל,jalg
40,Körper::N,גוף,ihu
41,Körper::N,גוף,keha
42,Haut::N,עור,nahk
43,Blut::N,דם,veri
44,Ader::N,וריד,veen
45,Sehne::N,גיד,kõõlus
46,Knochen::N,עצם,luu
47,Gehirn::N,מוח,aju
48,Herz::N,לב,süda
49,Magen::N,קבה,magu
50,Leber::N,כבד,maks
51,Atem::N,נשימה,hingeõhk
52,Atem::N,נשימה,hingamine
53,Hunger::N,רעב,nälg
54,Träne::N,דמעה,pisar
55,Geschmack::N,טעם,maitse
56,Geruch::N,ריח,lõhn
57,Schlaf::N,שנה,uni
58,Traum::N,חלום,unenägu
59,Himmel::N,שמים,taevas
60,Sonne::N,שמש,päike
61,Mond::N,ירח,kuu
62,Stern::N,כוכב,täht
63,Luft::N,אויר,õhk
64,Wind::N,רוח,tuul
65,Welle::N,גל,laine
66,Wasser::N,מים,vesi
67,Stein::N,אבן,kivi
68,Boden::N,קרקע,maa
69,Boden::N,קרקע,pinnas
70,Erde::N,אדמה,maa
71,Staub::N,אבק,põrm
72,Rauch::N,עשן,suits
73,Funke::N,ניצוץ,säde
74,Feuer::N,אש,tuli
75,Licht::N,אור,valgus
76,Schatten::N,צל,vari
77,Wetter::N,מזג אויר,ilm
78,Nebel::N,ערפל,udu
79,Wolke::N,ענן,pilv
80,Regen::N,גשם,sadu
81,Schnee::N,שלג,lumi
82,Eis::N,קרח,jää
83,Frost::N,צנה,pakane
84,Kälte::N,קר,külm
85,Kälte::N,קר,külmus
86,Hitze::N,חם,kuumus
87,Hitze::N,חם,palavus
88,Raureif::N,כפור,härmatis
89,Regenbogen::N,קשת,vikerkaar
90,Donner::N,רעם,kõu
91,Donner::N,רעם,müristamine
92,Strömung::N,זרימה,voolus
93,Strömung::N,זרימה,jõevool
94,Tropfen::N,טפה,tilk
95,Schaum::N,קצף,vaht
96,Schmutz::N,לכלוך,pori
97,Schmutz::N,לכלוך,mustus
98,See::N,אגם,järv
99,Sumpf::N,בצה,soo
100,Moor::N,בצה,raba
101,Wiese::N,מרעה,aas
102,Wiese::N,מרעה,nurm
103,Wald::N,יער,mets
104,Hügel::N,תל,küngas
105,Anhöhe::N,מעלה,küngas
106,Berg::N,הר,mägi
107,Gipfel::N,פסגה,mäetipp
108,Höhle::N,מערה,koobas
109,Abhang::N,מדרון,nõlvak
110,Abhang::N,שפוע,nõlvak
111,Quelle::N,מעין,allikas
112,Bach::N,נחל,oja
113,Fluss::N,נהר,jõgi
114,Ufer::N,גדה,kallas
115,Küste::N,חוף,rannik
116,Festland::N,יבשה,mander
117,Festland::N,יבשה,maismaa
118,Meer::N,ים,meri
119,Bucht::N,מפרץ,laht
120,Insel::N,אי,saar
121,Blume::N,פרח,lill
122,Gras::N,דשא,rohi
123,Wurzel::N,שרש,juur
124,Baum::N,עץ,puu
125,Stamm::N,גזע,tüvi
126,Rinde::N,קלפת עץ,koor
127,Ast::N,ענף,oks
128,Zweig::N,ענף,oks
129,Blatt::N,עלה,leht
130,Birke::N,שדר,kask
131,Kiefer[Baum]::N,ארן,mänd
132,Weide[Baum]::N,ערבה,paju
133,Tanne::N,אשוח,nulg
134,Horn::N,קרן,sarv
135,Feder::N,נוצה,sulg
136,Fell::N,פרוה,karvkate
137,Fell::N,פרוה,karusnahk
138,Flügel::N,כנף,tiib
139,Flügel::N,כנף,tiivik
140,Klaue::N,טלף,küüs
141,Kralle::N,טפר,küünis
142,Schwanz::N,זנב,saba
143,Ei::N,ביצה,muna
144,Nest::N,קן,pesa
145,Bau::N,מחלה,urg
146,Tier::N,חיה,loom
147,Herde::N,עדר,kari
148,Kuh::N,פרה,lehm
149,Bulle::N,פר,pull
150,Pferd::N,סוס,hobune
151,Schaf::N,כבשה,lammas
152,Schwein::N,חזיר,siga
153,Hund::N,כלב,koer
154,Katze::N,חתול,kass
155,Bär::N,דב,karu
156,Eichhörnchen::N,סנאי,orav
157,Elch::N,דישון,põder
158,Fuchs::N,שועל,rebane
159,Hase::N,ארנב,jänes
160,Maus::N,עכבר,hiir
161,Wolf::N,זאב,hunt
162,Vogel::N,צפור,lind
163,Schwarm::N,נחיל,parv
164,Schwarm::N,להקה,parv
165,Huhn::N,תרנגלת,kana
166,Hahn::N,תרנגול,kukk
167,Gans::N,אוז,hani
168,Adler::N,עיט,kotkas
169,Ente::N,ברוז,part
170,Eule::N,ינשוף,kakk
171,Eule::N,ינשוף,öökull
172,Kranich::N,עגור,kurg
173,Kranich::N,כרוכיה,kurg
174,Krähe::N,עורב,vares
175,Kuckuck::N,קוקיה,kägu
176,Schwan::N,ברבור,luik
177,Fisch::N,דג,kala
178,Barsch::N,אוקונוס,ahven
179,Hecht::N,זאב הים,haug
180,Schlange[Tier]::N,נחש,uss
181,Wurm::N,תולעת,uss
182,Wurm::N,תולעת,vagel
183,Spinne::N,עכביש,ämblik
184,Ameise::N,נמלה,sipelgas
185,Laus::N,כנה,täi
186,Mücke::N,יתוש,sääsk
187,Fliege::N,זבוב,kärbes
188,Schmetterling::N,פרפר,liblikas
189,Beere::N,ענבה,mari
190,Apfel::N,תפוח,õun
191,Pilz::N,פטריה,seen
192,Zwiebel::N,בצל,sibul
193,Saat::N,זרעים,seeme
194,Korn::N,גרעין,iva
195,Korn::N,גרעין,tera
196,Heu::N,חציר,hein
197,Schale::N,קלפה,koor
198,Grube::N,בור,kaevand
199,Grube::N,שוחה,kaevand
200,Falle::N,מלכדת,lõks
201,Falle::N,מלכדת,püünis
202,Schlinge::N,לולאה,aas
203,Spur::N,עקבה,jälg
204,Asche::N,אפר,tuhk
205,Dreck::N,זהמה,saast
206,Dreck::N,זהמה,mustus
207,Eisen::N,ברזל,raud
208,Gold::N,זהב,kuld
209,Silber::N,כסף,hõbe
210,Kohle::N,פחם,süsi
211,Glas::N,זכוכית,klaas
212,Lehm::N,חרסית,savi
213,Sand::N,חול,liiv
214,Mensch::N,אדם,inimene
215,Mann::N,איש,mees
216,Mann::N,גבר,mees
217,Frau::N,אשה,naine
218,Frau::N,גברת,naine
219,Kind::N,ילד,laps
220,Junge::N,ילד,poiss
221,Mädchen::N,נערה,tüdruk
222,Familie::N,משפחה,perekond
223,Großvater::N,סבא,vanaisa
224,Großmutter::N,סבתא,vanaema
225,Eltern::N,הורים,vanemad
226,Vater::N,אב,isa
227,Mutter::N,אם,ema
228,Sohn::N,בן,poeg
229,Tochter::N,בת,tütar
230,Bruder::N,אח,vend
231,Schwester::N,אחות,õde
232,Onkel::N,דוד,onu
233,Tante::N,דודה,tädi
234,Ehemann::N,איש,mees
235,Ehemann::N,איש,abikaasa
236,Ehemann::N,בעל,mees
237,Ehemann::N,בעל,abikaasa
238,Ehefrau::N,אשה,naine
239,Ehefrau::N,אשה,abikaasa
240,Freude::N,שמחה,rõõm
241,Gelächter::N,צחוק,naer
242,Glück::N,אשר,õnn
243,Kummer::N,יגון,mure
244,Kummer::N,יגון,kurbus
245,Kummer::N,עגמה,mure
246,Kummer::N,עגמה,kurbus
247,Wunsch::N,אחול,soov
248,Wunsch::N,משאלה,soov
249,Lust::N,חשק,himu
250,Lust::N,תשוקה,himu
251,Geist::N,רוח,vaim
252,Gedanke::N,מחשבה,mõte
253,Gedächtnis::N,זכרון,mälu
254,Verstand::N,שכל,aru
255,Verstand::N,שכל,mõistus
256,Sinn::N,מובן,tähendus
257,Sinn::N,משמעות,tähendus
258,Grund::N,סבה,põhjus
259,Wahrheit::N,אמת,tõde
260,Gespräch::N,דיון,kõne
261,Gespräch::N,דיון,vestlus
262,Märchen::N,אגדה,muinasjutt
263,Erzählung::N,ספור,jutustus
264,Nachricht::N,ידיעה,teade
265,Neuigkeit::N,חדשה,uudis
266,Name::N,שם,nimi
267,Rätsel::N,תעלומה,mõistatus
268,Rede::N,נאום,kõne
269,Sprache::N,לשון,keel
270,Stimme::N,קול,hääl
271,Wort::N,מלה,sõna
272,Zeichen::N,סימן,märk
273,Ruf::N,קריאה,hüüe
274,Lärm::N,רעש,müra
275,Laut::N,הגה,hääl
276,Ton::N,צליל,toon
277,Lied::N,שיר,laul
278,Ruhe::N,שלוה,rahu
279,Ruhe::N,שלוה,vaikus
280,Leute::N,אנשים,inimesed
281,Volk::N,עם,rahvas
282,Arbeit::N,עבודה,töö
283,Gast::N,אורח,külaline
284,Geschenk::N,מתנה,kingitus
285,Spiel::N,משחק,mäng
286,Gesellschaft::N,חברה,selts
287,Hilfe::N,עזרה,abi
288,Freund::N,חבר,sõber
289,Freund::N,ידיד,sõber
290,Kamerad::N,רע,sõber
291,Angelegenheit::N,ענין,asi
292,Anzahl::N,מספר,arv
293,Anzahl::N,מספר,hulk
294,Art::N,סוג,liik
295,Stück::N,חתיכה,tükk
296,Teil::N,פרק,osa
297,Hälfte::N,חצי,pool
298,Kreis::N,מעגל,ring
299,Kreuz::N,צלב,rist
300,Linie::N,קו,joon
301,Strich::N,קו קצר,joon
302,Abstand::N,מרחק,vahe
303,Entfernung::N,מרחק,kaugus
304,Entfernung::N,מרחק,vahemaa
305,Gegend::N,נוף,ümbrus
306,Platz::N,שטח,ruum
307,Ort::N,אתר,paik
308,Ort::N,מקום,paik
309,Seite::N,צד,pool
310,Mitte::N,אמצע,keskpaik
311,Gegenstand::N,אוביקט,ese
312,Sache::N,דבר,ese
313,Rand::N,פרור,äär
314,Rand::N,פרור,serv
315,Kante::N,קצה,kant
