,Concept_ID,da,en
0,Auge::N,øje,eye
1,Ohr::N,øre,ear
2,Nase::N,næse,nose
3,Mund::N,mund,mouth
4,Zahn::N,tand,tooth
5,Zunge::N,tunge,tongue
6,Lippe::N,læbe,lip
7,Wange::N,kind,cheek
8,Gesicht::N,ansigt,face
9,Stirn::N,pande,forehead
10,Haar::N,hår,hair
11,Schnurrbart::N,overskæg,moustache
12,Bart::N,skæg,beard
13,Kinn::N,hage,chin
14,Kiefer[Anatomie]::N,kæbe,jaw
15,Kehle::N,strube,throat
16,Hals::N,hals,neck
17,Genick::N,nakke,nape
18,Kopf::N,hoved,head
19,Rücken::N,ryg,back
20,Rücken::N,ryg,spine
21,Bauch::N,mave,belly
22,Nabel::N,navle,navel
23,Busen::N,barm,bosom
24,Brust::N,bryst,chest
25,Brust::N,bryst,breast
26,Schulter::N,skulder,shoulder
27,Arm::N,arm,arm
28,Ellenbogen::N,albue,elbow
29,Hand::N,hånd,hand
30,Handfläche::N,håndflade,palm
31,Finger::N,finger,finger
32,Fingernagel::N,fingernegl,fingernail
33,Nagel[Anatomie]::N,negl,nail
34,Zeh::N,tå,toe
35,Fuß::N,fod,foot
36,Ferse::N,hæl,heel
37,Knie::N,knæ,knee
38,Oberschenkel::N,lår,thigh
39,Bein::N,ben,leg
40,Körper::N,krop,body
41,Körper::N,legeme,body
42,Haut::N,hud,skin
43,Blut::N,blod,blood
44,Ader::N,åre,vein
45,Sehne::N,sene,sinew
46,Knochen::N,ben,bone
47,Gehirn::N,hjerne,brain
48,Herz::N,hjerte,heart
49,Magen::N,mave,stomach
50,Leber::N,lever,liver
51,Atem::N,ånde,breath
52,Hunger::N,sult,hunger
53,Träne::N,tåre,tear
54,Geschmack::N,smag,flavour
55,Geschmack::N,smag,flavor
56,Geruch::N,lugt,odour
57,Geruch::N,lugt,odor
58,Schlaf::N,søvn,sleep
59,Traum::N,drøm,dream
60,Himmel::N,himmel,sky
61,Sonne::N,sol,sun
62,Mond::N,måne,moon
63,Stern::N,stjerne,star
64,Luft::N,luft,air
65,Wind::N,vind,wind
66,Welle::N,bølge,wave
67,Wasser::N,vand,water
68,Stein::N,sten,stone
69,Boden::N,jord,soil
70,Boden::N,jord,ground
71,Erde::N,jord,earth
72,Staub::N,støv,dust
73,Rauch::N,røg,smoke
74,Funke::N,gnist,spark
75,Feuer::N,ild,fire
76,Licht::N,lys,light
77,Schatten::N,skygge,shadow
78,Wetter::N,vejr,weather
79,Nebel::N,tåge,fog
80,Wolke::N,sky,cloud
81,Regen::N,regn,rain
82,Schnee::N,sne,snow
83,Eis::N,is,ice
84,Frost::N,frost,frost
85,Kälte::N,kulde,chill
86,Hitze::N,hede,heat
87,Raureif::N,rimfrost,hoarfrost
88,Regenbogen::N,regnbue,rainbow
89,Donner::N,torden,thunder
90,Strömung::N,strømning,current
91,Tropfen::N,dråbe,drop
92,Schaum::N,skum,foam
93,Schmutz::N,snavs,dirt
94,See::N,sø,lake
95,Sumpf::N,sump,swamp
96,Moor::N,mose,moor
97,Wiese::N,eng,meadow
98,Wald::N,skov,forest
99,Hügel::N,høj,hill
100,Hügel::N,bakke,hill
101,Anhöhe::N,høj,elevation
102,Anhöhe::N,bakke,elevation
103,Berg::N,bjerg,mountain
104,Gipfel::N,top,summit
105,Höhle::N,hule,cave
106,Abhang::N,skrænt,slope
107,Abhang::N,skråning,slope
108,Quelle::N,kilde,source
109,Bach::N,bæk,brook
110,Fluss::N,flod,river
111,Ufer::N,bred,shore
112,Küste::N,kyst,coast
113,Festland::N,fastland,land
114,Meer::N,hav,sea
115,Bucht::N,bugt,cove
116,Insel::N,ø,island
117,Blume::N,blomst,flower
118,Gras::N,græs,grass
119,Wurzel::N,rod,root
120,Baum::N,træ,tree
121,Stamm::N,stamme,trunk
122,Rinde::N,bark,bark
123,Ast::N,gren,limb
124,Zweig::N,kvist,branch
125,Blatt::N,blad,leaf
126,Birke::N,birk,birch
127,Kiefer[Baum]::N,fyrretræ,pine
128,Weide[Baum]::N,piletræ,willow
129,Tanne::N,gran,fir
130,Horn::N,horn,horn
131,Feder::N,fjer,feather
132,Fell::N,skind,fur
133,Flügel::N,vinge,wing
134,Klaue::N,klov,claw
135,Kralle::N,klo,claw
136,Schwanz::N,hale,tail
137,Ei::N,æg,egg
138,Nest::N,rede,nest
139,Bau::N,bo,lair
140,Tier::N,dyr,animal
141,Herde::N,flok,flock
142,Kuh::N,ko,cow
143,Bulle::N,tyr,bull
144,Pferd::N,hest,horse
145,Schaf::N,får,sheep
146,Schwein::N,gris,pig
147,Hund::N,hund,dog
148,Katze::N,kat,cat
149,Bär::N,bjørn,bear
150,Eichhörnchen::N,egern,squirrel
151,Elch::N,elg,elk
152,Fuchs::N,ræv,fox
153,Hase::N,hare,hare
154,Maus::N,mus,mouse
155,Wolf::N,ulv,wolf
156,Vogel::N,fugl,bird
157,Schwarm::N,sværm,swarm
158,Huhn::N,høne,chicken
159,Hahn::N,hane,cock
160,Gans::N,gås,goose
161,Adler::N,ørn,eagle
162,Ente::N,and,duck
163,Eule::N,ugle,owl
164,Kranich::N,trane,crane
165,Krähe::N,krage,crow
166,Kuckuck::N,gøg,cuckoo
167,Schwan::N,svane,swan
168,Fisch::N,fisk,fish
169,Barsch::N,aborre,perch
170,Hecht::N,gedde,pike
171,Schlange[Tier]::N,slange,snake
172,Wurm::N,orm,worm
173,Spinne::N,edderkop,spider
174,Ameise::N,myre,ant
175,Laus::N,lus,louse
176,Mücke::N,myg,midge
177,Fliege::N,flue,fly
178,Schmetterling::N,sommerfugl,butterfly
179,Beere::N,bær,berry
180,Apfel::N,æble,apple
181,Pilz::N,svamp,mushroom
182,Zwiebel::N,løg,onion
