,Concept_ID,pt,sk
0,Auge::N,olho,oko
1,Ohr::N,orelha,ucho
2,Nase::N,nariz,nos
3,Mund::N,boca,ústa
4,Zahn::N,dente,zub
5,Zunge::N,língua,jazyk
6,Lippe::N,lábio,pera
7,Wange::N,face,líce
8,Gesicht::N,cara,tvár
9,Gesicht::N,cara,obličaj
10,Gesicht::N,rosto,tvár
11,Gesicht::N,rosto,obličaj
12,Stirn::N,testa,čelo
13,Haar::N,cabelo,vlas
14,Schnurrbart::N,bigode,fúzy
15,Bart::N,barba,brada
16,Kinn::N,queixo,brada
17,Kiefer[Anatomie]::N,maxila,čeľusť
18,Kiefer[Anatomie]::N,mandíbula,čeľusť
19,Kehle::N,garganta,hrdlo
20,Hals::N,colo,krk
21,Hals::N,pescoço,krk
22,Genick::N,nuca,väzy
23,Kopf::N,cabeça,hlava
24,Rücken::N,dorso,chrbát
25,Rücken::N,costas,chrbát
26,Bauch::N,ventre,brucho
27,Bauch::N,barriga,brucho
28,Nabel::N,umbigo,pupok
29,Busen::N,seio,prsia
30,Brust::N,peito,hruď
31,Schulter::N,ombro,plece
32,Arm::N,braço,rameno
33,Ellenbogen::N,cotovelo,lakeť
34,Hand::N,mão,ruka
35,Handfläche::N,palma,dlaň
36,Handfläche::N,palma da mão,dlaň
37,Finger::N,dedo,prst
38,Fingernagel::N,unha,necht
39,Nagel[Anatomie]::N,unha,necht
40,Zeh::N,dedo do pé,prst na nohe
41,Fuß::N,pé,noha
42,Ferse::N,calcanhar,päta
43,Knie::N,joelho,koleno
44,Oberschenkel::N,coxa,stehno
45,Bein::N,perna,noha
46,Körper::N,corpo,telo
47,Haut::N,pele,koža
48,Blut::N,sangue,krv
49,Ader::N,veia,žila
50,Sehne::N,tendão,šľacha
51,Knochen::N,osso,kosť
52,Gehirn::N,cérebro,mozog
53,Herz::N,coração,srdce
54,Magen::N,estômago,žalúdok
55,Leber::N,fígado,pečeň
56,Atem::N,fôlego,dych
57,Hunger::N,fome,hlad
58,Träne::N,lágrima,slza
59,Geschmack::N,gosto,chuť
60,Geruch::N,odor,pach
61,Geruch::N,cheiro,pach
62,Schlaf::N,sono,spánok
63,Traum::N,sonho,sen
64,Himmel::N,céu,nebo
65,Sonne::N,sol,slnko
66,Mond::N,lua,mesiac
67,Stern::N,estrela,hviezda
68,Luft::N,ar,vzduch
69,Wind::N,vento,vietor
70,Welle::N,onda,vlna
71,Wasser::N,água,voda
72,Stein::N,pedra,kameň
73,Boden::N,solo,zem
74,Boden::N,solo,pôda
75,Erde::N,terra,zem
76,Staub::N,pó,prach
77,Rauch::N,fumo,dym
78,Funke::N,faísca,iskra
79,Funke::N,centelha,iskra
80,Feuer::N,fogo,oheň
81,Licht::N,luz,svetlo
82,Schatten::N,sombra,tieň
83,Wetter::N,tempo,počasie
84,Nebel::N,nevoeiro,hmla
85,Wolke::N,nuvem,oblak
86,Wolke::N,nuvem,mračno
87,Regen::N,chuva,dážď
88,Schnee::N,neve,sneh
89,Eis::N,gelo,ľad
90,Frost::N,gelo,mráz
91,Frost::N,geada,mráz
92,Kälte::N,frio,zima
93,Kälte::N,frio,chlad
94,Hitze::N,ardor,horúčava
95,Raureif::N,geada,srieň
96,Raureif::N,geada,inovať
97,Regenbogen::N,arco-iris,dúha
98,Donner::N,trovão,hrom
99,Strömung::N,corrente,prúdenie
100,Tropfen::N,gota,kvapka
101,Schaum::N,espuma,pena
102,Schmutz::N,sujidade,špina
103,Schmutz::N,sujidade,nečistota
104,Schmutz::N,imundície,špina
105,Schmutz::N,imundície,nečistota
106,See::N,lago,jazero
107,Sumpf::N,charco,bahno
108,Sumpf::N,pântano,bahno
109,Moor::N,pântano,močiar
110,Wiese::N,prado,lúka
111,Wald::N,bosque,les
112,Wald::N,bosque,hora
113,Wald::N,floresta,les
114,Wald::N,floresta,hora
115,Hügel::N,colina,vŕšok
116,Anhöhe::N,alto,výšina
117,Anhöhe::N,alto,vyvýšenina
118,Anhöhe::N,outeiro,výšina
119,Anhöhe::N,outeiro,vyvýšenina
120,Berg::N,monte,hora
121,Berg::N,montanha,hora
122,Gipfel::N,pico,vrchol
123,Höhle::N,caverna,jaskyňa
124,Abhang::N,encosta,úbočie
125,Quelle::N,fonte,prameň
126,Bach::N,regato,potok
127,Bach::N,ribeiro,potok
128,Fluss::N,rio,rieka
129,Ufer::N,beira,breh
130,Küste::N,costa,pobrežie
131,Festland::N,terra firme,pevnina
132,Meer::N,mar,more
133,Bucht::N,baía,záliv
134,Bucht::N,baía,zátoka
135,Insel::N,ilha,ostrov
136,Blume::N,flor,kvet
137,Blume::N,flor,kvetina
138,Gras::N,erva,tráva
139,Wurzel::N,raiz,koreň
140,Baum::N,árvore,strom
141,Stamm::N,tronco,kmeň
142,Rinde::N,casca,kôra
143,Ast::N,ramo,konár
144,Zweig::N,galho,vetva
145,Blatt::N,folha,list
146,Birke::N,bétula,breza
147,Kiefer[Baum]::N,pinheiro,sosna
148,Kiefer[Baum]::N,pinheiro,borovica
149,Weide[Baum]::N,salgueiro,vŕba
150,Tanne::N,abeto,jedľa
151,Horn::N,corno,roh
152,Horn::N,chifre,roh
153,Feder::N,pena,pero
154,Fell::N,pele,koža
155,Fell::N,pele,kožušina
156,Flügel::N,asa,krídlo
157,Klaue::N,pata,paznecht
158,Kralle::N,unha,pazúr
159,Kralle::N,garra,pazúr
160,Schwanz::N,rabo,chvost
161,Schwanz::N,cauda,chvost
162,Ei::N,ovo,vajce
163,Ei::N,ovo,vajíčko
164,Nest::N,ninho,hniezdo
165,Bau::N,toca,nora
166,Bau::N,covil,nora
167,Tier::N,animal,zviera
168,Herde::N,rebanho,stádo
169,Kuh::N,vaca,krava
170,Bulle::N,touro,býk
171,Pferd::N,cavalo,kôň
172,Schaf::N,ovelha,ovca
173,Schwein::N,porco,sviňa
174,Hund::N,cão,pes
175,Katze::N,gata,mačka
176,Bär::N,urso,medveď
177,Eichhörnchen::N,esquilo,veverička
178,Elch::N,alce,los
179,Fuchs::N,raposa,líška
180,Hase::N,lebre,zajac
181,Maus::N,rato,myš
182,Wolf::N,lobo,vlk
183,Vogel::N,ave,vták
184,Vogel::N,pássaro,vták
185,Schwarm::N,bando,roj
186,Schwarm::N,enxame,roj
187,Huhn::N,galinha,kurča
188,Huhn::N,galinha,sliepka
189,Hahn::N,galo,kohút
190,Gans::N,ganso,hus
191,Adler::N,águia,orol
192,Ente::N,pata,kačka
193,Ente::N,pata,kačica
194,Eule::N,mocho,sova
195,Eule::N,coruja,sova
196,Kranich::N,grou,žeriav
197,Krähe::N,gralha,vrana
198,Kuckuck::N,cuco,kukučka
199,Schwan::N,cisne,labuť
200,Fisch::N,peixe,ryba
201,Barsch::N,perca,ostriež
202,Hecht::N,lúcio,šťuka
203,Schlange[Tier]::N,serpente,had
204,Wurm::N,verme,červ
205,Spinne::N,aranha,pavúk
206,Ameise::N,formiga,mravec
207,Laus::N,piolho,voš
208,Mücke::N,mosquito,komár
209,Fliege::N,mosca,mucha
210,Schmetterling::N,borboleta,motýľ
211,Beere::N,bago,bobuľa
212,Apfel::N,maçã,jablko
213,Pilz::N,fungo,hríb
214,Pilz::N,cogumelo,hríb
215,Zwiebel::N,cebola,cibuľa
216,Saat::N,sementeira,osivo
217,Korn::N,grão,zrno
218,Heu::N,feno,seno
219,Schale::N,casca,šupa
220,Schale::N,casca,škrupina
221,Grube::N,cova,jama
222,Grube::N,fossa,jama
223,Falle::N,armadilha,pasca
224,Falle::N,armadilha,klepec
