,Concept_ID,udm,sv
0,Auge::N,син,öga
1,Ohr::N,пель,öra
2,Nase::N,ныр,näsa
3,Mund::N,ым,mun
4,Zahn::N,пинь,tand
5,Zunge::N,кыл,tunga
6,Lippe::N,ымдур,läpp
7,Wange::N,бам,kind
8,Gesicht::N,ымныр,syn
9,Gesicht::N,ымныр,ansikte
10,Stirn::N,кымес,panna
11,Haar::N,йырси,hår
12,Schnurrbart::N,мыйык,mustasch
13,Bart::N,туш,skägg
14,Kinn::N,ангес,haka
15,Kiefer[Anatomie]::N,ан,käke
16,Kiefer[Anatomie]::N,анлы,käke
17,Kehle::N,гульым,strupe
18,Hals::N,чырты,hals
19,Genick::N,йырбер,nacke
20,Kopf::N,йыр,huvud
21,Rücken::N,мыш,rygg
22,Bauch::N,кӧт,buk
23,Bauch::N,кӧт,mage
24,Nabel::N,гогы,navel
25,Busen::N,ноны,barm
26,Brust::N,мӧля,bröst
27,Schulter::N,пельпум,skuldra
28,Arm::N,суй,arm
29,Ellenbogen::N,гырпум,armbåge
30,Hand::N,ки,hand
31,Handfläche::N,ки пыдэс,handflata
32,Handfläche::N,кырым пыдэс,handflata
33,Finger::N,чиньы,finger
34,Fingernagel::N,гижы,fingernagel
35,Fingernagel::N,гиждӥнь,fingernagel
36,Nagel[Anatomie]::N,гижы,nagel
37,Zeh::N,пыдчиньы,tå
38,Fuß::N,пыд,fot
39,Ferse::N,пыдбер,häl
40,Knie::N,пыдес,knä
41,Oberschenkel::N,макес,lår
42,Bein::N,пыд,ben
43,Körper::N,мугор,kropp
44,Körper::N,вылтыр,kropp
45,Haut::N,ку,hud
46,Haut::N,ку,skinn
47,Blut::N,вир,blod
48,Ader::N,вирсэр,åder
49,Sehne::N,вуж,sena
50,Knochen::N,лы,ben
51,Gehirn::N,вим,hjärna
52,Herz::N,сюлэм,hjärta
53,Magen::N,ӝуш,mage
54,Leber::N,мус,lever
55,Atem::N,лул,anda
56,Atem::N,лул,andedräkt
57,Atem::N,шокан,anda
58,Atem::N,шокан,andedräkt
59,Hunger::N,кӧтсюман,svält
60,Hunger::N,кӧтсюман,hunger
61,Träne::N,синкыли,tår
62,Geschmack::N,шӧм,smak
63,Geruch::N,зын,lukt
64,Schlaf::N,вӧт,sömn
65,Traum::N,уйвӧт,dröm
66,Himmel::N,ин,himmel
67,Sonne::N,шунды,sol
68,Mond::N,толэзь,måne
69,Stern::N,кизили,stjärna
70,Luft::N,омыр,luft
71,Wind::N,тӧл,vind
72,Welle::N,тулкым,våg
73,Welle::N,тулкым,bölja
74,Wasser::N,ву,vatten
75,Stein::N,из,sten
