,Concept_ID,nl,it
0,Auge::N,oog,occhio
1,Ohr::N,oor,orecchio
2,Nase::N,neus,naso
3,Mund::N,mond,bocca
4,Zahn::N,tand,dente
5,Zunge::N,tong,lingua
6,Lippe::N,lip,labbro
7,Wange::N,wang,guancia
8,Gesicht::N,gelaat,viso
9,Gesicht::N,gelaat,faccia
10,Gesicht::N,gezicht,viso
11,Gesicht::N,gezicht,faccia
12,Stirn::N,voorhoofd,fronte
13,Haar::N,haar,capello
14,Schnurrbart::N,snor,baffi
15,Schnurrbart::N,snor,mustacchi
16,Bart::N,baard,barba
17,Kinn::N,kin,mento
18,Kiefer[Anatomie]::N,kaak,mascella
19,Kehle::N,keel,gola
20,Kehle::N,strot,gola
21,Hals::N,hals,collo
22,Genick::N,nek,nuca
23,Kopf::N,hoofd,capo
24,Kopf::N,hoofd,testa
25,Rücken::N,rug,dorso
26,Rücken::N,rug,schiena
27,Bauch::N,buik,ventre
28,Nabel::N,navel,ombelico
29,Busen::N,boezem,seno
30,Brust::N,borst,petto
31,Schulter::N,schouder,spalla
32,Arm::N,arm,braccio
33,Ellenbogen::N,elleboog,gomito
34,Hand::N,hand,mano
35,Handfläche::N,handpalm,palma
36,Finger::N,vinger,dito
37,Fingernagel::N,nagel,unghia
38,Nagel[Anatomie]::N,nagel,unghia
39,Zeh::N,teen,dito del piede
40,Fuß::N,voet,piede
41,Ferse::N,hak,tallone
42,Ferse::N,hak,calcagno
43,Ferse::N,hiel,tallone
44,Ferse::N,hiel,calcagno
45,Knie::N,knie,ginocchio
46,Oberschenkel::N,dij,fèmore
47,Bein::N,been,gamba
48,Körper::N,lichaam,corpo
49,Haut::N,huid,pelle
50,Blut::N,bloed,sangue
51,Ader::N,ader,vena
52,Sehne::N,pees,tèndine
53,Knochen::N,bot,osso
54,Knochen::N,been,osso
55,Knochen::N,knook,osso
56,Gehirn::N,hersenen,cervello
57,Herz::N,hart,cuore
58,Magen::N,maag,stòmaco
59,Leber::N,lever,fegato
60,Atem::N,adem,fiato
61,Atem::N,adem,respiro
62,Hunger::N,honger,fame
63,Träne::N,traan,làcrima
64,Geschmack::N,smaak,gusto
65,Geschmack::N,smaak,sapore
66,Geruch::N,geur,odore
67,Schlaf::N,slaap,sonno
68,Traum::N,droom,sogno
