,Concept_ID,ka,lbe
0,Auge::N,თვალი,я
1,Ohr::N,ყური,вичӏи
2,Nase::N,ცხვირი,май
3,Mund::N,პირი,кьацӏ
4,Zahn::N,კბილი,ккарччи
5,Zunge::N,ენა,маз
6,Lippe::N,ბაგე,мурччи
7,Wange::N,ლოყა,чӏав
8,Gesicht::N,სახე,лажин
9,Stirn::N,შუბლი,ненттабакӏ
10,Haar::N,თმა,чӏара
11,Schnurrbart::N,ულვაში,ссирссилтту
12,Bart::N,წვერი,чӏири
13,Kinn::N,ნიკაპი,лунттубакӏ
14,Kiefer[Anatomie]::N,ყბა,ххинчулул
15,Kehle::N,ყელი,кьакьари
16,Hals::N,ყელი,ссурссу
17,Hals::N,კისერი,ссурссу
18,Genick::N,კეფა,махъабакӏ
19,Kopf::N,თავი,бакӏ
20,Rücken::N,ზურგი,ттиликӏ
21,Bauch::N,მუცელი,лякьа
22,Nabel::N,ჭიპი,цӏумуккутӏ
23,Busen::N,ძუძუ,ккукку
24,Brust::N,მკერდი,хъазам
25,Schulter::N,მხარი,хъачӏ
26,Schulter::N,მკლავი,хъачӏ
27,Arm::N,ხელი,ка
28,Ellenbogen::N,იდაყვი,ссюрхъ
29,Hand::N,ხელი,бартка
30,Handfläche::N,ნები,хъат
31,Handfläche::N,ნები,битӏянхъ
32,Handfläche::N,ხელისგული,хъат
33,Handfläche::N,ხელისგული,битӏянхъ
34,Finger::N,თითი,кӏисса
35,Fingernagel::N,ფრჩხილი,михь
36,Nagel[Anatomie]::N,ფრჩხილი,михь
37,Zeh::N,ფეხის თითი,кӏисса
38,Fuß::N,ტერფი,чӏанччан
39,Fuß::N,ფეხისგული,чӏанччан
40,Ferse::N,ქუსლი,никъа
41,Knie::N,მუხლი,ник
42,Oberschenkel::N,ბარძაყი,жира
43,Bein::N,ფეხი,ччан
44,Körper::N,ტანი,чурх
45,Körper::N,სხეული,чурх
46,Haut::N,კანი,бурчу
47,Blut::N,სისხლი,оь
48,Ader::N,ძარღვი,тунну
49,Sehne::N,მყესი,хьхьа
50,Knochen::N,ძვალი,ттаркӏ
51,Gehirn::N,ტვინი,ня
52,Herz::N,გული,дакӏ
53,Herz::N,გული,къюкӏ
54,Magen::N,კუჭი,лякьа
55,Leber::N,ღვიძლი,
56,Atem::N,სუნთქვა,ссихӏ ласаву
57,Atem::N,სუნთქვა,ссихӏ бигьаву
58,Hunger::N,შიმშილი,ккаши
59,Träne::N,ცრემლი,макь
60,Geschmack::N,გემო,тӏин
61,Geschmack::N,გემო,тӏааьн
62,Geruch::N,სუნი,кьанкь
63,Schlaf::N,ძილი,шану
64,Traum::N,სიზმარი,макӏру
65,Himmel::N,ცა,ссав
66,Sonne::N,მზე,баргъ
67,Mond::N,მთვარე,барз
68,Stern::N,ვარსკვლავი,цӏуку
69,Luft::N,ჰაერი,гьава
70,Wind::N,ქარი,марч
71,Welle::N,ტალღა,щатӏи
72,Wasser::N,წყალი,щин
73,Stein::N,ქვა,чару
74,Boden::N,მიწა,аьрщи
75,Erde::N,ნიადაგი,аьрщи
76,Staub::N,მტვერი,ххит
77,Rauch::N,ბოლი,пуркӏу
78,Rauch::N,კვამლი,пуркӏу
79,Funke::N,ნაკვესი,пиягь
80,Feuer::N,ცეცხლი,цӏу
81,Licht::N,შუქი,чани
82,Licht::N,სინათლე,чани
83,Schatten::N,ლანდი,ххют
84,Schatten::N,ჩრდილი,ххют
85,Wetter::N,ამინდი,гьава
86,Nebel::N,ნისლი,шархь ттурлу
87,Wolke::N,ღრუბელი,ттурлу
88,Regen::N,წვიმა,гъарал
89,Schnee::N,თოვლი,марххала
90,Eis::N,თოში,микӏ
91,Eis::N,ყინული,микӏ
92,Frost::N,ყინვა,дяркъу
93,Frost::N,ყინვა,замгьар
94,Kälte::N,სიცივე,дяркъу
95,Hitze::N,სიცხე,кӏиришиву
96,Raureif::N,ჭირხლი,сил
97,Raureif::N,ჭირხლი,бурса
98,Raureif::N,თრთვილი,сил
99,Raureif::N,თრთვილი,бурса
100,Regenbogen::N,ცისარტყელა,ссурул ккуртта
101,Donner::N,ქუხილი,къув
102,Strömung::N,დინება,экьинанаву
103,Tropfen::N,წვეთი,кӏунтӏ
104,Schaum::N,ქაფი,хьама
105,Schaum::N,დორბლი,хьама
106,Schmutz::N,ჭუჭყი,кьяркьи
107,Schmutz::N,ტალახი,кьяркьи
108,See::N,ტბა,бяр
109,Sumpf::N,ჭაობი,кунцӏа
110,Moor::N,ტორფნარი,
111,Wiese::N,ველი,кьан
112,Wiese::N,მდელო,кьан
113,Wald::N,ტყე,вацӏа
114,Hügel::N,ბორცვი,бакӏу
115,Anhöhe::N,მაღლობი,
116,Berg::N,მთა,зунтту
117,Gipfel::N,მწვერვალი,мицӏ
118,Höhle::N,მღვიმე,нух
119,Höhle::N,გამოქვებული,нух
120,Abhang::N,ფერდობი,сун
121,Quelle::N,წყარო,дайдихьу
122,Quelle::N,წყარო,бакӏ
123,Quelle::N,სათავე,дайдихьу
124,Quelle::N,სათავე,бакӏ
125,Bach::N,რუ,чӏрир нех
126,Bach::N,ნაკადული,чӏрир нех
127,Fluss::N,მდინარე,нех
128,Ufer::N,კიდე,зума
129,Ufer::N,ნაპირი,зума
130,Küste::N,ნაპირი,зумаинхалу
131,Küste::N,ნაპირი,зуманицӏалу
132,Festland::N,ხმელეთი,кьири
133,Meer::N,ზღვა,хьхьири
134,Bucht::N,ყურე,
135,Insel::N,კუნძული,жазира
136,Blume::N,ყვავილი,тӏутӏи
137,Gras::N,ბალახი,уртту
138,Wurzel::N,ძირი,мархха
139,Wurzel::N,ფესვი,мархха
140,Baum::N,ხე,мурхь
141,Stamm::N,ტანი,ттарцӏ
142,Rinde::N,ქერქი,ккамара
143,Ast::N,ტოტი,матӏи
144,Zweig::N,შტო,къяртта
145,Blatt::N,ფოთოლი,чӏапӏи
146,Birke::N,არყი,кӏялахӏи
147,Birke::N,არყი,кӏялахӏилул мурхь
148,Kiefer[Baum]::N,ფიჭვი,ттар
149,Kiefer[Baum]::N,ფიჭვი,ттарлил мурхь
150,Weide[Baum]::N,ტირიფი,щавщи
151,Tanne::N,ნაძვი,ттарлил мурхь
152,Horn::N,რქა,хъи
153,Feder::N,ფრთა,лелуххул тӏиму
154,Fell::N,ტყავი,бурчу
155,Flügel::N,ფრთა,хъа
156,Flügel::N,ფრთა,ххурупӏайрал тӏиму
157,Klaue::N,კლანჭი,михь
158,Kralle::N,ტორი,ххяппа
159,Schwanz::N,კუდი,магъ
160,Ei::N,კვერცხი,ккунук
161,Nest::N,ბუდე,кюру
162,Bau::N,სორო,цукъуккутӏ
163,Tier::N,ნადირი,хӏайван
164,Tier::N,ცხოველი,хӏайван
165,Herde::N,ფარა,газу
166,Kuh::N,ფური,оьл
167,Kuh::N,ძროხა,оьл
168,Bulle::N,ხარი,ниц
169,Pferd::N,რაში,чу
170,Pferd::N,ცხენი,чу
171,Schaf::N,ცხვარი,тта
172,Schwein::N,ღორი,дунгъуз
173,Hund::N,ძაღლი,ккаччи
174,Katze::N,კატა,ччиту
175,Bär::N,დათვი,цуша
176,Eichhörnchen::N,ციყვი,бюрхттукку
177,Elch::N,ცხენ-ირემი,ниц-бюрин
178,Fuchs::N,მელა,цулчӏа
179,Fuchs::N,მელა,куча цулчӏа
180,Hase::N,კურდღელი,бюрх
181,Maus::N,თაგვი,кӏулу
182,Wolf::N,მგელი,барцӏ
183,Vogel::N,ჩიტი,лелуххи
184,Vogel::N,ფრინველი,лелуххи
185,Schwarm::N,გუნდი,гьухъала
186,Huhn::N,დედალი,аьнакӏи
187,Hahn::N,მამალი,ажари
188,Gans::N,ბატი,къаз
189,Adler::N,არწივი,барзу
190,Ente::N,იხვი,урдак
191,Eule::N,ბუ,ису
192,Eule::N,ბუ,ччиккумяв
193,Kranich::N,წერო,кьурукь
194,Krähe::N,ყვავი,хъатӏу
195,Kuckuck::N,გუგული,ччикку
196,Schwan::N,გედი,урттил къаз
197,Fisch::N,თევზი,чавахъ
198,Barsch::N,ქორჭილა,
199,Hecht::N,ქარიყლაპია,
200,Schlange[Tier]::N,გველი,шатта
201,Wurm::N,ჭია,кьюнукьай шатта
202,Spinne::N,ობობა,ххялцу
203,Ameise::N,ჭიანჭველა,митӏикьукьу
204,Laus::N,ტილი,
205,Laus::N,მკბენარი,
206,Mücke::N,კოღო,мичӏак
207,Fliege::N,ბუზი,зимиз
208,Schmetterling::N,პეპელა,чӏимучӏали
209,Beere::N,კენკრა,хӏаллил ахъулсса
210,Apfel::N,ვაშლი,гьивч
211,Pilz::N,სოკო,ттуккул иис
212,Zwiebel::N,ხახვი,лаччул чсмусул бакӏ
213,Saat::N,თესლი,гьанна
214,Korn::N,მარცვალი,къама
215,Heu::N,თივა,ххулув
216,Schale::N,ჩენჩო,ккиртту
217,Grube::N,ორმო,кӏаланг
218,Falle::N,ხაფანგი,къатӏа
219,Schlinge::N,მახე,хӏатӏ
220,Spur::N,კვალი,ша
221,Asche::N,ფერფლი,лах
222,Dreck::N,ტალახი,кьяркьи
223,Dreck::N,ტალახი,венп
224,Dreck::N,სიბინძურე,кьяркьи
225,Dreck::N,სიბინძურე,венп
226,Eisen::N,რკინა,мах
227,Gold::N,ოქრო,муси
228,Silber::N,ვერცხლი,арцу
229,Kohle::N,ნახშირი,кӏалаш
230,Kohle::N,ნახშირი,хъуручӏ
231,Glas::N,მინა,пюрун
232,Lehm::N,თიხა,сина аьрщи
233,Sand::N,ქვიშა,къун
234,Mensch::N,ადამიანი,инсан
235,Mann::N,კაცი,чув
236,Mann::N,კაცი,адимина
237,Frau::N,ქალი,щарсса
238,Frau::N,ქალი,хъамитайпа
239,Kind::N,ბავშვი,чӏиви оьрчӏ
240,Junge::N,ვაჟი,оьрчӏ
241,Junge::N,ვაჟი,бурхьин оьрчӏ
242,Mädchen::N,გოგო,душ
243,Familie::N,ოჯახი,кулпат
244,Großvater::N,პაპა,ттатта
245,Großvater::N,პაპა,ниттил ппу
246,Großvater::N,ბაბუა,ттатта
247,Großvater::N,ბაბუა,ниттил ппу
248,Großmutter::N,ბებია,буттал нину
249,Großmutter::N,დიდედა,буттал нину
250,Eltern::N,მშობლები,нину-ппу
251,Vater::N,მამა,ппу
252,Mutter::N,დედა,нину
253,Sohn::N,ვაჟიშვილი,арс
254,Tochter::N,ქალიშვილი,душ
255,Bruder::N,ძმა,уссу
256,Schwester::N,და,ссу
257,Onkel::N,ბიძა,буттауссу
258,Tante::N,დეიდა,буттал ссу
259,Tante::N,მამიდა,буттал ссу
260,Ehemann::N,ქმარი,лас
261,Ehefrau::N,ცოლი,щар
262,Ehefrau::N,ცოლი,щарсса
263,Freude::N,სიხარული,шадшиву
264,Freude::N,სიხარული,ххаришиву
265,Gelächter::N,სიცილი,хъяхъаву
266,Glück::N,ბედნიერება,талихӏ
267,Kummer::N,მწუხარება,дард
268,Wunsch::N,წადილი,мурад
269,Wunsch::N,სურვილი,мурад
270,Lust::N,წადილი,гьавас
271,Lust::N,წადილი,ччаву
272,Geist::N,სული,рухӏ
273,Gedanke::N,ფიქრი,пикри
274,Gedächtnis::N,მეხსიერება,дакӏний личӏаву
275,Verstand::N,ჭკუა,аькьлу
