,Concept_ID,bg,he
0,Auge::N,око,עין
1,Ohr::N,ухо,אזן
2,Nase::N,нос,אף
3,Nase::N,нос,חטם
4,Mund::N,уста,פה
5,Zahn::N,зъб,שן
6,Zunge::N,език,לשון
7,Lippe::N,устна,שפה
8,Wange::N,буза,לחי
9,Gesicht::N,лице,פנים
10,Gesicht::N,образ,פנים
11,Stirn::N,чело,מצח
12,Haar::N,коса,שערה
13,Haar::N,косъм,שערה
14,Schnurrbart::N,мустаци,שפם
15,Bart::N,брада,זקן
16,Kinn::N,брада,סנטר
17,Kinn::N,брадичка,סנטר
18,Kiefer[Anatomie]::N,челюст,לסת
19,Kehle::N,гърло,גרון
20,Hals::N,врат,צואר
21,Genick::N,тил,ערף
22,Kopf::N,глава,ראש
23,Rücken::N,гръб,גב
24,Bauch::N,корем,בטן
25,Nabel::N,пъп,טבור
26,Busen::N,бозка,שד
27,Brust::N,гръд,חזה
28,Schulter::N,рамо,כתף
29,Schulter::N,плещи,כתף
30,Arm::N,ръка,זרוע
31,Ellenbogen::N,лакът,מרפק
32,Hand::N,ръка,יד
33,Hand::N,китка,יד
34,Handfläche::N,длан,כף יד
35,Finger::N,пръст,אצבע
36,Fingernagel::N,нокът,צפרן
37,Nagel[Anatomie]::N,нокът,צפרן
38,Zeh::N,пръст на крак,אצבע
39,Fuß::N,крак,רגל
40,Fuß::N,нога,רגל
41,Ferse::N,пета,עקב
42,Knie::N,коляно,ברך
43,Oberschenkel::N,бедро,ירך
44,Bein::N,крак,רגל
45,Bein::N,нога,רגל
46,Körper::N,тяло,גוף
47,Haut::N,кожа,עור
48,Blut::N,кръв,דם
49,Ader::N,вена,וריד
50,Ader::N,артерия,וריד
51,Sehne::N,жила,גיד
52,Sehne::N,сухожилие,גיד
53,Knochen::N,кост,עצם
54,Gehirn::N,мозък,מוח
55,Herz::N,сърце,לב
56,Magen::N,стомах,קבה
57,Leber::N,черен дроб,כבד
58,Atem::N,дишане,נשימה
59,Hunger::N,глад,רעב
60,Träne::N,сълза,דמעה
61,Geschmack::N,вкус,טעם
62,Geruch::N,миризма,ריח
63,Schlaf::N,сън,שנה
64,Traum::N,сън,חלום
65,Himmel::N,небе,שמים
66,Sonne::N,слънце,שמש
67,Mond::N,луна,ירח
68,Mond::N,месец,ירח
69,Stern::N,звезда,כוכב
70,Luft::N,въздух,אויר
71,Wind::N,вятър,רוח
72,Welle::N,вълна,גל
73,Wasser::N,вода,מים
74,Stein::N,камък,אבן
75,Boden::N,земя,קרקע
76,Boden::N,почва,קרקע
77,Erde::N,земя,אדמה
78,Erde::N,почва,אדמה
79,Staub::N,прах,אבק
80,Rauch::N,дим,עשן
81,Rauch::N,пушек,עשן
82,Funke::N,искра,ניצוץ
83,Feuer::N,огън,אש
84,Licht::N,светлина,אור
85,Schatten::N,сянка,צל
86,Wetter::N,време,מזג אויר
87,Nebel::N,мъгла,ערפל
88,Wolke::N,облак,ענן
89,Regen::N,дъжд,גשם
90,Schnee::N,сняг,שלג
91,Eis::N,лед,קרח
92,Frost::N,мраз,צנה
93,Kälte::N,студ,קר
94,Hitze::N,жега,חם
95,Hitze::N,горещина,חם
96,Raureif::N,скреж,כפור
97,Raureif::N,слана,כפור
98,Regenbogen::N,дъга,קשת
99,Donner::N,гръм,רעם
100,Strömung::N,течение,זרימה
101,Tropfen::N,капка,טפה
102,Schaum::N,пяна,קצף
103,Schmutz::N,кал,לכלוך
104,Schmutz::N,мръсотия,לכלוך
105,See::N,езеро,אגם
106,Sumpf::N,блато,בצה
107,Moor::N,мочурище,בצה
108,Wiese::N,ливада,מרעה
109,Wald::N,гора,יער
110,Hügel::N,рид,תל
111,Hügel::N,хълм,תל
112,Anhöhe::N,могила,מעלה
113,Anhöhe::N,възвишение,מעלה
114,Berg::N,планина,הר
115,Gipfel::N,връх,פסגה
116,Höhle::N,пещера,מערה
117,Abhang::N,склон,מדרון
118,Abhang::N,склон,שפוע
119,Abhang::N,стръмнина,מדרון
120,Abhang::N,стръмнина,שפוע
121,Quelle::N,извор,מעין
122,Bach::N,поток,נחל
123,Fluss::N,река,נהר
124,Ufer::N,бряг,גדה
125,Küste::N,бряг,חוף
126,Küste::N,крайбрежие,חוף
127,Festland::N,суша,יבשה
128,Meer::N,море,ים
129,Bucht::N,залив,מפרץ
130,Insel::N,остров,אי
131,Blume::N,цвете,פרח
132,Gras::N,трева,דשא
133,Wurzel::N,корен,שרש
134,Baum::N,дърво,עץ
135,Stamm::N,стъбло,גזע
136,Rinde::N,кора,קלפת עץ
137,Ast::N,клон,ענף
138,Zweig::N,клон,ענף
139,Blatt::N,лист,עלה
140,Birke::N,бреза,שדר
141,Kiefer[Baum]::N,бор,ארן
142,Weide[Baum]::N,върба,ערבה
143,Tanne::N,ела,אשוח
144,Horn::N,рог,קרן
145,Feder::N,перо,נוצה
146,Fell::N,кожа,פרוה
