,Concept_ID,da,ml
0,Auge::N,øje,കണ്ണ്
1,Ohr::N,øre,ചെവി
2,Nase::N,næse,മൂക്ക്
3,Mund::N,mund,വായ
4,Zahn::N,tand,പല്ല്
5,Zunge::N,tunge,നാക്ക്
6,Lippe::N,læbe,ചുണ്ട്
7,Wange::N,kind,കവിൾത്തടം
8,Gesicht::N,ansigt,മുഖം
9,Stirn::N,pande,നെറ്റി
10,Haar::N,hår,തലമുടി
11,Schnurrbart::N,overskæg,മീശ
12,Bart::N,skæg,താടിരോമം
13,Kinn::N,hage,താടി
14,Kiefer[Anatomie]::N,kæbe,താടിയെല്ല്
15,Kehle::N,strube,കണ്ഠനാളം
16,Hals::N,hals,കഴുത്ത്
17,Genick::N,nakke,പിടലി
18,Kopf::N,hoved,തല
19,Rücken::N,ryg,മുതുക്
20,Bauch::N,mave,നയറ്
21,Nabel::N,navle,നാഭി
22,Busen::N,barm,സ്തനം
23,Brust::N,bryst,സ്തനം
24,Schulter::N,skulder,തോൾ
25,Arm::N,arm,കൈ
26,Ellenbogen::N,albue,കൈമുട്ട്
27,Hand::N,hånd,കൈ
28,Handfläche::N,håndflade,ഉള്ളം കൈ
29,Finger::N,finger,വിരൽ
30,Fingernagel::N,fingernegl,നഖം
31,Nagel[Anatomie]::N,negl,നഖം
32,Zeh::N,tå,കാൽവിരൽ
33,Fuß::N,fod,കാൽപ്പാദം
34,Ferse::N,hæl,ഉപ്പൂറ്റി
35,Knie::N,knæ,കാൽമുട്ട്
36,Oberschenkel::N,lår,തുട
37,Bein::N,ben,കാൽ
38,Körper::N,krop,ശരീരം
39,Körper::N,legeme,ശരീരം
40,Haut::N,hud,ചർമ്മം
41,Blut::N,blod,രക്തം
42,Ader::N,åre,ഞരമ്പ്
43,Sehne::N,sene,സ്നായു
44,Knochen::N,ben,അസ്ഥി
45,Gehirn::N,hjerne,തലച്ചോറ്
46,Herz::N,hjerte,ഹൃദയം
47,Magen::N,mave,വയർ
48,Leber::N,lever,കരൾ
49,Atem::N,ånde,ശ്വാസം
50,Hunger::N,sult,വിശപ്പ്
51,Träne::N,tåre,കണ്ണീർ
52,Geschmack::N,smag,രുചി
53,Geruch::N,lugt,ഗന്ധം
54,Schlaf::N,søvn,ഉറകും
55,Traum::N,drøm,സ്വപ്നം
56,Himmel::N,himmel,ആകാശം
57,Sonne::N,sol,സൂര്യൻ
58,Mond::N,måne,ചന്ദ്രൻ
59,Stern::N,stjerne,നക്ഷത്രം
60,Luft::N,luft,കാറ്റ്
61,Wind::N,vind,കാറ്റ്
62,Welle::N,bølge,തിരമാല
63,Wasser::N,vand,വെള്ളം
64,Stein::N,sten,ശില
65,Stein::N,sten,കല്ല്
