,Concept_ID,av,eu
0,Ohr::N,гӏин,belarri
1,Nase::N,мегӏер,sudur
2,Mund::N,кӏал,aho
3,Zahn::N,гӏус,hortz
4,Zunge::N,мацӏ,mihi
5,Lippe::N,кӏветӏ,ezpain
6,Wange::N,гӏоно,masail
7,Gesicht::N,гьумер,aurpegi
8,Stirn::N,нодо,bekoki
9,Haar::N,рас,ile
10,Haar::N,рас,bilo
11,Schnurrbart::N,михъ,bibote
12,Schnurrbart::N,михъ,sudurpeko
13,Bart::N,мегеж,bizar
14,Kinn::N,нилъу,kokots
15,Kiefer[Anatomie]::N,чанагъ,masailezur
16,Kehle::N,щекъер,eztarri
17,Hals::N,габур,sama
18,Genick::N,гъванща,garondo
19,Kopf::N,бетӏер,buru
20,Rücken::N,мугъ,bizkar
21,Bauch::N,чехь,sabel
22,Nabel::N,цӏину,zilbor
23,Busen::N,керен,titi
24,Busen::N,керен,ugatz
25,Brust::N,керен,bular
26,Schulter::N,гъажазубетӏер,besaburu
27,Arm::N,гъеж,beso
28,Ellenbogen::N,гӏункӏрукь,ukondo
29,Hand::N,квер,esku
30,Handfläche::N,огъохъат,ahur
31,Handfläche::N,жанисахъат,ahur
32,Finger::N,килищ,hatz
33,Fingernagel::N,малъ,azazkal
34,Nagel[Anatomie]::N,малъ,azazkal
35,Zeh::N,килищ,behatz
36,Fuß::N,хӏетӏ,oin
37,Fuß::N,хӏетӏе,oin
38,Ferse::N,эгъе,orpo
39,Ferse::N,эгъе,oinburu
40,Knie::N,наку,belaun
41,Oberschenkel::N,мачӏ,izter
42,Bein::N,бох,zango
43,Körper::N,къаркъала,soin
44,Haut::N,тӏом,azal
45,Blut::N,би,odol
46,Ader::N,бидурихь,zain
47,Knochen::N,ракьа,hezur
48,Gehirn::N,гӏадалнах,garun
49,Gehirn::N,гӏадалнах,burmuin
50,Herz::N,ракӏ,bihotz
51,Magen::N,кванирукъ,urdail
52,Leber::N,тӏул,gibel
53,Atem::N,хӏухь,hats
54,Atem::N,хӏухь,arnasa
55,Hunger::N,ракъи,gose
56,Träne::N,магӏу,malko
57,Geschmack::N,тату,dasta
58,Geruch::N,махӏ,usain
59,Schlaf::N,макьу,lo
60,Traum::N,макьу,amets
61,Himmel::N,зоб,zeru
62,Sonne::N,бакъ,eguzki
63,Mond::N,моцӏ,ilargi
64,Stern::N,цӏва,izar
65,Luft::N,гьава,aire
66,Wind::N,гьури,haize
67,Welle::N,карачел,uhin
68,Welle::N,карачел,olatu
69,Wasser::N,лъим,ur
70,Stein::N,гьецӏо,harri
71,Boden::N,ракь,lur
72,Boden::N,ракь,zoru
73,Erde::N,ракь,lur
74,Erde::N,дуниял,lur
75,Staub::N,хӏур,hauts
76,Rauch::N,кӏкӏуй,ke
77,Feuer::N,цӏа,su
78,Licht::N,канлъи,argi
79,Schatten::N,рагӏад,itzal
80,Schatten::N,рагӏад,geriza
81,Wetter::N,гьава-бакъ,eguraldi
82,Nebel::N,гӏодобнакӏкӏ,laino
83,Wolke::N,накӏкӏ,hodei
84,Regen::N,цӏад,euri
85,Schnee::N,гӏазу,elur
86,Eis::N,цӏер,horma
87,Frost::N,замгьари,izotzaldi
88,Kälte::N,квач,hotz
89,Hitze::N,багӏари,bero
90,Raureif::N,мартӏ,antzigar
