,Concept_ID,tt,av
0,Auge::N,күз,
1,Ohr::N,колак,гӏин
2,Nase::N,борын,мегӏер
3,Mund::N,авыз,кӏал
4,Mund::N,тамак,кӏал
5,Zahn::N,теш,гӏус
6,Zunge::N,тел,мацӏ
7,Lippe::N,ирен,кӏветӏ
8,Wange::N,яңак,гӏоно
9,Gesicht::N,йөз,гьумер
10,Stirn::N,маңгай,нодо
11,Haar::N,чәч,рас
12,Schnurrbart::N,мыек,михъ
13,Bart::N,сакал,мегеж
14,Kinn::N,ияк,нилъу
15,Kiefer[Anatomie]::N,казналык,чанагъ
16,Kehle::N,тамак,щекъер
17,Hals::N,бугаз,габур
18,Genick::N,җилкә,гъванща
19,Kopf::N,баш,бетӏер
20,Rücken::N,сырт,мугъ
21,Bauch::N,корсак,чехь
22,Nabel::N,кендек,цӏину
23,Busen::N,түш,керен
24,Brust::N,имчәк,керен
25,Brust::N,күкрәк,керен
26,Schulter::N,иңбаш,гъажазубетӏер
27,Schulter::N,кулбаш,гъажазубетӏер
28,Arm::N,кул,гъеж
29,Ellenbogen::N,терсәк,гӏункӏрукь
30,Hand::N,кул,квер
31,Handfläche::N,уч,огъохъат
32,Handfläche::N,уч,жанисахъат
33,Finger::N,бармак,килищ
34,Fingernagel::N,тырнак,малъ
35,Nagel[Anatomie]::N,тырнак,малъ
36,Zeh::N,бармак,килищ
37,Fuß::N,табан,хӏетӏ
38,Fuß::N,табан,хӏетӏе
39,Ferse::N,үкчә,эгъе
40,Knie::N,тез,наку
41,Oberschenkel::N,бот,мачӏ
42,Bein::N,аяк,бох
43,Körper::N,тән,къаркъала
44,Körper::N,җисем,къаркъала
45,Haut::N,тире,тӏом
46,Blut::N,кан,би
47,Ader::N,тамыр,бидурихь
48,Sehne::N,сеңер,
49,Knochen::N,сөяк,ракьа
50,Gehirn::N,ми,гӏадалнах
51,Herz::N,йөрәк,ракӏ
52,Magen::N,ашказаны,кванирукъ
53,Leber::N,бавыр,тӏул
54,Atem::N,сулыш,хӏухь
55,Hunger::N,ачлык,ракъи
56,Träne::N,яшь,магӏу
57,Geschmack::N,тәм,тату
58,Geschmack::N,зәвык,тату
59,Geruch::N,ис,махӏ
60,Schlaf::N,йокы,макьу
61,Traum::N,төш,макьу
62,Himmel::N,күк,зоб
63,Sonne::N,кояш,бакъ
64,Mond::N,ай,моцӏ
65,Stern::N,йолдыз,цӏва
66,Luft::N,һава,гьава
67,Wind::N,җил,гьури
68,Welle::N,дулкын,карачел
69,Wasser::N,су,лъим
70,Stein::N,таш,гьецӏо
71,Boden::N,туфрак,ракь
72,Erde::N,җир,ракь
73,Erde::N,җир,дуниял
74,Staub::N,тузан,хӏур
75,Rauch::N,төтен,кӏкӏуй
76,Funke::N,очкын,
77,Feuer::N,ут,цӏа
78,Licht::N,якты,канлъи
79,Schatten::N,күләгә,рагӏад
80,Wetter::N,һава,гьава-бакъ
81,Nebel::N,томан,гӏодобнакӏкӏ
82,Wolke::N,болыт,накӏкӏ
83,Regen::N,яңгыр,цӏад
84,Schnee::N,кар,гӏазу
