,Concept_ID,xal,mn
0,Auge::N,нүдн,нүд
1,Ohr::N,чикн,чих
2,Nase::N,хамр,хамар
3,Mund::N,амн,ам
4,Zahn::N,шүдн,шүд
5,Zunge::N,келн,хэл
6,Lippe::N,урл,уруул
7,Wange::N,халх,хацар
8,Gesicht::N,нүр,царай
9,Gesicht::N,нүр,нүүр
10,Stirn::N,маңна,дух
11,Haar::N,үсн,үс
12,Schnurrbart::N,сахл,дээд сахал
13,Schnurrbart::N,сахл,живэр сахал
14,Bart::N,сахл,сахал
15,Bart::N,өргнә сахл,сахал
16,Kinn::N,өргн,эрүү
17,Kiefer[Anatomie]::N,өргн,эрүү
18,Kehle::N,хол,хоолой
19,Hals::N,күзүн,хүзүү
20,Genick::N,гиҗг,шил
21,Genick::N,гиҗг,хүзүү
22,Kopf::N,толһа,толгой
23,Rücken::N,нурһн,ар
24,Rücken::N,нурһн,нуруу
25,Bauch::N,гесн,хэвлий
26,Bauch::N,гесн,гэдэс
27,Nabel::N,киисн,хүйс
28,Busen::N,көкн,хөх
29,Brust::N,чееҗ,цээж
30,Schulter::N,ээм,мөр
31,Schulter::N,ээм,бугалга
32,Arm::N,һар,гар
33,Ellenbogen::N,тоха,тохой
34,Hand::N,баһлцг,гар
35,Hand::N,баһлцг,алга
36,Handfläche::N,альхн,алга
37,Finger::N,хурһн,хуруу
38,Finger::N,һарин хурһн,хуруу
39,Fingernagel::N,хумсн,хурууны хумс
40,Nagel[Anatomie]::N,хумсн,хумс
41,Zeh::N,хурһн,хуруу
42,Zeh::N,көлин хурһн,хуруу
43,Fuß::N,тавг,хөл
44,Ferse::N,өскә,өсгий
45,Knie::N,өвдг,өвдөг
46,Oberschenkel::N,һуй,гуя
47,Bein::N,көл,хөл
48,Körper::N,махмуд,бие
49,Haut::N,арсн,арьс
50,Blut::N,цусн,цус
51,Ader::N,судцн,судас
52,Sehne::N,шүрүсн,бүлх
53,Sehne::N,шүрүсн,шандас
54,Knochen::N,ясн,яс
55,Gehirn::N,экн,тархи
56,Herz::N,зүркн,зүрх
57,Magen::N,гесн,ходоод
58,Leber::N,элкн,элэг
59,Atem::N,әмсхл,амьсгаа
60,Hunger::N,харһнлһн,өлсгөлөн
61,Träne::N,нульмсн,нулимс
62,Geschmack::N,амтн,амт
63,Geruch::N,үнр,үнэр
64,Schlaf::N,нөр,нойр
65,Traum::N,зүүдн,зүүд
66,Himmel::N,теңгр,тэнгэр
67,Himmel::N,теңгр,огторгуй
68,Sonne::N,нарн,нар
69,Mond::N,сар,сар
70,Stern::N,одн,од
71,Luft::N,аһар,агаар
72,Wind::N,салькн,салхи
73,Welle::N,дольган,долгио
74,Welle::N,дольган,давалгаа
75,Wasser::N,усн,ус
76,Stein::N,чолун,чулуу
77,Boden::N,Һазр,хөрс
78,Erde::N,Һазр,газар
79,Erde::N,Һазр,шороо
80,Staub::N,тоосн,тоос
81,Rauch::N,утан,утаа
82,Funke::N,очн,оч
83,Feuer::N,һал,гал
84,Licht::N,герл,гэрэл
85,Licht::N,герл,гэгээ
86,Schatten::N,сүүдр,сүүдэр
87,Wetter::N,теңгр,тэнгэр
88,Wetter::N,теңгр,цаг уур
89,Nebel::N,будн,будан
90,Wolke::N,үүлн,үүл
91,Regen::N,хур,бороо
92,Schnee::N,цасн,цас
93,Eis::N,мөсн,мөс
94,Frost::N,киитн,хүйт
95,Kälte::N,киитн,хүйт
96,Hitze::N,халун,халуун
97,Raureif::N,цаң,цан
98,Raureif::N,цаң,хяруу
99,Raureif::N,кирү,цан
100,Raureif::N,кирү,хяруу
101,Regenbogen::N,солңһ,солонго
102,Donner::N,оһтрһун дун,тэнгэрийн дуу
103,Strömung::N,урсхл,урсгал
104,Tropfen::N,дусал,дусал
105,Schaum::N,көөсн,хөөс
106,Schmutz::N,кир,хир
107,Schmutz::N,кир,шавхай
108,See::N,нур,нуур
109,Sumpf::N,унул,намаг
110,Sumpf::N,унул,балчиг
111,Moor::N,улм,хүлрийн намаг
112,Wiese::N,хадлһн,нуга
113,Wald::N,ө-модн,ой
114,Hügel::N,толһа,болдог
115,Anhöhe::N,хамр,гүвээ
116,Berg::N,уул,уул
117,Gipfel::N,ора,орой
118,Gipfel::N,ора,оргил
119,Höhle::N,хадин көндә,агуй
120,Abhang::N,ташу,хүр
121,Quelle::N,булг,булаг
122,Bach::N,һооҗур,горхи
123,Fluss::N,һол,гол
124,Fluss::N,һол,мөрөн
125,Ufer::N,көвә,эрэг
126,Küste::N,көвә,эрэг
127,Küste::N,теңгсин көвә,эрэг
128,Festland::N,хүүрә һазр,хуурай газар
129,Meer::N,теңгс,далай
130,Meer::N,теңгс,тэнгис
131,Bucht::N,цекә,булан
132,Bucht::N,цекә,далайн тохой
133,Bucht::N,теңгсин цекә,булан
134,Bucht::N,теңгсин цекә,далайн тохой
135,Insel::N,арл,арал
136,Blume::N,цецг,цэцэг
137,Gras::N,ноһан,өвс
138,Gras::N,ноһан,ногоо
139,Wurzel::N,уңг,үндэс
140,Baum::N,модн,мод
141,Stamm::N,шилв,иш
142,Stamm::N,шилв,гуалин
143,Stamm::N,һол модн,иш
144,Stamm::N,һол модн,гуалин
145,Rinde::N,көрсн,холтос
146,Ast::N,ац,гишүү
147,Zweig::N,ац,салаа
148,Blatt::N,хамтхасн,навч
149,Birke::N,хусм модн,хус
150,Kiefer[Baum]::N,шар харһа,нарс
151,Weide[Baum]::N,удн,уд
152,Weide[Baum]::N,удн,бургас
153,Tanne::N,җөөлн цаһан модн,гачуур
154,Horn::N,өвр,эвэр
155,Feder::N,өрвлг,өд
156,Fell::N,арсн,арьс
157,Flügel::N,җивр,жигүүр
158,Flügel::N,җивр,далавч
159,Klaue::N,хумсн,савар
160,Klaue::N,хумсн,хумс
161,Kralle::N,тавг,савар
162,Schwanz::N,сүл,сүүл
163,Ei::N,өндгн,өндөг
164,Nest::N,үр,үүр
165,Bau::N,нүкн,нүх
166,Bau::N,нүкн,элүү
167,Tier::N,мал,амьтан
168,Tier::N,мал,адгуус
169,Herde::N,сүрг мал,сүрэг
170,Kuh::N,үкр,үнээ
171,Bulle::N,бух,бух
172,Pferd::N,мөрн,морь
173,Pferd::N,мөрн,адуу
174,Schaf::N,хөн,хонь
175,Schwein::N,һаха,гахай
176,Hund::N,ноха,нохой
177,Katze::N,мис,муур
178,Katze::N,мис,мигуй
179,Bär::N,аю,баавгай
180,Eichhörnchen::N,кермн,хэрэм
181,Elch::N,хандһа,хандгай
182,Fuchs::N,арат,үнэг
183,Hase::N,туула,туулай
184,Maus::N,хулһн,хулгана
185,Wolf::N,чон,чоно
186,Vogel::N,шовун,шувуу
187,Schwarm::N,зел,сүрэг
188,Huhn::N,така,тахиа
189,Hahn::N,эр така,эр тахиа
190,Gans::N,һалун,галуу
191,Adler::N,һәрд,бүргэд
192,Ente::N,нуһсн,нугас
193,Eule::N,һурвлһ,ууль
194,Kranich::N,тоһрун,тогоруу
195,Krähe::N,шаазһа,хэрээ
196,Kuckuck::N,эргин хуцдг,хөхөө
197,Schwan::N,хун,хун
198,Fisch::N,заһсн,загас
199,Barsch::N,шүрг,алгана
200,Hecht::N,цурх,цурхай
201,Schlange[Tier]::N,моһа,могой
202,Wurm::N,өтн,өт
203,Wurm::N,өтн,хорхой
204,Spinne::N,аралҗн,аалз
205,Ameise::N,шорһлҗн,шоргоолж
206,Laus::N,бөөсн,бөөс
207,Mücke::N,бөкүн,шумуул
208,Fliege::N,батхн,ялаа
209,Schmetterling::N,эрвәкә,эрвээхэй
210,Beere::N,бөөлҗрһн,жимсгэнэ
211,Apfel::N,альмн,алим
212,Pilz::N,теңгрин ки,мөөг
213,Zwiebel::N,мәңгрснә толһа,сонгино
214,Saat::N,буудян экн,тариа
215,Korn::N,экн,үр
216,Korn::N,экн,мөхлөг
217,Heu::N,өвсн,өвс
218,Schale::N,хальсн,хальс
219,Grube::N,нүкн,алам
220,Grube::N,нүкн,нүх
221,Falle::N,урх,хавх
222,Falle::N,урх,занга
223,Falle::N,хавх,хавх
224,Falle::N,хавх,занга
225,Schlinge::N,бүтү,урхи
226,Spur::N,мөр,мөр
227,Asche::N,үмсн,үнс
228,Dreck::N,бальчг,хир
229,Eisen::N,төмр,төмөр
230,Gold::N,алтн,алт
231,Silber::N,мөңгн,мөнгө
232,Silber::N,цаһан мөңгн,мөнгө
233,Kohle::N,нүүрсн,нүүрс
234,Glas::N,шил,шил
235,Lehm::N,шавр,шавар
236,Sand::N,элсн,элс
237,Mensch::N,күн,хүн
238,Mensch::N,күмн,хүн
239,Mann::N,эр,эр
240,Mann::N,эр,эрэгтэй
241,Frau::N,күүкд күн,эмэгтэй
242,Frau::N,күүкд күн,хатагтай
243,Kind::N,үрн,хүүхэд
244,Junge::N,көвүн,хүү
245,Mädchen::N,бичкн күүкн,охин
246,Mädchen::N,бичкн күүкн,бүсгүй
247,Familie::N,бүл,айл
248,Großvater::N,өвк эцк,өвгөн аав
249,Großvater::N,наһц эцк,өвгөн аав
250,Großmutter::N,эмг эк,эмэг эх
251,Großmutter::N,эмг эк,эмгээ
252,Großmutter::N,наһц эк,эмэг эх
253,Großmutter::N,наһц эк,эмгээ
254,Eltern::N,эк эцк хойр,эцэг эх
255,Vater::N,эцк,аав
256,Vater::N,эцк,эцэг
257,Mutter::N,эк,эх
258,Mutter::N,эк,ээж
259,Sohn::N,көвүн,хүү
260,Tochter::N,күүкн,охин
261,Bruder::N,дү көвүн,ах
262,Bruder::N,дү көвүн,дүү
263,Schwester::N,эгч,эгч
264,Schwester::N,эгч,охин дүү
265,Schwester::N,дү күүкн,эгч
266,Schwester::N,дү күүкн,охин дүү
267,Onkel::N,авһ,авга ах
268,Onkel::N,авһ,нагац ах
269,Onkel::N,наһцх,авга ах
270,Onkel::N,наһцх,нагац ах
271,Tante::N,наһц эгч,авга эгч
272,Tante::N,наһц эгч,нагац эгч
273,Ehemann::N,залу,нөхөр
274,Ehefrau::N,гергн,эхнэр
275,Ehefrau::N,гергн,гэргий
276,Freude::N,байр,баяр
277,Freude::N,байр,баясгалан
278,Gelächter::N,инәдн,инээдэм
279,Glück::N,җирһл,жаргалан
280,Glück::N,сәәхн җирһл,жаргалан
281,Kummer::N,зовлң,гаслан
282,Wunsch::N,дурн,ерөөл
283,Lust::N,җилвтлһн,дур
284,Lust::N,җилвтлһн,хүсэл
285,Geist::N,зөрг,оюун
286,Gedanke::N,ухан,сэтгэл
287,Gedächtnis::N,чееҗин тодлвр,ой
288,Gedächtnis::N,чееҗин тодлвр,цээж
289,Verstand::N,ухан,ухаан
290,Sinn::N,учр-утх,утга
291,Grund::N,учр,учир
292,Grund::N,шалтан,учир
293,Wahrheit::N,үнн,үнэн
294,Gespräch::N,күүндвүр,яриа
295,Märchen::N,тууль,явган үлгэр
296,Erzählung::N,келвр,тууж
297,Nachricht::N,медүллһн,мэдээ
298,Neuigkeit::N,зәңг,сонин
299,Name::N,нерн,нэр
300,Rätsel::N,тәәлвртә тууль,оньсого
301,Rede::N,келлһн,хэлсэн үг
302,Sprache::N,келн,хэл
303,Stimme::N,дун,дуу
304,Wort::N,үг,үг
305,Zeichen::N,темдг,тамга
306,Zeichen::N,темдг,тэмдэг
307,Ruf::N,дуудлһн,дуудлага
308,Lärm::N,шууган,шуугиан
309,Lärm::N,шууган,чимээ
310,Laut::N,ә,анир
311,Laut::N,ә,дуу
312,Ton::N,дун,авиа
313,Ton::N,дун,аялгуу
314,Lied::N,дун,дуу
315,Ruhe::N,амулң,энх
316,Ruhe::N,амулң,тайван
317,Leute::N,әмтн,хүмүүс
318,Volk::N,улс,улс
319,Arbeit::N,көдлмш,ажил
320,Arbeit::N,көдлмш,хөдөлмөр
321,Gast::N,гиич,зочин
322,Gast::N,гиич,айлчин
323,Geschenk::N,белг,бэлэг
324,Spiel::N,наадн,наадам
325,Spiel::N,наадн,тоглоом
326,Gesellschaft::N,олн,хамт байх
327,Hilfe::N,нөкд,тусламж
328,Freund::N,иньг,найз
329,Freund::N,иньг,нөхөр
330,Kamerad::N,үр,хань
331,Kamerad::N,үр,нөхөр
332,Angelegenheit::N,керг,хэрэг
333,Anzahl::N,то,тоо
334,Art::N,зүүл,төрөл
335,Art::N,зүүл,янз
336,Stück::N,хусг,хэсэг
337,Teil::N,хүв,хувь
338,Teil::N,хүв,хэсэг
339,Hälfte::N,өрәл,хагас
340,Kreis::N,төгрг,тойрог
341,Kreis::N,төгрг,хүрээ
342,Kreuz::N,кирс,загалмай
343,Linie::N,зурасн,шугам
344,Strich::N,татасн,зураас
345,Abstand::N,зә,зай
346,Entfernung::N,һазр,зай
347,Entfernung::N,һазр,хол ойр
348,Gegend::N,һазр,хавь
349,Gegend::N,һазр,газар
350,Platz::N,зә,зай
351,Platz::N,зә,завсар
352,Ort::N,бәәрн,газар
353,Ort::N,бәәрн,байр
354,Seite::N,тал,тал
355,Seite::N,тал,этгээд
356,Seite::N,хаҗу,тал
357,Seite::N,хаҗу,этгээд
358,Seite::N,хәврһ,тал
359,Seite::N,хәврһ,этгээд
360,Mitte::N,дунд,төв
361,Mitte::N,дунд,дунд
362,Gegenstand::N,юмн,юм
363,Sache::N,юмн,үйл
364,Sache::N,юмн,хэрэг
365,Rand::N,зах,зах
366,Rand::N,зах,хөвөө
367,Kante::N,ирмәг,ирмэг
368,Ecke::N,өнцг,өнцөг
369,Spitze::N,үзүр,үзүүр
370,Ende::N,үзүр,зах
371,Ende::N,үзүр,үзүүр
372,Loch::N,хаһрха,цоорхой
373,Loch::N,хаһрха,онгорхой
374,Winkel::N,булң,өнцөг
375,Muster::N,намч,хээ
376,Muster::N,намч,угалз
377,Größe::N,кемҗән,хэмжээ
378,Länge::N,ут,урт
379,Höhe::N,өндр,өндөр
380,Gewicht::N,күнд,жин
381,Gewicht::N,чиңнүр,жин
382,Menge::N,ик,тоо
383,Haufen::N,ова,бөөн
384,Reihe::N,зерг,эгнээ
385,Reihe::N,зерглән,эгнээ
386,Boot::N,оңһц,завь
387,Ruder::N,хәәв,сэлүүр
388,Schlitten::N,цан,чарга
389,Ski::N,лыҗ,цана
390,Lagerfeuer::N,костёр,түүдэг
391,Last::N,күнд,ачаа
392,Gang::N,йовлһн,явдал
393,Schritt::N,ишкм,алхам
394,Norden::N,ар үзг,умар
395,Süden::N,өмн,урд
396,Süden::N,өмн,өмнө
397,Süden::N,өмн үзг,урд
398,Süden::N,өмн үзг,өмнө
399,Westen::N,барун,өрнө
400,Westen::N,барун,баруун
401,Westen::N,барун үзг,өрнө
402,Westen::N,барун үзг,баруун
403,Osten::N,зүн,зүүн
404,Osten::N,зүн,дорно
405,Osten::N,зүн үзг,зүүн
406,Osten::N,зүн үзг,дорно
407,Holz::N,модн,мод
408,Brett::N,харһа,банз
409,Platte::N,хавтха чолун,хавтан
410,Stütze::N,тулг,тулгуур
411,Stütze::N,тулг,тулга
412,Stange::N,уньн,сургааг
413,Stock::N,модн,саваа
414,Stab::N,шуург,таяг
415,Rohr::N,турва,хоолой
416,Haus::N,гер,гэр
417,Haus::N,гер,байшин
418,Heim::N,гер-бул,гэр
419,Ofen::N,беш,зуух
420,Ofen::N,беш,пийшин
421,Fußboden::N,девскр,шал
422,Tisch::N,ширә,ширээ
423,Stuhl::N,стул,сандал
424,Wiege::N,өлгә,өлгий
425,Wiege::N,дүүҗң,өлгий
426,Bett::N,орн,ор
427,Bett::N,орндг,ор
428,Regal::N,таг,тавиур
429,Regal::N,тәвц,тавиур
430,Kiste::N,яршг,авдар
431,Kiste::N,яршг,хайрцаг
432,Fenster::N,терз,гэгээвч
433,Tür::N,үүдн,үүд
434,Tür::N,үүдн,хаалга
435,Tor::N,үүдн,хаалга
436,Tor::N,өргн үүдн,хаалга
437,Tor::N,хашан үүдн,хаалга
438,Zaun::N,хаша,хашаа
439,Dach::N,деевр,дээвэр
440,Leiter::N,шат,шат
441,Leiter::N,давшур,шат
442,Besen::N,сәвүр,хамуур
443,Besen::N,сәвүр,туужуу
444,Spaten::N,күрз,хүрз
445,Schaufel::N,совг,хүрз
446,Gabel::N,серә,сэрээ
447,Löffel::N,ухр,халбага
448,Messer::N,утх,хутга
449,Nagel::N,хадасн,хадаас
