,Concept_ID,el,pt
0,Auge::N,μάτι,olho
1,Auge::N,οφθαλμός,olho
2,Ohr::N,αυτί,orelha
3,Nase::N,μύτη,nariz
4,Mund::N,στόμα,boca
5,Zahn::N,δόντι,dente
6,Zunge::N,γλώσσα,língua
7,Lippe::N,χείλος,lábio
8,Wange::N,παρειά,face
9,Wange::N,μάγουλο,face
10,Gesicht::N,πρόσωπο,cara
11,Gesicht::N,πρόσωπο,rosto
12,Stirn::N,μέτωπο,testa
13,Haar::N,μαλλιά,cabelo
14,Schnurrbart::N,μουστάκι,bigode
15,Bart::N,γένια,barba
16,Kinn::N,πιγούνι,queixo
17,Kiefer[Anatomie]::N,σαγόνι,maxila
18,Kiefer[Anatomie]::N,σαγόνι,mandíbula
19,Kehle::N,λαρύγγι,garganta
20,Hals::N,λαιμός,colo
21,Hals::N,λαιμός,pescoço
22,Genick::N,σβέρκος,nuca
23,Kopf::N,κεφάλι,cabeça
24,Rücken::N,ράχη,dorso
25,Rücken::N,ράχη,costas
26,Bauch::N,κοιλιά,ventre
27,Bauch::N,κοιλιά,barriga
28,Nabel::N,αφαλός,umbigo
29,Busen::N,στήθος,seio
30,Brust::N,στήθος,peito
31,Schulter::N,ώμος,ombro
32,Arm::N,χέρι,braço
33,Arm::N,μπράτςο,braço
34,Ellenbogen::N,αγκώνας,cotovelo
35,Hand::N,χέρι,mão
36,Handfläche::N,παλάμη,palma
37,Handfläche::N,παλάμη,palma da mão
38,Finger::N,δάχτυλο,dedo
39,Fingernagel::N,νύχι,unha
40,Nagel[Anatomie]::N,νύχι,unha
41,Zeh::N,δάχτυλο του ποδιού,dedo do pé
42,Fuß::N,πόδι,pé
43,Ferse::N,φτέρνα,calcanhar
44,Knie::N,γόνατο,joelho
45,Oberschenkel::N,μηρός,coxa
46,Bein::N,πόδι,perna
47,Körper::N,σώμα,corpo
48,Körper::N,κορμί,corpo
49,Haut::N,πετσί,pele
50,Blut::N,αίμα,sangue
51,Ader::N,φλέβα,veia
52,Sehne::N,νεύρο,tendão
53,Sehne::N,τένοντας,tendão
54,Knochen::N,οστό,osso
55,Knochen::N,κόκκαλο,osso
56,Gehirn::N,μυαλό,cérebro
57,Gehirn::N,εγκέφαλος,cérebro
58,Herz::N,καρδιά,coração
59,Magen::N,στομάχι,estômago
60,Leber::N,ήπαρ,fígado
61,Leber::N,συκωτί,fígado
62,Atem::N,αναπνοή,fôlego
63,Hunger::N,πείνα,fome
64,Träne::N,δάκρυ,lágrima
65,Geschmack::N,γεύση,gosto
66,Geruch::N,οσμή,odor
67,Geruch::N,οσμή,cheiro
68,Geruch::N,μυρωδία,odor
69,Geruch::N,μυρωδία,cheiro
70,Schlaf::N,ύπνος,sono
71,Traum::N,όνειρο,sonho
72,Himmel::N,ουρανός,céu
73,Sonne::N,ήλιος,sol
74,Mond::N,σελήνη,lua
75,Mond::N,φεγγάρι,lua
76,Stern::N,άστρο,estrela
77,Stern::N,αστέρι,estrela
78,Luft::N,αέρας,ar
79,Wind::N,αέρας,vento
80,Wind::N,άνεμος,vento
81,Welle::N,κύμα,onda
82,Wasser::N,νερό,água
83,Stein::N,πέτρα,pedra
84,Boden::N,χώμα,solo
85,Erde::N,γη,terra
86,Staub::N,σκόνη,pó
87,Rauch::N,καπνός,fumo
88,Funke::N,σπίθα,faísca
89,Funke::N,σπίθα,centelha
90,Funke::N,σπινθήρας,faísca
91,Funke::N,σπινθήρας,centelha
92,Feuer::N,φωτιά,fogo
93,Licht::N,φως,luz
94,Schatten::N,σκιά,sombra
95,Schatten::N,ίσκιος,sombra
96,Wetter::N,καιρός,tempo
97,Nebel::N,ομίχλη,nevoeiro
98,Wolke::N,σύννεφο,nuvem
99,Regen::N,βροχή,chuva
100,Schnee::N,χιόνι,neve
101,Eis::N,πάγος,gelo
102,Frost::N,παγωνία,gelo
103,Frost::N,παγωνία,geada
104,Kälte::N,κρύο,frio
105,Kälte::N,ψύχος,frio
106,Hitze::N,ζέστη,ardor
107,Raureif::N,πάχνη,geada
108,Regenbogen::N,ουράνιο τόξο,arco-iris
109,Donner::N,βροντή,trovão
110,Strömung::N,ρεύμα,corrente
111,Tropfen::N,στάλα,gota
112,Schaum::N,αφρός,espuma
113,Schmutz::N,βρωμιά,sujidade
114,Schmutz::N,βρωμιά,imundície
115,See::N,λίμνη,lago
116,Sumpf::N,βάλτος,charco
117,Sumpf::N,βάλτος,pântano
118,Moor::N,έλος,pântano
119,Wiese::N,λιβάδι,prado
120,Wald::N,δάσος,bosque
121,Wald::N,δάσος,floresta
122,Hügel::N,λόφος,colina
