,Concept_ID,pl,sl
0,Auge::N,oko,okó
1,Ohr::N,ucho,uhó
2,Nase::N,nos,nós
3,Mund::N,usta,ústa
4,Zahn::N,ząb,zób
5,Zunge::N,język,jêzik
6,Lippe::N,warga,ústnica
7,Wange::N,policzek,líce
8,Gesicht::N,twarz,oblíčje
9,Stirn::N,czoło,čêlo
10,Haar::N,włos,lás
11,Haar::N,włosy,lás
12,Schnurrbart::N,wąsy,bŕki
13,Bart::N,broda,bráda
14,Kinn::N,podbródek,bráda
15,Kiefer[Anatomie]::N,czeluść,čeljúst
16,Kehle::N,gardło,gŕlo
17,Hals::N,szyja,vrát
18,Genick::N,kark,zatílnik
19,Kopf::N,głowa,gláva
20,Rücken::N,plecy,hrbèt
21,Rücken::N,grzbiet,hrbèt
22,Bauch::N,brzuch,trébuh
23,Nabel::N,pępek,pópek
24,Busen::N,biust,nédrja
25,Brust::N,pierś,pŕsi
26,Schulter::N,bark,ráma
27,Schulter::N,bark,plêče
28,Schulter::N,ramię,ráma
29,Schulter::N,ramię,plêče
30,Arm::N,ręka,rôka
31,Arm::N,ramię,rôka
32,Ellenbogen::N,łokieć,komólec
33,Hand::N,dłoń,rôka
34,Handfläche::N,dłoń,dlán
35,Finger::N,palec,pŕst
36,Fingernagel::N,paznokieć,nóht na rôki
37,Nagel[Anatomie]::N,paznokieć,nóht
38,Zeh::N,palec,pŕst na nôgi
39,Fuß::N,stopa,nôga
40,Ferse::N,pięta,pêta
41,Knie::N,kolano,koléno
42,Oberschenkel::N,udo,stêgno
43,Bein::N,noga,nôga
44,Körper::N,ciało,teló
45,Haut::N,skóra,kóža
46,Blut::N,krew,krí
47,Ader::N,żyła,žíla
48,Sehne::N,ścięgno,kíta
49,Knochen::N,kość,kóst
50,Gehirn::N,mózg,možgáni
51,Herz::N,serce,srcé
52,Magen::N,żołądek,želódec
53,Leber::N,wątroba,jétra
54,Atem::N,dech,díh
55,Atem::N,oddech,díh
56,Hunger::N,głód,glád
57,Träne::N,łza,sólza
58,Geschmack::N,smak,okús
59,Geruch::N,woń,vónj
60,Geruch::N,zapach,vónj
61,Schlaf::N,sen,sèn
62,Schlaf::N,sen,spánec
63,Traum::N,sen,sánje
64,Himmel::N,niebo,nebó
65,Sonne::N,słońce,sónce
66,Mond::N,księżyc,lúna
67,Mond::N,księżyc,mésec
68,Stern::N,gwiazda,zvézda
69,Luft::N,powietrze,zràk
70,Wind::N,wiatr,véter
71,Welle::N,fala,vál
72,Wasser::N,woda,vôda
73,Stein::N,kamień,kámen
74,Boden::N,grunt,tlà
75,Erde::N,ziemia,pŕst
76,Erde::N,ziemia,zêmlja
