,Concept_ID,tr,mhr
0,Auge::N,göz,шинча́
1,Ohr::N,kulak,пы́лыш
2,Nase::N,burun,нер
3,Mund::N,ağız,умша́
4,Zahn::N,diş,пӱй
5,Zunge::N,dil,йы́лме
6,Lippe::N,dudak,тӱ́рвӧ
7,Wange::N,yanak,шӱ́ргӧ
8,Gesicht::N,yüz,чури́й
9,Stirn::N,alın,саҥга́
10,Haar::N,saç,ӱп
11,Schnurrbart::N,bıyık,ӧ́рыш
12,Bart::N,sakal,понда́ш
13,Kinn::N,çene,оҥыла́ш
14,Kiefer[Anatomie]::N,çene,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,çene,пӱйората́
16,Kehle::N,boğaz,лога́р
17,Hals::N,boyun,шӱй
18,Hals::N,gerdan,шӱй
19,Genick::N,ense,шӱйло́дыш
20,Kopf::N,baş,вуй
21,Kopf::N,kafa,вуй
22,Rücken::N,arka,туп
23,Bauch::N,karın,мӱ́шкыр
24,Nabel::N,göbek,кы́лымде
25,Busen::N,koyun,чы́зе
26,Brust::N,göğüs,оҥ
27,Schulter::N,omuz,ва́че
28,Arm::N,kol,кид
29,Ellenbogen::N,dirsek,кынерву́й
30,Hand::N,el,кид
31,Hand::N,el,копа́
32,Handfläche::N,avuç,со́во
33,Handfläche::N,el ayası,со́во
34,Finger::N,parmak,парня́
35,Fingernagel::N,el tırnağı,кидкӱ́ч
36,Fingernagel::N,el tırnağı,парнягӱ́ч
37,Nagel[Anatomie]::N,tırnak,кӱч
38,Zeh::N,ayak parmağı,йолварня́
39,Fuß::N,ayak,йол
40,Fuß::N,ayak,йолкопа́
41,Ferse::N,topuk,тага́н
42,Knie::N,diz,пулву́й
43,Oberschenkel::N,uyluk,э́рде
44,Bein::N,bacak,йол
45,Körper::N,vücut,кап
46,Haut::N,cilt,кова́ште
47,Blut::N,kan,вӱр
48,Ader::N,damar,шӧн
49,Sehne::N,kiriş,шӧн
50,Sehne::N,kiriş,кӱсе́н
51,Knochen::N,kemik,лу
52,Gehirn::N,beyin,вем
53,Gehirn::N,beyin,вуйве́м
54,Herz::N,kalp,шӱм
55,Herz::N,yürek,шӱм
56,Magen::N,mide,пага́р
57,Leber::N,karaciğer,мокш
58,Atem::N,nefes,шӱ́лыш
59,Hunger::N,açlık,шужыма́ш
60,Träne::N,gözyaşı,шинчавӱ́д
61,Geschmack::N,tat,там
62,Geschmack::N,lezzet,там
63,Geruch::N,koku,пуш
64,Schlaf::N,uyku,о́мо
65,Traum::N,düş,йӱдо́мо
66,Traum::N,rüya,йӱдо́мо
67,Himmel::N,gök,кава́
68,Sonne::N,güneş,ке́че
69,Mond::N,ay,ты́лзе
70,Stern::N,yıldız,шӱ́дыр
71,Luft::N,hava,юж
72,Wind::N,yel,марде́ж
73,Wind::N,rüzgâr,марде́ж
74,Welle::N,dalga,то́лкын
75,Wasser::N,su,вӱд
76,Stein::N,taş,кӱ
77,Boden::N,yer,рок
78,Boden::N,zemin,рок
79,Erde::N,toprak,мла́нде
80,Staub::N,toz,пура́к
81,Rauch::N,duman,шикш
82,Funke::N,kıvılcım,сеске́м
83,Funke::N,kıvılcım,тулйы́п
84,Feuer::N,ateş,тул
85,Licht::N,ışık,со́то
86,Schatten::N,gölge,ӱ́мыл
87,Wetter::N,hava,иге́че
88,Nebel::N,pus,тӱтыра́
89,Wolke::N,bulut,пыл
90,Regen::N,yağmur,йӱр
91,Schnee::N,kar,лум
92,Eis::N,buz,ий
93,Frost::N,don,чатлама́
94,Kälte::N,soğukluk,йӱ́штӧ
95,Hitze::N,sıcaklık,шо́кшо
96,Raureif::N,kırç,пӧрш
97,Raureif::N,kırç,по́кшым
98,Regenbogen::N,gökkuşağı,шонанпы́л
99,Donner::N,gök gürlemesi,кӱ́дырчӧ
100,Strömung::N,akıntı,йо́гын
101,Strömung::N,cereyan,йо́гын
102,Tropfen::N,damla,чӱча́лтыш
103,Schaum::N,köpük,шоҥ
104,Schmutz::N,çamur,лавыра́
105,Schmutz::N,pislik,лавыра́
106,See::N,göl,ер
107,Sumpf::N,batak,лӱ́кӧ
108,Moor::N,cılgıt,куп
109,Wiese::N,çimen,о́лык
110,Wald::N,koru,чодыра́
111,Wald::N,orman,чодыра́
112,Hügel::N,tepe,арка́
113,Anhöhe::N,tümsek,тӧва́
114,Anhöhe::N,tümsek,кӱкшака́
115,Anhöhe::N,yükseklik,тӧва́
116,Anhöhe::N,yükseklik,кӱкшака́
117,Berg::N,dağ,ку́рык
118,Gipfel::N,zirve,чаҥга́
119,Gipfel::N,zirve,курыкву́й
120,Höhle::N,in,пеще́р
121,Höhle::N,in,курыкпо́мыш
122,Höhle::N,mağara,пеще́р
123,Höhle::N,mağara,курыкпо́мыш
124,Abhang::N,bayır,та́йыл
125,Quelle::N,pınar,важ
126,Quelle::N,pınar,вӱдшинча́
127,Quelle::N,kaynak,важ
128,Quelle::N,kaynak,вӱдшинча́
129,Bach::N,çay,изэҥе́р
130,Bach::N,dere,изэҥе́р
131,Fluss::N,nehir,эҥе́р
132,Ufer::N,kıyı,сер
133,Ufer::N,sahil,сер
134,Küste::N,kıyı,вӱдтӱ́р
135,Küste::N,sahil,вӱдтӱ́р
136,Festland::N,kara,мла́нде
137,Meer::N,deniz,те́ҥыз
138,Bucht::N,koy,икса́
139,Bucht::N,körfez,икса́
140,Insel::N,ada,отро́
141,Blume::N,çiçek,пеле́дыш
142,Gras::N,ot,шу́до
143,Gras::N,çim,шу́до
144,Wurzel::N,kök,вож
145,Baum::N,ağaç,пуше́ҥге
146,Stamm::N,gövde,йы́тыр
147,Rinde::N,kabuk,шӱм
148,Ast::N,dal,укш
149,Ast::N,budak,укш
150,Zweig::N,dal,торма́к
151,Blatt::N,yaprak,лышта́ш
152,Birke::N,huş,куэ́
153,Kiefer[Baum]::N,çam,пӱ́нчӧ
154,Weide[Baum]::N,söğüt,уа́
155,Tanne::N,çam,кож
156,Tanne::N,köknar,кож
157,Horn::N,boynuz,шур
158,Feder::N,tüy,пы́стыл
159,Fell::N,post,кова́ште
160,Flügel::N,kanat,шу́лдыр
161,Klaue::N,pençe,кӱч
162,Kralle::N,tırnak,ла́па
163,Kralle::N,tırnak,копа́
164,Schwanz::N,kuyruk,поч
165,Ei::N,yumurta,му́но
166,Nest::N,yuva,пыжа́ш
167,Bau::N,in,пыжа́ш
168,Tier::N,hayvan,я́нлык
169,Tier::N,hayvan,живо́тный
170,Herde::N,sürü,кӱ́тӱ
171,Herde::N,sürü,тӱшка́
172,Kuh::N,inek,ушка́л
173,Bulle::N,boğa,ӱ́шкыж
174,Pferd::N,at,и́мне
175,Pferd::N,beygir,и́мне
176,Schaf::N,koyun,шо́рык
177,Schwein::N,domuz,сӧсна́
178,Hund::N,it,пий
179,Hund::N,köpek,пий
180,Katze::N,kedi,пы́рыс
181,Bär::N,ayı,маска́
182,Eichhörnchen::N,sincap,ур
183,Elch::N,büyük kuzey geyiği,шо́рдо
184,Fuchs::N,tilki,ры́выж
185,Hase::N,tavşan,мера́ҥ
186,Maus::N,fare,коля́
187,Maus::N,sıçan,коля́
188,Wolf::N,kurt,пи́ре
189,Vogel::N,kuş,ка́йык
190,Schwarm::N,sürü,каша́к
191,Huhn::N,tavuk,чы́ве
192,Hahn::N,horoz,агыта́н
193,Gans::N,kaz,ко́мбо
194,Adler::N,kartal,карагу́ш
195,Adler::N,karakuş,карагу́ш
196,Ente::N,ördek,лу́до
197,Eule::N,baykuş,тумна́
198,Kranich::N,turna,турня́
199,Krähe::N,karga,кора́к
200,Kuckuck::N,guguk,куку́
201,Schwan::N,kuğu,йӱ́ксӧ
202,Fisch::N,balık,кол
203,Barsch::N,hani,ола́ҥге
204,Barsch::N,levrek,ола́ҥге
205,Hecht::N,turnabalığı,нуж
206,Hecht::N,turnabalığı,чорта́н
207,Schlange[Tier]::N,yılan,ки́шке
208,Wurm::N,kurt,шукш
209,Wurm::N,solucan,шукш
210,Spinne::N,örümcek,эҥыре́мыш
211,Ameise::N,karınca,ку́тко
212,Laus::N,bit,тий
213,Mücke::N,sivrisinek,шыҥа́
214,Fliege::N,sinek,ка́рме
215,Schmetterling::N,kelebek,лы́ве
216,Beere::N,tane,мӧр
217,Apfel::N,elma,олма́
218,Pilz::N,mantar,по́ҥго
219,Zwiebel::N,soğan,шога́н
220,Saat::N,ekin,нӧ́шмӧ
221,Saat::N,ekin,туш
222,Korn::N,tane,шу́рно
223,Heu::N,kuru ot,шу́до
224,Schale::N,kabuk,шӱм
225,Grube::N,çukur,выне́м
226,Falle::N,tuzak,лӧ́дӧ
227,Schlinge::N,ilmik,о́птыш
228,Schlinge::N,ilmik,шӧрга́лтыш
229,Spur::N,iz,кыша́
230,Asche::N,kül,ло́мыж
231,Dreck::N,pislik,лавыра́
232,Eisen::N,demir,кӱ́ртньӧ
233,Gold::N,altın,шӧ́ртньӧ
234,Silber::N,gümüş,ший
235,Kohle::N,kömür,мландышӱ́й
236,Glas::N,cam,янда́
237,Lehm::N,balçık,шун
238,Sand::N,kum,ошма́
239,Mensch::N,insan,еҥ
240,Mensch::N,insan,айде́ме
241,Mann::N,adam,пӧръе́ҥ
242,Mann::N,erkek,пӧръе́ҥ
243,Frau::N,bayan,ӱдырама́ш
244,Kind::N,çocuk,аза́
245,Junge::N,erkek çocuk,рве́зе
246,Mädchen::N,kız,ӱдыра́ш
247,Familie::N,aile,еш
248,Großvater::N,dede,коча́
249,Großvater::N,büyükbaba,коча́
250,Großmutter::N,nine,кова́
251,Großmutter::N,büyükanne,кова́
252,Eltern::N,ebeveyn,ача́-ава́
253,Eltern::N,ana baba,ача́-ава́
254,Vater::N,ata,ача́
255,Vater::N,baba,ача́
256,Mutter::N,ana,ава́
257,Mutter::N,anne,ава́
258,Sohn::N,oğul,э́рге
259,Tochter::N,kız,ӱ́дыр
260,Tochter::N,kız evlât,ӱ́дыр
261,Bruder::N,abi,иза́
262,Bruder::N,abi,шо́льо
263,Bruder::N,erkek kardeş,иза́
264,Bruder::N,erkek kardeş,шо́льо
265,Schwester::N,abla,ака́
266,Schwester::N,kız kardeş,ака́
267,Onkel::N,dayı,иза́
268,Tante::N,hala,кока́
269,Tante::N,teyze,кока́
270,Ehemann::N,koca,мари́й
271,Ehefrau::N,karı,ва́те
272,Freude::N,neşe,куа́н
273,Freude::N,neşe,куаныма́ш
274,Freude::N,sevinç,куа́н
275,Freude::N,sevinç,куаныма́ш
276,Gelächter::N,gülme,во́штылтыш
277,Gelächter::N,kahkaha,во́штылтыш
278,Glück::N,mutluluk,пиа́л
279,Kummer::N,dert,о́йго
280,Kummer::N,keder,о́йго
281,Wunsch::N,arzu,ку́мыл
282,Wunsch::N,istek,ку́мыл
283,Lust::N,arzu,ку́мыл
