,Concept_ID,vep,ar
0,Auge::N,sil'm,عين
1,Ohr::N,korv,أذن
2,Nase::N,nena,أنف
3,Mund::N,su,فم
4,Zahn::N,pi,سن
5,Zahn::N,hambaz,سن
6,Zunge::N,kel',لسان
7,Lippe::N,hul',شفة
8,Wange::N,modpolišk,خد
9,Wange::N,modpolišk,وجنة
10,Gesicht::N,mod,وجه
11,Stirn::N,oc,جبين
12,Haar::N,tuk,شعر
13,Haar::N,hibuz,شعر
14,Schnurrbart::N,habinod,شارب
15,Bart::N,bard,لحية
16,Kinn::N,löug,ذقن
17,Kiefer[Anatomie]::N,hambazlu,فك
18,Kehle::N,kurk,حلق
19,Hals::N,kagl,عنق
20,Hals::N,kagl,رقبة
21,Genick::N,tagarai,قفا
22,Kopf::N,pä,رأس
23,Rücken::N,sel'g,ظهر
24,Bauch::N,vac,بطن
25,Bauch::N,koht,بطن
26,Nabel::N,naba,سرة
27,Busen::N,niža,ثدي
28,Brust::N,rind,صدر
29,Schulter::N,oug,كتف
30,Arm::N,käzi,ذراع
31,Ellenbogen::N,künambruz,كوع
32,Hand::N,käzi,يد
33,Hand::N,käzitera,يد
34,Handfläche::N,kämen,كف
35,Finger::N,sor'm,إصبع
36,Fingernagel::N,künz',ظفر
37,Nagel[Anatomie]::N,künz',ظفر
38,Zeh::N,barbaz,إصبع القدم
39,Fuß::N,jaug,قدم
40,Ferse::N,kand,كعب
41,Knie::N,komb,ركبة
42,Knie::N,pol'v,ركبة
43,Oberschenkel::N,riiže,فخذ
44,Bein::N,jaug,ساق
45,Körper::N,hibj,جسم
46,Haut::N,nahk,بشرة
47,Blut::N,čak,دم
48,Blut::N,veri,دم
49,Ader::N,son',عرق
50,Sehne::N,jände,طنب
51,Knochen::N,lu,عظم
52,Gehirn::N,aivod,دماغ
53,Herz::N,südäin,قلب
54,Magen::N,südäikoht,معدة
55,Leber::N,maks,كبد
56,Atem::N,hengaiduz,نفس
57,Hunger::N,näl'g,جوع
58,Träne::N,kündal',دمعة
59,Geschmack::N,magu,طعم
60,Geschmack::N,magu,مذاق
61,Geruch::N,haju,رائحة
62,Schlaf::N,uni,نوم
63,Schlaf::N,uni,منام
64,Traum::N,unikuva,حلم
65,Himmel::N,taivaz,سماء
66,Sonne::N,päiväine,شمس
67,Mond::N,kudmaine,قمر
68,Stern::N,tähtaz,نجم
69,Stern::N,tähtaz,كوكب
70,Luft::N,il'm,هواء
71,Wind::N,döl,ريح
72,Wind::N,tullei,ريح
73,Welle::N,ald,موجة
74,Welle::N,laineh,موجة
75,Wasser::N,vezi,ماء
76,Stein::N,kivi,حجر
77,Boden::N,ma,تراب
78,Boden::N,pohj,تراب
79,Erde::N,ma,أرض
80,Staub::N,pölü,غبار
81,Rauch::N,savu,دخان
82,Funke::N,kibin,شرارة
83,Feuer::N,lämoi,نار
84,Licht::N,vauktuz,نور
85,Licht::N,vauktuz,ضوء
86,Schatten::N,pil'vez,ظل
87,Schatten::N,pil'vez,فيء
88,Schatten::N,kuvahaine,ظل
89,Schatten::N,kuvahaine,فيء
90,Wetter::N,sä,جو
91,Wetter::N,sä,طقس
92,Nebel::N,sumeg,ضباب
93,Wolke::N,pil'v,غيمة
94,Wolke::N,pil'v,سحابة
95,Regen::N,vihm,مطر
96,Schnee::N,lumi,ثلج
97,Eis::N,jä,جليد
98,Frost::N,hala,صقيع
99,Frost::N,pakaine,صقيع
