,Concept_ID,ta,ka
0,Auge::N,கண்,თვალი
1,Ohr::N,காது,ყური
2,Nase::N,மூக்கு,ცხვირი
3,Mund::N,வாய்,პირი
4,Zahn::N,பல்,კბილი
5,Zunge::N,நாக்கு,ენა
6,Lippe::N,உதடு,ბაგე
7,Wange::N,கன்னம்,ლოყა
8,Gesicht::N,முகம்,სახე
9,Stirn::N,முன்னெற்றி,შუბლი
10,Haar::N,முடி,თმა
11,Schnurrbart::N,மீசை,ულვაში
12,Bart::N,தாடி,წვერი
13,Kinn::N,கீழதாடை,ნიკაპი
14,Kiefer[Anatomie]::N,தாடை,ყბა
15,Kehle::N,தொண்டை,ყელი
16,Hals::N,கழுத்து,ყელი
17,Hals::N,கழுத்து,კისერი
18,Genick::N,கழுத்து,კეფა
19,Kopf::N,தலை,თავი
20,Rücken::N,முதுகு,ზურგი
21,Bauch::N,வயிறு,მუცელი
22,Nabel::N,தொப்புள்,ჭიპი
23,Busen::N,மார்பகம்,ძუძუ
24,Brust::N, மார்பு,მკერდი
25,Schulter::N,தோள்பட்டை,მხარი
26,Schulter::N,தோள்பட்டை,მკლავი
27,Arm::N,கரம்,ხელი
28,Ellenbogen::N,முழங்கை,იდაყვი
29,Hand::N,கை,ხელი
30,Handfläche::N,உள்ளங்கை,ნები
31,Handfläche::N,உள்ளங்கை,ხელისგული
32,Finger::N,விரல்,თითი
33,Fingernagel::N,விரல் நகம்,ფრჩხილი
34,Nagel[Anatomie]::N,நகம்,ფრჩხილი
35,Zeh::N,கால்விரல்,ფეხის თითი
36,Fuß::N,கால்,ტერფი
37,Fuß::N,கால்,ფეხისგული
38,Ferse::N,குதிகால்,ქუსლი
39,Knie::N,முழங்கால்,მუხლი
40,Oberschenkel::N,தொடை,ბარძაყი
41,Bein::N,கால்,ფეხი
42,Körper::N,உடல்,ტანი
43,Körper::N,உடல்,სხეული
44,Haut::N,சருமம்,კანი
45,Blut::N,இரத்தம்,სისხლი
46,Ader::N,நாளம்,ძარღვი
47,Sehne::N,தசைநார்,მყესი
48,Knochen::N,எலுமபு,ძვალი
49,Gehirn::N,மூனை,ტვინი
50,Herz::N,இதயம,გული
51,Magen::N,வயிறு,კუჭი
52,Leber::N,கல்லீரல்,ღვიძლი
53,Atem::N,மூச்சு,სუნთქვა
54,Hunger::N,பசி,შიმშილი
55,Träne::N,கண்ணீர்,ცრემლი
56,Geschmack::N,நறுமணம்,გემო
57,Geruch::N,துர்நாற்றம்,სუნი
58,Schlaf::N,தூக்கம்,ძილი
59,Traum::N,கனவு,სიზმარი
60,Himmel::N,வானம்,ცა
61,Sonne::N,சூரியன்,მზე
62,Mond::N,சந்திரன்,მთვარე
63,Stern::N,நட்சத்திரம்,ვარსკვლავი
64,Luft::N,காறறு,ჰაერი
65,Wind::N,காற்று,ქარი
66,Welle::N,அலை,ტალღა
67,Wasser::N,நீர்,წყალი
68,Stein::N,கல்,ქვა
69,Boden::N,தரை,მიწა
70,Erde::N,மண்,ნიადაგი
71,Staub::N,தூசி,მტვერი
72,Rauch::N,புகை,ბოლი
73,Rauch::N,புகை,კვამლი
74,Funke::N,தீப்பொறி,ნაკვესი
75,Feuer::N,தீ,ცეცხლი
76,Licht::N,வெளிச்சம்,შუქი
77,Licht::N,வெளிச்சம்,სინათლე
78,Schatten::N,நிழல்,ლანდი
79,Schatten::N,நிழல்,ჩრდილი
80,Wetter::N,வானிலை,ამინდი
81,Nebel::N,பனிமூட்டம்,ნისლი
82,Wolke::N,மேகம்,ღრუბელი
83,Regen::N,மழை,წვიმა
84,Schnee::N,உறைபனி,თოვლი
85,Eis::N,பனிக்கட்டி,თოში
86,Eis::N,பனிக்கட்டி,ყინული
87,Frost::N,உறைபனி,ყინვა
88,Kälte::N,குளிர்ந்த,სიცივე
89,Hitze::N,சூடு,სიცხე
90,Raureif::N,உறைபனி வெண்திரை,ჭირხლი
91,Raureif::N,உறைபனி வெண்திரை,თრთვილი
92,Regenbogen::N,வானவில்,ცისარტყელა
93,Donner::N,இடி,ქუხილი
94,Strömung::N,நீரோட்டம்,დინება
95,Tropfen::N,துளி,წვეთი
96,Schaum::N,நுரை,ქაფი
97,Schaum::N,நுரை,დორბლი
98,Schmutz::N,அழுக்கு,ჭუჭყი
99,Schmutz::N,அழுக்கு,ტალახი
100,See::N,ஏரி,ტბა
101,Sumpf::N,சதுப்பு நிலம்,ჭაობი
102,Moor::N,முட்புதற்காடு,ტორფნარი
103,Wiese::N,பசும் புல்தரை,ველი
104,Wiese::N,பசும் புல்தரை,მდელო
105,Wald::N,காடு,ტყე
106,Hügel::N,குன்று,ბორცვი
107,Anhöhe::N,பதுக்கை,მაღლობი
108,Berg::N,மலை,მთა
109,Gipfel::N,உச்சி மாநாடு,მწვერვალი
110,Höhle::N,குகை,მღვიმე
111,Höhle::N,குகை,გამოქვებული
112,Abhang::N,சரிவு,ფერდობი
113,Quelle::N,மூலம்,წყარო
114,Quelle::N,மூலம்,სათავე
115,Bach::N,ஓடை,რუ
116,Bach::N,ஓடை,ნაკადული
117,Fluss::N,ஆறு,მდინარე
118,Ufer::N,நீர்க்கரை,კიდე
119,Ufer::N,நீர்க்கரை,ნაპირი
120,Küste::N,கடற்கரை,ნაპირი
121,Festland::N,நிலம்,ხმელეთი
122,Meer::N,கடல்,ზღვა
123,Bucht::N,சிறுகுடா,ყურე
124,Insel::N,தீவு,კუნძული
125,Blume::N,பூ,ყვავილი
126,Gras::N,புல்தரை,ბალახი
127,Wurzel::N,வேர்,ძირი
128,Wurzel::N,வேர்,ფესვი
129,Baum::N,மரம்,ხე
130,Stamm::N,அடிமரம்,ტანი
131,Rinde::N,பட்டை,ქერქი
132,Rinde::N,மரப்பட்டை,ქერქი
133,Ast::N,கினை,ტოტი
134,Zweig::N,குச்சி,შტო
135,Blatt::N,இலை,ფოთოლი
136,Birke::N,பிர்ச் மரம்,არყი
137,Kiefer[Baum]::N,தேவதாரு மரம்,ფიჭვი
138,Weide[Baum]::N,மர வகைகளுள் ஒன்று,ტირიფი
139,Tanne::N,சாதிக்கய்,ნაძვი
140,Horn::N,கொம்பு,რქა
141,Feder::N,இறகு,ფრთა
142,Fell::N,மென்முடி,ტყავი
143,Flügel::N,இறக்கை,ფრთა
144,Klaue::N,நகம்,კლანჭი
145,Kralle::N,நகம்,ტორი
146,Schwanz::N,வால்,კუდი
147,Ei::N,முட்டை,კვერცხი
148,Nest::N,கூடு,ბუდე
149,Bau::N,குகை,სორო
150,Tier::N,விலங்கு,ნადირი
151,Tier::N,விலங்கு,ცხოველი
152,Herde::N,கூட்டம்,ფარა
153,Kuh::N,பசு,ფური
154,Kuh::N,பசு,ძროხა
155,Bulle::N,காளை,ხარი
156,Pferd::N,குதிரை,რაში
157,Pferd::N,குதிரை,ცხენი
158,Schaf::N,செம்மறிஆடு,ცხვარი
159,Schwein::N,பன்றி,ღორი
160,Hund::N,நாய்,ძაღლი
161,Katze::N,பூனை,კატა
162,Bär::N,கரடி,დათვი
163,Eichhörnchen::N,அணில்,ციყვი
164,Elch::N,கடம்பை,ცხენ-ირემი
165,Fuchs::N,நரி,მელა
166,Hase::N,முயல்,კურდღელი
167,Maus::N,எலி,თაგვი
168,Wolf::N,ஓநாய்,მგელი
169,Vogel::N,பறவை,ჩიტი
170,Vogel::N,பறவை,ფრინველი
171,Schwarm::N,தொகுதி,გუნდი
172,Huhn::N,கோழிக்குஞசு,დედალი
173,Hahn::N,சேவல்,მამალი
174,Gans::N,பெண் வாத்து,ბატი
175,Adler::N,பருநது,არწივი
176,Ente::N,வாத்து,იხვი
177,Eule::N,ஆந்தை,ბუ
178,Kranich::N,நாரை,წერო
179,Krähe::N,காகம்,ყვავი
180,Kuckuck::N,குயில்,გუგული
181,Schwan::N,அன்னம்,გედი
182,Fisch::N,மீன்,თევზი
183,Barsch::N,பேர்ச்,ქორჭილა
184,Hecht::N,கோலாச்சி மீன்,ქარიყლაპია
185,Schlange[Tier]::N,பாம்பு,გველი
186,Wurm::N,புழு,ჭია
187,Spinne::N,சிலந்தி,ობობა
188,Ameise::N,எறும்பு,ჭიანჭველა
189,Laus::N,பேன்,ტილი
190,Laus::N,பேன்,მკბენარი
191,Mücke::N,கொசுவினப்பூச்சி,კოღო
192,Fliege::N,ஈ,ბუზი
193,Schmetterling::N,வண்ணத்துப்பூச்சி,პეპელა
194,Beere::N,சதைப்பழம்,კენკრა
195,Apfel::N,ஆப்பிள பழம்,ვაშლი
196,Pilz::N,காளான்,სოკო
197,Zwiebel::N,வெங்காயம்,ხახვი
198,Saat::N,விதை,თესლი
199,Korn::N,தானியம்,მარცვალი
200,Heu::N,வைக்கோல்,თივა
201,Schale::N,தோல்,ჩენჩო
202,Grube::N,குழி,ორმო
203,Falle::N,பொறி,ხაფანგი
204,Schlinge::N,கண்ணி,მახე
205,Spur::N,சுவடு,კვალი
206,Asche::N,சாம்பல்,ფერფლი
207,Dreck::N,அழுக்கு,ტალახი
208,Dreck::N,அழுக்கு,სიბინძურე
209,Eisen::N,இரும்பு,რკინა
210,Gold::N,தங்கம்,ოქრო
211,Silber::N,வெள்ளி,ვერცხლი
212,Kohle::N,நிலக்கரி,ნახშირი
213,Glas::N,கண்ணாடி,მინა
214,Lehm::N,களிமண்,თიხა
215,Sand::N,மணல்,ქვიშა
216,Mensch::N,மனிதர்கள்,ადამიანი
217,Mann::N,மனிதன்,კაცი
