,Concept_ID,eu,pl
0,Auge::N,begi,oko
1,Ohr::N,belarri,ucho
2,Nase::N,sudur,nos
3,Mund::N,aho,usta
4,Zahn::N,hortz,ząb
5,Zunge::N,mihi,język
6,Lippe::N,ezpain,warga
7,Wange::N,masail,policzek
8,Gesicht::N,aurpegi,twarz
9,Stirn::N,bekoki,czoło
10,Haar::N,ile,włos
11,Haar::N,ile,włosy
12,Haar::N,bilo,włos
13,Haar::N,bilo,włosy
14,Schnurrbart::N,bibote,wąsy
15,Schnurrbart::N,sudurpeko,wąsy
16,Bart::N,bizar,broda
17,Kinn::N,kokots,podbródek
18,Kiefer[Anatomie]::N,masailezur,czeluść
19,Kehle::N,eztarri,gardło
20,Hals::N,sama,szyja
21,Genick::N,garondo,kark
22,Kopf::N,buru,głowa
23,Rücken::N,bizkar,plecy
24,Rücken::N,bizkar,grzbiet
25,Bauch::N,sabel,brzuch
26,Nabel::N,zilbor,pępek
27,Busen::N,titi,biust
28,Busen::N,ugatz,biust
29,Brust::N,bular,pierś
30,Schulter::N,besaburu,bark
31,Schulter::N,besaburu,ramię
32,Arm::N,beso,ręka
33,Arm::N,beso,ramię
34,Ellenbogen::N,ukondo,łokieć
35,Hand::N,esku,dłoń
36,Handfläche::N,ahur,dłoń
37,Finger::N,hatz,palec
38,Fingernagel::N,azazkal,paznokieć
39,Nagel[Anatomie]::N,azazkal,paznokieć
40,Zeh::N,behatz,palec
41,Fuß::N,oin,stopa
42,Ferse::N,orpo,pięta
43,Ferse::N,oinburu,pięta
44,Knie::N,belaun,kolano
45,Oberschenkel::N,izter,udo
46,Bein::N,zango,noga
47,Körper::N,soin,ciało
48,Haut::N,azal,skóra
49,Blut::N,odol,krew
50,Ader::N,zain,żyła
51,Sehne::N,gihar-zain,ścięgno
52,Knochen::N,hezur,kość
53,Gehirn::N,garun,mózg
54,Gehirn::N,burmuin,mózg
55,Herz::N,bihotz,serce
56,Magen::N,urdail,żołądek
57,Leber::N,gibel,wątroba
58,Atem::N,hats,dech
59,Atem::N,hats,oddech
60,Atem::N,arnasa,dech
61,Atem::N,arnasa,oddech
62,Hunger::N,gose,głód
63,Träne::N,malko,łza
64,Geschmack::N,dasta,smak
65,Geruch::N,usain,woń
66,Geruch::N,usain,zapach
67,Schlaf::N,lo,sen
68,Traum::N,amets,sen
69,Himmel::N,zeru,niebo
70,Sonne::N,eguzki,słońce
71,Mond::N,ilargi,księżyc
72,Stern::N,izar,gwiazda
73,Luft::N,aire,powietrze
74,Wind::N,haize,wiatr
75,Welle::N,uhin,fala
76,Welle::N,olatu,fala
77,Wasser::N,ur,woda
78,Stein::N,harri,kamień
79,Boden::N,lur,grunt
80,Boden::N,zoru,grunt
81,Erde::N,lur,ziemia
82,Staub::N,hauts,pył
83,Staub::N,hauts,kurz
84,Rauch::N,ke,dym
85,Funke::N,zirta,iskra
86,Funke::N,txinparta,iskra
87,Feuer::N,su,ogień
88,Licht::N,argi,światło
89,Schatten::N,itzal,cień
90,Schatten::N,geriza,cień
91,Wetter::N,eguraldi,pogoda
92,Nebel::N,laino,mgła
93,Wolke::N,hodei,obłok
94,Wolke::N,hodei,chmura
95,Regen::N,euri,deszcz
96,Schnee::N,elur,śnieg
97,Eis::N,horma,lód
98,Frost::N,izotzaldi,mróz
99,Kälte::N,hotz,chłód
100,Hitze::N,bero,gorąco
